time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,铜陵,167.91,1.8,104.33,20.9,190.89,131.77,69.4
2017-01-02,铜陵,252.89,1.8,86.04,32.3,250.89,203.3,51.98
2017-01-03,铜陵,211.97,2.35,75.41,19.61,224.77,168.49,52.56
2017-01-04,铜陵,242.8,2.24,96.79,18.93,243.0,193.4,48.99
2017-01-05,铜陵,79.93,1.52,72.93,28.71,72.29,57.51,22.5
2017-01-06,铜陵,50.24,0.9,53.76,23.55,42.4,33.65,30.4
2017-01-07,铜陵,50.8,0.97,43.68,23.77,42.96,34.05,42.48
2017-01-08,铜陵,107.38,1.18,30.88,44.01,98.25,80.48,13.64
2017-01-09,铜陵,130.07,1.2,38.22,50.82,116.65,98.64,28.91
2017-01-10,铜陵,143.55,1.34,49.85,34.45,134.06,108.94,51.1
2017-01-11,铜陵,115.62,1.17,49.78,42.03,114.34,86.51,41.18
2017-01-12,铜陵,98.49,1.16,55.78,41.33,92.42,73.28,42.51
2017-01-13,铜陵,125.44,1.7,64.28,32.41,122.07,94.7,60.26
2017-01-14,铜陵,90.22,0.93,47.49,50.24,100.37,65.79,26.03
2017-01-15,铜陵,63.15,0.63,35.6,48.01,67.01,41.7,19.89
2017-01-16,铜陵,79.23,0.74,49.31,37.16,84.81,56.87,32.3
2017-01-17,铜陵,84.4,0.8,60.88,23.17,90.74,61.38,36.66
2017-01-18,铜陵,100.85,1.03,67.78,20.72,109.57,75.16,34.36
2017-01-19,铜陵,90.74,0.82,43.55,30.75,83.88,67.23,19.43
2017-01-20,铜陵,94.62,0.73,42.49,45.78,110.74,62.46,19.51
2017-01-21,铜陵,88.21,1.17,67.0,33.67,108.01,59.35,36.59
2017-01-22,铜陵,113.94,1.37,74.51,40.9,133.9,85.76,38.44
2017-01-23,铜陵,100.1,1.12,44.28,58.49,115.53,74.38,37.49
2017-01-24,铜陵,75.04,0.84,40.53,64.53,78.22,53.87,33.56
2017-01-25,铜陵,101.62,0.98,55.34,49.06,98.31,75.83,44.76
2017-01-26,铜陵,127.68,1.59,70.46,38.33,124.6,96.34,34.91
2017-01-27,铜陵,137.4,1.52,39.09,51.53,138.12,103.4,53.78
2017-01-28,铜陵,181.28,1.7,48.35,31.22,176.72,142.2,62.71
2017-01-29,铜陵,133.01,1.17,37.74,15.53,128.03,100.01,41.52
2017-01-30,铜陵,86.65,1.06,29.22,32.41,86.47,63.74,21.88
2017-01-31,铜陵,56.65,0.55,23.7,40.25,54.59,37.4,26.6
2017-02-01,铜陵,77.89,0.78,33.41,28.3,70.99,56.59,22.21
2017-02-02,铜陵,97.49,0.88,22.72,49.87,90.35,72.71,27.63
2017-02-03,铜陵,95.59,0.98,58.62,16.13,84.8,71.2,20.99
2017-02-04,铜陵,105.39,1.4,55.96,13.44,96.51,78.96,19.04
2017-02-05,铜陵,99.38,1.27,48.22,19.15,91.96,74.21,12.76
2017-02-06,铜陵,123.36,1.23,26.49,54.39,115.12,92.83,20.78
2017-02-07,铜陵,55.26,0.61,29.3,45.3,54.36,35.58,21.72
2017-02-08,铜陵,71.21,0.65,32.79,32.09,62.55,51.25,22.24
2017-02-09,铜陵,121.29,0.81,33.46,54.5,113.24,91.54,36.91
2017-02-10,铜陵,120.04,0.89,45.25,48.64,117.3,89.99,33.25
2017-02-11,铜陵,104.06,1.07,77.36,27.72,113.79,77.58,58.61
2017-02-12,铜陵,109.79,1.4,80.12,32.41,122.73,81.72,82.01
2017-02-13,铜陵,99.55,1.55,81.78,38.58,115.07,73.06,50.67
2017-02-14,铜陵,94.62,0.94,67.3,57.97,110.99,69.76,35.31
2017-02-15,铜陵,125.17,1.69,94.57,41.43,144.23,94.7,47.41
2017-02-16,铜陵,115.84,2.15,87.73,41.55,139.1,85.45,96.07
2017-02-17,铜陵,145.88,1.14,51.32,30.67,151.57,110.92,37.71
2017-02-18,铜陵,94.28,1.01,54.99,30.02,106.94,67.59,42.29
2017-02-19,铜陵,144.63,2.18,63.65,34.51,159.12,109.84,68.8
2017-02-20,铜陵,124.46,1.51,52.79,34.42,131.36,87.13,33.41
2017-02-21,铜陵,60.35,0.68,28.34,54.09,67.27,35.29,19.58
2017-02-22,铜陵,64.92,0.71,31.62,43.37,58.02,46.0,46.02
2017-02-23,铜陵,142.74,1.04,43.08,43.47,128.68,108.51,49.45
2017-02-24,铜陵,116.99,1.09,56.15,50.27,118.44,88.35,45.36
2017-02-25,铜陵,120.17,1.28,74.43,50.3,126.6,90.37,63.65
2017-02-26,铜陵,115.4,1.35,77.81,56.58,129.23,86.24,72.87
2017-02-27,铜陵,115.79,1.47,80.06,58.99,134.39,86.07,52.7
2017-02-28,铜陵,121.86,1.13,74.67,61.24,140.04,90.91,60.42
2017-03-01,铜陵,96.86,0.99,60.01,53.35,132.88,55.27,50.4
2017-03-02,铜陵,79.36,0.97,48.79,47.72,92.83,53.82,39.38
2017-03-03,铜陵,91.73,1.33,80.33,37.37,117.39,64.0,46.28
2017-03-04,铜陵,109.37,1.62,101.11,21.01,138.56,78.92,50.08
2017-03-05,铜陵,103.4,1.05,50.98,57.1,100.75,77.36,39.5
2017-03-06,铜陵,113.84,1.08,37.47,67.65,117.24,85.26,38.09
2017-03-07,铜陵,88.59,1.17,85.15,42.47,109.65,61.68,34.24
2017-03-08,铜陵,104.84,1.12,65.92,53.92,122.12,78.16,47.69
2017-03-09,铜陵,110.68,1.25,104.09,36.82,146.35,79.55,34.72
2017-03-10,铜陵,116.58,1.57,106.96,37.6,147.76,84.7,64.64
2017-03-11,铜陵,104.01,1.27,59.23,60.24,120.16,77.73,39.6
