time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,阜阳,218.13,1.85,95.66,12.98,249.55,168.77,30.32
2017-01-02,阜阳,336.15,2.58,90.38,24.18,385.73,280.73,32.7
2017-01-03,阜阳,267.6,2.99,44.83,16.0,308.26,217.12,19.44
2017-01-04,阜阳,214.22,2.28,40.65,12.59,255.57,164.33,23.54
2017-01-05,阜阳,78.81,1.14,23.9,52.42,69.91,57.58,19.71
2017-01-06,阜阳,67.64,0.96,28.03,30.14,62.08,47.08,16.12
2017-01-07,阜阳,113.43,1.53,40.23,24.87,108.11,84.28,17.39
2017-01-08,阜阳,211.79,1.88,54.28,30.75,208.9,165.21,19.32
2017-01-09,阜阳,219.81,2.83,50.1,26.96,234.5,176.62,21.0
2017-01-10,阜阳,225.19,2.07,67.25,22.9,221.52,175.83,20.89
2017-01-11,阜阳,242.32,2.2,55.97,24.55,244.28,192.38,17.44
2017-01-12,阜阳,158.64,1.49,53.11,31.0,167.19,120.56,21.19
2017-01-13,阜阳,104.79,1.12,53.42,34.21,125.18,76.25,24.21
2017-01-14,阜阳,153.65,1.4,51.1,35.19,157.82,117.38,25.9
2017-01-15,阜阳,70.02,0.79,34.75,37.9,74.86,47.45,12.93
2017-01-16,阜阳,77.21,0.83,39.49,33.33,82.63,55.39,13.38
2017-01-17,阜阳,101.78,0.99,45.75,33.32,108.28,75.12,14.1
2017-01-18,阜阳,134.14,1.16,38.65,34.49,136.46,101.79,16.17
2017-01-19,阜阳,180.57,1.16,46.9,40.86,197.12,137.93,19.78
2017-01-20,阜阳,88.57,0.69,36.53,47.35,114.06,53.14,22.04
2017-01-21,阜阳,108.18,0.88,51.4,40.04,132.58,78.88,24.14
2017-01-22,阜阳,142.97,1.18,60.46,36.12,165.63,108.33,30.01
2017-01-23,阜阳,137.19,1.13,57.81,38.31,146.46,103.79,22.01
2017-01-24,阜阳,110.75,1.21,42.5,38.84,106.95,83.2,17.48
2017-01-25,阜阳,124.19,1.02,40.51,49.21,126.63,93.68,17.92
2017-01-26,阜阳,144.22,1.14,34.55,55.75,146.69,108.69,15.14
2017-01-27,阜阳,208.53,1.36,23.06,66.29,229.61,164.15,25.4
2017-01-28,阜阳,189.53,1.08,22.75,34.31,194.83,145.93,19.46
2017-01-29,阜阳,126.78,1.02,21.22,20.93,130.56,95.88,17.49
2017-01-30,阜阳,105.76,0.92,22.86,43.67,111.77,76.9,16.96
2017-01-31,阜阳,80.53,0.73,22.5,42.92,77.33,58.74,15.79
2017-02-01,阜阳,111.0,0.79,24.89,48.61,106.19,83.18,18.21
2017-02-02,阜阳,183.19,1.24,26.38,58.04,168.64,139.83,18.0
2017-02-03,阜阳,133.85,1.14,33.64,45.51,127.99,101.22,14.57
2017-02-04,阜阳,136.19,1.36,40.71,30.45,137.78,102.36,14.94
2017-02-05,阜阳,142.99,1.62,34.56,30.89,136.18,108.89,15.78
2017-02-06,阜阳,167.18,1.23,31.96,50.76,157.89,126.76,15.58
2017-02-07,阜阳,80.13,0.79,24.91,40.64,75.94,57.48,16.61
2017-02-08,阜阳,140.31,0.96,30.5,32.64,132.67,105.38,19.46
2017-02-09,阜阳,186.42,1.34,41.42,33.19,173.88,141.5,22.14
2017-02-10,阜阳,215.79,1.97,67.56,40.38,215.5,170.04,21.43
2017-02-11,阜阳,194.56,1.5,57.65,52.75,202.31,156.93,33.01
2017-02-12,阜阳,136.56,0.89,38.44,70.99,137.23,102.28,18.0
2017-02-13,阜阳,127.22,1.3,70.85,55.79,139.04,95.74,18.51
2017-02-14,阜阳,153.71,1.25,68.81,56.07,159.81,116.19,24.14
2017-02-15,阜阳,125.28,0.93,53.76,61.76,136.79,94.32,17.04
2017-02-16,阜阳,117.51,0.93,43.79,61.19,128.27,88.21,16.62
2017-02-17,阜阳,160.52,1.09,28.7,34.14,208.62,114.12,15.7
2017-02-18,阜阳,115.11,0.77,38.8,38.49,138.75,84.31,13.21
2017-02-19,阜阳,182.92,1.16,37.72,56.69,200.01,137.85,12.28
2017-02-20,阜阳,150.45,0.96,33.23,57.19,187.12,103.93,15.38
2017-02-21,阜阳,60.25,0.51,24.25,44.85,59.57,36.42,14.42
2017-02-22,阜阳,141.54,1.01,39.08,30.97,123.19,106.76,25.21
2017-02-23,阜阳,153.85,1.25,52.38,43.53,144.29,116.57,27.64
