time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,马鞍山,198.2,2.1,96.41,27.12,213.45,150.85,31.2
2017-01-02,马鞍山,186.79,2.34,87.73,21.63,206.26,142.61,30.04
2017-01-03,马鞍山,188.45,2.3,70.85,43.0,202.96,143.77,23.82
2017-01-04,马鞍山,211.46,2.39,92.17,15.87,217.51,163.98,20.82
2017-01-05,马鞍山,36.12,1.22,34.09,59.69,30.52,24.48,9.88
2017-01-06,马鞍山,32.38,0.97,31.14,38.22,28.25,21.54,8.88
2017-01-07,马鞍山,51.37,1.68,39.24,16.75,42.1,34.64,13.28
2017-01-08,马鞍山,119.07,1.74,33.21,30.88,115.28,89.86,17.69
2017-01-09,马鞍山,107.27,1.72,45.82,39.42,110.15,80.37,26.27
2017-01-10,马鞍山,106.64,1.43,44.68,42.88,114.53,79.8,23.38
2017-01-11,马鞍山,83.16,1.2,42.76,52.07,89.81,58.68,20.26
2017-01-12,马鞍山,83.66,1.3,53.08,32.87,88.35,61.19,23.3
2017-01-13,马鞍山,87.42,1.44,50.37,33.19,100.45,62.21,20.82
2017-01-14,马鞍山,78.24,1.03,42.09,44.82,88.67,52.15,17.61
2017-01-15,马鞍山,49.23,0.68,25.0,47.52,52.55,24.49,12.07
2017-01-16,马鞍山,54.73,0.82,27.82,46.01,58.2,33.81,13.68
2017-01-17,马鞍山,66.02,1.05,48.78,28.04,73.18,44.23,15.41
2017-01-18,马鞍山,73.47,1.18,38.56,31.82,87.71,52.62,12.11
2017-01-19,马鞍山,90.68,1.25,38.91,34.72,90.3,66.67,15.61
2017-01-20,马鞍山,74.6,1.02,30.83,44.94,97.84,32.83,26.77
2017-01-21,马鞍山,65.38,1.01,43.23,32.05,78.42,38.73,23.42
2017-01-22,马鞍山,95.06,1.23,47.05,31.31,119.04,69.38,26.47
2017-01-23,马鞍山,66.99,1.08,35.64,46.5,76.69,46.38,18.34
2017-01-24,马鞍山,55.59,1.01,28.6,47.27,55.89,36.43,14.62
2017-01-25,马鞍山,96.14,1.24,33.48,53.27,94.57,71.36,15.41
2017-01-26,马鞍山,103.93,1.34,38.51,42.91,103.77,77.62,14.52
