time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,黄山,71.49,0.96,25.86,34.47,74.46,47.77,10.35
2017-01-02,黄山,92.88,1.17,27.15,35.07,107.53,67.58,15.47
2017-01-03,黄山,137.1,1.47,32.08,33.51,149.15,102.93,13.88
2017-01-04,黄山,149.39,1.66,36.5,33.71,160.8,113.25,13.07
2017-01-05,黄山,114.04,1.67,38.71,36.32,122.32,84.83,15.19
2017-01-06,黄山,23.25,0.85,23.54,33.78,21.43,10.69,12.5
2017-01-07,黄山,22.65,0.85,23.77,31.68,21.03,9.0,13.24
2017-01-08,黄山,35.94,0.86,20.96,46.28,32.51,20.58,14.42
2017-01-09,黄山,72.95,0.98,16.1,60.76,72.78,50.65,12.25
2017-01-10,黄山,97.29,1.09,19.79,41.89,100.22,71.36,10.57
2017-01-11,黄山,72.24,1.16,24.43,32.33,69.93,50.58,8.85
2017-01-12,黄山,35.35,0.98,16.38,39.31,33.33,18.62,9.76
2017-01-13,黄山,50.18,0.81,18.89,57.5,52.52,29.32,11.79
2017-01-14,黄山,64.12,0.68,17.53,51.42,66.19,41.04,14.75
2017-01-15,黄山,58.99,0.55,17.2,52.1,61.26,33.26,12.39
2017-01-16,黄山,49.74,0.5,17.78,45.67,49.8,27.57,10.92
2017-01-17,黄山,62.46,0.59,24.2,34.23,64.48,39.43,9.64
2017-01-18,黄山,54.06,0.66,24.46,31.9,53.25,34.43,11.94
2017-01-19,黄山,32.03,0.79,34.57,38.75,30.53,15.28,10.19
2017-01-20,黄山,87.94,0.67,16.83,66.22,97.0,55.21,12.15
2017-01-21,黄山,54.21,0.52,16.17,52.33,57.47,26.5,13.17
2017-01-22,黄山,61.32,0.6,22.22,52.96,65.25,36.99,11.97
2017-01-23,黄山,64.52,0.64,20.06,53.81,72.39,39.16,10.65
2017-01-24,黄山,64.44,0.65,17.03,56.32,67.77,39.76,11.15
2017-01-25,黄山,58.78,0.61,20.5,62.31,61.51,34.44,9.44
2017-01-26,黄山,53.59,0.64,23.14,40.71,56.43,29.9,12.35
2017-01-27,黄山,96.51,0.64,17.52,50.67,93.84,71.6,16.37
2017-01-28,黄山,183.37,1.1,19.23,60.82,180.38,149.33,19.67
2017-01-29,黄山,85.43,0.87,18.43,48.84,90.87,59.1,10.9
2017-01-30,黄山,56.86,0.76,15.93,61.24,65.6,35.78,7.97
2017-01-31,黄山,61.42,0.47,15.12,67.35,69.58,36.68,9.38
2017-02-01,黄山,60.38,0.39,12.71,57.88,65.52,36.4,10.46
2017-02-02,黄山,61.06,0.42,12.56,59.19,60.13,39.11,10.11
2017-02-03,黄山,59.76,0.59,18.33,54.35,61.24,37.36,10.85
2017-02-04,黄山,43.87,0.68,17.8,43.84,47.08,24.61,14.78
2017-02-05,黄山,36.64,0.78,16.86,53.19,36.66,17.28,14.47
2017-02-06,黄山,69.04,0.82,15.82,67.68,70.1,47.39,11.76
2017-02-07,黄山,63.55,0.59,16.46,75.1,67.72,40.61,11.04
2017-02-08,黄山,27.88,0.51,18.83,52.26,27.11,13.38,11.1
2017-02-09,黄山,66.07,0.57,16.18,65.08,72.65,45.19,11.07
2017-02-10,黄山,69.88,0.58,20.18,61.64,77.13,47.04,12.88
2017-02-11,黄山,70.49,0.5,20.57,52.85,77.96,43.29,15.51
2017-02-12,黄山,56.61,0.47,22.35,53.12,59.61,33.32,10.54
2017-02-13,黄山,46.65,0.5,23.75,50.43,49.0,22.86,9.0
2017-02-14,黄山,49.89,0.54,24.43,59.36,54.82,26.11,8.51
2017-02-15,黄山,60.42,0.78,28.65,65.3,68.99,34.67,9.75
2017-02-16,黄山,64.81,0.68,30.99,67.21,75.64,38.12,11.49
2017-02-17,黄山,92.38,0.8,29.08,39.97,105.96,65.36,14.48
2017-02-18,黄山,80.23,0.82,19.35,39.71,90.5,55.62,15.05
2017-02-19,黄山,68.39,0.83,25.18,58.51,79.47,43.0,17.03
2017-02-20,黄山,72.04,0.76,16.5,53.06,83.5,46.93,14.0
2017-02-21,黄山,58.07,0.47,15.61,69.46,65.74,24.06,11.6
2017-02-22,黄山,33.88,0.64,17.54,48.51,34.54,17.94,12.69
2017-02-23,黄山,68.51,0.67,17.33,52.13,70.96,45.78,11.74
2017-02-24,黄山,69.65,0.67,18.71,66.67,72.23,47.0,10.82
2017-02-25,黄山,57.03,0.61,19.19,60.62,59.68,33.54,11.17
2017-02-26,黄山,57.32,0.62,18.07,72.1,60.97,34.38,13.62
2017-02-27,黄山,64.9,0.67,22.67,72.15,73.75,41.42,13.72
2017-02-28,黄山,66.54,0.61,20.39,75.18,76.33,41.71,11.76
2017-03-01,黄山,66.54,0.51,17.19,78.5,81.5,34.19,12.62
2017-03-02,黄山,66.33,0.39,14.91,75.86,83.26,22.55,10.91
2017-03-03,黄山,55.58,0.51,23.82,63.42,63.86,25.18,12.53
2017-03-04,黄山,57.56,0.56,26.01,52.67,66.65,28.12,13.78
2017-03-05,黄山,52.65,0.72,18.36,63.79,55.41,30.17,15.65
2017-03-06,黄山,88.99,0.73,18.06,78.29,97.16,62.35,14.79
2017-03-07,黄山,72.14,0.74,24.99,67.44,80.2,47.47,11.25
2017-03-08,黄山,69.48,0.65,24.81,77.45,80.26,41.43,12.36
2017-03-09,黄山,57.64,0.54,29.92,73.62,63.62,29.36,10.83
2017-03-10,黄山,53.01,0.65,28.19,75.82,55.21,27.24,11.94
2017-03-11,黄山,37.07,0.59,26.47,84.03,32.85,13.0,13.04
2017-03-12,黄山,31.54,0.68,29.1,70.47,29.55,11.96,13.65
2017-03-13,黄山,26.49,0.64,22.74,75.69,19.17,7.61,12.94
2017-03-14,黄山,43.54,0.48,18.47,67.76,44.14,18.46,11.31
2017-03-15,黄山,40.64,0.45,21.13,70.46,40.15,17.12,11.04
2017-03-16,黄山,46.03,0.58,21.22,74.78,44.41,26.25,12.57
2017-03-17,黄山,47.49,0.69,26.91,66.14,48.63,25.17,12.78
2017-03-18,黄山,47.1,0.78,24.51,59.46,47.07,26.88,15.35
2017-03-19,黄山,41.99,0.77,25.46,61.99,43.17,21.01,13.49
2017-03-20,黄山,24.86,0.72,21.11,58.17,20.21,7.85,14.6
