time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,东营,311.15,3.14,81.02,22.02,375.82,278.41,85.33
2017-01-01,临沂,303.59,3.16,92.97,25.45,360.01,256.34,58.78
2017-01-01,乳山,178.0,3.36,56.63,18.94,209.65,135.03,15.03
2017-01-01,即墨,204.16,3.14,74.03,32.21,240.24,160.58,50.42
2017-01-01,威海,145.2,1.31,38.09,65.84,145.81,113.51,24.69
2017-01-01,寿光,285.06,3.2,82.11,16.94,295.19,233.31,51.44
2017-01-01,平度,246.61,2.24,89.16,20.61,259.87,197.39,47.39
2017-01-01,德州,300.93,3.74,68.0,4.49,383.89,262.15,34.42
2017-01-01,招远,272.14,3.83,72.68,21.05,292.5,222.14,30.77
2017-01-01,文登,144.24,1.64,34.95,78.73,138.1,111.77,15.46
2017-01-01,日照,244.68,2.51,76.91,27.51,259.86,203.18,38.55
2017-01-01,枣庄,221.2,1.56,47.39,38.96,284.49,178.92,32.35
2017-01-01,泰安,207.57,2.77,62.04,28.36,266.05,161.02,67.04
2017-01-01,济南,190.8,2.04,73.15,31.26,219.03,151.82,49.51
2017-01-01,济宁,237.0,2.32,78.91,21.45,229.58,189.13,81.95
2017-01-01,淄博,232.56,3.56,92.96,19.57,287.64,186.25,114.86
2017-01-01,滨州,360.38,4.54,119.38,13.96,426.77,318.76,106.11
2017-01-01,潍坊,279.48,2.37,74.6,19.62,326.99,241.55,49.35
2017-01-01,烟台,214.84,2.63,80.36,36.39,208.18,167.6,49.5
2017-01-01,章丘,195.78,1.53,53.43,48.56,219.76,146.46,36.14
2017-01-01,聊城,237.85,2.28,73.6,26.77,290.44,191.94,47.72
2017-01-01,胶州,225.76,2.08,75.21,39.95,214.17,176.16,37.79
2017-01-01,荣成,95.83,1.49,32.71,79.75,106.0,66.23,24.88
2017-01-01,莱州,233.21,2.71,62.84,34.53,252.05,183.47,30.05
2017-01-01,莱芜,280.37,2.48,68.11,11.61,335.91,226.67,89.93
2017-01-01,莱西,259.55,3.38,63.0,22.53,275.03,210.47,55.13
2017-01-01,菏泽,204.49,2.01,69.04,25.67,215.87,161.2,41.02
2017-01-01,蓬莱,229.14,2.68,47.94,39.26,240.97,182.71,24.23
2017-01-01,青岛,171.1,1.68,48.01,53.34,202.23,134.63,27.78
2017-01-02,东营,186.37,2.92,53.72,21.47,205.35,142.92,55.27
2017-01-02,临沂,312.84,3.02,100.96,28.74,370.66,259.43,69.33
2017-01-02,乳山,129.82,2.65,49.87,31.92,161.79,88.23,17.05
2017-01-02,即墨,227.65,3.42,69.62,10.2,266.43,179.9,39.52
2017-01-02,威海,194.97,2.44,53.12,42.58,188.77,149.07,17.25
2017-01-02,寿光,297.0,3.79,84.3,10.32,322.3,246.35,48.98
2017-01-02,平度,194.53,2.11,48.17,29.15,194.66,152.3,21.82
