time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,东营,311.15,3.14,81.02,22.02,375.82,278.41,85.33
2017-01-02,东营,186.37,2.92,53.72,21.47,205.35,142.92,55.27
2017-01-03,东营,248.61,4.31,72.83,15.96,265.38,198.67,59.06
2017-01-04,东营,157.28,2.92,57.87,19.41,182.08,118.87,51.23
2017-01-05,东营,148.52,2.22,50.57,24.54,166.78,109.45,44.91
2017-01-06,东营,88.97,1.77,58.46,26.07,108.74,62.25,39.21
2017-01-07,东营,70.19,1.44,41.89,31.31,82.25,46.04,35.63
2017-01-08,东营,110.59,1.86,36.7,41.93,112.54,82.97,43.14
2017-01-09,东营,120.66,2.0,45.0,33.48,124.33,80.52,48.56
2017-01-10,东营,91.79,1.83,47.14,36.16,106.98,57.38,58.45
2017-01-11,东营,144.76,2.51,76.4,26.82,184.07,105.65,97.64
2017-01-12,东营,290.21,3.01,86.45,20.64,337.12,239.62,92.32
2017-01-13,东营,137.15,1.98,51.8,34.59,155.73,94.27,57.44
2017-01-14,东营,61.75,1.36,39.73,41.52,76.83,25.68,49.03
2017-01-15,东营,45.42,1.2,31.97,45.35,47.95,21.42,33.82
2017-01-16,东营,80.38,1.23,44.82,28.81,93.47,55.43,56.36
2017-01-17,东营,181.62,1.93,56.54,23.69,204.28,140.49,95.65
2017-01-18,东营,216.08,2.7,64.8,23.63,244.42,172.96,66.54
2017-01-19,东营,194.9,2.46,55.19,32.77,227.21,136.79,62.29
2017-01-20,东营,41.92,0.89,26.73,59.29,43.38,12.0,31.9
2017-01-21,东营,91.92,1.27,43.49,35.24,106.44,54.62,56.14
2017-01-22,东营,41.58,0.69,27.22,46.97,42.23,18.17,34.49
2017-01-23,东营,65.71,1.09,44.58,38.62,73.35,45.33,51.01
2017-01-24,东营,86.83,1.18,41.86,45.21,96.97,63.81,39.03
2017-01-25,东营,233.22,2.08,52.58,42.56,238.51,185.88,86.74
2017-01-26,东营,211.16,1.96,34.51,40.27,223.73,167.9,62.24
2017-01-27,东营,66.46,0.9,16.74,63.55,69.84,35.74,38.41
2017-01-28,东营,95.14,1.31,22.5,44.15,107.17,67.7,50.68
2017-01-29,东营,91.91,1.17,19.96,43.57,101.13,62.58,39.09
2017-01-30,东营,35.35,0.7,12.86,63.76,33.65,14.61,27.96
2017-01-31,东营,89.96,1.28,35.15,48.4,86.64,66.04,67.65
2017-02-01,东营,68.92,0.81,21.49,61.38,72.07,38.96,44.07
2017-02-02,东营,102.39,1.37,46.33,50.94,103.8,75.47,80.33
2017-02-03,东营,235.82,2.18,70.36,45.53,230.19,186.89,107.74
2017-02-04,东营,206.43,1.64,45.98,25.83,196.57,160.61,75.97
2017-02-05,东营,196.42,1.72,36.29,40.77,191.6,153.02,68.06
2017-02-06,东营,77.11,0.9,23.25,54.71,76.94,46.82,34.1
2017-02-07,东营,40.36,0.67,15.04,65.91,40.74,20.04,27.99
2017-02-08,东营,87.08,1.54,36.25,38.25,93.73,62.79,49.54
2017-02-09,东营,56.75,0.7,15.75,60.78,65.57,16.08,32.71
2017-02-10,东营,48.61,0.81,24.15,52.25,51.29,17.57,33.92
2017-02-11,东营,77.64,1.03,40.68,49.2,84.26,52.17,53.07
2017-02-12,东营,132.07,1.46,56.64,42.54,140.65,99.52,72.07
2017-02-13,东营,190.44,1.62,67.25,36.99,197.54,148.85,76.25
2017-02-14,东营,160.65,1.6,50.61,39.21,163.81,123.38,41.62
2017-02-15,东营,200.67,1.63,56.12,64.21,218.65,156.31,59.89
2017-02-16,东营,180.24,1.53,40.79,55.96,195.9,121.13,63.51
2017-02-17,东营,54.68,0.7,24.74,58.82,59.82,20.45,27.02
2017-02-18,东营,119.42,1.36,53.78,33.0,151.39,88.91,65.29
2017-02-19,东营,183.74,1.36,47.19,49.82,230.51,141.03,66.92
2017-02-20,东营,71.04,0.61,11.57,69.22,94.74,15.67,19.39
2017-02-21,东营,49.25,0.68,25.17,57.96,52.71,20.85,21.49
2017-02-22,东营,97.48,0.91,24.71,55.39,90.75,72.09,30.7
2017-02-23,东营,84.99,1.15,35.9,47.12,83.62,54.89,31.65
2017-02-24,东营,86.83,1.32,63.57,38.44,103.65,61.2,67.53
2017-02-25,东营,99.07,1.31,61.65,38.99,111.18,67.85,68.99
2017-02-26,东营,102.83,1.36,64.99,41.09,114.09,74.56,79.54
2017-02-27,东营,143.26,1.58,72.69,46.11,162.55,107.22,100.18
2017-02-28,东营,171.68,1.69,70.32,56.58,205.0,131.06,99.54
2017-03-01,东营,129.54,1.38,48.56,43.76,149.51,83.99,47.76
2017-03-02,东营,75.9,1.01,49.86,38.17,97.0,42.13,72.86
2017-03-03,东营,104.92,1.3,55.82,51.1,148.42,72.85,70.04
2017-03-04,东营,183.39,1.4,54.56,52.11,205.41,142.53,63.78
2017-03-05,东营,80.54,0.86,22.65,62.58,94.85,48.17,32.07
2017-03-06,东营,87.33,1.08,43.53,48.62,116.4,49.82,60.78
2017-03-07,东营,50.18,0.83,27.5,54.35,54.28,23.79,40.96
2017-03-08,东营,72.67,1.06,39.16,48.43,90.04,39.75,67.46
2017-03-09,东营,81.41,1.08,50.33,48.95,107.03,50.78,76.58
2017-03-10,东营,119.73,1.64,67.79,63.43,153.9,85.39,109.17
2017-03-11,东营,161.92,1.56,62.49,76.4,206.61,125.27,75.36
2017-03-12,东营,98.35,0.84,18.93,68.91,113.5,52.25,31.3
2017-03-13,东营,62.97,0.86,39.54,50.72,75.28,23.74,38.16
2017-03-14,东营,87.51,1.24,54.53,51.85,117.47,55.14,80.23
2017-03-15,东营,71.99,1.05,45.65,78.36,89.1,45.46,51.03
2017-03-16,东营,103.35,1.28,54.23,76.59,143.96,73.9,90.26
2017-03-17,东营,130.69,1.37,61.29,74.17,174.69,97.13,77.6
2017-03-18,东营,165.3,1.45,57.13,98.98,212.25,124.79,72.11
2017-03-19,东营,171.15,1.47,47.34,107.07,210.72,131.49,66.25
2017-03-20,东营,116.69,1.25,32.1,101.41,141.66,78.66,52.34
2017-03-21,东营,60.54,1.0,28.09,74.36,71.22,25.27,48.7
2017-03-22,东营,82.59,1.21,38.4,74.89,110.87,52.76,68.51
2017-03-23,东营,84.36,1.12,27.79,82.03,110.76,55.8,43.66
2017-03-24,东营,80.75,1.12,34.43,56.83,98.95,55.25,35.33
