time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,乳山,178.0,3.36,56.63,18.94,209.65,135.03,15.03
2017-01-02,乳山,129.82,2.65,49.87,31.92,161.79,88.23,17.05
2017-01-03,乳山,151.85,3.19,54.98,27.61,179.39,114.37,15.09
2017-01-04,乳山,126.38,2.35,40.27,47.56,156.39,92.88,18.17
2017-01-05,乳山,38.15,1.15,24.3,53.74,37.09,18.28,10.51
2017-01-06,乳山,49.32,1.38,28.28,42.96,50.43,26.62,9.57
2017-01-07,乳山,53.34,1.4,29.14,33.18,51.47,36.7,4.7
2017-01-08,乳山,44.77,1.36,14.98,53.9,44.44,26.58,8.65
2017-01-09,乳山,61.62,1.5,18.8,50.93,53.58,41.27,10.96
2017-01-10,乳山,46.3,1.41,26.3,37.89,47.91,24.6,16.6
2017-01-11,乳山,52.36,1.7,33.11,35.04,51.93,27.7,14.11
2017-01-12,乳山,122.02,2.54,53.88,17.86,146.4,89.35,16.79
2017-01-13,乳山,67.91,1.62,27.64,42.82,76.32,44.93,16.98
2017-01-14,乳山,36.04,0.81,23.26,63.77,35.8,13.7,19.53
2017-01-15,乳山,32.15,0.91,26.21,54.6,35.06,15.73,24.98
2017-01-16,乳山,59.13,1.36,39.13,37.64,71.53,35.98,38.72
2017-01-17,乳山,108.17,2.06,46.11,26.98,110.2,80.09,22.91
2017-01-18,乳山,98.62,1.82,45.88,38.54,114.68,71.56,26.12
2017-01-19,乳山,117.53,1.93,48.36,32.49,136.33,85.36,14.49
2017-01-20,乳山,39.0,0.7,17.65,79.02,36.28,14.88,7.9
2017-01-21,乳山,57.11,1.38,36.3,59.43,59.91,33.45,19.49
2017-01-22,乳山,33.61,0.72,18.33,71.72,33.07,12.48,9.28
2017-01-23,乳山,41.26,0.83,27.15,60.55,37.73,22.4,15.53
2017-01-24,乳山,75.66,1.39,37.62,45.36,72.58,53.7,25.83
2017-01-25,乳山,92.19,1.85,40.58,43.1,100.13,66.17,23.56
2017-01-26,乳山,83.88,1.3,19.68,90.91,97.26,53.85,11.12
2017-01-27,乳山,55.48,0.47,9.82,86.14,58.02,16.64,15.77
2017-01-28,乳山,130.5,0.94,15.41,64.27,175.19,108.82,27.14
2017-01-29,乳山,40.76,0.7,12.41,66.87,41.16,20.39,5.87
2017-01-30,乳山,29.98,0.45,9.67,83.33,27.6,8.42,9.25
2017-01-31,乳山,36.88,1.01,17.42,69.67,33.62,17.23,15.35
2017-02-01,乳山,53.21,0.95,15.83,75.9,51.62,33.58,17.06
2017-02-02,乳山,43.77,1.03,21.31,70.62,44.17,19.08,22.77
2017-02-03,乳山,98.68,2.1,37.3,64.51,117.07,60.83,28.47
2017-02-04,乳山,112.51,2.15,35.07,30.76,131.53,91.46,12.04
2017-02-05,乳山,123.61,1.55,23.67,64.63,148.4,94.97,16.17
2017-02-06,乳山,33.28,0.67,16.68,74.74,30.29,12.85,12.89
2017-02-07,乳山,41.21,0.82,21.88,69.26,39.43,25.0,12.72
2017-02-08,乳山,37.4,0.7,16.6,71.16,37.2,17.0,17.44
2017-02-09,乳山,39.65,0.73,13.3,73.74,39.2,19.88,10.81
2017-02-10,乳山,41.89,0.49,11.55,72.86,42.93,15.61,7.34
2017-02-11,乳山,51.89,0.99,23.85,60.66,57.13,26.17,21.62
2017-02-12,乳山,63.59,1.02,24.41,59.89,68.2,41.24,15.76
2017-02-13,乳山,77.82,1.1,34.84,68.57,91.88,45.98,20.45
2017-02-14,乳山,62.53,0.78,26.29,69.29,64.97,42.58,14.29
2017-02-15,乳山,54.25,0.7,18.2,109.07,55.32,32.86,8.66
2017-02-16,乳山,57.68,0.59,18.08,106.0,62.97,29.95,4.08
2017-02-17,乳山,41.53,0.31,16.58,83.56,42.22,10.62,7.0
2017-02-18,乳山,55.0,0.8,29.46,60.12,58.52,26.31,14.6
2017-02-19,乳山,56.19,0.48,19.27,82.46,63.15,21.81,5.6
2017-02-20,乳山,63.83,0.28,9.0,88.83,81.74,13.98,5.98
2017-02-21,乳山,40.84,0.36,16.76,79.16,41.82,19.16,9.84
2017-02-22,乳山,45.47,0.52,19.04,75.34,37.89,27.87,6.43
2017-02-23,乳山,40.68,0.48,16.77,86.36,33.26,21.04,10.23
2017-02-24,乳山,67.31,1.1,39.84,59.0,59.68,40.82,24.0
2017-02-25,乳山,91.32,1.66,47.35,36.75,98.48,65.65,21.39
2017-02-26,乳山,50.51,0.84,28.79,60.33,47.74,32.49,18.46
2017-02-27,乳山,57.91,0.83,29.98,69.98,51.92,33.8,11.04
2017-02-28,乳山,73.76,0.65,29.07,96.04,73.51,45.47,10.27
2017-03-01,乳山,59.45,0.55,21.67,95.17,63.95,32.1,6.29
2017-03-02,乳山,42.89,0.47,21.94,87.0,44.39,14.11,9.81
2017-03-03,乳山,55.72,0.66,27.94,85.26,61.49,28.43,9.49
2017-03-04,乳山,73.42,0.99,33.77,70.12,83.5,51.1,5.02
2017-03-05,乳山,68.69,0.61,21.96,91.13,75.16,44.27,6.27
2017-03-06,乳山,44.6,0.51,25.04,82.76,44.68,15.93,14.62
2017-03-07,乳山,39.34,0.45,16.87,83.55,39.57,14.91,8.74
2017-03-08,乳山,47.98,0.85,30.04,59.89,48.18,22.16,11.73
2017-03-09,乳山,61.91,1.13,44.39,53.36,67.51,28.45,20.49
2017-03-10,乳山,75.4,1.43,44.95,70.37,88.4,48.77,19.95
2017-03-11,乳山,91.77,1.06,32.77,78.41,98.8,66.05,6.26
2017-03-12,乳山,57.06,0.68,25.55,99.91,61.67,30.15,8.83
2017-03-13,乳山,47.75,0.43,21.23,84.35,51.17,12.35,12.79
2017-03-14,乳山,47.67,0.65,29.31,86.81,48.98,21.04,21.33
2017-03-15,乳山,56.37,0.68,33.65,87.37,58.61,35.76,22.26
2017-03-16,乳山,62.92,0.87,40.98,87.31,66.06,43.29,15.27
2017-03-17,乳山,62.76,0.91,32.15,96.2,67.64,40.02,13.45
2017-03-18,乳山,51.44,0.68,26.81,102.21,49.77,31.23,10.58
2017-03-19,乳山,104.33,1.18,44.26,90.67,120.95,75.0,16.93
2017-03-20,乳山,108.34,1.04,48.69,79.93,132.18,78.14,19.55
2017-03-21,乳山,45.94,0.31,24.67,83.58,48.0,14.71,11.81
2017-03-22,乳山,46.44,0.5,29.62,77.08,45.56,21.9,15.48
2017-03-23,乳山,51.98,0.57,31.84,84.52,57.07,28.59,14.2
2017-03-24,乳山,60.42,0.55,30.48,85.88,68.2,38.75,19.83
2017-03-25,乳山,44.6,0.5,24.1,91.17,44.15,26.4,7.02
2017-03-26,乳山,65.29,1.07,29.25,76.38,64.14,46.42,10.56
2017-03-27,乳山,55.8,0.86,33.89,68.0,56.9,35.96,12.54
2017-03-28,乳山,57.66,0.92,38.96,53.6,68.23,34.32,10.09
2017-03-29,乳山,46.96,0.73,24.98,78.23,44.87,28.42,6.12
2017-03-30,乳山,57.92,0.72,30.85,91.38,62.44,36.73,11.81
2017-03-31,乳山,61.71,0.48,23.08,104.9,68.67,37.73,9.92
2017-04-01,乳山,69.89,0.78,34.02,117.09,78.93,35.96,19.15
2017-04-02,乳山,96.46,0.74,33.17,127.1,98.88,67.48,18.6
2017-04-03,乳山,77.3,0.86,28.17,148.72,92.04,51.43,11.89
2017-04-04,乳山,65.37,0.57,21.28,141.78,62.72,42.11,7.72
2017-04-05,乳山,38.88,0.47,18.96,113.12,25.77,15.67,3.48
2017-04-06,乳山,39.46,0.51,15.5,102.96,37.0,22.93,3.04
2017-04-07,乳山,44.48,0.58,16.33,111.17,37.88,25.29,3.0
2017-04-08,乳山,55.23,0.83,32.23,89.12,58.44,35.18,5.44
2017-04-09,乳山,50.27,0.49,26.5,83.79,61.46,11.02,8.35
2017-04-10,乳山,56.29,0.67,37.61,86.18,62.95,25.63,19.74
2017-04-11,乳山,53.94,0.69,27.71,99.88,71.25,21.83,13.38
2017-04-12,乳山,61.15,0.76,40.62,85.83,80.03,28.62,17.21
2017-04-13,乳山,77.12,0.98,40.04,116.1,90.85,46.75,11.25
2017-04-14,乳山,51.79,0.78,30.62,122.15,54.58,25.71,10.44
2017-04-15,乳山,63.02,0.78,29.84,133.41,63.68,31.46,9.2
2017-04-16,乳山,46.28,0.63,29.31,95.72,46.54,23.74,8.51
2017-04-17,乳山,37.61,0.57,19.41,105.65,30.22,18.0,5.39
2017-04-18,乳山,56.54,0.63,19.7,113.83,81.14,18.35,6.17
2017-04-19,乳山,66.23,0.66,30.83,93.58,82.04,18.38,10.23
2017-04-20,乳山,48.44,0.56,19.83,122.0,48.08,16.37,6.08
2017-04-21,乳山,48.27,0.71,28.52,90.52,49.58,22.14,7.0
2017-04-22,乳山,49.81,0.65,24.42,117.62,47.96,19.67,9.19
2017-04-23,乳山,58.46,0.64,15.52,152.4,52.6,21.58,7.71
2017-04-24,乳山,56.77,0.63,12.44,142.65,62.06,21.71,5.46
2017-04-25,乳山,50.6,0.8,24.88,100.19,49.63,29.92,5.79
2017-04-26,乳山,42.44,0.69,26.34,92.15,40.15,13.24,12.61
2017-04-27,乳山,42.13,0.87,27.53,94.82,42.37,13.0,10.32
2017-04-28,乳山,59.1,0.87,38.05,96.67,68.36,21.85,13.59
2017-04-29,乳山,76.76,1.01,42.74,117.41,88.63,36.25,15.41
2017-04-30,乳山,93.48,1.05,41.56,108.5,135.2,40.96,14.88
2017-05-01,乳山,90.5,0.68,28.09,103.7,130.46,28.04,13.26
