time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,即墨,204.16,3.14,74.03,32.21,240.24,160.58,50.42
2017-01-02,即墨,227.65,3.42,69.62,10.2,266.43,179.9,39.52
2017-01-03,即墨,177.21,2.95,83.89,23.57,222.36,141.02,42.53
2017-01-04,即墨,262.58,3.08,71.29,25.23,305.35,214.73,38.69
2017-01-05,即墨,59.06,0.8,33.62,44.9,66.26,39.04,18.54
2017-01-06,即墨,56.25,0.77,31.29,45.54,61.72,35.96,21.69
2017-01-07,即墨,46.46,0.59,22.93,51.3,31.9,31.3,8.54
2017-01-08,即墨,71.54,0.91,25.17,41.9,64.87,51.98,15.58
2017-01-09,即墨,107.54,1.34,41.33,29.2,119.16,75.7,26.74
2017-01-10,即墨,91.48,1.25,46.38,26.0,105.15,62.62,36.75
2017-01-11,即墨,95.46,1.68,62.9,19.94,122.9,66.9,44.06
2017-01-12,即墨,216.04,2.74,78.65,17.15,256.33,170.3,66.52
2017-01-13,即墨,169.71,2.14,56.62,28.04,203.74,128.27,47.67
2017-01-14,即墨,64.46,0.91,37.17,34.81,76.53,35.56,31.69
2017-01-15,即墨,51.21,0.86,35.81,33.06,57.73,30.9,27.69
2017-01-16,即墨,81.06,1.57,43.65,28.38,89.74,57.46,33.83
2017-01-17,即墨,105.47,2.15,57.4,22.45,125.94,76.64,41.64
2017-01-18,即墨,163.17,2.61,58.52,24.65,187.0,125.0,47.04
2017-01-19,即墨,179.71,2.49,57.96,16.54,212.19,138.73,38.08
2017-01-20,即墨,43.54,0.69,19.67,59.31,44.17,22.54,18.94
2017-01-21,即墨,70.69,1.26,45.52,36.08,80.92,47.27,36.5
2017-01-22,即墨,48.27,0.86,28.38,41.9,51.27,27.0,20.71
2017-01-23,即墨,55.67,1.2,34.1,43.83,56.96,37.27,24.06
2017-01-24,即墨,89.42,1.62,37.56,42.46,92.5,64.21,31.75
2017-01-25,即墨,119.31,1.96,48.6,41.94,123.1,88.23,39.17
2017-01-26,即墨,134.09,1.47,31.74,62.68,145.09,102.15,26.21
2017-01-27,即墨,80.1,0.74,16.08,60.58,94.32,49.6,18.21
2017-01-28,即墨,82.52,0.91,22.89,50.09,87.26,57.34,24.27
2017-01-29,即墨,38.76,0.48,9.52,59.83,40.55,24.26,7.46
2017-01-30,即墨,34.67,0.5,8.92,65.9,33.13,12.4,10.38
2017-01-31,即墨,59.33,1.31,29.4,41.38,62.62,39.71,31.71
2017-02-01,即墨,74.34,0.99,24.0,50.6,79.48,48.17,22.62
2017-02-02,即墨,56.58,1.11,33.94,46.48,63.79,36.9,31.75
2017-02-03,即墨,131.69,2.12,49.98,46.29,149.7,100.19,37.54
2017-02-04,即墨,112.3,1.62,38.28,26.87,111.78,84.11,24.37
2017-02-05,即墨,219.52,1.87,37.94,39.06,233.06,173.58,33.98
2017-02-06,即墨,65.5,0.87,23.9,49.73,69.12,41.98,20.35
2017-02-07,即墨,47.47,0.6,19.96,58.02,49.73,29.98,17.78
2017-02-08,即墨,52.58,0.58,17.27,58.29,57.04,31.56,18.31
2017-02-09,即墨,55.44,0.69,22.35,52.29,61.38,23.12,15.77
2017-02-10,即墨,52.88,0.8,25.58,47.75,58.17,24.92,22.06
2017-02-11,即墨,91.85,1.27,41.92,36.92,118.67,58.42,47.23
2017-02-12,即墨,106.46,1.73,40.38,51.67,118.65,78.27,43.62
2017-02-13,即墨,154.12,1.39,44.5,64.38,174.83,112.25,36.81
2017-02-14,即墨,103.98,1.11,39.15,53.67,110.88,74.46,31.46
2017-02-15,即墨,82.02,0.84,31.19,104.55,98.93,55.0,27.44
2017-02-16,即墨,121.21,0.98,43.62,64.89,140.65,90.77,22.3
2017-02-17,即墨,46.46,0.39,19.02,66.06,49.56,17.96,16.56
2017-02-18,即墨,78.31,1.22,45.58,43.4,102.24,50.0,29.44
2017-02-19,即墨,100.42,0.85,39.15,53.69,123.96,70.33,18.23
2017-02-20,即墨,83.5,0.41,16.67,65.1,108.15,31.48,14.5
2017-02-21,即墨,44.4,0.48,16.19,67.21,45.06,19.08,14.25
2017-02-22,即墨,56.81,0.66,20.62,64.45,52.33,40.11,14.45
2017-02-23,即墨,90.1,1.09,30.92,55.88,90.27,63.06,16.88
2017-02-24,即墨,93.29,1.82,60.85,39.9,114.98,66.67,37.67
2017-02-25,即墨,131.29,2.05,56.4,44.62,161.93,97.54,45.15
2017-02-26,即墨,64.98,1.14,36.92,50.48,70.83,40.77,26.11
2017-02-27,即墨,74.89,0.84,39.72,68.24,88.09,51.13,23.07
2017-02-28,即墨,119.09,1.12,41.76,98.02,140.42,88.33,22.22
2017-03-01,即墨,106.27,0.8,29.35,71.08,112.26,77.28,15.9
2017-03-02,即墨,61.91,0.74,37.26,52.09,73.22,34.04,19.87
2017-03-03,即墨,88.34,1.02,45.04,61.72,114.6,58.53,25.0
2017-03-04,即墨,121.52,1.41,50.85,55.58,146.19,88.58,26.15
2017-03-05,即墨,95.85,0.77,27.19,62.88,105.96,65.44,14.92
2017-03-06,即墨,70.45,0.87,41.04,52.26,86.98,43.19,31.02
2017-03-07,即墨,52.35,0.57,20.4,68.98,57.02,29.08,12.77
2017-03-08,即墨,71.58,1.03,47.44,43.71,88.91,39.98,28.13
2017-03-09,即墨,86.43,1.19,53.28,51.72,115.57,57.0,36.3
2017-03-10,即墨,93.02,1.33,52.94,65.55,123.06,64.13,29.94
2017-03-11,即墨,131.29,1.12,51.73,84.11,157.18,94.93,23.33
2017-03-12,即墨,81.62,0.63,25.87,92.96,96.85,52.23,12.11
2017-03-13,即墨,61.02,0.5,24.96,61.71,73.85,22.06,10.88
2017-03-14,即墨,75.0,0.86,39.11,64.53,95.94,47.23,22.94
2017-03-15,即墨,64.74,0.66,37.15,71.72,77.71,38.54,16.17
2017-03-16,即墨,83.15,0.87,58.93,65.54,107.42,53.61,20.72
2017-03-17,即墨,76.91,0.88,47.57,86.77,99.77,46.82,18.75
2017-03-18,即墨,70.87,0.68,50.87,73.5,85.58,45.61,16.78
2017-03-19,即墨,96.79,0.97,40.15,92.91,129.36,66.74,16.81
2017-03-20,即墨,119.98,0.88,39.94,89.74,142.23,89.6,14.19
2017-03-21,即墨,65.02,0.51,27.68,62.32,78.81,30.36,12.79
2017-03-22,即墨,62.06,0.58,35.74,63.66,74.4,30.3,11.02
2017-03-23,即墨,57.44,0.5,30.25,78.65,66.81,31.0,10.02
2017-03-24,即墨,49.17,0.45,26.21,83.73,52.17,25.29,8.12
2017-03-25,即墨,58.02,0.7,29.85,57.56,56.61,39.02,8.21
2017-03-26,即墨,94.44,0.96,43.94,45.35,96.83,67.08,15.33
2017-03-27,即墨,71.28,0.88,45.09,48.33,83.8,44.85,18.13
2017-03-28,即墨,42.8,0.5,23.43,79.69,40.93,25.69,6.47
2017-03-29,即墨,69.02,0.76,43.45,63.15,72.06,48.27,10.33
2017-03-30,即墨,79.47,0.8,47.85,62.34,94.02,55.4,14.04
2017-03-31,即墨,77.33,0.56,24.5,91.19,82.33,46.94,9.88
2017-04-01,即墨,105.42,1.13,55.21,84.16,136.67,71.98,27.28
2017-04-02,即墨,131.51,1.1,54.2,84.11,161.82,91.49,24.09
2017-04-03,即墨,90.53,0.88,42.44,120.22,119.64,59.8,20.16
2017-04-04,即墨,68.51,0.58,23.53,135.3,82.21,36.4,9.51
2017-04-05,即墨,43.33,0.44,19.69,102.4,36.14,25.0,5.93
2017-04-06,即墨,88.27,0.76,33.58,86.51,95.42,63.69,8.36
2017-04-07,即墨,76.3,0.83,36.21,71.7,87.45,52.87,6.26
2017-04-08,即墨,106.13,0.85,41.71,59.58,122.76,78.07,7.71
2017-04-09,即墨,65.57,0.54,26.74,63.36,77.68,24.96,8.43
2017-04-10,即墨,72.34,0.69,49.96,62.09,94.26,36.72,15.04
2017-04-11,即墨,65.85,0.64,31.79,71.85,77.3,29.19,11.7
2017-04-12,即墨,87.47,0.84,53.85,67.38,126.37,39.64,15.51
2017-04-13,即墨,93.52,0.88,43.61,105.91,131.33,56.52,14.02
2017-04-14,即墨,63.53,0.67,36.82,93.91,80.07,32.83,10.36
2017-04-15,即墨,81.77,0.74,36.33,114.94,107.09,45.85,9.98
2017-04-16,即墨,88.55,0.78,37.91,134.19,113.79,55.15,11.06
2017-04-17,即墨,73.38,0.63,31.83,113.54,76.53,43.4,10.17
2017-04-18,即墨,101.09,0.62,26.53,90.44,147.42,36.82,9.51
2017-04-19,即墨,84.58,0.51,44.04,75.98,118.73,27.25,11.25
2017-04-20,即墨,60.44,0.42,22.71,96.69,70.75,22.83,6.15
2017-04-21,即墨,61.48,0.45,25.27,89.85,72.69,29.5,7.44
2017-04-22,即墨,81.94,0.61,43.38,89.35,105.42,46.71,14.73
2017-04-23,即墨,79.94,0.5,22.75,139.88,103.0,36.42,8.83
2017-04-24,即墨,87.21,0.59,34.4,132.15,120.79,45.5,12.35
2017-04-25,即墨,86.04,0.66,34.08,89.42,113.81,55.83,10.96
2017-04-26,即墨,54.6,0.47,22.4,84.48,56.56,25.44,8.4
2017-04-27,即墨,73.88,0.68,55.41,55.56,98.18,38.35,18.21
2017-04-28,即墨,83.9,0.58,62.1,51.4,117.4,37.5,22.5
2017-04-29,即墨,107.33,0.81,80.27,103.0,154.73,58.87,20.07
2017-04-30,即墨,117.6,0.68,45.52,126.66,175.57,59.0,18.46
2017-05-01,即墨,114.52,0.46,18.67,133.63,178.57,43.65,7.48
2017-05-02,即墨,75.16,0.51,33.18,91.8,103.6,29.14,7.16
2017-05-03,即墨,41.81,0.4,8.08,94.4,40.35,19.79,4.02
2017-05-04,即墨,39.96,0.46,13.4,95.57,35.75,19.81,4.81
2017-05-05,即墨,109.54,0.48,21.08,79.52,136.83,41.38,6.31
2017-05-06,即墨,136.52,0.54,40.33,95.92,221.77,49.6,12.23
2017-05-07,即墨,205.54,0.7,40.96,144.65,322.1,95.31,19.75
2017-05-08,即墨,114.29,0.62,29.52,130.4,184.52,56.49,13.08
2017-05-09,即墨,39.02,0.3,7.94,120.23,16.44,8.12,1.96
2017-05-10,即墨,52.9,0.52,25.56,100.88,59.3,23.65,6.33
2017-05-11,即墨,92.85,0.78,44.23,123.12,130.96,50.04,14.77
2017-05-12,即墨,200.94,0.46,28.0,98.94,310.27,69.04,7.9
2017-05-13,即墨,90.79,0.5,18.52,112.54,130.4,37.15,6.69
2017-05-14,即墨,70.08,0.46,31.77,84.19,92.02,26.25,11.58
2017-05-15,即墨,66.56,0.57,40.28,92.81,79.23,28.58,12.28
2017-05-16,即墨,83.56,0.68,32.67,138.23,97.58,37.02,14.73
2017-05-17,即墨,85.17,0.59,22.91,173.91,80.61,33.46,9.39
2017-05-18,即墨,94.21,0.61,21.85,202.77,83.69,34.29,9.79
2017-05-19,即墨,61.9,0.49,19.83,156.96,58.94,26.52,7.88
2017-05-20,即墨,48.25,0.39,13.16,120.8,47.82,19.75,4.5
2017-05-21,即墨,44.34,0.4,10.64,94.67,43.65,22.7,4.32
2017-05-22,即墨,46.08,0.38,12.75,82.34,45.71,21.53,4.44
2017-05-23,即墨,33.43,0.36,14.79,98.96,24.56,16.19,5.96
2017-05-24,即墨,67.25,0.54,30.62,133.88,53.5,26.75,12.15
2017-05-25,即墨,60.0,0.53,28.35,131.92,67.79,26.91,18.58
2017-05-26,即墨,60.0,0.39,33.87,112.67,61.78,22.24,11.26
2017-05-27,即墨,80.25,0.56,30.92,157.84,81.1,31.33,14.94
2017-05-28,即墨,98.04,0.53,29.65,181.04,92.67,35.15,10.54
2017-05-29,即墨,101.85,0.61,27.44,206.58,84.31,38.08,12.08
2017-05-30,即墨,58.81,0.42,17.69,133.46,56.89,24.52,5.98
2017-05-31,即墨,67.06,0.52,23.5,127.23,73.57,34.11,8.56
2017-06-01,即墨,50.95,0.32,9.34,139.16,44.37,22.3,3.55
2017-06-02,即墨,46.81,0.21,13.44,105.85,49.17,13.93,3.75
2017-06-03,即墨,39.48,0.24,13.85,106.96,34.57,11.84,3.5
2017-06-04,即墨,48.85,0.32,26.88,101.54,48.94,19.25,10.27
2017-06-05,即墨,48.85,0.31,19.31,113.9,47.04,17.24,5.42
2017-06-06,即墨,39.15,0.28,8.23,123.12,16.38,9.17,2.25
2017-06-07,即墨,53.27,0.49,24.42,111.46,50.0,25.73,5.23
2017-06-08,即墨,91.07,0.76,34.59,162.74,84.57,43.7,10.2
2017-06-09,即墨,93.9,0.59,32.29,186.36,82.62,39.27,12.19
2017-06-10,即墨,62.75,0.31,13.79,136.21,63.75,24.17,4.42
2017-06-11,即墨,52.79,0.22,23.9,103.52,53.98,17.77,6.0
2017-06-12,即墨,55.92,0.33,39.27,79.85,61.96,23.29,7.73
2017-06-13,即墨,52.62,0.37,29.04,92.4,55.38,19.92,7.81
2017-06-14,即墨,67.98,0.41,26.48,116.85,59.58,25.58,8.96
2017-06-15,即墨,110.88,0.7,29.18,226.58,98.68,45.48,17.61
2017-06-16,即墨,123.87,0.89,28.68,238.51,130.26,63.45,19.3
2017-06-17,即墨,85.4,0.61,24.31,188.91,69.36,33.73,9.49
2017-06-18,即墨,57.17,0.41,14.38,147.23,51.85,24.62,4.6
2017-06-19,即墨,43.31,0.33,8.19,106.38,42.54,21.68,3.44
2017-06-20,即墨,41.81,0.47,10.48,90.52,39.67,20.41,3.04
2017-06-21,即墨,51.48,0.43,17.46,104.69,50.96,23.1,3.88
2017-06-22,即墨,35.94,0.39,9.83,95.75,30.91,15.19,3.88
2017-06-23,即墨,34.19,0.38,8.23,100.77,25.0,11.92,3.25
2017-06-24,即墨,38.27,0.72,13.56,91.44,32.12,15.42,3.52
2017-06-25,即墨,41.4,0.53,16.67,85.58,37.57,19.38,3.92
2017-06-26,即墨,51.15,0.58,22.15,105.1,44.28,23.12,5.15
2017-06-27,即墨,54.56,0.55,25.81,94.75,54.71,25.69,11.06
2017-06-28,即墨,47.1,0.48,12.36,106.33,46.11,25.36,4.02
2017-06-29,即墨,82.98,0.74,14.38,157.22,89.34,49.09,3.24
2017-06-30,即墨,42.21,0.5,10.96,126.35,35.77,18.26,2.46
2017-07-01,即墨,40.63,0.5,10.91,109.74,33.2,16.18,3.3
2017-07-02,即墨,41.6,0.55,10.25,73.98,42.2,22.2,3.17
2017-07-03,即墨,50.89,0.64,14.67,98.17,50.23,26.5,3.48
2017-07-04,即墨,61.77,0.67,14.56,97.08,68.33,33.96,2.58
2017-07-05,即墨,63.94,0.62,9.4,111.02,71.28,39.55,3.86
2017-07-06,即墨,72.52,0.64,9.23,132.33,80.78,44.6,3.08
2017-07-07,即墨,41.62,0.61,14.45,85.29,45.15,20.5,3.83
2017-07-08,即墨,56.02,0.66,16.72,102.24,57.36,29.0,4.96
2017-07-09,即墨,41.4,0.55,14.08,61.12,41.62,21.02,4.19
2017-07-10,即墨,78.0,0.75,28.69,115.1,75.33,37.15,17.79
2017-07-11,即墨,92.23,0.66,28.62,145.5,97.44,40.21,7.23
2017-07-12,即墨,67.83,0.66,14.2,144.91,76.2,31.33,3.3
2017-07-13,即墨,72.31,0.6,14.54,138.25,75.22,32.81,2.54
2017-07-14,即墨,63.29,0.6,16.44,128.12,60.28,26.0,3.88
2017-07-15,即墨,28.15,0.45,13.15,71.93,24.64,10.16,2.63
2017-07-16,即墨,44.3,0.42,7.86,101.61,41.72,18.77,2.16
2017-07-17,即墨,70.17,0.71,20.73,128.29,80.84,37.83,5.29
2017-07-18,即墨,86.67,0.8,23.79,134.85,106.67,45.12,5.1
2017-07-19,即墨,68.42,0.61,17.48,134.21,73.48,33.62,8.71
2017-07-20,即墨,63.85,0.57,15.42,140.54,68.0,31.75,3.46
2017-07-21,即墨,68.98,0.65,22.92,137.42,60.54,27.83,6.06
2017-07-22,即墨,68.17,0.62,25.38,139.27,66.73,31.77,7.33
2017-07-23,即墨,110.54,0.82,25.9,132.6,124.11,52.0,4.88
2017-07-24,即墨,76.33,0.72,22.15,120.19,84.74,38.07,6.69
2017-07-25,即墨,69.48,0.79,16.15,129.58,60.98,29.56,5.67
2017-07-26,即墨,51.4,0.45,17.26,124.11,39.49,15.54,6.13
2017-07-27,即墨,49.52,0.64,15.75,94.35,52.29,25.07,3.48
2017-07-28,即墨,47.53,0.57,11.81,93.3,47.58,22.57,3.45
