time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,平度,246.61,2.24,89.16,20.61,259.87,197.39,47.39
2017-01-02,平度,194.53,2.11,48.17,29.15,194.66,152.3,21.82
2017-01-03,平度,205.73,2.5,72.73,30.54,207.91,168.49,33.98
2017-01-04,平度,213.62,2.62,56.79,40.19,211.55,167.96,23.38
2017-01-05,平度,79.62,0.73,30.36,55.87,77.65,53.21,18.7
2017-01-06,平度,60.33,0.71,45.39,40.59,67.24,39.2,31.41
2017-01-07,平度,58.22,0.58,32.02,46.15,51.45,42.24,11.04
2017-01-08,平度,78.37,0.96,31.76,43.87,68.68,57.5,15.13
2017-01-09,平度,110.98,1.29,45.0,34.65,109.61,76.83,24.65
2017-01-10,平度,88.71,1.29,47.21,34.85,94.06,61.0,28.29
2017-01-11,平度,108.0,1.63,52.06,35.0,115.42,79.77,30.4
2017-01-12,平度,230.98,2.41,76.3,22.07,250.27,186.73,63.59
2017-01-13,平度,125.13,2.02,50.09,35.66,131.07,91.02,34.45
2017-01-14,平度,63.54,1.13,36.25,39.15,72.88,32.15,35.52
2017-01-15,平度,37.15,1.02,33.15,31.88,37.16,22.62,22.94
2017-01-16,平度,50.67,0.92,32.12,37.46,53.17,34.41,24.92
2017-01-17,平度,106.71,1.63,56.74,28.37,122.11,79.45,43.76
2017-01-18,平度,195.12,2.12,64.65,22.1,196.83,156.28,42.1
2017-01-19,平度,142.21,1.97,48.31,30.29,146.36,109.51,29.52
2017-01-20,平度,43.92,0.76,18.19,63.29,41.73,24.83,26.31
2017-01-21,平度,71.73,1.11,37.62,43.6,73.42,48.52,35.48
2017-01-22,平度,42.1,0.89,24.96,48.38,40.69,25.19,23.83
2017-01-23,平度,60.69,1.51,37.88,40.04,58.16,41.29,29.98
2017-01-24,平度,92.0,1.47,41.12,51.06,84.04,67.6,32.21
2017-01-25,平度,127.04,2.04,47.98,46.06,122.23,95.98,36.4
2017-01-26,平度,146.82,1.49,31.0,57.68,143.71,114.09,22.71
2017-01-27,平度,77.25,0.9,14.77,67.46,79.75,49.21,24.0
2017-01-28,平度,74.67,0.77,20.55,52.02,68.86,53.26,25.7
2017-01-29,平度,46.6,0.58,9.17,65.5,52.27,30.07,12.37
2017-01-30,平度,35.25,0.53,11.44,67.85,33.57,14.42,17.69
2017-01-31,平度,58.29,1.64,23.15,56.73,57.73,39.65,31.35
2017-02-01,平度,64.26,,17.49,62.28,63.19,38.36,22.11
2017-02-02,平度,61.06,1.22,30.88,56.56,69.43,41.54,34.77
2017-02-03,平度,137.19,1.67,44.15,45.6,140.75,110.81,30.38
2017-02-04,平度,115.04,1.12,35.61,36.65,111.6,100.17,28.61
2017-02-05,平度,234.04,1.76,38.5,44.48,224.87,186.94,40.21
2017-02-06,平度,71.21,0.7,27.53,55.23,72.38,45.96,26.02
2017-02-07,平度,44.57,0.38,18.67,65.9,45.24,25.64,30.05
2017-02-08,平度,47.56,0.51,17.85,62.69,47.92,28.4,19.71
2017-02-09,平度,55.42,0.59,21.85,60.94,60.23,22.69,16.62
2017-02-10,平度,47.08,0.75,21.56,62.17,50.31,20.52,20.0
2017-02-11,平度,114.64,1.51,41.64,40.66,96.07,104.37,55.43
2017-02-12,平度,102.6,1.33,39.31,52.42,110.08,76.1,33.9
2017-02-13,平度,176.88,1.65,52.92,57.17,146.33,136.62,43.69
2017-02-14,平度,91.0,1.25,39.61,58.48,76.69,65.13,22.2
2017-02-15,平度,94.65,0.92,37.79,92.35,103.79,70.1,23.67
2017-02-16,平度,128.33,0.97,36.05,65.16,132.74,94.86,18.63
2017-02-17,平度,49.32,0.53,19.34,73.57,52.62,19.91,15.7
2017-02-18,平度,81.96,1.38,53.83,38.29,100.66,57.6,31.5
2017-02-19,平度,112.94,0.98,44.94,50.94,120.65,84.31,19.96
2017-02-20,平度,70.0,0.42,10.77,80.44,92.29,20.09,11.21
2017-02-21,平度,44.4,0.56,22.31,70.42,42.41,24.33,13.73
2017-02-22,平度,63.54,0.6,19.12,76.38,47.42,45.89,11.21
2017-02-23,平度,107.52,1.06,33.27,55.79,78.61,77.62,20.31
2017-02-24,平度,84.71,1.58,54.67,49.4,90.62,61.75,41.31
2017-02-25,平度,84.5,1.53,48.6,55.27,84.54,59.81,42.83
2017-02-26,平度,48.02,1.17,40.85,55.06,49.72,27.48,20.67
2017-02-27,平度,91.4,1.2,54.96,49.64,104.2,67.49,29.38
