time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,文登,144.24,1.64,34.95,78.73,138.1,111.77,15.46
2017-01-02,文登,176.05,2.61,61.38,44.42,169.82,133.28,13.7
2017-01-03,文登,154.07,2.88,56.24,54.18,156.88,121.9,16.6
2017-01-04,文登,140.2,1.83,41.35,69.63,133.23,106.48,17.5
2017-01-05,文登,33.79,0.82,29.58,63.62,31.3,18.71,8.69
2017-01-06,文登,46.58,0.96,39.98,47.15,45.14,29.79,11.48
2017-01-07,文登,63.84,1.17,44.49,41.78,61.47,45.69,9.31
2017-01-08,文登,44.52,0.83,21.5,74.9,38.5,30.73,7.02
2017-01-09,文登,34.96,0.76,19.61,69.37,33.51,18.07,8.8
2017-01-10,文登,34.83,0.66,22.71,61.04,34.44,18.04,14.35
2017-01-11,文登,42.5,0.66,25.1,62.23,42.54,26.35,14.15
2017-01-12,文登,123.9,1.3,41.96,48.33,115.33,92.9,22.06
2017-01-13,文登,47.02,0.73,23.04,61.02,43.59,29.19,11.31
2017-01-14,文登,32.38,0.55,16.12,63.5,31.52,10.71,9.56
2017-01-15,文登,24.4,0.57,13.75,59.85,20.27,10.67,7.56
2017-01-16,文登,56.79,0.93,22.81,46.1,49.42,39.4,10.08
2017-01-17,文登,94.04,1.28,26.6,47.57,80.21,69.94,13.29
2017-01-18,文登,120.62,1.45,33.67,41.67,113.2,90.5,16.35
2017-01-19,文登,114.08,1.44,37.33,45.88,105.74,85.1,14.44
2017-01-20,文登,39.48,0.52,9.23,76.98,42.06,11.69,6.5
2017-01-21,文登,47.27,0.75,17.29,75.69,42.05,29.83,14.52
2017-01-22,文登,40.06,0.54,8.58,77.5,38.58,10.25,5.25
2017-01-23,文登,37.5,0.71,14.89,75.85,27.02,21.59,10.78
2017-01-24,文登,56.1,1.05,28.27,53.31,45.51,38.08,14.12
2017-01-25,文登,90.33,1.25,29.19,63.71,88.45,66.21,12.04
2017-01-26,文登,101.44,1.0,16.97,106.38,94.44,74.71,8.06
2017-01-27,文登,46.96,0.55,11.69,82.94,49.0,18.98,6.21
2017-01-28,文登,58.51,0.65,9.83,73.15,54.78,39.54,9.83
2017-01-29,文登,41.52,0.79,15.22,66.61,34.75,26.76,4.43
2017-01-30,文登,31.98,0.56,10.81,81.33,29.33,7.83,3.29
2017-01-31,文登,33.73,0.77,10.81,71.98,25.05,18.92,7.38
2017-02-01,文登,52.35,0.86,11.65,77.88,47.17,30.52,13.04
2017-02-02,文登,43.69,0.87,14.96,75.98,35.93,26.5,10.56
2017-02-03,文登,108.5,1.42,24.44,83.06,93.78,80.98,16.1
2017-02-04,文登,77.46,1.3,23.22,62.57,72.21,56.91,4.41
2017-02-05,文登,178.08,1.68,27.02,62.9,152.28,137.46,14.88
2017-02-06,文登,34.58,0.67,14.0,83.85,33.56,12.48,7.23
2017-02-07,文登,38.0,0.81,16.6,77.62,35.34,22.48,10.4
2017-02-08,文登,45.54,0.76,14.21,75.94,44.31,25.79,8.71
2017-02-09,文登,46.94,0.67,6.1,86.67,49.62,15.75,4.38
2017-02-10,文登,45.31,0.73,8.83,83.38,48.0,13.77,4.88
2017-02-11,文登,62.25,0.86,17.35,72.46,55.85,38.23,14.29
2017-02-12,文登,46.62,0.72,16.72,70.62,36.34,29.03,7.97
2017-02-13,文登,91.52,1.03,30.3,81.39,78.77,66.52,15.2
2017-02-14,文登,92.9,0.83,25.67,89.83,78.68,68.9,10.98
2017-02-15,文登,62.02,0.64,13.52,127.6,55.51,44.19,7.19
2017-02-16,文登,66.21,0.64,18.27,115.62,63.07,46.25,6.23
2017-02-17,文登,43.33,0.43,26.98,91.65,43.29,9.21,5.08
2017-02-18,文登,45.5,0.66,19.02,83.6,45.53,25.5,11.54
2017-02-19,文登,63.64,0.7,18.5,85.26,61.73,39.56,6.76
2017-02-20,文登,72.54,0.58,32.06,85.58,94.46,18.17,5.94
2017-02-21,文登,41.52,0.69,17.98,84.94,42.07,20.27,7.62
2017-02-22,文登,42.72,0.81,21.2,78.09,36.02,27.24,5.61
2017-02-23,文登,35.33,0.45,15.94,95.38,28.71,12.31,6.52
2017-02-24,文登,50.62,0.66,22.0,83.69,47.63,32.65,14.6
2017-02-25,文登,70.98,1.0,30.75,61.27,59.0,49.49,15.77
2017-02-26,文登,49.46,0.81,24.33,59.75,45.36,31.35,10.17
2017-02-27,文登,50.15,0.72,19.15,90.4,46.98,34.6,8.91
2017-02-28,文登,73.38,0.76,23.0,108.23,76.64,49.1,10.27
2017-03-01,文登,71.81,0.66,17.31,99.98,80.5,40.02,5.98
2017-03-02,文登,50.37,0.47,12.37,89.3,53.93,18.04,7.26
2017-03-03,文登,60.89,0.61,16.13,99.79,70.7,35.4,8.47
2017-03-04,文登,79.0,0.77,24.88,105.79,90.1,52.83,7.69
2017-03-05,文登,66.52,0.59,17.38,93.44,76.69,38.4,5.4
2017-03-06,文登,44.79,0.44,14.13,85.0,44.89,15.72,7.81
2017-03-07,文登,41.0,0.43,9.71,84.9,41.15,14.35,5.81
2017-03-08,文登,49.52,0.64,17.38,73.76,51.57,20.56,12.26
2017-03-09,文登,84.16,0.89,31.7,66.57,74.78,55.43,20.09
