time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,枣庄,221.2,1.56,47.39,38.96,284.49,178.92,32.35
2017-01-02,枣庄,243.46,1.81,60.35,46.99,286.17,193.5,51.71
2017-01-03,枣庄,262.43,2.57,70.32,32.01,320.85,210.46,37.59
2017-01-04,枣庄,283.2,2.3,60.71,49.39,346.75,230.5,38.38
2017-01-05,枣庄,126.85,1.26,31.16,58.47,142.67,94.72,18.04
2017-01-06,枣庄,80.16,0.83,35.6,45.91,94.7,56.59,27.5
2017-01-07,枣庄,59.05,0.71,30.45,39.77,57.6,40.61,17.01
2017-01-08,枣庄,92.62,1.18,38.67,34.73,95.33,68.16,29.52
2017-01-09,枣庄,186.53,1.66,46.8,30.78,228.96,143.84,41.34
2017-01-10,枣庄,200.99,1.7,50.74,31.17,250.81,156.67,50.0
2017-01-11,枣庄,181.8,1.34,42.75,41.22,227.44,138.23,39.3
2017-01-12,枣庄,215.28,1.55,43.28,34.41,273.23,167.05,39.43
2017-01-13,枣庄,173.69,1.52,40.13,31.33,215.0,129.64,48.26
2017-01-14,枣庄,83.7,0.82,34.26,38.64,111.8,51.88,35.29
2017-01-15,枣庄,77.17,0.58,23.51,49.42,100.39,47.96,23.11
2017-01-16,枣庄,99.72,0.76,30.5,48.2,133.12,72.36,32.84
2017-01-17,枣庄,93.17,0.76,31.86,49.02,124.08,66.29,27.38
2017-01-18,枣庄,175.27,1.15,37.79,42.39,212.83,133.43,33.42
2017-01-19,枣庄,215.11,1.23,37.86,41.34,287.09,155.77,36.26
2017-01-20,枣庄,66.03,0.47,17.39,63.0,80.72,27.12,26.88
2017-01-21,枣庄,104.98,0.78,35.58,39.73,146.96,72.47,47.21
2017-01-22,枣庄,123.78,1.12,42.53,29.9,173.97,91.9,49.08
2017-01-23,枣庄,111.07,0.93,32.3,45.27,147.43,80.74,52.71
2017-01-24,枣庄,93.5,0.72,23.38,53.91,116.91,67.68,29.93
2017-01-25,枣庄,114.24,0.85,26.22,61.62,142.53,85.02,29.91
2017-01-26,枣庄,146.26,0.95,23.14,65.66,174.71,109.55,28.74
2017-01-27,枣庄,106.99,0.89,16.03,79.67,138.79,76.08,26.43
2017-01-28,枣庄,81.67,0.48,9.81,58.37,103.52,54.8,18.33
2017-01-29,枣庄,89.58,1.02,17.64,33.41,91.51,65.83,17.88
