time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,泰安,207.57,2.77,62.04,28.36,266.05,161.02,67.04
2017-01-02,泰安,230.32,3.24,71.57,17.78,277.0,181.42,47.52
2017-01-03,泰安,212.54,3.16,69.04,43.26,247.07,167.03,46.86
2017-01-04,泰安,259.94,3.09,80.39,39.57,305.82,210.08,56.39
2017-01-05,泰安,174.75,2.51,50.76,45.65,207.51,137.76,42.68
2017-01-06,泰安,135.47,2.49,64.65,24.18,157.85,102.43,39.89
2017-01-07,泰安,124.06,1.8,62.57,20.29,150.03,93.17,46.9
2017-01-08,泰安,95.14,1.67,47.43,27.35,92.58,69.88,35.64
2017-01-09,泰安,154.3,2.24,58.51,18.57,169.26,116.62,38.32
2017-01-10,泰安,127.72,1.89,48.18,27.06,147.15,95.82,43.85
2017-01-11,泰安,174.94,2.13,52.82,23.07,196.47,135.83,61.14
2017-01-12,泰安,254.19,2.46,56.04,19.31,283.14,206.51,57.78
2017-01-13,泰安,155.94,1.86,39.26,41.03,168.96,117.15,29.6
2017-01-14,泰安,68.12,1.29,41.92,38.21,80.24,43.74,38.24
2017-01-15,泰安,98.72,1.49,35.32,34.83,107.66,72.75,48.99
2017-01-16,泰安,161.11,1.73,47.65,36.79,163.08,124.06,69.83
2017-01-17,泰安,157.51,1.66,58.26,40.61,163.49,121.38,66.01
2017-01-18,泰安,215.5,2.38,64.12,34.03,223.71,169.19,77.78
2017-01-19,泰安,172.67,1.38,40.36,61.82,186.1,123.08,45.26
2017-01-20,泰安,49.14,1.02,29.43,60.58,49.86,23.75,25.74
2017-01-21,泰安,66.79,1.02,39.36,53.38,78.35,41.39,38.18
2017-01-22,泰安,68.81,1.23,46.07,37.96,81.41,43.82,42.01
2017-01-23,泰安,98.32,1.63,50.18,33.9,114.24,73.19,59.44
2017-01-24,泰安,139.94,1.92,57.96,39.17,150.28,106.51,55.14
2017-01-25,泰安,153.6,1.63,51.25,53.36,150.86,118.5,50.89
2017-01-26,泰安,119.96,0.96,23.45,80.0,124.22,89.1,34.08
2017-01-27,泰安,78.04,0.85,23.99,68.04,93.51,52.01,36.94
2017-01-28,泰安,115.78,0.8,22.69,51.94,115.92,89.55,40.45
2017-01-29,泰安,88.67,1.2,24.43,45.3,90.2,61.8,19.48
2017-01-30,泰安,46.92,0.85,17.75,61.82,48.97,29.04,26.36
2017-01-31,泰安,72.75,1.01,31.75,52.4,75.76,52.4,42.6
2017-02-01,泰安,102.0,1.22,35.67,54.9,104.08,75.78,32.57
2017-02-02,泰安,137.07,1.31,37.19,66.29,133.67,103.24,39.88
2017-02-03,泰安,141.61,1.13,26.64,81.62,132.99,107.5,28.58
2017-02-04,泰安,150.13,1.15,32.87,46.71,143.28,114.33,25.81
2017-02-05,泰安,156.84,1.65,46.97,37.02,155.06,119.36,32.94
2017-02-06,泰安,74.49,1.03,40.38,46.91,82.57,52.39,36.12
2017-02-07,泰安,73.33,1.24,45.29,27.04,79.1,52.67,40.38
2017-02-08,泰安,69.36,0.91,32.64,47.7,77.25,48.67,30.42
2017-02-09,泰安,36.82,0.57,25.14,57.6,36.46,18.29,19.69
2017-02-10,泰安,54.44,0.85,60.94,15.78,57.69,32.06,31.79
2017-02-11,泰安,120.44,1.37,60.67,33.36,144.73,98.17,83.49
2017-02-12,泰安,218.9,1.83,61.94,40.79,236.78,178.17,81.44
2017-02-13,泰安,162.11,1.58,71.17,45.83,178.44,123.54,65.44
2017-02-14,泰安,206.46,2.02,68.17,51.13,217.77,159.25,77.72
2017-02-15,泰安,159.0,1.2,47.56,90.21,166.35,120.25,48.31
2017-02-16,泰安,138.93,1.06,37.41,87.13,161.56,103.87,39.46
2017-02-17,泰安,59.14,0.86,31.07,58.04,68.48,33.82,31.03
2017-02-18,泰安,91.35,1.11,50.22,38.86,117.67,66.33,52.36
2017-02-19,泰安,162.82,1.29,35.54,70.96,186.71,123.44,32.53
2017-02-20,泰安,79.11,0.87,19.01,72.71,105.94,35.61,26.12
2017-02-21,泰安,55.22,1.04,35.92,48.76,59.49,32.12,32.31
2017-02-22,泰安,105.19,1.22,53.31,29.91,93.06,78.51,23.0
2017-02-23,泰安,60.64,0.85,38.97,51.87,58.55,38.16,19.84
