time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,济南,190.8,2.04,73.15,31.26,219.03,151.82,49.51
2017-01-02,济南,284.61,4.14,84.26,6.94,338.47,227.99,39.45
2017-01-03,济南,230.4,2.69,83.23,28.3,263.61,183.46,40.66
2017-01-04,济南,345.67,5.94,96.32,6.44,427.86,280.02,54.98
2017-01-05,济南,388.07,4.04,76.32,5.36,511.34,240.15,54.23
2017-01-06,济南,353.33,4.63,99.56,6.15,464.69,275.6,52.95
2017-01-07,济南,220.42,2.61,71.15,11.17,261.93,173.42,50.76
2017-01-08,济南,144.77,1.81,49.4,23.15,141.54,110.11,37.3
2017-01-09,济南,195.28,2.52,71.27,9.3,219.98,150.25,40.7
2017-01-10,济南,151.09,3.77,72.74,14.55,188.38,109.02,56.69
2017-01-11,济南,170.03,1.89,70.07,20.61,211.35,130.13,52.6
2017-01-12,济南,259.46,2.18,70.06,18.68,301.72,208.88,50.53
2017-01-13,济南,141.08,1.92,56.56,25.89,167.86,101.31,39.25
2017-01-14,济南,86.11,1.4,60.39,21.26,120.92,50.46,45.3
2017-01-15,济南,102.72,1.32,62.39,16.95,141.85,72.5,38.73
2017-01-16,济南,139.43,1.49,68.69,19.01,177.45,105.55,53.62
2017-01-17,济南,163.88,1.5,65.9,19.05,194.57,124.06,56.63
2017-01-18,济南,309.58,3.17,103.07,7.47,368.27,257.22,96.68
2017-01-19,济南,237.33,1.81,58.9,30.31,283.91,178.67,49.78
2017-01-20,济南,58.26,0.75,35.81,42.27,68.23,20.82,27.75
2017-01-21,济南,79.54,0.82,38.35,45.41,107.47,45.88,35.59
2017-01-22,济南,62.72,1.03,47.32,32.97,76.98,33.34,41.67
2017-01-23,济南,128.72,1.92,69.36,17.83,171.25,95.03,64.78
2017-01-24,济南,178.49,2.42,80.53,16.97,215.38,136.98,83.96
2017-01-25,济南,141.36,1.45,54.33,47.66,161.94,107.22,50.17
