time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,济宁,237.0,2.32,78.91,21.45,229.58,189.13,81.95
2017-01-02,济宁,275.35,2.93,81.3,10.45,274.72,226.55,50.65
2017-01-03,济宁,174.15,2.17,63.58,28.82,185.0,131.29,26.14
2017-01-04,济宁,204.08,2.93,81.18,9.0,221.61,161.58,41.5
2017-01-05,济宁,198.58,3.15,61.23,9.17,220.96,156.66,40.34
2017-01-06,济宁,181.92,3.85,62.06,8.55,201.12,138.39,47.24
2017-01-07,济宁,167.99,2.93,59.41,14.13,183.55,127.7,45.23
2017-01-08,济宁,135.78,2.23,41.31,17.89,146.33,102.44,36.14
2017-01-09,济宁,173.36,3.02,65.94,11.34,208.79,130.67,42.67
2017-01-10,济宁,172.72,2.89,61.5,13.79,218.67,130.65,51.15
2017-01-11,济宁,183.69,2.48,64.5,23.67,222.35,139.0,59.71
2017-01-12,济宁,188.35,2.4,55.14,11.76,242.72,143.85,31.64
2017-01-13,济宁,139.64,2.21,58.65,16.13,151.72,104.06,36.35
2017-01-14,济宁,72.86,1.55,57.47,19.96,86.82,50.79,54.29
2017-01-15,济宁,70.39,1.36,43.68,22.31,84.8,48.29,40.53
2017-01-16,济宁,84.1,1.32,50.65,21.64,101.04,60.92,59.26
2017-01-17,济宁,75.1,1.28,49.0,28.4,92.0,53.35,53.87
2017-01-18,济宁,135.74,1.85,70.88,16.19,160.16,102.62,64.22
2017-01-19,济宁,160.32,1.72,50.03,27.41,194.92,110.82,45.36
2017-01-20,济宁,52.96,0.78,28.86,34.18,57.78,25.61,37.19
2017-01-21,济宁,72.85,0.95,41.36,33.49,91.42,42.6,45.24
2017-01-22,济宁,88.6,1.46,64.15,21.45,110.11,60.56,65.06
2017-01-23,济宁,95.29,1.51,51.42,31.82,115.72,64.22,64.54
2017-01-24,济宁,81.48,1.28,43.89,46.7,88.73,57.55,46.45
2017-01-25,济宁,96.95,1.31,37.08,55.49,108.59,72.13,45.1
2017-01-26,济宁,128.24,1.38,30.1,67.98,144.47,97.02,40.49
2017-01-27,济宁,81.12,1.19,18.9,75.61,96.6,58.4,36.64
2017-01-28,济宁,95.28,0.95,16.48,57.64,106.12,68.94,32.58
2017-01-29,济宁,107.84,1.44,22.8,40.25,103.37,77.14,25.59
2017-01-30,济宁,50.94,0.99,15.67,58.06,53.47,31.92,29.03
2017-01-31,济宁,58.18,1.01,21.12,52.39,58.76,39.58,32.4
2017-02-01,济宁,105.64,1.29,26.93,51.42,114.35,78.57,31.94
2017-02-02,济宁,139.92,1.71,33.28,61.01,149.33,106.35,38.67
2017-02-03,济宁,93.88,1.29,24.75,64.85,97.62,69.59,32.84
2017-02-04,济宁,120.17,1.36,30.32,42.22,122.05,90.66,24.92
2017-02-05,济宁,189.12,1.89,55.15,33.76,205.96,145.46,43.32
2017-02-06,济宁,96.57,1.56,52.86,39.12,112.3,70.36,51.36
2017-02-07,济宁,78.99,1.1,45.83,25.46,96.09,53.17,34.1
2017-02-08,济宁,92.04,1.48,47.58,31.32,120.52,66.89,41.97
2017-02-09,济宁,65.75,1.23,41.28,41.08,83.75,37.17,36.6
2017-02-10,济宁,69.86,1.31,42.49,42.6,84.66,42.42,43.65
2017-02-11,济宁,118.81,1.7,56.81,37.33,151.6,82.78,66.61
2017-02-12,济宁,186.94,1.54,51.38,54.42,180.47,146.35,61.12
2017-02-13,济宁,108.0,1.87,61.86,59.51,129.53,80.5,62.19
2017-02-14,济宁,189.72,2.54,81.9,39.14,242.69,144.31,81.15
2017-02-15,济宁,145.38,1.64,48.19,85.32,191.89,107.96,60.44
2017-02-16,济宁,134.25,1.38,37.0,77.17,182.62,89.51,42.47
2017-02-17,济宁,61.79,0.82,27.99,51.93,75.47,33.79,32.21
2017-02-18,济宁,82.72,0.99,34.26,39.07,112.12,52.88,36.18
2017-02-19,济宁,131.19,1.34,36.0,64.03,186.4,97.24,33.82
2017-02-20,济宁,93.65,1.04,21.82,67.5,136.53,40.11,33.14
2017-02-21,济宁,49.22,0.87,23.21,53.79,50.28,27.4,24.69
2017-02-22,济宁,114.89,1.35,31.82,39.57,110.9,86.31,34.38
2017-02-23,济宁,123.26,1.61,44.69,41.64,138.18,92.24,48.83
2017-02-24,济宁,113.64,1.69,64.29,48.95,143.25,84.27,47.43
2017-02-25,济宁,145.65,1.78,71.89,41.4,187.79,109.81,58.42
2017-02-26,济宁,93.67,1.21,58.62,51.35,119.08,67.38,56.53
2017-02-27,济宁,104.29,0.96,43.53,72.5,135.99,76.29,49.19
2017-02-28,济宁,103.82,0.87,36.4,91.35,140.69,72.81,39.34
