time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,淄博,232.56,3.56,92.96,19.57,287.64,186.25,114.86
2017-01-02,淄博,317.62,4.81,89.69,6.43,375.09,249.65,96.34
2017-01-03,淄博,289.42,6.34,95.74,16.5,327.71,242.12,102.9
2017-01-04,淄博,288.94,6.94,109.64,6.83,367.9,241.66,88.41
2017-01-05,淄博,338.43,4.45,98.93,5.73,440.04,275.61,73.09
2017-01-06,淄博,213.03,3.38,98.52,11.13,257.84,164.27,77.45
2017-01-07,淄博,114.96,2.03,66.16,11.66,144.84,85.18,55.37
2017-01-08,淄博,107.89,2.15,47.77,19.12,114.35,79.72,48.71
2017-01-09,淄博,168.11,3.06,69.1,11.43,198.75,128.32,62.72
2017-01-10,淄博,148.89,2.82,66.92,20.23,192.52,107.54,83.74
2017-01-11,淄博,162.23,2.74,72.38,12.77,199.86,113.28,96.46
2017-01-12,淄博,265.55,3.51,82.78,15.38,331.72,205.45,114.29
2017-01-13,淄博,171.32,2.77,63.87,23.68,215.43,128.85,80.67
2017-01-14,淄博,84.78,1.75,52.41,27.33,107.15,54.9,73.03
2017-01-15,淄博,74.94,1.44,49.76,22.77,91.59,45.92,52.82
2017-01-16,淄博,165.91,2.72,70.07,14.67,219.3,122.02,97.23
2017-01-17,淄博,163.61,2.29,68.4,20.81,207.05,122.75,91.78
2017-01-18,淄博,290.15,3.25,93.82,9.49,349.96,241.97,120.12
2017-01-19,淄博,233.24,2.22,60.41,27.83,280.17,180.63,63.22
2017-01-20,淄博,66.4,1.08,36.8,42.34,61.38,39.71,47.94
2017-01-21,淄博,78.84,1.48,47.04,35.18,103.25,47.98,60.57
2017-01-22,淄博,56.88,1.29,43.77,31.92,63.81,33.12,58.38
2017-01-23,淄博,109.48,2.15,65.53,20.96,138.53,79.72,94.92
2017-01-24,淄博,198.27,3.17,81.39,17.02,228.6,153.1,121.76
2017-01-25,淄博,164.14,2.42,61.28,34.18,182.59,125.95,82.8
2017-01-26,淄博,134.88,1.69,36.38,54.82,159.9,100.01,52.55
2017-01-27,淄博,99.2,1.44,30.73,49.43,116.61,66.98,60.76
2017-01-28,淄博,123.35,1.5,33.78,34.87,133.74,88.87,50.5
2017-01-29,淄博,130.32,1.91,32.6,25.65,129.98,97.12,53.81
2017-01-30,淄博,61.72,1.38,27.08,44.6,64.99,40.45,60.68
2017-01-31,淄博,82.08,1.85,42.09,33.35,89.49,58.92,70.73
2017-02-01,淄博,93.6,1.58,34.92,38.48,105.13,65.73,68.56
2017-02-02,淄博,129.75,2.14,48.9,43.92,133.59,97.25,72.69
2017-02-03,淄博,183.94,2.05,47.63,49.62,183.43,143.26,63.1
2017-02-04,淄博,190.2,2.2,59.88,20.43,204.46,148.23,77.64
2017-02-05,淄博,168.38,2.08,53.14,32.04,188.4,130.88,80.39
2017-02-06,淄博,72.02,1.38,42.26,38.76,80.66,47.95,62.94
2017-02-07,淄博,58.82,1.11,36.44,44.13,64.46,35.88,44.72
2017-02-08,淄博,86.75,1.81,54.33,28.55,99.03,60.76,68.37
2017-02-09,淄博,58.62,1.14,34.83,46.44,67.94,24.84,39.53
