time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,滨州,360.38,4.54,119.38,13.96,426.77,318.76,106.11
2017-01-02,滨州,186.79,3.42,57.16,18.6,197.46,145.66,34.16
2017-01-03,滨州,238.62,4.98,79.14,12.93,251.68,189.55,48.62
2017-01-04,滨州,176.65,3.7,64.68,10.86,182.98,134.61,57.58
2017-01-05,滨州,185.16,3.05,65.36,9.33,192.48,145.2,49.06
2017-01-06,滨州,127.56,2.81,70.2,19.14,137.67,97.0,51.86
2017-01-07,滨州,92.01,2.09,48.54,23.1,94.73,67.93,37.36
2017-01-08,滨州,135.29,2.4,42.24,29.5,124.52,102.71,29.57
2017-01-09,滨州,158.07,2.82,53.01,20.06,156.45,121.01,29.2
2017-01-10,滨州,111.06,2.39,52.92,23.72,116.06,79.61,43.39
2017-01-11,滨州,173.35,3.06,73.15,19.4,187.97,134.69,75.25
2017-01-12,滨州,326.06,3.85,82.79,12.65,360.78,275.83,67.67
2017-01-13,滨州,130.35,2.57,51.81,25.99,125.33,93.58,38.62
2017-01-14,滨州,59.18,1.84,46.31,26.47,67.62,34.76,28.76
2017-01-15,滨州,56.71,1.66,46.97,24.22,60.0,37.31,40.47
2017-01-16,滨州,141.83,2.61,64.24,10.61,149.21,106.85,67.19
2017-01-17,滨州,206.79,3.11,74.56,11.35,223.32,164.21,83.44
2017-01-18,滨州,254.71,4.0,79.67,14.85,269.31,206.48,57.92
2017-01-19,滨州,225.32,3.49,60.4,22.76,260.21,173.86,50.29
2017-01-20,滨州,42.62,1.66,25.72,46.15,45.07,22.13,20.22
2017-01-21,滨州,104.61,2.39,52.61,26.62,118.57,70.76,56.14
2017-01-22,滨州,45.81,1.79,33.79,34.96,47.29,24.68,27.44
2017-01-23,滨州,78.5,2.27,48.82,29.93,80.11,56.81,67.78
2017-01-24,滨州,141.11,2.84,53.68,36.49,137.63,106.92,59.81
2017-01-25,滨州,215.83,3.59,72.82,25.71,228.61,171.65,83.86
2017-01-26,滨州,220.25,3.03,56.75,28.92,234.84,174.22,67.24
2017-01-27,滨州,94.58,1.84,27.19,47.03,98.83,66.64,45.31
2017-01-28,滨州,161.48,2.37,38.31,20.06,169.74,123.35,70.22
2017-01-29,滨州,124.14,2.57,30.04,31.14,134.72,89.1,49.06
2017-01-30,滨州,44.9,1.87,21.04,42.44,44.01,28.74,31.47
2017-01-31,滨州,95.79,2.49,36.21,34.44,93.64,71.21,50.62
2017-02-01,滨州,81.49,2.0,25.74,45.42,78.69,56.27,33.04
2017-02-02,滨州,135.64,2.74,49.12,36.96,135.27,102.86,58.69
2017-02-03,滨州,236.31,3.33,54.85,48.4,235.96,192.75,69.24
2017-02-04,滨州,235.09,2.92,53.26,27.06,227.71,186.35,73.45
2017-02-05,滨州,173.94,2.57,41.07,35.68,167.85,136.19,42.91
2017-02-06,滨州,60.63,1.97,37.14,39.82,61.79,39.08,40.54
2017-02-07,滨州,50.45,1.79,31.22,45.68,50.62,32.0,39.22
2017-02-08,滨州,93.56,2.75,50.71,27.39,97.87,69.34,53.29
2017-02-09,滨州,51.75,1.82,18.26,48.51,58.65,18.76,11.9
2017-02-10,滨州,41.65,1.87,23.94,43.29,43.74,19.33,13.81
2017-02-11,滨州,106.64,2.56,49.88,33.14,114.03,79.82,62.94
2017-02-12,滨州,178.61,3.3,80.32,29.48,196.84,138.14,102.81
2017-02-13,滨州,214.2,3.06,67.28,29.72,216.65,167.03,75.75
2017-02-14,滨州,211.31,3.29,70.39,33.22,210.7,166.31,65.31
2017-02-15,滨州,207.51,3.05,64.01,55.08,217.22,163.35,58.19
2017-02-16,滨州,155.37,2.6,48.87,52.26,170.36,107.81,47.53
2017-02-17,滨州,59.62,2.04,33.62,42.64,65.24,33.81,33.78
