time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,潍坊,279.48,2.37,74.6,19.62,326.99,241.55,49.35
2017-01-02,潍坊,310.82,3.31,77.54,9.88,374.82,249.82,68.35
2017-01-03,潍坊,265.56,3.4,78.76,23.43,300.36,217.36,61.08
2017-01-04,潍坊,267.94,3.64,68.38,12.72,314.55,220.52,48.07
2017-01-05,潍坊,183.57,1.85,56.84,13.68,215.13,144.59,46.51
2017-01-06,潍坊,126.84,1.51,63.08,12.35,157.03,94.68,64.3
2017-01-07,潍坊,120.87,1.27,49.12,20.05,129.35,90.29,37.9
2017-01-08,潍坊,107.89,1.24,32.76,34.83,106.06,80.39,40.55
2017-01-09,潍坊,152.85,1.74,50.88,20.9,163.23,111.81,53.8
2017-01-10,潍坊,145.28,1.76,50.97,22.3,172.17,104.07,62.31
2017-01-11,潍坊,130.19,1.36,52.47,25.82,162.45,96.94,69.72
2017-01-12,潍坊,292.43,2.98,86.87,17.32,334.11,241.3,98.29
2017-01-13,潍坊,231.77,2.21,59.2,26.62,280.29,175.8,72.81
2017-01-14,潍坊,80.77,1.04,41.64,30.7,105.08,48.81,72.46
2017-01-15,潍坊,66.19,0.97,36.58,28.04,78.4,40.92,31.79
2017-01-16,潍坊,112.11,1.42,53.66,16.63,136.96,83.72,49.44
2017-01-17,潍坊,164.23,1.64,62.73,20.01,190.11,125.14,59.77
2017-01-18,潍坊,258.87,2.44,76.73,15.64,280.97,210.97,71.16
2017-01-19,潍坊,202.68,1.92,57.04,20.68,235.25,151.52,69.88
2017-01-20,潍坊,57.16,0.7,26.02,45.9,66.62,21.13,35.34
2017-01-21,潍坊,117.79,1.11,45.17,29.18,136.38,81.83,58.68
2017-01-22,潍坊,57.47,0.91,32.89,36.12,64.47,28.2,51.57
2017-01-23,潍坊,85.47,1.31,41.43,30.57,98.35,59.63,58.2
2017-01-24,潍坊,151.21,1.89,54.08,23.93,166.81,114.83,53.78
2017-01-25,潍坊,190.43,1.59,50.92,41.41,209.58,147.49,73.59
2017-01-26,潍坊,176.52,1.31,30.48,56.13,208.15,135.95,49.32
2017-01-27,潍坊,98.45,0.79,18.78,61.22,111.28,65.26,37.86
2017-01-28,潍坊,79.76,0.79,20.03,44.18,96.84,54.69,41.26
2017-01-29,潍坊,85.36,0.79,15.07,37.65,88.0,58.9,17.81
2017-01-30,潍坊,43.62,0.45,9.57,61.38,45.34,15.95,17.92
2017-01-31,潍坊,74.57,0.94,26.78,50.71,84.42,52.44,57.58
2017-02-01,潍坊,89.58,0.85,26.85,47.95,97.03,57.05,46.98
2017-02-02,潍坊,91.85,1.09,33.65,53.94,108.33,65.52,57.74
2017-02-03,潍坊,241.3,2.09,55.33,40.17,256.76,191.4,81.17
2017-02-04,潍坊,205.88,1.88,51.76,19.42,215.96,160.67,72.37
2017-02-05,潍坊,248.64,2.11,51.01,42.96,256.38,198.68,69.31
2017-02-06,潍坊,136.96,1.2,35.77,43.22,139.42,99.35,39.57
2017-02-07,潍坊,54.02,0.52,20.41,58.7,58.28,29.94,20.63
2017-02-08,潍坊,60.92,0.68,28.86,42.55,65.57,37.34,29.87
2017-02-09,潍坊,71.43,0.75,33.77,40.88,87.62,31.33,47.46
2017-02-10,潍坊,61.12,0.75,31.23,43.78,71.43,26.4,41.76
2017-02-11,潍坊,125.6,1.37,55.57,35.21,149.89,95.25,92.43
2017-02-12,潍坊,150.64,1.29,47.57,45.79,172.42,115.06,78.61
2017-02-13,潍坊,178.72,1.59,64.09,40.74,204.8,137.01,83.23
2017-02-14,潍坊,156.16,1.43,48.93,39.67,174.44,118.67,49.54
2017-02-15,潍坊,182.28,1.37,41.34,79.52,217.69,138.58,45.14
2017-02-16,潍坊,184.72,1.24,39.34,61.77,211.59,131.04,33.39
2017-02-17,潍坊,59.89,0.56,16.78,66.79,68.96,23.66,17.1
2017-02-18,潍坊,110.18,1.1,47.42,40.62,152.84,78.59,48.67
2017-02-19,潍坊,152.09,1.15,38.11,64.58,206.33,113.84,38.59
2017-02-20,潍坊,78.0,0.48,8.5,75.67,102.98,22.93,11.55
2017-02-21,潍坊,62.64,0.71,30.16,53.5,73.91,34.99,22.99
2017-02-22,潍坊,96.97,0.83,27.71,55.57,95.34,71.49,38.9
2017-02-23,潍坊,134.61,1.33,46.7,36.03,136.41,99.31,48.92
2017-02-24,潍坊,93.63,1.21,54.81,47.55,111.41,68.16,62.06
2017-02-25,潍坊,121.92,1.44,63.52,39.93,145.45,89.5,70.67
2017-02-26,潍坊,75.21,1.02,48.36,54.11,89.1,51.61,58.43
2017-02-27,潍坊,109.81,1.07,48.04,61.15,138.49,82.03,53.75
2017-02-28,潍坊,130.98,0.9,40.37,90.1,161.91,97.17,42.89
2017-03-01,潍坊,149.74,1.04,45.56,50.58,172.98,103.96,45.89
2017-03-02,潍坊,75.67,0.9,44.5,45.25,95.82,48.23,45.59
2017-03-03,潍坊,96.09,0.81,40.49,67.86,133.82,65.47,37.37
2017-03-04,潍坊,190.11,1.66,74.74,51.97,247.07,147.92,65.64
2017-03-05,潍坊,103.43,0.76,25.84,67.15,119.71,69.24,19.37
2017-03-06,潍坊,92.75,1.12,46.34,50.22,121.47,58.17,48.63
2017-03-07,潍坊,61.42,0.68,30.61,56.14,71.65,32.06,29.32
2017-03-08,潍坊,90.02,1.02,46.47,43.78,121.42,51.05,52.28
2017-03-09,潍坊,82.99,0.96,49.46,49.86,110.42,53.2,45.72
2017-03-10,潍坊,103.7,0.99,47.03,68.5,132.92,72.98,44.97
2017-03-11,潍坊,154.33,1.13,48.93,106.18,195.12,115.14,40.95
2017-03-12,潍坊,128.86,0.84,33.25,66.37,158.72,79.42,25.57
2017-03-13,潍坊,69.17,0.68,41.06,51.47,85.29,36.54,28.49
2017-03-14,潍坊,92.93,1.16,53.94,53.01,121.95,62.22,45.48
2017-03-15,潍坊,82.97,1.03,46.1,67.35,102.37,52.28,31.26
2017-03-16,潍坊,76.37,0.85,39.51,81.52,100.99,46.5,29.85
2017-03-17,潍坊,91.22,0.87,30.84,105.87,122.03,60.74,21.02
2017-03-18,潍坊,117.53,0.98,40.75,103.37,154.72,87.51,31.75
2017-03-19,潍坊,101.96,0.85,40.15,84.49,131.82,70.98,21.9
2017-03-20,潍坊,132.01,0.9,32.98,97.08,154.36,96.85,21.18
2017-03-21,潍坊,62.24,0.6,30.42,62.24,74.13,28.23,17.76
2017-03-22,潍坊,79.44,0.79,35.47,72.9,107.94,47.36,20.3
