time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,烟台,214.84,2.63,80.36,36.39,208.18,167.6,49.5
2017-01-02,烟台,213.63,3.08,80.5,32.85,209.76,166.76,48.49
2017-01-03,烟台,174.58,3.09,78.58,39.38,176.15,136.33,42.17
2017-01-04,烟台,158.82,2.49,60.98,46.57,163.71,121.36,37.08
2017-01-05,烟台,42.13,1.05,39.64,53.93,40.47,22.98,20.51
2017-01-06,烟台,72.44,1.78,65.07,27.99,75.22,47.91,34.77
2017-01-07,烟台,74.04,1.53,59.82,27.72,77.99,50.33,26.32
2017-01-08,烟台,55.14,1.12,33.5,58.65,48.63,36.82,33.35
2017-01-09,烟台,52.82,1.09,30.14,58.86,50.87,28.62,29.46
2017-01-10,烟台,45.94,0.96,38.86,49.74,48.89,21.2,27.75
2017-01-11,烟台,62.26,1.15,46.69,46.17,61.66,38.87,33.34
2017-01-12,烟台,121.56,1.92,63.41,33.45,132.11,89.16,44.61
2017-01-13,烟台,53.26,1.1,39.47,50.3,53.97,31.16,32.15
2017-01-14,烟台,41.16,0.82,29.81,55.1,43.27,12.86,23.6
2017-01-15,烟台,31.22,0.88,32.94,53.78,26.21,15.2,22.84
2017-01-16,烟台,67.63,1.6,62.85,22.05,72.52,46.63,37.06
2017-01-17,烟台,113.88,2.21,69.98,20.65,117.33,84.99,44.28
2017-01-18,烟台,138.92,2.04,65.94,31.11,129.18,105.89,44.54
2017-01-19,烟台,122.06,2.07,61.85,27.26,124.55,91.62,42.14
2017-01-20,烟台,33.51,0.84,20.17,64.31,31.93,16.59,24.35
2017-01-21,烟台,55.44,1.33,37.79,54.31,61.5,31.61,39.45
2017-01-22,烟台,29.74,0.75,16.94,70.97,26.32,11.45,17.07
2017-01-23,烟台,43.58,1.17,35.71,54.5,38.38,25.23,35.05
2017-01-24,烟台,70.49,1.69,49.37,40.05,58.42,49.12,43.92
2017-01-25,烟台,114.69,2.19,63.5,43.47,117.59,86.31,45.79
2017-01-26,烟台,107.04,1.5,30.65,77.77,108.69,77.79,31.26
2017-01-27,烟台,66.07,0.81,17.63,70.72,79.74,31.32,29.27
2017-01-28,烟台,77.53,1.02,19.57,60.71,85.25,56.62,29.95
2017-01-29,烟台,44.36,1.02,19.14,58.44,54.85,27.93,17.64
2017-01-30,烟台,32.7,0.75,10.49,76.78,28.84,10.07,14.51
2017-01-31,烟台,37.51,1.18,33.58,55.17,34.41,22.26,33.4
2017-02-01,烟台,47.44,1.08,22.28,70.49,46.77,26.85,33.3
2017-02-02,烟台,54.56,1.44,39.62,57.08,56.36,34.71,47.67
2017-02-03,烟台,134.23,2.14,61.99,58.8,136.52,101.22,76.01
2017-02-04,烟台,121.86,1.64,57.72,34.48,115.64,91.42,32.88
2017-02-05,烟台,167.96,1.58,42.83,48.34,172.69,128.94,59.94
2017-02-06,烟台,35.92,0.52,21.36,73.81,32.74,16.16,21.54
2017-02-07,烟台,40.23,0.65,27.53,71.96,37.56,23.99,24.44
2017-02-08,烟台,41.32,0.61,17.49,76.49,39.94,18.51,21.57
2017-02-09,烟台,42.45,0.55,18.99,75.56,42.65,13.45,22.57
2017-02-10,烟台,47.26,0.57,19.74,73.62,49.13,14.27,26.02
2017-02-11,烟台,68.14,1.03,42.67,51.88,73.78,41.01,42.31
2017-02-12,烟台,75.56,1.16,47.03,50.9,78.75,51.73,36.49
2017-02-13,烟台,101.36,1.27,51.19,61.91,102.26,74.92,40.47
2017-02-14,烟台,87.85,1.26,55.25,44.76,86.09,64.16,40.42
2017-02-15,烟台,83.03,0.92,30.09,115.96,90.13,60.45,31.36
2017-02-16,烟台,89.93,0.86,37.85,82.3,98.46,61.74,26.77
2017-02-17,烟台,47.79,0.45,20.68,73.42,52.67,13.62,17.63
2017-02-18,烟台,67.69,1.07,51.49,44.03,77.71,41.92,40.2
2017-02-19,烟台,82.21,0.86,34.24,65.57,93.35,55.86,22.89
2017-02-20,烟台,66.62,0.4,14.73,81.31,85.74,15.41,14.81
2017-02-21,烟台,37.96,0.62,22.0,77.72,33.38,18.15,19.09
2017-02-22,烟台,50.78,0.92,37.88,60.81,50.89,33.63,25.1
2017-02-23,烟台,38.92,0.62,24.37,78.13,33.44,17.4,19.19
2017-02-24,烟台,66.7,1.25,57.4,53.43,70.4,43.19,41.4
2017-02-25,烟台,65.34,1.5,65.9,36.85,71.43,42.38,42.73
2017-02-26,烟台,57.65,1.32,54.27,41.95,60.61,34.92,36.51
2017-02-27,烟台,60.53,1.02,44.97,65.64,63.9,38.8,34.18
2017-02-28,烟台,101.07,1.11,43.65,100.89,110.57,74.63,34.98
2017-03-01,烟台,93.47,0.95,37.8,69.83,96.14,57.55,27.21
2017-03-02,烟台,49.32,0.75,31.27,67.89,53.14,18.74,30.52
2017-03-03,烟台,74.15,1.06,43.65,65.92,88.07,48.81,33.99
2017-03-04,烟台,116.54,1.46,71.25,49.06,126.14,85.37,40.22
2017-03-05,烟台,73.74,0.88,29.97,69.05,81.81,45.73,21.3
2017-03-06,烟台,50.67,0.87,35.5,60.42,54.55,23.65,28.67
2017-03-07,烟台,44.7,0.76,20.06,70.46,44.29,15.32,25.1
2017-03-08,烟台,49.82,1.24,34.68,58.1,54.13,20.2,31.37
2017-03-09,烟台,69.79,1.49,61.21,45.88,85.89,37.49,47.08
2017-03-10,烟台,74.75,1.51,63.65,54.51,93.63,42.61,45.3
2017-03-11,烟台,97.27,1.24,47.03,107.61,115.47,66.31,39.31
2017-03-12,烟台,70.9,0.83,24.28,86.85,72.73,39.47,22.38
2017-03-13,烟台,51.06,0.67,25.02,72.47,55.62,15.38,20.89
2017-03-14,烟台,53.27,0.97,40.84,70.62,59.45,27.75,44.2
2017-03-15,烟台,67.61,1.15,58.82,59.33,77.55,39.53,54.36
2017-03-16,烟台,79.07,1.18,63.15,79.1,93.92,53.7,41.7
2017-03-17,烟台,80.62,1.1,44.57,111.14,95.32,54.36,34.59
2017-03-18,烟台,86.83,1.15,60.5,94.33,108.79,59.78,40.33
2017-03-19,烟台,140.06,1.58,79.84,73.52,167.69,105.21,51.5
2017-03-20,烟台,112.76,1.36,73.46,61.64,140.66,78.98,42.57
2017-03-21,烟台,48.92,0.71,28.05,71.81,52.56,18.83,29.72
2017-03-22,烟台,63.93,1.02,53.29,58.71,75.74,32.11,39.1
2017-03-23,烟台,64.47,0.94,51.56,61.44,75.7,36.94,36.1
2017-03-24,烟台,68.19,1.06,56.43,62.01,82.64,42.28,39.4
2017-03-25,烟台,62.5,0.89,37.21,78.05,67.0,42.64,25.31
2017-03-26,烟台,81.7,1.36,33.39,75.88,82.67,59.6,39.3
2017-03-27,烟台,64.02,1.32,48.97,56.08,72.59,39.31,36.61
2017-03-28,烟台,67.52,1.22,56.25,46.04,79.97,41.42,32.39
2017-03-29,烟台,62.12,1.1,41.49,60.42,63.85,40.89,22.39
2017-03-30,烟台,96.22,1.15,38.9,69.8,106.27,70.65,28.33
2017-03-31,烟台,65.2,0.84,27.11,90.49,73.97,39.53,24.91
2017-04-01,烟台,112.92,1.42,59.51,91.49,132.81,80.14,35.14
2017-04-02,烟台,117.27,1.4,68.19,72.83,143.27,81.01,31.79
2017-04-03,烟台,83.63,1.1,57.21,110.63,110.75,54.55,31.92
2017-04-04,烟台,77.47,0.94,31.51,137.39,97.89,44.39,21.12
2017-04-05,烟台,46.03,0.86,24.62,91.0,50.36,24.24,15.63
2017-04-06,烟台,56.56,0.91,37.66,73.54,66.59,36.21,15.2
2017-04-07,烟台,82.65,1.13,46.73,60.79,100.3,59.55,15.8
2017-04-08,烟台,75.3,1.17,43.67,46.19,85.48,51.17,15.29
2017-04-09,烟台,63.23,0.75,28.13,69.69,76.74,14.69,15.24
2017-04-10,烟台,67.14,1.05,53.35,49.87,84.55,27.99,34.89
2017-04-11,烟台,81.44,1.06,37.03,65.47,111.59,32.18,30.37
2017-04-12,烟台,96.14,1.18,48.38,99.7,125.36,45.96,30.21
2017-04-13,烟台,97.34,1.16,42.62,110.86,130.04,65.51,26.67
2017-04-14,烟台,70.89,1.0,42.94,96.13,90.53,44.45,23.28
2017-04-15,烟台,77.51,0.94,40.48,100.57,100.6,44.6,22.83
2017-04-16,烟台,90.88,0.97,37.18,122.28,102.32,60.63,25.78
2017-04-17,烟台,62.74,0.77,29.13,106.19,69.93,36.57,22.76
2017-04-18,烟台,69.17,0.69,23.17,98.71,86.93,27.51,17.74
2017-04-19,烟台,77.52,0.71,53.17,65.51,104.52,23.99,19.53
2017-04-20,烟台,57.8,0.76,37.02,94.59,66.44,29.31,33.11
2017-04-21,烟台,60.53,0.71,33.64,91.36,71.79,29.43,25.25
2017-04-22,烟台,64.46,0.79,44.44,102.92,76.51,29.11,20.32
2017-04-23,烟台,63.85,0.65,19.06,145.08,74.85,26.93,14.52
2017-04-24,烟台,71.43,0.83,33.72,129.62,88.87,37.57,20.75
