time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,章丘,195.78,1.53,53.43,48.56,219.76,146.46,36.14
2017-01-02,章丘,232.25,2.72,79.41,6.8,275.88,184.9,17.33
2017-01-03,章丘,265.94,2.86,80.35,35.38,304.15,207.35,39.46
2017-01-04,章丘,357.6,5.71,111.15,9.53,439.34,271.7,59.52
2017-01-05,章丘,457.59,5.88,120.17,7.33,609.13,307.33,62.15
2017-01-06,章丘,407.35,5.69,110.77,5.48,576.58,340.46,44.33
2017-01-07,章丘,281.0,3.55,87.72,6.54,361.82,245.65,45.5
2017-01-08,章丘,143.27,1.9,46.9,24.68,145.71,108.73,28.56
2017-01-09,章丘,219.76,2.64,72.02,12.13,242.87,170.91,31.5
2017-01-10,章丘,145.8,2.13,67.14,13.27,192.5,108.3,45.02
2017-01-11,章丘,157.42,1.21,48.35,36.46,179.42,117.54,39.21
2017-01-12,章丘,257.6,2.04,67.6,20.0,302.31,204.0,40.94
2017-01-13,章丘,142.46,1.64,56.0,22.83,173.25,107.77,35.56
2017-01-14,章丘,81.31,1.03,55.23,20.48,111.38,49.52,42.65
2017-01-15,章丘,109.56,1.27,54.04,18.98,147.12,75.21,36.85
2017-01-16,章丘,155.7,1.4,58.11,24.07,184.04,118.28,57.28
2017-01-17,章丘,171.69,1.31,52.22,30.02,199.61,133.57,54.74
2017-01-18,章丘,306.7,2.45,92.87,8.91,355.2,261.28,70.16
2017-01-19,章丘,242.04,1.41,45.3,42.0,294.91,179.54,45.42
2017-01-20,章丘,53.61,0.64,28.32,53.0,60.72,22.3,25.89
2017-01-21,章丘,78.98,0.8,33.18,48.73,107.23,48.0,38.04
2017-01-22,章丘,64.75,1.07,41.06,37.04,79.52,37.28,51.28
2017-01-23,章丘,91.96,1.11,43.04,43.8,118.71,67.85,47.13
2017-01-24,章丘,169.42,1.88,63.62,37.67,193.21,131.1,71.81
2017-01-25,章丘,144.58,1.21,32.94,72.02,150.0,109.71,45.08
2017-01-26,章丘,146.44,1.2,26.79,78.29,180.18,111.59,41.56
2017-01-27,章丘,89.52,1.07,24.93,64.48,99.96,62.0,47.61
2017-01-28,章丘,89.47,1.16,29.07,51.61,105.42,62.98,27.0
2017-01-29,章丘,144.57,1.8,34.54,29.93,154.46,105.11,34.54
2017-01-30,章丘,73.93,1.29,23.57,48.0,82.2,52.3,40.28
2017-01-31,章丘,87.67,1.13,25.15,54.4,86.81,64.9,47.33
2017-02-01,章丘,110.44,1.27,33.32,47.72,118.28,79.15,47.07
2017-02-02,章丘,121.83,1.19,29.16,73.06,124.71,90.98,31.42
2017-02-03,章丘,198.74,1.44,26.39,88.39,192.15,153.2,36.42
2017-02-04,章丘,199.61,1.7,41.89,38.33,211.44,157.11,34.35
2017-02-05,章丘,171.1,1.54,45.69,40.78,193.81,136.64,29.38
2017-02-06,章丘,90.19,1.22,49.29,39.48,116.67,61.71,48.69
2017-02-07,章丘,80.93,1.06,39.52,47.07,102.59,57.89,37.91
2017-02-08,章丘,105.56,1.46,48.83,40.1,129.08,78.44,62.83
2017-02-09,章丘,64.21,0.74,29.31,57.0,76.38,29.62,23.77
2017-02-10,章丘,70.64,0.81,45.11,39.73,90.18,38.5,29.32
2017-02-11,章丘,87.5,0.8,50.48,43.43,110.43,55.26,35.8
2017-02-12,章丘,97.6,0.81,32.62,80.27,117.94,72.15,36.21
2017-02-13,章丘,164.46,1.2,54.96,80.46,189.92,126.94,56.29
2017-02-14,章丘,242.88,1.95,71.15,61.5,280.88,192.79,65.71
