time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,聊城,237.85,2.28,73.6,26.77,290.44,191.94,47.72
2017-01-02,聊城,222.55,2.56,63.62,16.95,284.83,173.63,28.67
2017-01-03,聊城,220.23,2.65,62.03,35.62,273.91,177.45,23.61
2017-01-04,聊城,163.01,3.18,73.67,15.79,234.67,132.93,28.1
2017-01-05,聊城,203.0,4.4,84.03,10.11,261.6,154.93,23.14
2017-01-06,聊城,203.0,3.82,83.0,16.25,263.57,159.66,25.59
2017-01-07,聊城,239.0,2.82,78.33,12.85,279.38,192.69,26.87
2017-01-08,聊城,198.32,2.86,79.08,15.24,220.32,152.31,23.61
2017-01-09,聊城,153.86,2.41,68.45,17.59,189.2,115.74,31.64
2017-01-10,聊城,158.61,2.16,70.74,18.86,189.37,118.85,27.53
2017-01-11,聊城,211.79,2.45,81.21,21.94,252.56,165.83,48.97
2017-01-12,聊城,299.1,3.25,84.9,11.51,354.76,243.34,27.79
2017-01-13,聊城,167.29,2.1,62.11,19.58,188.35,127.57,23.78
2017-01-14,聊城,111.31,1.5,65.72,19.0,127.78,79.14,34.51
2017-01-15,聊城,120.17,1.51,61.44,12.54,167.14,86.69,37.55
2017-01-16,聊城,129.76,1.7,59.15,19.77,161.11,97.98,36.86
2017-01-17,聊城,264.15,2.89,77.88,15.47,315.11,214.92,38.39
2017-01-18,聊城,344.28,3.52,98.96,11.96,416.44,288.18,69.54
2017-01-19,聊城,299.18,2.62,64.18,31.08,378.65,217.96,35.68
2017-01-20,聊城,63.93,0.91,37.36,43.58,77.07,27.11,26.32
2017-01-21,聊城,101.57,1.37,51.5,34.46,138.64,71.43,37.72
2017-01-22,聊城,88.67,1.58,61.29,28.85,116.21,58.54,48.14
2017-01-23,聊城,132.31,2.03,68.9,24.76,181.27,99.37,60.68
2017-01-24,聊城,182.75,2.47,78.01,24.53,228.78,141.31,57.25
2017-01-25,聊城,196.64,2.13,51.51,41.54,224.97,154.38,43.94
2017-01-26,聊城,216.9,2.01,33.08,49.84,263.02,185.96,37.41
2017-01-27,聊城,128.08,1.48,23.96,55.69,155.17,93.64,40.24
2017-01-28,聊城,117.73,1.38,21.91,48.32,137.92,87.0,29.08
2017-01-29,聊城,140.83,1.53,27.83,36.57,165.41,92.48,24.07
2017-01-30,聊城,52.78,1.07,21.0,49.74,53.99,30.0,22.97
2017-01-31,聊城,88.71,1.45,22.25,53.1,101.04,65.07,28.44
2017-02-01,聊城,113.7,1.58,33.11,45.68,126.6,83.14,30.14
2017-02-02,聊城,163.42,1.79,42.69,58.79,179.72,123.08,41.0
2017-02-03,聊城,156.28,1.54,27.81,66.92,159.5,118.62,20.35
2017-02-04,聊城,158.57,1.63,36.31,44.12,170.78,121.57,15.22
2017-02-05,聊城,224.21,2.23,61.89,24.17,247.99,177.54,23.08
2017-02-06,聊城,108.76,1.76,63.35,30.93,124.61,78.71,49.03
2017-02-07,聊城,96.58,1.79,57.75,20.83,117.77,68.84,51.88
2017-02-08,聊城,111.55,1.74,55.21,32.39,131.77,79.11,39.72
2017-02-09,聊城,80.44,1.24,46.28,44.67,101.22,44.58,24.83
2017-02-10,聊城,89.97,1.47,56.88,35.81,110.97,58.82,43.18
2017-02-11,聊城,179.4,1.88,74.93,33.18,220.4,142.76,64.38
2017-02-12,聊城,212.82,1.68,71.64,43.38,254.61,165.36,59.29
2017-02-13,聊城,188.64,1.54,75.38,46.57,223.71,144.26,51.67
2017-02-14,聊城,272.76,2.64,91.39,29.21,347.56,216.86,83.87
2017-02-15,聊城,194.86,1.48,50.92,74.83,248.22,150.57,39.28
2017-02-16,聊城,182.49,1.35,37.1,63.97,230.9,117.39,31.64
2017-02-17,聊城,65.18,1.02,36.08,43.61,80.82,33.57,33.33
2017-02-18,聊城,119.88,1.39,49.03,42.62,178.68,87.43,36.9
2017-02-19,聊城,181.54,1.5,34.64,59.51,244.81,137.38,25.42
2017-02-20,聊城,84.93,0.93,27.14,57.56,117.07,35.57,19.08
2017-02-21,聊城,72.75,1.12,52.67,30.83,88.42,43.18,29.42
2017-02-22,聊城,147.03,1.56,49.49,31.12,156.61,112.36,26.0
2017-02-23,聊城,153.17,1.85,58.65,35.41,166.04,117.83,31.87
2017-02-24,聊城,99.31,1.18,63.12,45.32,123.85,70.62,38.21
2017-02-25,聊城,126.17,1.39,76.07,35.65,147.06,91.67,39.0
2017-02-26,聊城,114.89,1.51,78.32,35.06,148.94,85.11,36.04
2017-02-27,聊城,146.56,1.36,59.68,52.79,180.3,108.74,53.49
2017-02-28,聊城,125.23,1.2,51.46,53.83,166.12,91.96,39.54
2017-03-01,聊城,128.1,1.01,44.33,46.26,179.53,48.34,21.32
2017-03-02,聊城,81.1,1.08,53.36,46.59,111.78,38.97,23.71
2017-03-03,聊城,94.15,1.06,47.44,61.68,135.62,63.43,31.69
2017-03-04,聊城,197.17,1.85,90.29,32.0,282.35,148.9,43.15
2017-03-05,聊城,176.66,1.63,64.27,40.71,231.37,130.58,29.63
2017-03-06,聊城,107.08,1.3,62.23,46.58,158.66,59.79,30.5
2017-03-07,聊城,58.19,0.89,33.18,52.97,67.14,27.29,19.47
2017-03-08,聊城,74.86,1.17,55.75,38.7,98.09,44.62,27.51
2017-03-09,聊城,94.62,1.33,62.22,40.69,122.69,63.9,43.17
2017-03-10,聊城,101.68,1.36,64.01,51.68,139.18,69.9,43.54
2017-03-11,聊城,169.58,1.48,67.24,78.44,229.67,128.93,59.94
2017-03-12,聊城,154.57,1.41,50.59,48.77,210.4,88.39,29.68
2017-03-13,聊城,76.71,1.46,54.53,42.93,99.25,43.31,44.68
2017-03-14,聊城,89.01,1.11,56.29,40.51,115.61,58.54,29.25
2017-03-15,聊城,119.03,1.27,59.6,45.07,161.34,89.2,38.75
2017-03-16,聊城,90.99,1.21,27.8,89.48,117.74,66.31,23.84
2017-03-17,聊城,126.46,1.6,32.87,104.01,177.03,93.19,31.39
2017-03-18,聊城,144.99,1.87,53.38,88.1,200.88,109.58,32.81
2017-03-19,聊城,132.62,1.78,56.62,74.79,179.62,92.06,31.54
2017-03-20,聊城,89.79,1.19,32.53,98.74,113.1,65.57,20.67
2017-03-21,聊城,98.79,1.37,52.74,64.81,139.21,69.94,33.26
2017-03-22,聊城,99.14,1.16,40.29,110.56,120.83,61.61,30.39
2017-03-23,聊城,115.8,1.08,33.43,95.28,128.12,83.2,17.25
2017-03-24,聊城,138.58,1.11,33.08,67.08,140.1,104.42,18.75
2017-03-25,聊城,107.01,1.11,39.26,54.51,120.28,75.74,12.96
2017-03-26,聊城,57.97,0.79,34.37,74.0,69.25,30.28,19.67
2017-03-27,聊城,72.95,0.96,47.26,64.36,92.06,46.32,31.47
2017-03-28,聊城,81.9,1.18,42.43,64.38,91.0,58.73,21.26
2017-03-29,聊城,124.82,1.07,36.19,72.55,141.64,94.51,19.06
2017-03-30,聊城,130.6,1.04,47.31,54.78,165.43,98.67,23.54
2017-03-31,聊城,94.68,0.82,38.79,85.36,109.01,69.26,18.76
2017-04-01,聊城,113.94,1.01,43.98,80.1,134.25,71.16,33.62
2017-04-02,聊城,126.69,1.12,46.15,81.46,172.38,91.01,29.97
2017-04-03,聊城,113.24,0.93,49.82,96.09,161.82,81.71,29.26
2017-04-04,聊城,104.58,1.08,49.38,61.64,136.06,75.83,30.22
2017-04-05,聊城,114.31,1.01,33.29,58.54,129.44,85.07,9.51
2017-04-06,聊城,123.01,1.07,46.77,79.32,158.08,92.91,13.84
2017-04-07,聊城,203.42,1.36,62.47,82.77,244.76,158.07,16.6
2017-04-08,聊城,159.0,1.19,56.58,50.14,190.64,120.9,20.5
2017-04-09,聊城,69.78,0.63,36.57,53.45,90.8,28.72,24.2
2017-04-10,聊城,77.68,0.95,57.54,35.85,97.68,50.34,24.49
2017-04-11,聊城,113.35,1.15,49.82,47.26,138.57,79.56,18.72
2017-04-12,聊城,163.61,1.06,51.49,79.83,233.1,108.12,17.65
2017-04-13,聊城,84.05,0.7,28.52,70.67,108.44,59.5,14.76
2017-04-14,聊城,83.33,0.78,28.72,64.35,116.36,48.79,12.37
2017-04-15,聊城,118.06,1.21,37.97,80.0,161.45,86.71,19.54
2017-04-16,聊城,113.14,1.19,48.12,48.96,152.77,81.25,8.25
2017-04-17,聊城,127.71,0.82,26.6,64.62,194.17,63.46,17.04
2017-04-18,聊城,98.57,0.81,24.71,82.3,138.97,38.84,11.9
2017-04-19,聊城,98.01,1.43,44.77,55.87,141.57,46.52,25.99
2017-04-20,聊城,88.81,0.97,36.51,57.71,126.1,47.51,16.57
2017-04-21,聊城,91.68,0.87,35.38,75.4,130.85,50.41,13.04
2017-04-22,聊城,109.97,0.86,35.92,92.8,154.11,64.42,17.25
2017-04-23,聊城,83.22,0.94,23.22,119.96,106.64,50.61,22.0
2017-04-24,聊城,91.52,1.17,33.39,91.8,129.89,62.3,21.28
2017-04-25,聊城,92.56,1.3,40.49,54.82,131.38,52.41,32.54
2017-04-26,聊城,71.56,0.83,40.79,63.18,90.33,40.82,17.15
2017-04-27,聊城,82.97,0.85,45.57,59.57,113.31,46.69,18.93
2017-04-28,聊城,101.6,1.1,35.25,84.64,136.72,64.92,24.74
2017-04-29,聊城,119.58,1.06,44.21,83.91,157.24,81.45,24.62
2017-04-30,聊城,106.29,1.14,27.83,122.1,152.21,70.71,25.88
2017-05-01,聊城,132.59,1.48,43.2,79.09,210.88,86.12,34.17
2017-05-02,聊城,141.05,1.44,40.76,110.05,195.25,102.67,24.89
2017-05-03,聊城,60.33,0.88,22.51,71.49,70.43,34.08,14.72
2017-05-04,聊城,285.48,0.89,21.2,84.71,466.58,179.06,7.53
2017-05-05,聊城,426.21,0.86,35.78,68.61,703.82,306.84,12.36
2017-05-06,聊城,304.87,0.8,38.07,84.09,397.29,180.64,21.41
2017-05-07,聊城,223.18,0.87,29.69,108.0,322.16,150.28,22.74
2017-05-08,聊城,152.0,0.83,30.04,85.0,189.89,106.15,18.3
2017-05-09,聊城,99.36,0.81,25.91,102.45,122.91,64.52,10.48
2017-05-10,聊城,122.98,1.08,24.19,114.41,163.22,76.67,14.44
2017-05-11,聊城,124.29,1.19,34.12,106.29,189.14,68.53,14.33
2017-05-12,聊城,128.13,0.91,27.97,112.93,189.99,51.7,14.65
2017-05-13,聊城,128.77,0.8,29.78,99.57,200.57,57.19,9.04
2017-05-14,聊城,107.69,0.93,61.56,72.75,160.25,54.01,12.35
2017-05-15,聊城,111.37,1.0,42.67,91.51,168.6,64.26,21.25
2017-05-16,聊城,75.68,0.7,21.49,104.77,97.24,36.51,9.68
2017-05-17,聊城,84.75,0.77,17.44,130.73,115.03,40.03,17.16
2017-05-18,聊城,88.21,0.95,18.96,148.09,115.78,51.25,16.94
2017-05-19,聊城,88.19,0.78,23.03,132.22,111.48,55.74,8.29
2017-05-20,聊城,106.75,0.83,30.89,134.33,138.26,64.15,9.6
2017-05-21,聊城,108.45,0.78,27.26,151.71,142.44,67.35,10.59
2017-05-22,聊城,117.41,0.92,18.91,152.46,150.2,78.56,10.74
2017-05-23,聊城,62.69,0.82,29.47,109.89,70.31,31.56,5.25
2017-05-24,聊城,76.79,1.02,55.82,93.19,88.31,38.2,16.11
2017-05-25,聊城,80.93,0.89,40.04,119.72,108.82,40.71,24.39
2017-05-26,聊城,92.38,1.04,43.54,126.67,110.7,42.64,24.61
2017-05-27,聊城,92.83,0.8,22.64,164.5,112.03,50.61,15.65
2017-05-28,聊城,94.33,0.77,17.47,169.62,123.67,48.65,10.56
2017-05-29,聊城,98.19,0.87,22.26,164.56,125.65,50.61,11.33
2017-05-30,聊城,98.38,1.01,20.61,128.78,137.29,54.24,9.86
2017-05-31,聊城,97.26,1.25,22.88,142.9,105.82,55.44,5.19
2017-06-01,聊城,103.77,1.35,36.77,156.84,125.34,60.56,12.23
2017-06-02,聊城,113.91,1.1,34.23,140.23,165.26,47.22,16.04
2017-06-03,聊城,45.94,0.68,19.4,84.13,52.57,14.93,7.51
2017-06-04,聊城,87.22,1.08,41.36,111.12,109.0,41.47,17.51
2017-06-05,聊城,65.12,0.87,31.36,77.78,81.06,29.01,15.19
2017-06-06,聊城,36.99,0.88,17.38,85.46,35.08,20.86,4.08
2017-06-07,聊城,73.7,0.97,32.52,103.01,80.13,35.4,6.21
2017-06-08,聊城,96.1,0.96,27.92,119.49,138.74,50.66,7.81
2017-06-09,聊城,91.82,0.91,30.81,125.36,114.15,45.99,7.38
2017-06-10,聊城,125.46,1.17,42.99,117.32,190.58,70.6,8.9
2017-06-11,聊城,129.06,1.44,39.39,113.72,199.38,86.7,7.28
2017-06-12,聊城,123.53,1.44,23.83,133.0,179.42,76.97,11.08
2017-06-13,聊城,79.51,1.1,21.44,123.59,98.79,53.03,7.67
2017-06-14,聊城,113.72,0.99,29.53,151.82,131.71,66.83,13.39
2017-06-15,聊城,126.61,1.03,37.97,187.29,181.0,87.67,5.23
2017-06-16,聊城,122.46,0.96,23.79,158.11,148.32,77.12,7.49
2017-06-17,聊城,108.23,0.86,24.91,170.94,133.8,60.49,11.06
2017-06-18,聊城,85.12,0.71,20.83,163.0,96.5,42.36,9.14
2017-06-19,聊城,89.14,0.82,21.55,161.07,107.52,48.77,8.54
2017-06-20,聊城,97.49,0.99,26.79,147.32,124.28,62.77,10.01
2017-06-21,聊城,95.94,1.03,20.8,156.72,112.86,58.56,5.22
