time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,荣成,95.83,1.49,32.71,79.75,106.0,66.23,24.88
2017-01-02,荣成,174.59,2.52,49.97,54.86,169.08,132.62,21.78
2017-01-03,荣成,157.77,3.09,61.52,44.38,167.51,119.48,18.85
2017-01-04,荣成,119.67,1.55,25.79,72.77,126.62,89.33,16.88
2017-01-05,荣成,26.79,0.56,10.75,72.15,20.96,13.65,6.33
2017-01-06,荣成,41.54,0.64,17.19,64.94,39.91,24.61,10.06
2017-01-07,荣成,45.13,0.65,19.11,63.67,39.25,30.74,9.33
2017-01-08,荣成,44.28,0.75,11.64,73.06,38.57,31.39,8.28
2017-01-09,荣成,32.48,0.6,11.19,68.13,29.04,18.03,12.1
2017-01-10,荣成,42.35,0.65,16.83,54.81,38.58,25.25,17.56
2017-01-11,荣成,53.57,0.81,23.89,50.83,53.83,35.91,16.89
2017-01-12,荣成,92.69,1.14,30.48,47.96,99.17,67.48,22.42
2017-01-13,荣成,36.5,0.56,10.46,64.81,35.0,19.81,8.94
2017-01-14,荣成,34.06,0.42,3.79,66.67,34.47,9.02,4.52
2017-01-15,荣成,27.09,0.56,8.43,57.89,22.16,14.33,5.2
2017-01-16,荣成,56.15,0.98,19.54,49.15,54.86,38.44,10.62
2017-01-17,荣成,75.79,1.06,25.65,50.12,79.14,54.75,19.0
2017-01-18,荣成,88.65,0.97,23.12,62.58,91.4,65.21,17.83
2017-01-19,荣成,96.46,1.11,31.69,48.44,100.53,71.52,17.62
2017-01-20,荣成,30.19,0.38,6.69,66.9,27.14,15.29,6.81
2017-01-21,荣成,48.31,0.64,14.97,66.86,52.14,30.22,12.67
2017-01-22,荣成,33.6,0.35,4.83,69.21,33.09,11.58,5.17
2017-01-23,荣成,31.23,0.52,9.04,69.19,24.41,17.48,6.19
2017-01-24,荣成,38.04,0.66,12.67,64.23,34.18,23.56,11.62
2017-01-25,荣成,59.56,0.8,16.73,80.46,68.33,41.27,15.35
2017-01-26,荣成,89.47,0.94,13.94,92.26,97.22,64.65,8.44
2017-01-27,荣成,41.58,0.38,3.83,73.83,42.26,10.6,6.31
2017-01-28,荣成,44.95,0.46,6.41,68.57,42.62,21.41,9.64
2017-01-29,荣成,32.2,0.62,6.74,65.54,28.76,11.67,5.15
2017-01-30,荣成,26.38,0.43,3.12,70.15,22.55,6.21,5.08
2017-01-31,荣成,28.1,0.62,7.58,65.48,23.15,10.67,9.4
2017-02-01,荣成,38.35,0.69,7.87,69.39,34.76,14.93,12.26
2017-02-02,荣成,41.75,0.55,9.42,77.71,42.05,25.92,9.71
2017-02-03,荣成,88.58,1.08,17.39,99.61,91.97,66.1,19.76
2017-02-04,荣成,44.43,0.86,17.46,69.93,45.31,29.17,8.43
2017-02-05,荣成,132.77,1.39,21.15,58.0,139.27,100.21,13.54
2017-02-06,荣成,30.12,0.51,5.44,75.38,27.7,13.19,9.21
2017-02-07,荣成,28.37,0.48,5.39,75.52,22.4,14.15,10.72
2017-02-08,荣成,40.96,0.47,9.06,68.21,40.44,22.65,14.77
2017-02-09,荣成,41.94,0.29,3.5,76.58,44.06,10.44,10.54
2017-02-10,荣成,35.15,0.41,4.06,74.1,35.02,12.62,10.69
2017-02-11,荣成,43.06,0.53,8.73,69.15,43.32,19.23,14.6
2017-02-12,荣成,61.21,0.6,11.15,72.25,41.56,42.0,18.46
2017-02-13,荣成,77.25,0.77,15.04,86.23,81.17,56.1,18.75
2017-02-14,荣成,86.92,0.81,21.56,79.52,83.31,62.44,18.9
2017-02-15,荣成,76.67,0.73,13.15,107.79,69.84,54.15,16.71
2017-02-16,荣成,59.83,0.59,13.08,96.81,64.05,41.06,15.42
2017-02-17,荣成,34.27,0.37,5.81,75.44,33.75,12.28,11.1
2017-02-18,荣成,42.5,0.7,15.5,64.46,45.3,23.75,20.35
2017-02-19,荣成,55.54,0.59,13.04,71.85,61.43,31.23,14.85
2017-02-20,荣成,59.69,0.46,4.77,70.04,70.77,21.5,13.98
2017-02-21,荣成,29.12,0.47,6.1,71.69,26.7,13.48,13.94
2017-02-22,荣成,31.67,0.65,9.29,67.33,28.46,18.12,12.56
2017-02-23,荣成,26.06,0.45,5.0,64.54,21.12,11.92,11.56
2017-02-24,荣成,47.9,0.86,22.06,50.21,47.98,31.54,17.77
2017-02-25,荣成,55.48,0.99,27.67,42.98,55.64,36.44,22.0
2017-02-26,荣成,36.92,0.66,23.29,43.71,34.41,21.75,15.58
2017-02-27,荣成,52.73,0.81,26.52,46.04,53.31,34.23,31.4
2017-02-28,荣成,65.77,0.86,27.52,63.81,74.11,44.5,23.38
2017-03-01,荣成,64.88,0.8,16.44,64.02,65.84,43.62,12.85
2017-03-02,荣成,41.96,0.65,12.67,56.65,42.13,18.7,11.28
2017-03-03,荣成,63.73,0.87,20.6,59.79,72.85,38.08,14.44
2017-03-04,荣成,74.48,0.89,26.21,62.46,87.48,50.58,18.9
2017-03-05,荣成,61.67,0.81,16.9,60.15,66.73,42.98,11.73
2017-03-06,荣成,36.38,0.65,14.48,53.81,36.02,17.35,13.4
2017-03-07,荣成,33.02,0.57,9.1,55.31,32.07,13.79,8.94
2017-03-08,荣成,46.13,0.73,16.11,49.3,46.72,22.2,13.13
2017-03-09,荣成,59.6,0.96,30.29,42.21,69.51,30.42,23.02
2017-03-10,荣成,76.65,1.05,37.62,54.25,88.71,50.19,21.42
2017-03-11,荣成,81.81,0.79,30.94,55.21,90.41,58.27,16.44
2017-03-12,荣成,62.92,0.55,18.35,63.6,64.33,38.48,13.17
