time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,莱州,233.21,2.71,62.84,34.53,252.05,183.47,30.05
2017-01-02,莱州,194.88,2.41,48.6,24.88,203.82,152.43,10.93
2017-01-03,莱州,210.58,3.32,66.27,36.21,233.28,168.15,33.06
2017-01-04,莱州,213.89,3.07,65.04,18.87,225.72,168.74,20.39
2017-01-05,莱州,85.04,1.17,31.85,42.48,93.96,54.29,22.38
2017-01-06,莱州,65.81,1.31,47.12,29.06,78.04,42.42,27.35
2017-01-07,莱州,85.57,1.41,46.77,22.55,95.17,62.8,14.02
2017-01-08,莱州,79.44,1.34,24.12,43.08,78.52,57.31,9.29
2017-01-09,莱州,95.93,1.47,36.8,31.39,103.72,58.52,14.46
2017-01-10,莱州,77.65,1.43,38.44,27.29,90.69,48.23,19.48
2017-01-11,莱州,95.42,1.54,43.42,33.48,114.5,64.69,23.92
2017-01-12,莱州,226.92,2.93,69.4,16.98,259.23,181.04,35.71
2017-01-13,莱州,99.92,1.54,37.83,35.92,111.12,66.02,23.67
2017-01-14,莱州,59.21,1.0,27.08,34.31,70.19,26.56,19.38
2017-01-15,莱州,46.87,1.03,30.43,33.36,49.87,23.0,21.36
2017-01-16,莱州,61.77,1.15,37.88,30.46,71.12,38.08,26.35
2017-01-17,莱州,120.44,2.01,52.04,29.42,138.88,90.67,41.81
2017-01-18,莱州,189.67,2.81,34.12,27.92,201.83,147.58,41.17
2017-01-19,莱州,156.78,2.16,30.33,27.83,168.39,121.33,30.56
2017-01-20,莱州,,,,,,,
2017-01-21,莱州,58.67,0.86,19.89,44.33,64.11,22.78,13.33
2017-01-22,莱州,31.17,1.21,20.71,41.21,30.96,8.92,14.12
2017-01-23,莱州,59.96,1.58,57.67,25.33,70.79,33.62,19.79
2017-01-24,莱州,88.17,1.82,65.5,32.79,104.25,62.08,29.54
2017-01-25,莱州,123.75,2.13,54.42,44.96,137.87,92.75,26.75
2017-01-26,莱州,140.65,1.85,28.29,52.24,159.0,108.0,13.65
2017-01-27,莱州,76.88,1.12,14.42,43.71,85.0,40.96,16.17
2017-01-28,莱州,60.83,0.93,9.74,49.78,57.73,32.43,11.48
2017-01-29,莱州,41.13,0.92,4.48,34.96,46.24,22.68,3.83
2017-01-30,莱州,36.92,0.99,10.52,42.0,36.88,9.29,11.79
2017-01-31,莱州,59.46,1.63,25.71,43.79,66.54,36.46,23.42
2017-02-01,莱州,60.88,1.17,18.08,37.83,69.87,32.88,11.29
2017-02-02,莱州,56.58,1.31,30.12,46.58,65.79,27.42,21.42
2017-02-03,莱州,165.83,2.37,54.21,54.08,191.21,126.42,34.29
2017-02-04,莱州,130.87,1.88,46.57,31.74,146.87,96.04,14.65
2017-02-05,莱州,185.92,2.17,49.96,28.21,197.29,141.75,12.0
2017-02-06,莱州,55.17,1.26,32.92,31.71,63.62,24.79,12.79
2017-02-07,莱州,51.26,1.02,21.96,40.39,56.55,25.65,17.39
2017-02-08,莱州,51.12,1.04,19.17,43.96,55.13,24.96,13.46
2017-02-09,莱州,55.83,1.17,19.71,43.42,63.58,13.33,11.62
2017-02-10,莱州,46.42,1.09,17.21,44.04,49.54,10.04,10.75
2017-02-11,莱州,115.04,1.78,59.29,25.79,130.09,72.33,47.0
2017-02-12,莱州,77.5,1.53,40.42,52.71,91.12,51.17,34.88
2017-02-13,莱州,143.45,1.83,57.13,37.32,163.17,111.9,31.29
2017-02-14,莱州,126.75,1.92,41.88,42.92,139.47,94.0,26.15
2017-02-15,莱州,121.52,1.28,19.1,104.33,152.0,90.94,23.56
2017-02-16,莱州,117.73,1.21,20.77,79.58,138.19,82.46,19.4
2017-02-17,莱州,52.9,0.92,16.29,54.23,57.71,16.71,15.25
2017-02-18,莱州,82.19,1.32,33.46,51.12,110.23,54.08,27.9
2017-02-19,莱州,132.02,1.4,28.79,57.88,179.27,89.04,19.08
2017-02-20,莱州,72.31,0.72,5.6,61.27,93.58,19.08,9.1
2017-02-21,莱州,56.17,1.08,28.35,47.71,62.92,28.15,17.62
2017-02-22,莱州,63.5,1.05,18.0,59.71,60.19,43.4,6.52
2017-02-23,莱州,81.06,1.32,25.58,50.38,79.72,52.23,15.5
2017-02-24,莱州,77.56,1.64,42.0,51.83,92.44,52.17,44.71
2017-02-25,莱州,89.53,1.9,49.38,39.58,107.53,62.92,52.4
2017-02-26,莱州,68.79,1.38,27.84,60.17,85.0,39.06,27.02
2017-02-27,莱州,96.6,1.21,22.15,79.04,125.29,68.23,37.94
2017-02-28,莱州,128.43,1.06,20.57,104.32,168.36,94.87,30.66
2017-03-01,莱州,124.55,0.94,20.51,69.28,142.96,82.23,16.4
2017-03-02,莱州,80.11,1.13,29.93,59.43,101.26,45.39,32.52
2017-03-03,莱州,87.33,0.92,19.02,80.29,119.42,55.4,26.33
2017-03-04,莱州,164.81,1.72,54.54,58.69,209.67,126.65,50.42
2017-03-05,莱州,99.36,0.89,18.93,75.68,121.67,66.45,17.64
2017-03-06,莱州,73.08,1.0,26.7,62.0,94.62,40.17,29.88
2017-03-07,莱州,52.83,0.69,12.43,78.0,57.79,22.54,15.94
2017-03-08,莱州,77.04,1.12,29.61,56.97,92.28,49.1,47.65
2017-03-09,莱州,77.26,1.31,43.33,48.41,102.98,45.3,56.1
2017-03-10,莱州,77.25,1.15,35.25,77.35,98.96,50.21,34.42
2017-03-11,莱州,105.17,0.91,18.04,153.18,131.0,75.46,22.44
2017-03-12,莱州,81.21,0.55,18.75,82.17,97.81,46.64,17.0
2017-03-13,莱州,46.71,0.45,17.94,70.42,49.94,15.98,14.23
2017-03-14,莱州,75.15,0.97,40.73,64.54,92.0,48.23,48.08
2017-03-15,莱州,66.59,0.85,37.78,65.35,82.6,40.78,26.7
2017-03-16,莱州,85.77,0.8,31.35,94.73,111.49,57.42,32.94
2017-03-17,莱州,77.91,0.7,18.24,136.26,103.96,50.26,19.0
2017-03-18,莱州,105.21,0.81,25.71,129.98,132.0,71.15,28.17
2017-03-19,莱州,102.87,0.82,29.21,99.32,122.43,72.3,17.91
2017-03-20,莱州,109.98,0.85,31.0,98.02,135.17,77.83,21.21
2017-03-21,莱州,50.33,0.49,20.6,67.15,54.42,18.56,15.25
2017-03-22,莱州,54.56,0.58,25.19,71.17,61.4,27.4,13.1
2017-03-23,莱州,66.23,0.6,26.38,80.0,81.81,36.46,17.21
2017-03-24,莱州,55.1,0.5,18.76,96.34,59.15,32.61,10.17
2017-03-25,莱州,70.98,0.7,21.48,63.06,67.32,50.81,7.17
2017-03-26,莱州,103.19,1.13,33.02,56.15,109.2,74.98,14.04
2017-03-27,莱州,66.87,0.98,31.33,54.26,74.7,43.61,22.24
2017-03-28,莱州,47.94,0.64,19.25,76.12,43.73,28.83,8.21
2017-03-29,莱州,73.73,0.77,24.19,76.29,80.02,51.65,9.04
2017-03-30,莱州,119.52,1.0,28.54,75.85,138.46,89.42,14.38
2017-03-31,莱州,70.5,0.58,22.15,82.31,78.04,47.71,11.17
2017-04-01,莱州,127.28,1.2,37.61,99.48,152.43,93.96,30.24
2017-04-02,莱州,77.47,0.7,30.55,81.21,96.19,44.13,17.45
2017-04-03,莱州,103.91,0.95,31.38,110.25,138.38,75.33,28.98
2017-04-04,莱州,80.89,0.59,13.17,143.09,109.72,42.04,13.15
2017-04-05,莱州,46.38,0.46,11.19,101.79,45.16,28.52,7.23
2017-04-06,莱州,87.41,0.69,18.54,108.98,94.46,62.89,9.22
2017-04-07,莱州,143.7,1.18,36.91,73.54,161.09,108.78,13.54
2017-04-08,莱州,95.34,0.9,30.43,52.94,109.7,70.3,10.7
2017-04-09,莱州,58.96,0.5,18.9,60.25,69.0,20.65,13.35
2017-04-10,莱州,58.5,0.63,29.06,68.96,67.75,27.23,21.69
2017-04-11,莱州,68.61,0.6,21.3,67.7,85.77,27.52,13.09
2017-04-12,莱州,77.19,0.76,31.35,83.81,103.65,35.44,24.79
2017-04-13,莱州,87.35,0.79,23.46,97.35,118.17,56.0,15.74
2017-04-14,莱州,71.42,0.82,21.12,112.38,93.71,41.35,21.25
2017-04-15,莱州,77.9,0.69,17.65,108.48,104.9,39.65,16.88
2017-04-16,莱州,85.08,0.81,17.08,125.81,116.56,50.73,16.96
2017-04-17,莱州,82.3,0.85,16.36,123.18,107.61,51.8,15.18
2017-04-18,莱州,82.76,0.61,12.33,90.33,114.96,32.35,13.15
2017-04-19,莱州,68.48,0.58,18.17,86.73,86.44,23.19,14.17
2017-04-20,莱州,63.81,0.6,13.48,99.21,77.12,32.67,13.04
2017-04-21,莱州,60.4,0.59,15.21,93.35,71.69,27.96,9.17
2017-04-22,莱州,77.36,0.78,21.72,100.06,104.23,37.13,23.11
2017-04-23,莱州,82.49,0.7,10.47,151.7,110.55,39.66,16.55
2017-04-24,莱州,99.23,0.96,17.5,137.73,137.48,64.69,18.31
2017-04-25,莱州,96.54,0.9,23.62,70.09,117.85,64.73,12.92
2017-04-26,莱州,57.73,0.86,25.9,71.12,67.0,26.6,18.19
2017-04-27,莱州,66.79,0.8,26.4,78.15,83.69,30.83,27.96
2017-04-28,莱州,81.94,1.07,30.56,81.92,113.52,39.42,36.88
2017-04-29,莱州,77.22,0.98,24.98,121.48,109.72,45.37,41.13
2017-04-30,莱州,103.09,0.93,22.51,104.0,162.33,49.91,30.46
2017-05-01,莱州,73.26,0.49,7.72,130.13,95.89,28.46,11.89
2017-05-02,莱州,60.68,0.5,7.52,129.59,63.0,25.07,12.02
2017-05-03,莱州,47.6,0.46,7.42,88.98,49.13,24.83,9.15
2017-05-04,莱州,44.62,0.69,15.0,75.12,45.75,25.71,13.32
2017-05-05,莱州,88.77,0.57,18.33,73.4,116.09,36.15,9.98
2017-05-06,莱州,103.75,0.66,31.33,92.71,157.17,43.31,22.42
2017-05-07,莱州,147.0,1.06,40.98,134.75,241.38,92.42,36.65
2017-05-08,莱州,120.71,0.93,35.23,109.42,190.04,69.9,27.25
2017-05-09,莱州,34.67,0.45,10.95,99.19,26.86,8.1,9.12
2017-05-10,莱州,61.5,0.71,22.19,105.88,78.09,35.33,15.08
2017-05-11,莱州,102.27,1.11,23.83,151.29,135.65,65.42,26.73
2017-05-12,莱州,187.67,0.54,11.81,105.0,283.73,51.08,17.06
2017-05-13,莱州,94.77,0.79,21.77,105.62,139.15,40.25,22.94
2017-05-14,莱州,51.4,0.6,24.19,69.15,58.73,13.61,20.35
2017-05-15,莱州,48.89,0.67,29.64,91.43,48.55,14.23,27.84
2017-05-16,莱州,69.89,0.83,34.98,114.56,69.76,27.76,30.26
2017-05-17,莱州,80.7,0.78,17.41,154.66,93.91,29.58,23.66
2017-05-18,莱州,97.26,0.89,18.24,202.67,108.41,38.72,25.52
2017-05-19,莱州,90.67,0.83,20.1,190.69,95.4,33.04,27.94
2017-05-20,莱州,52.27,0.57,16.52,121.55,52.79,18.27,23.95
2017-05-21,莱州,47.09,0.56,11.36,102.27,49.5,21.64,22.7
2017-05-22,莱州,46.89,0.58,12.53,97.69,52.31,21.97,24.42
2017-05-23,莱州,35.36,0.5,9.18,91.5,30.35,8.93,16.54
2017-05-24,莱州,65.08,0.8,44.92,102.66,66.47,27.25,31.56
2017-05-25,莱州,66.79,0.76,23.88,93.52,84.15,24.77,23.65
2017-05-26,莱州,56.2,0.64,38.98,88.49,61.55,20.07,16.36
2017-05-27,莱州,89.35,0.84,26.15,169.83,87.04,34.33,24.04
2017-05-28,莱州,89.23,0.74,18.42,160.56,102.0,31.4,20.48
2017-05-29,莱州,90.73,0.92,23.92,185.5,94.12,41.02,27.77
2017-05-30,莱州,85.06,1.0,24.02,166.85,111.39,48.33,31.31
2017-05-31,莱州,68.85,0.78,25.81,113.98,79.15,35.73,27.62
2017-06-01,莱州,52.84,0.65,17.89,120.09,56.59,23.09,26.75
2017-06-02,莱州,49.56,0.46,16.08,96.38,54.32,10.0,18.17
2017-06-03,莱州,34.29,0.52,16.73,84.62,30.51,7.83,14.08
2017-06-04,莱州,59.06,0.59,24.33,110.33,79.12,23.73,15.52
2017-06-05,莱州,46.02,0.52,14.85,110.39,52.0,15.54,12.43
2017-06-06,莱州,36.06,0.56,14.42,97.15,28.02,10.96,6.08
2017-06-07,莱州,54.02,0.74,14.12,128.38,51.42,27.77,10.94
2017-06-08,莱州,79.71,0.82,20.46,152.4,89.88,37.98,14.79
2017-06-09,莱州,80.94,0.88,22.21,154.1,82.79,33.12,17.25
2017-06-10,莱州,69.35,0.74,16.46,117.73,85.85,30.08,12.6
