time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,莱芜,280.37,2.48,68.11,11.61,335.91,226.67,89.93
2017-01-02,莱芜,271.17,2.36,68.7,22.31,322.53,215.28,86.02
2017-01-03,莱芜,355.49,3.84,82.85,11.44,438.64,303.79,79.75
2017-01-04,莱芜,280.26,1.84,81.43,9.06,328.94,225.92,62.78
2017-01-05,莱芜,193.73,1.61,64.54,22.52,224.53,150.01,46.41
2017-01-06,莱芜,194.35,1.92,71.39,15.72,245.5,153.61,64.93
2017-01-07,莱芜,99.91,0.99,59.56,10.26,110.21,73.65,38.03
2017-01-08,莱芜,91.44,1.27,38.24,25.28,96.15,67.47,43.47
2017-01-09,莱芜,165.14,2.09,53.39,15.8,194.97,125.25,65.57
2017-01-10,莱芜,158.11,1.81,55.1,17.96,193.43,119.81,61.74
2017-01-11,莱芜,181.31,1.84,54.06,19.83,214.54,137.82,65.0
2017-01-12,莱芜,333.04,3.18,67.81,7.9,407.58,270.62,94.06
2017-01-13,莱芜,188.26,2.18,47.17,27.02,247.7,137.44,45.54
2017-01-14,莱芜,84.54,1.41,43.79,20.28,115.81,54.76,44.53
2017-01-15,莱芜,82.67,1.25,41.72,20.44,102.61,55.64,50.21
2017-01-16,莱芜,179.56,1.99,55.12,13.46,222.89,136.47,85.72
2017-01-17,莱芜,187.33,1.75,51.01,22.15,230.59,143.93,77.92
2017-01-18,莱芜,227.49,2.02,58.11,15.15,263.97,177.57,78.49
2017-01-19,莱芜,216.93,1.7,40.99,30.08,276.99,158.75,56.85
2017-01-20,莱芜,58.08,0.98,24.07,41.31,68.29,29.7,36.08
2017-01-21,莱芜,92.28,1.12,41.76,26.72,122.19,62.65,60.6
2017-01-22,莱芜,71.06,1.04,41.25,24.97,89.07,41.01,54.15
2017-01-23,莱芜,109.89,1.28,54.89,18.94,141.72,81.14,84.76
2017-01-24,莱芜,165.79,1.86,66.11,20.64,201.65,126.83,77.35
2017-01-25,莱芜,164.93,1.32,57.9,26.81,186.1,122.99,71.01
2017-01-26,莱芜,142.35,0.97,35.02,48.84,169.2,107.14,54.43
2017-01-27,莱芜,77.04,0.89,29.1,46.29,90.61,50.68,52.35
2017-01-28,莱芜,100.22,0.81,29.17,33.67,117.16,68.44,41.12
2017-01-29,莱芜,107.04,1.17,28.17,27.83,113.43,79.07,40.32
2017-01-30,莱芜,50.92,0.59,19.43,48.65,51.72,28.9,40.5
2017-01-31,莱芜,82.74,0.94,33.15,32.93,96.49,59.26,61.92
2017-02-01,莱芜,108.82,0.82,33.54,34.11,120.86,80.14,46.65
2017-02-02,莱芜,143.58,1.07,44.32,36.38,169.38,107.39,69.28
2017-02-03,莱芜,200.99,1.14,43.22,43.86,218.06,157.9,68.74
2017-02-04,莱芜,172.26,0.92,37.3,23.78,187.74,130.86,51.67
2017-02-05,莱芜,145.97,0.99,38.93,37.35,162.58,108.49,37.1
2017-02-06,莱芜,94.76,0.97,45.86,31.43,112.99,67.93,61.07
2017-02-07,莱芜,65.45,0.54,34.1,36.36,75.12,41.42,37.96
2017-02-08,莱芜,79.19,0.89,33.65,41.45,93.2,54.81,43.82
2017-02-09,莱芜,58.33,0.5,21.45,49.72,65.97,27.91,28.84
2017-02-10,莱芜,58.39,0.55,29.56,41.83,65.42,28.92,39.74
2017-02-11,莱芜,142.86,1.22,55.99,23.18,183.53,103.35,87.57
2017-02-12,莱芜,181.75,1.28,56.83,29.24,210.9,139.96,81.03
2017-02-13,莱芜,179.11,1.6,71.51,30.06,218.68,136.53,93.1
2017-02-14,莱芜,237.31,1.62,77.31,36.4,269.51,187.65,76.61
2017-02-15,莱芜,194.01,1.33,65.54,56.68,226.96,151.61,68.14
2017-02-16,莱芜,160.12,0.81,42.55,67.99,199.32,107.54,45.8
2017-02-17,莱芜,66.43,0.52,32.89,48.29,81.16,33.24,32.97
2017-02-18,莱芜,115.06,0.91,53.9,28.44,163.58,82.85,70.93
2017-02-19,莱芜,170.88,1.02,39.6,60.83,219.86,130.49,52.07
2017-02-20,莱芜,107.44,0.61,22.12,59.44,155.42,49.71,29.14
2017-02-21,莱芜,56.18,0.58,29.36,49.21,64.35,30.76,23.47
2017-02-22,莱芜,101.78,1.05,35.3,37.59,102.19,75.84,33.3
2017-02-23,莱芜,91.89,0.84,38.58,40.14,100.23,65.54,33.25
2017-02-24,莱芜,107.54,1.09,52.24,33.77,135.36,79.29,57.96
2017-02-25,莱芜,139.22,1.22,55.54,31.06,168.13,104.14,64.25
2017-02-26,莱芜,104.78,0.93,55.18,30.89,134.03,77.75,55.1
2017-02-27,莱芜,141.94,1.03,48.29,47.94,170.03,107.2,61.27
2017-02-28,莱芜,135.68,0.97,53.9,61.8,166.07,102.25,62.29
2017-03-01,莱芜,90.69,0.8,43.29,32.83,114.96,63.12,36.38
2017-03-02,莱芜,90.17,0.91,38.55,36.9,116.46,60.2,35.06
2017-03-03,莱芜,97.15,0.8,49.22,48.81,139.14,64.6,53.78
2017-03-04,莱芜,165.28,1.68,73.7,35.81,222.59,125.39,78.87
2017-03-05,莱芜,165.71,1.09,57.71,37.59,207.0,125.24,50.67
2017-03-06,莱芜,103.27,1.08,47.34,45.03,144.2,71.85,48.8
2017-03-07,莱芜,63.89,0.51,27.17,49.31,70.88,36.33,28.43
2017-03-08,莱芜,82.3,1.08,44.93,36.77,114.47,49.22,50.65
2017-03-09,莱芜,108.65,1.2,55.99,34.35,153.09,78.01,61.57
2017-03-10,莱芜,106.85,1.02,62.72,34.71,150.89,75.06,59.79
2017-03-11,莱芜,143.53,1.02,72.26,60.96,184.11,108.49,61.42
2017-03-12,莱芜,137.92,0.69,47.25,54.21,175.46,93.65,43.44
2017-03-13,莱芜,69.61,0.56,42.94,54.19,89.11,33.44,37.25
2017-03-14,莱芜,86.82,0.92,55.07,39.99,119.89,56.89,44.07
2017-03-15,莱芜,88.97,0.81,53.87,44.9,117.58,59.45,45.43
2017-03-16,莱芜,70.33,0.78,51.14,52.19,88.99,40.33,37.89
2017-03-17,莱芜,102.57,0.8,55.06,64.74,136.58,73.17,46.68
2017-03-18,莱芜,124.71,1.04,57.07,74.64,159.94,93.43,41.88
2017-03-19,莱芜,94.33,0.87,51.4,56.14,120.17,61.94,36.31
2017-03-20,莱芜,115.33,1.09,42.07,68.58,150.76,85.86,43.01
2017-03-21,莱芜,79.82,0.78,37.96,60.39,100.23,52.82,34.51
2017-03-22,莱芜,81.22,0.93,36.87,51.86,108.41,48.48,30.97
2017-03-23,莱芜,108.11,0.91,35.19,61.76,130.56,76.72,32.31
2017-03-24,莱芜,86.64,0.92,27.44,50.93,94.18,63.01,24.11
2017-03-25,莱芜,105.72,1.32,27.92,51.03,98.45,79.1,16.35
2017-03-26,莱芜,90.01,1.47,36.79,40.21,120.57,60.61,28.07
2017-03-27,莱芜,80.3,1.4,42.72,42.2,107.52,53.83,35.59
2017-03-28,莱芜,69.58,1.03,22.86,60.69,73.47,48.74,14.99
2017-03-29,莱芜,119.42,2.29,52.19,42.14,141.51,89.57,35.89
2017-03-30,莱芜,172.94,2.21,62.14,40.9,205.44,131.06,45.83
2017-03-31,莱芜,114.62,1.43,29.35,71.42,123.33,85.68,23.72
2017-04-01,莱芜,113.06,1.67,44.84,43.69,142.71,81.33,30.65
2017-04-02,莱芜,105.21,1.6,49.81,59.79,140.97,75.36,42.19
2017-04-03,莱芜,108.16,1.62,58.94,60.32,145.18,77.14,34.42
2017-04-04,莱芜,83.83,1.49,46.03,65.99,105.91,58.42,29.23
2017-04-05,莱芜,71.78,1.52,28.68,65.56,77.5,50.64,14.93
2017-04-06,莱芜,114.86,2.29,44.67,71.67,145.28,84.75,26.88
2017-04-07,莱芜,182.51,2.44,57.88,68.82,233.68,139.51,30.07
2017-04-08,莱芜,178.75,2.17,58.86,33.97,231.91,138.62,21.88
2017-04-09,莱芜,54.54,1.21,22.89,66.34,57.21,23.18,10.75
2017-04-10,莱芜,52.87,1.44,39.68,52.33,58.51,24.17,20.12
2017-04-11,莱芜,81.35,1.63,40.9,56.0,104.1,49.42,25.52
2017-04-12,莱芜,95.06,1.65,43.22,65.29,131.04,60.16,26.24
2017-04-13,莱芜,77.29,1.43,21.22,84.08,101.69,44.86,16.78
2017-04-14,莱芜,71.67,1.75,38.82,57.92,92.15,42.01,22.92
2017-04-15,莱芜,114.06,2.22,52.19,59.12,168.18,74.31,29.43
2017-04-16,莱芜,122.85,2.16,50.1,63.79,171.42,85.51,28.75
2017-04-17,莱芜,107.0,1.6,28.08,82.43,163.94,51.58,14.9
2017-04-18,莱芜,99.1,1.17,20.32,74.51,147.7,32.1,12.78
2017-04-19,莱芜,72.65,1.37,27.51,53.66,97.71,30.03,18.06
2017-04-20,莱芜,68.31,1.38,22.71,60.14,88.29,29.93,16.51
2017-04-21,莱芜,80.43,1.36,24.6,76.81,104.01,48.01,14.04
2017-04-22,莱芜,91.03,1.45,29.06,73.0,128.94,56.08,24.11
2017-04-23,莱芜,74.32,1.24,15.42,104.08,98.12,34.6,25.03
2017-04-24,莱芜,86.65,1.47,27.97,102.34,121.83,48.94,27.79
2017-04-25,莱芜,72.63,1.41,36.73,72.17,91.97,43.63,21.37
2017-04-26,莱芜,71.43,1.33,33.65,65.11,88.24,41.0,18.93
2017-04-27,莱芜,83.22,1.48,40.36,53.25,113.42,46.3,30.77
2017-04-28,莱芜,87.52,1.77,40.32,68.06,124.07,48.97,44.01
2017-04-29,莱芜,107.97,2.08,58.39,70.97,162.93,65.96,50.97
2017-04-30,莱芜,96.42,1.43,37.19,102.33,141.44,52.08,32.56
2017-05-01,莱芜,104.2,1.48,39.01,112.96,156.8,61.51,29.72
2017-05-02,莱芜,81.77,1.25,27.64,111.38,110.36,44.9,25.65
2017-05-03,莱芜,63.01,1.1,18.58,73.28,76.08,23.43,21.67
2017-05-04,莱芜,61.84,1.22,22.24,70.79,71.73,39.24,12.12
2017-05-05,莱芜,266.26,1.33,35.57,62.35,390.77,128.28,16.17
2017-05-06,莱芜,325.56,1.4,41.03,69.14,441.9,161.65,32.81
2017-05-07,莱芜,226.46,1.78,37.18,88.4,335.4,138.25,45.75
2017-05-08,莱芜,142.29,1.64,50.51,63.49,214.82,98.36,44.72
2017-05-09,莱芜,65.9,0.96,24.1,92.0,75.83,36.17,22.62
2017-05-10,莱芜,97.56,1.5,43.49,84.11,141.58,57.46,43.1
2017-05-11,莱芜,119.4,1.57,50.47,83.8,181.01,68.76,46.72
2017-05-12,莱芜,127.99,0.87,24.69,96.7,181.83,59.11,23.73
2017-05-13,莱芜,107.53,0.92,24.29,93.32,166.98,47.71,18.14
