time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,莱西,259.55,3.38,63.0,22.53,275.03,210.47,55.13
2017-01-02,莱西,167.2,2.4,47.9,25.02,165.28,127.03,19.15
2017-01-03,莱西,209.21,3.62,70.93,15.71,215.62,166.27,45.35
2017-01-04,莱西,257.5,3.5,71.9,16.6,266.94,209.94,52.54
2017-01-05,莱西,96.33,1.51,44.94,26.9,104.94,70.94,39.98
2017-01-06,莱西,67.48,1.27,43.02,32.1,71.08,46.79,33.67
2017-01-07,莱西,86.07,1.52,41.85,21.63,84.18,63.41,28.15
2017-01-08,莱西,68.92,1.47,24.67,40.44,61.84,49.73,19.08
2017-01-09,莱西,76.33,1.05,28.59,37.8,73.98,50.0,17.15
2017-01-10,莱西,64.29,1.12,33.69,32.4,70.67,41.79,28.6
2017-01-11,莱西,93.44,1.41,49.98,26.88,103.27,67.79,40.48
2017-01-12,莱西,210.6,2.67,73.67,16.79,233.69,166.25,47.85
2017-01-13,莱西,107.35,1.3,39.67,34.24,107.2,77.2,35.13
2017-01-14,莱西,53.21,0.8,30.38,33.22,59.6,29.94,23.98
2017-01-15,莱西,38.46,0.58,27.31,37.93,38.4,24.56,25.35
2017-01-16,莱西,73.81,1.38,47.04,22.98,81.1,52.21,53.25
2017-01-17,莱西,127.62,1.96,49.35,17.87,134.31,96.33,58.5
2017-01-18,莱西,156.35,2.05,57.19,21.02,165.56,119.46,48.73
2017-01-19,莱西,169.9,2.06,51.71,16.77,175.94,130.46,41.27
2017-01-20,莱西,51.46,0.94,21.46,48.5,50.81,31.5,23.96
2017-01-21,莱西,119.77,1.78,44.47,32.0,115.79,89.11,44.57
2017-01-22,莱西,36.13,0.79,22.19,48.37,34.62,21.3,20.47
2017-01-23,莱西,87.88,1.72,42.15,28.57,84.89,64.1,41.42
2017-01-24,莱西,143.85,2.48,57.02,27.23,145.62,110.02,58.94
2017-01-25,莱西,157.98,2.62,53.02,28.17,181.9,123.89,49.42
2017-01-26,莱西,152.71,1.51,34.85,48.06,147.5,118.44,28.79
