time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,青岛,171.1,1.68,48.01,53.34,202.23,134.63,27.78
2017-01-02,青岛,228.78,2.29,66.68,21.91,258.24,181.43,34.07
2017-01-03,青岛,173.83,2.24,66.85,48.36,202.75,138.07,31.79
2017-01-04,青岛,259.72,3.18,85.54,20.57,343.39,246.42,43.14
2017-01-05,青岛,110.14,1.43,58.3,26.01,153.24,85.16,29.31
2017-01-06,青岛,63.21,0.93,48.06,29.14,84.45,43.65,28.79
2017-01-07,青岛,56.14,0.93,49.78,27.1,60.62,38.58,16.67
2017-01-08,青岛,70.23,0.96,27.48,40.5,72.03,50.75,17.88
2017-01-09,青岛,124.72,1.53,42.41,29.11,137.71,92.32,35.38
2017-01-10,青岛,101.16,1.26,48.32,22.31,123.39,72.95,49.72
2017-01-11,青岛,,,,,,,
2017-01-12,青岛,,,,,,,
2017-01-13,青岛,,,,,,,
2017-01-14,青岛,,,,,,,
2017-01-15,青岛,,,,,,,
2017-01-16,青岛,,,,,,,
2017-01-17,青岛,59.06,0.86,47.17,57.0,61.34,43.18,21.0
2017-01-18,青岛,125.27,1.53,63.19,35.48,146.16,101.15,38.9
2017-01-19,青岛,149.57,1.78,54.46,34.91,170.11,113.05,36.62
2017-01-20,青岛,47.06,0.6,19.19,63.1,51.69,19.27,22.45
2017-01-21,青岛,61.21,0.81,34.59,51.66,72.62,35.78,31.99
2017-01-22,青岛,46.71,0.77,24.84,52.75,48.71,21.58,22.11
2017-01-23,青岛,40.85,0.7,31.41,53.71,40.02,22.22,21.49
2017-01-24,青岛,71.61,1.15,48.54,44.46,74.44,48.86,27.43
2017-01-25,青岛,86.58,1.22,45.33,60.67,91.94,62.52,23.87
2017-01-26,青岛,118.1,1.14,27.59,80.49,132.78,89.17,21.52
2017-01-27,青岛,79.47,0.74,21.71,65.3,85.92,46.42,19.74
2017-01-28,青岛,32.78,0.39,12.21,74.76,30.79,11.23,12.42
2017-01-29,青岛,41.48,0.57,18.9,56.47,41.59,24.89,11.51
2017-01-30,青岛,37.19,0.45,13.14,68.56,36.99,12.94,13.18
2017-01-31,青岛,48.9,0.94,32.84,52.4,49.16,28.34,28.2
2017-02-01,青岛,71.78,0.85,26.81,59.13,74.68,46.55,26.75
2017-02-02,青岛,41.34,0.67,28.03,64.29,41.25,21.04,24.86
2017-02-03,青岛,85.98,1.23,34.94,67.55,94.1,60.48,22.16
2017-02-04,青岛,83.51,1.0,45.2,39.39,83.01,58.92,21.43
2017-02-05,青岛,203.32,1.74,46.01,51.61,204.99,157.66,39.7
2017-02-06,青岛,71.76,0.87,35.44,53.26,75.22,47.59,26.91
2017-02-07,青岛,52.54,0.64,30.62,57.9,57.44,33.62,24.25
2017-02-08,青岛,50.7,0.55,21.98,60.28,53.62,29.28,22.99
2017-02-09,青岛,52.89,0.56,20.68,61.97,57.97,21.22,21.04
2017-02-10,青岛,50.26,0.65,27.85,53.59,53.63,20.91,22.97
2017-02-11,青岛,72.46,0.8,41.53,49.52,77.59,44.76,40.37
2017-02-12,青岛,66.69,0.75,30.94,65.36,67.34,43.89,25.2
2017-02-13,青岛,142.43,1.26,51.38,69.29,150.42,107.79,40.83
2017-02-14,青岛,110.0,1.11,43.72,54.64,112.7,80.67,25.19
2017-02-15,青岛,76.95,0.75,22.39,111.26,81.32,54.11,17.13
2017-02-16,青岛,117.73,0.95,39.65,72.52,129.72,87.12,19.48
2017-02-17,青岛,51.22,0.52,25.1,66.23,56.59,19.12,15.79
2017-02-18,青岛,60.74,0.84,38.61,57.04,70.49,33.68,21.03
2017-02-19,青岛,97.51,0.85,36.35,61.76,106.17,68.35,16.79
2017-02-20,青岛,85.75,0.53,16.92,73.36,111.46,33.22,14.79
2017-02-21,青岛,45.22,0.53,25.2,69.7,46.37,21.12,16.41
2017-02-22,青岛,63.73,0.69,29.74,65.05,62.15,45.24,15.99
2017-02-23,青岛,106.59,1.0,42.59,54.56,101.7,76.36,29.67
2017-02-24,青岛,75.5,1.11,55.47,52.97,85.26,52.25,32.13
2017-02-25,青岛,116.45,1.3,64.65,46.67,133.92,87.1,41.55
2017-02-26,青岛,46.07,0.79,37.65,60.09,50.91,25.92,21.48
2017-02-27,青岛,58.87,0.73,32.64,71.72,67.57,38.49,20.31
2017-02-28,青岛,108.37,0.91,37.91,92.51,119.08,81.01,21.84
2017-03-01,青岛,94.58,0.79,31.71,78.11,102.83,65.3,19.41
2017-03-02,青岛,53.96,0.67,30.84,61.72,59.02,27.25,19.68
2017-03-03,青岛,81.21,0.86,37.05,66.99,97.22,56.77,18.86
2017-03-04,青岛,95.47,0.96,35.93,80.41,109.02,69.2,16.84
2017-03-05,青岛,101.56,0.8,32.51,74.56,112.24,70.69,14.83
2017-03-06,青岛,56.18,0.83,36.07,57.56,62.99,32.11,24.38
2017-03-07,青岛,55.23,0.67,29.18,65.42,63.41,29.76,17.48
2017-03-08,青岛,65.06,0.78,41.99,51.93,79.71,30.85,27.03
2017-03-09,青岛,77.68,0.97,61.64,48.29,99.93,47.11,34.19
2017-03-10,青岛,86.12,0.92,48.9,71.19,107.39,59.81,26.82
2017-03-11,青岛,90.13,0.78,30.28,100.76,101.13,65.74,14.64
