time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,临汾,438.26,7.5,91.4,8.99,570.51,433.53,519.26
2017-01-02,临汾,489.32,9.02,104.03,15.95,667.16,529.19,553.08
2017-01-03,临汾,460.78,7.96,93.69,19.53,595.85,497.58,581.82
2017-01-04,临汾,459.01,7.57,122.69,9.75,579.07,467.19,783.89
2017-01-05,临汾,329.37,6.14,84.99,10.35,386.68,306.17,552.45
2017-01-06,临汾,242.45,4.06,59.28,13.49,255.71,198.71,374.43
2017-01-07,临汾,144.8,3.78,30.33,15.64,140.44,109.89,155.74
2017-01-08,临汾,158.42,3.64,39.95,27.81,166.21,121.28,244.03
2017-01-09,临汾,183.92,3.34,53.12,18.57,192.65,142.04,266.35
2017-01-10,临汾,117.23,2.15,43.86,25.73,125.2,86.65,202.26
2017-01-11,临汾,135.91,2.9,44.55,30.8,146.68,102.16,232.36
2017-01-12,临汾,168.38,3.28,54.6,31.01,193.38,127.05,285.45
2017-01-13,临汾,234.94,4.12,64.23,23.46,255.45,186.87,383.25
2017-01-14,临汾,217.95,3.16,65.38,22.47,225.11,172.58,344.77
2017-01-15,临汾,165.13,2.21,46.95,28.3,174.29,126.35,164.83
2017-01-16,临汾,310.79,4.98,74.21,13.8,354.24,257.56,347.06
2017-01-17,临汾,424.26,6.58,91.15,15.56,500.35,382.28,474.96
2017-01-18,临汾,275.81,3.73,75.79,14.19,306.05,226.58,335.31
2017-01-19,临汾,130.16,1.67,21.86,57.55,141.62,89.95,74.1
2017-01-20,临汾,99.14,2.15,33.91,44.97,110.28,67.95,182.43
2017-01-21,临汾,126.67,2.09,28.47,50.3,125.35,95.71,167.17
2017-01-22,临汾,160.15,3.45,51.68,33.33,181.47,121.18,289.59
2017-01-23,临汾,236.12,3.79,65.13,28.56,249.44,189.47,355.87
2017-01-24,临汾,277.75,3.56,70.5,28.03,278.81,228.08,371.57
2017-01-25,临汾,343.43,4.36,67.56,39.22,371.75,290.32,307.54
2017-01-26,临汾,348.14,4.77,54.82,33.75,389.05,308.18,309.35
2017-01-27,临汾,113.12,2.05,22.55,54.17,145.3,80.36,136.5
2017-01-28,临汾,252.72,3.0,36.79,42.94,274.5,203.43,218.65
2017-01-29,临汾,162.88,2.33,18.88,55.43,178.58,116.34,100.76
2017-01-30,临汾,89.19,1.85,20.79,46.74,102.67,62.63,134.15
2017-01-31,临汾,164.12,3.29,40.67,35.83,181.52,125.3,160.21
2017-02-01,临汾,243.36,4.0,46.68,37.18,257.51,195.17,271.26
2017-02-02,临汾,178.02,2.91,40.41,49.79,183.71,137.2,200.64
2017-02-03,临汾,294.67,5.19,68.28,38.75,310.0,249.2,401.08
2017-02-04,临汾,347.95,5.28,70.7,41.75,368.12,296.39,342.04
2017-02-05,临汾,249.36,3.41,54.56,44.72,260.02,206.14,269.49
2017-02-06,临汾,142.45,1.87,28.92,77.81,155.65,106.62,109.95
2017-02-07,临汾,122.19,2.26,36.21,42.47,136.15,90.92,82.0
2017-02-08,临汾,131.19,1.92,23.36,37.92,136.16,97.26,39.1
2017-02-09,临汾,41.55,0.96,8.33,70.56,40.09,24.22,28.16
2017-02-10,临汾,97.54,2.19,34.04,43.99,101.61,68.98,145.36
2017-02-11,临汾,166.95,3.4,51.67,34.53,176.8,128.27,248.9
2017-02-12,临汾,210.62,3.48,62.42,37.31,210.98,163.22,287.31
2017-02-13,临汾,209.34,3.13,67.92,41.37,217.34,164.1,346.79
2017-02-14,临汾,259.22,4.08,83.45,32.1,278.73,209.38,357.1
2017-02-15,临汾,245.56,3.47,63.6,48.25,264.54,197.39,227.33
2017-02-16,临汾,224.5,3.2,52.26,52.92,245.01,170.52,158.83
2017-02-17,临汾,100.86,1.75,37.69,57.4,142.17,63.38,93.13
2017-02-18,临汾,167.94,2.92,55.9,50.49,211.18,125.51,138.46
2017-02-19,临汾,174.34,2.99,56.34,56.1,211.92,131.53,149.84
2017-02-20,临汾,113.61,1.41,26.88,63.09,162.71,70.3,46.55
2017-02-21,临汾,83.27,1.65,23.01,50.01,93.36,55.18,27.03
2017-02-22,临汾,154.6,2.4,30.88,48.96,174.64,113.87,68.4
2017-02-23,临汾,70.35,1.17,24.12,69.64,78.25,43.81,69.9
2017-02-24,临汾,102.75,2.06,39.28,51.46,113.07,75.34,99.94
2017-02-25,临汾,105.08,2.25,39.31,50.05,120.28,76.57,112.28
2017-02-26,临汾,105.61,2.35,41.11,47.01,110.95,77.63,116.9
2017-02-27,临汾,125.58,2.25,46.04,51.88,133.79,93.82,113.09
2017-02-28,临汾,127.54,1.99,51.51,36.1,139.57,93.62,119.76
2017-03-01,临汾,69.36,1.3,18.32,72.05,78.37,38.81,30.15
2017-03-02,临汾,83.0,2.16,37.89,48.77,94.81,56.29,100.19
2017-03-03,临汾,141.07,3.07,57.89,43.67,158.6,105.94,148.31
2017-03-04,临汾,149.92,2.51,60.14,37.86,168.67,112.71,155.49
2017-03-05,临汾,101.53,1.87,36.78,47.65,109.12,71.17,88.77
2017-03-06,临汾,58.53,1.27,25.07,64.05,65.22,34.59,45.18
2017-03-07,临汾,59.28,1.27,21.78,60.87,63.86,35.93,50.12
2017-03-08,临汾,56.75,1.16,26.88,59.31,63.2,34.66,53.93
2017-03-09,临汾,70.3,1.53,38.22,53.21,80.88,45.58,73.74
2017-03-10,临汾,108.79,2.04,56.81,42.55,127.88,79.64,122.7
2017-03-11,临汾,145.01,1.94,53.03,52.12,160.49,109.8,110.88
2017-03-12,临汾,107.38,1.5,35.87,50.9,122.04,78.88,68.07
2017-03-13,临汾,79.78,1.69,27.11,55.17,93.78,52.0,35.31
2017-03-14,临汾,119.35,2.21,40.39,52.92,136.58,89.62,84.68
