time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,吕梁,162.5,2.22,54.88,7.49,200.45,126.27,206.14
2017-01-02,吕梁,170.35,2.55,50.16,14.47,212.98,127.28,221.46
2017-01-03,吕梁,182.21,2.67,56.81,11.69,229.41,137.63,249.82
2017-01-04,吕梁,172.84,2.4,53.9,16.48,231.55,127.29,212.59
2017-01-05,吕梁,230.66,3.11,60.82,23.96,295.76,174.51,231.04
2017-01-06,吕梁,144.38,2.93,65.64,13.24,162.64,108.61,144.69
2017-01-07,吕梁,100.93,1.87,42.42,19.46,114.11,74.19,114.21
2017-01-08,吕梁,141.03,2.17,43.69,11.03,170.24,109.43,170.03
2017-01-09,吕梁,131.74,2.05,41.36,13.82,163.56,96.67,169.48
2017-01-10,吕梁,140.61,1.62,40.16,12.07,174.85,102.25,169.88
2017-01-11,吕梁,120.07,1.39,37.86,17.96,152.24,82.97,172.41
2017-01-12,吕梁,133.77,1.61,38.61,19.04,179.66,94.29,200.81
2017-01-13,吕梁,144.52,1.92,43.18,11.89,193.05,106.94,216.38
2017-01-14,吕梁,177.72,2.24,53.24,9.31,222.23,129.88,267.28
2017-01-15,吕梁,201.53,2.53,61.07,9.29,249.5,155.68,244.29
2017-01-16,吕梁,167.62,2.04,56.28,13.5,200.37,127.79,206.36
2017-01-17,吕梁,134.07,1.83,40.06,21.69,159.23,95.5,154.44
2017-01-18,吕梁,120.04,1.96,47.59,14.55,153.14,84.68,179.52
2017-01-19,吕梁,82.88,1.1,16.79,57.69,104.97,40.62,63.03
2017-01-20,吕梁,91.05,1.59,41.53,22.08,113.36,60.73,130.39
2017-01-21,吕梁,119.48,1.81,38.96,25.01,147.91,83.65,163.77
2017-01-22,吕梁,107.03,1.82,41.12,23.65,132.98,74.74,119.55
2017-01-23,吕梁,134.01,2.26,50.63,19.68,158.29,99.78,171.38
2017-01-24,吕梁,155.36,2.64,56.83,21.96,177.33,118.56,185.22
2017-01-25,吕梁,244.19,3.61,65.86,23.94,269.67,197.17,270.33
2017-01-26,吕梁,201.31,2.27,39.55,37.57,256.25,128.92,158.78
2017-01-27,吕梁,101.85,1.61,28.12,48.82,142.56,65.06,165.46
2017-01-28,吕梁,276.63,2.38,44.14,34.46,350.85,214.25,262.04
2017-01-29,吕梁,87.17,1.08,9.22,58.26,111.01,38.21,35.03
2017-01-30,吕梁,80.64,1.88,25.65,30.88,92.3,55.99,128.76
2017-01-31,吕梁,110.75,2.08,34.07,27.06,129.64,79.54,206.88
2017-02-01,吕梁,131.57,2.48,40.1,27.88,152.17,98.42,212.57
2017-02-02,吕梁,193.76,2.84,52.31,24.18,217.79,149.58,217.9
2017-02-03,吕梁,167.59,2.49,47.46,24.99,191.52,126.89,225.03
2017-02-04,吕梁,145.18,2.21,47.88,29.28,165.14,106.94,182.08
2017-02-05,吕梁,109.44,1.88,48.25,21.3,133.86,80.39,166.32
2017-02-06,吕梁,173.2,2.71,54.86,45.74,214.46,131.95,149.2
2017-02-07,吕梁,108.14,2.19,40.17,44.16,124.58,80.74,106.2
2017-02-08,吕梁,58.58,1.29,16.65,52.12,62.9,31.5,34.43
2017-02-09,吕梁,76.63,1.46,30.11,31.16,87.19,51.29,71.9
2017-02-10,吕梁,98.25,1.37,34.67,23.32,116.71,69.66,106.87
2017-02-11,吕梁,92.58,1.24,37.61,24.61,108.72,65.07,133.92
2017-02-12,吕梁,108.69,1.45,44.06,30.07,127.88,77.92,143.44
2017-02-13,吕梁,125.76,1.82,53.69,21.56,160.47,91.12,157.72
2017-02-14,吕梁,150.07,2.5,59.85,21.67,191.7,113.18,190.12
2017-02-15,吕梁,160.84,2.53,60.39,29.57,200.24,120.41,134.38
2017-02-16,吕梁,151.6,2.24,56.69,27.53,202.99,108.06,124.5
2017-02-17,吕梁,99.79,1.64,46.43,17.51,145.31,58.53,142.25
2017-02-18,吕梁,124.4,2.21,58.1,26.93,179.05,84.32,202.37
2017-02-19,吕梁,118.67,2.14,56.61,37.83,167.36,78.39,106.83
2017-02-20,吕梁,89.17,1.35,34.72,42.53,129.0,40.81,54.1
2017-02-21,吕梁,74.08,1.46,31.83,42.57,91.56,47.25,53.32
2017-02-22,吕梁,91.96,1.3,34.35,44.08,114.07,58.96,113.01
2017-02-23,吕梁,66.69,1.29,33.5,44.03,73.04,40.57,94.14
2017-02-24,吕梁,103.87,1.77,50.6,32.18,125.63,73.33,155.13
2017-02-25,吕梁,101.43,1.76,51.38,27.78,122.9,71.36,133.47
2017-02-26,吕梁,83.46,1.92,49.25,32.18,99.75,54.97,103.81
2017-02-27,吕梁,87.19,2.13,51.79,34.89,111.79,54.36,121.03
2017-02-28,吕梁,103.8,2.59,59.21,18.94,140.1,69.74,179.07
2017-03-01,吕梁,82.37,2.03,21.56,63.82,102.73,38.52,63.6
2017-03-02,吕梁,74.33,2.05,44.65,27.53,92.8,43.5,103.79
2017-03-03,吕梁,84.51,1.46,47.96,31.64,109.31,53.86,119.14
2017-03-04,吕梁,91.52,1.36,49.39,31.59,122.77,59.06,121.15
2017-03-05,吕梁,86.94,1.39,40.86,34.52,116.5,49.48,85.21
2017-03-06,吕梁,69.37,1.21,32.35,37.86,89.62,36.06,47.15
2017-03-07,吕梁,67.19,1.24,32.47,39.25,79.89,32.15,68.74
2017-03-08,吕梁,76.36,1.32,36.72,30.95,96.82,45.97,66.47
2017-03-09,吕梁,83.94,1.59,44.04,26.2,106.38,51.14,92.56
2017-03-10,吕梁,86.75,1.48,49.22,30.17,110.71,55.65,86.22
2017-03-11,吕梁,121.27,1.61,58.85,32.03,161.81,80.63,118.21
2017-03-12,吕梁,94.21,1.37,51.65,27.69,127.78,56.14,86.46
2017-03-13,吕梁,96.71,1.55,53.4,32.29,137.19,60.21,99.47
2017-03-14,吕梁,94.52,1.64,50.4,36.61,129.07,64.19,90.85
2017-03-15,吕梁,109.85,1.93,53.27,42.98,151.24,74.5,86.18
2017-03-16,吕梁,91.25,1.76,52.12,41.2,120.83,62.33,53.36
2017-03-17,吕梁,109.9,1.85,61.77,34.55,145.09,79.04,81.97
2017-03-18,吕梁,100.57,1.58,54.26,55.75,141.85,66.67,76.55
2017-03-19,吕梁,152.78,1.93,67.38,52.94,189.64,115.9,84.89
2017-03-20,吕梁,128.57,1.83,61.78,37.69,137.07,97.39,58.5
2017-03-21,吕梁,122.28,2.08,46.65,50.39,152.37,92.44,92.76
2017-03-22,吕梁,106.8,1.94,46.96,52.3,115.35,79.45,81.45
2017-03-23,吕梁,60.5,1.55,41.23,46.25,60.69,41.42,60.61
2017-03-24,吕梁,65.14,0.97,29.5,46.85,81.86,28.76,30.17
2017-03-25,吕梁,45.08,0.98,20.24,55.1,48.77,19.39,28.49
2017-03-26,吕梁,73.8,1.26,33.58,41.04,97.13,36.01,46.12
2017-03-27,吕梁,81.83,1.52,50.1,29.03,111.81,42.2,88.09
2017-03-28,吕梁,94.79,1.81,49.25,36.28,135.19,58.47,65.99
2017-03-29,吕梁,78.6,1.39,50.99,40.85,104.39,42.15,56.56
2017-03-30,吕梁,82.9,1.1,46.93,39.72,115.03,39.07,40.43
2017-03-31,吕梁,63.79,0.88,42.23,40.29,76.27,27.41,23.45
2017-04-01,吕梁,64.52,0.74,39.49,41.79,81.67,26.65,20.89
2017-04-02,吕梁,71.88,0.76,46.56,45.88,96.23,31.35,25.92
2017-04-03,吕梁,91.48,1.0,49.3,56.1,132.45,44.93,43.68
2017-04-04,吕梁,46.0,1.1,44.21,62.01,45.45,27.72,30.4
2017-04-05,吕梁,62.94,1.17,49.85,50.36,75.03,37.83,33.28
2017-04-06,吕梁,94.3,1.1,56.74,73.74,123.84,63.1,68.04
2017-04-07,吕梁,97.5,0.97,60.69,75.83,132.18,68.15,72.89
2017-04-08,吕梁,64.6,0.94,62.43,22.82,73.62,42.36,21.47
2017-04-09,吕梁,31.21,0.96,46.93,35.44,27.74,14.62,15.85
