time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,大同,91.64,2.49,44.68,31.56,96.68,65.3,117.54
2017-01-02,大同,102.25,3.03,49.3,26.29,117.21,73.74,130.43
2017-01-03,大同,81.17,1.82,45.37,41.36,92.2,55.6,89.33
2017-01-04,大同,113.42,3.79,57.83,20.51,133.39,82.41,125.71
2017-01-05,大同,131.93,3.77,51.99,40.66,144.87,99.26,112.1
2017-01-06,大同,144.12,2.62,62.74,20.15,144.29,109.33,94.91
2017-01-07,大同,43.38,1.02,14.88,60.8,39.49,26.72,31.8
2017-01-08,大同,66.09,1.55,31.98,41.83,64.71,46.17,89.24
2017-01-09,大同,60.03,1.36,33.68,44.06,64.58,39.84,70.31
2017-01-10,大同,58.7,1.31,35.99,40.55,62.52,37.8,75.76
2017-01-11,大同,58.04,1.27,39.16,38.18,60.92,34.13,81.13
2017-01-12,大同,67.42,1.37,37.37,40.12,76.82,39.76,75.08
2017-01-13,大同,52.32,1.37,33.08,48.65,52.24,33.3,57.14
2017-01-14,大同,77.06,2.33,46.31,27.61,87.28,52.26,101.61
2017-01-15,大同,145.38,3.71,55.88,18.01,165.66,108.81,161.99
2017-01-16,大同,167.68,3.24,51.18,29.78,178.5,128.59,132.65
2017-01-17,大同,71.45,1.54,38.71,42.91,78.01,43.38,75.91
2017-01-18,大同,91.97,3.12,47.61,26.74,110.5,63.92,115.56
2017-01-19,大同,66.08,0.94,19.9,66.31,81.61,28.04,44.39
2017-01-20,大同,61.08,1.42,36.8,40.4,67.04,38.36,76.17
2017-01-21,大同,43.85,0.82,19.59,63.81,43.38,21.88,41.0
2017-01-22,大同,59.21,1.43,37.27,33.65,61.44,38.3,87.08
2017-01-23,大同,91.6,1.95,46.13,27.6,101.73,66.58,119.25
2017-01-24,大同,86.0,1.94,42.92,33.07,90.24,62.08,94.75
2017-01-25,大同,167.06,2.66,55.86,28.72,170.94,127.48,153.35
2017-01-26,大同,166.25,1.81,38.25,49.09,190.89,114.48,86.38
2017-01-27,大同,68.85,1.31,30.1,46.22,77.72,43.14,79.59
2017-01-28,大同,172.32,1.73,33.2,69.67,184.74,129.52,69.2
2017-01-29,大同,46.57,0.8,9.88,74.23,50.34,12.48,16.89
2017-01-30,大同,48.15,1.18,25.35,45.5,44.35,30.02,68.01
2017-01-31,大同,65.46,1.18,26.15,50.28,64.63,44.49,80.1
2017-02-01,大同,43.53,0.97,24.57,52.21,42.26,25.85,63.91
2017-02-02,大同,120.36,1.94,52.38,23.36,123.29,90.22,169.47
2017-02-03,大同,192.83,2.2,56.94,36.44,191.49,147.79,171.91
2017-02-04,大同,76.6,1.01,25.02,67.3,70.91,53.8,51.6
