time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,太原,312.01,3.98,102.22,7.96,367.55,284.99,296.06
2017-01-02,太原,366.96,4.65,116.7,8.69,430.64,342.98,345.04
2017-01-03,太原,336.71,4.39,117.91,10.21,387.33,298.45,317.77
2017-01-04,太原,166.34,2.49,81.07,13.88,190.58,130.12,183.34
2017-01-05,太原,127.5,1.7,51.9,47.11,132.5,96.24,84.24
2017-01-06,太原,209.48,2.54,72.31,16.06,204.66,166.96,152.47
2017-01-07,太原,314.33,3.84,82.41,11.8,335.08,276.44,244.4
2017-01-08,太原,103.67,1.49,49.07,24.75,103.83,75.41,119.28
2017-01-09,太原,93.6,1.48,53.08,21.18,100.7,66.74,93.99
2017-01-10,太原,74.04,1.2,49.89,21.26,83.86,48.32,73.06
2017-01-11,太原,94.98,1.44,47.14,29.98,107.41,63.77,116.73
2017-01-12,太原,76.61,1.17,40.98,34.85,83.08,45.8,67.71
2017-01-13,太原,84.23,1.47,54.08,21.42,103.42,55.19,92.61
2017-01-14,太原,93.96,1.51,64.39,13.27,112.1,66.36,96.03
2017-01-15,太原,276.39,3.09,89.65,6.17,301.92,227.42,160.85
2017-01-16,太原,316.38,3.75,97.49,9.19,356.68,267.8,271.83
2017-01-17,太原,123.58,1.71,56.67,26.16,137.07,90.92,132.13
2017-01-18,太原,93.34,1.46,63.64,16.67,110.17,65.55,122.67
2017-01-19,太原,73.72,0.79,19.43,53.53,83.34,33.49,39.19
2017-01-20,太原,72.68,1.18,45.47,30.18,82.95,42.54,110.59
2017-01-21,太原,89.95,1.33,35.51,39.09,95.61,58.11,98.8
2017-01-22,太原,82.11,1.57,51.26,24.06,97.61,54.15,120.07
2017-01-23,太原,117.08,2.07,69.54,15.89,130.72,86.55,177.53
2017-01-24,太原,157.57,2.37,73.78,17.81,177.68,121.25,192.55
2017-01-25,太原,325.43,3.52,94.26,19.14,351.41,281.76,275.82
2017-01-26,太原,270.61,3.16,63.53,27.88,311.4,239.01,214.7
2017-01-27,太原,85.4,1.36,35.38,39.38,108.39,52.05,106.9
2017-01-28,太原,247.79,2.46,61.19,27.64,271.04,202.27,224.7
2017-01-29,太原,107.64,1.24,22.4,43.24,128.68,61.51,60.16
2017-01-30,太原,63.27,1.09,27.03,35.69,69.61,31.92,71.21
2017-01-31,太原,155.36,2.17,57.01,17.17,157.38,118.19,215.32
2017-02-01,太原,96.32,1.46,42.92,28.91,106.53,70.62,105.51
2017-02-02,太原,197.55,2.52,67.35,19.77,201.26,153.64,210.66
2017-02-03,太原,253.54,3.11,79.95,19.29,258.41,204.54,272.59
2017-02-04,太原,229.29,3.01,73.51,26.97,242.66,186.89,241.86
2017-02-05,太原,92.04,1.71,55.17,28.24,104.38,66.12,101.82
2017-02-06,太原,124.15,1.56,45.41,35.48,133.93,92.88,62.82
2017-02-07,太原,126.26,1.72,55.76,20.35,131.42,95.12,134.79
2017-02-08,太原,88.82,1.08,29.24,41.26,93.22,53.51,68.83
