time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,忻州,292.04,5.51,84.13,10.15,351.12,191.73,179.31
2017-01-02,忻州,214.03,4.32,72.08,17.67,247.2,155.42,115.77
2017-01-03,忻州,233.97,4.24,78.29,20.92,272.82,180.36,136.76
2017-01-04,忻州,260.99,4.48,83.06,13.86,285.17,193.56,185.26
2017-01-05,忻州,171.99,3.6,69.35,46.89,186.73,126.51,104.78
2017-01-06,忻州,165.76,4.26,75.72,34.84,181.1,123.74,134.81
2017-01-07,忻州,205.77,4.3,56.42,64.64,229.86,151.21,104.55
2017-01-08,忻州,79.85,3.3,38.44,48.33,79.02,53.24,66.09
2017-01-09,忻州,78.16,3.17,53.68,33.39,87.73,51.33,84.19
2017-01-10,忻州,90.64,2.48,51.65,29.8,93.79,63.83,74.09
2017-01-11,忻州,106.19,2.58,52.39,29.57,119.02,73.77,79.94
2017-01-12,忻州,97.97,2.01,52.97,32.99,119.44,66.61,64.38
2017-01-13,忻州,115.94,1.36,52.07,31.18,134.61,80.96,70.39
2017-01-14,忻州,151.58,1.81,67.79,16.87,170.47,112.42,123.61
2017-01-15,忻州,279.89,2.98,83.78,10.51,313.25,222.93,137.79
2017-01-16,忻州,395.18,4.05,91.22,9.42,462.86,321.85,172.9
2017-01-17,忻州,256.28,2.51,61.0,31.71,285.39,213.72,109.84
2017-01-18,忻州,159.56,1.82,63.81,16.28,183.56,116.96,132.12
2017-01-19,忻州,138.96,0.98,25.36,58.46,175.78,102.9,61.39
2017-01-20,忻州,93.42,1.43,45.95,39.11,114.56,66.64,86.26
2017-01-21,忻州,114.35,1.35,39.75,42.08,139.78,79.17,78.72
2017-01-22,忻州,120.0,1.72,48.06,27.72,138.99,87.49,101.75
2017-01-23,忻州,183.93,2.41,61.22,18.7,217.32,137.86,127.87
2017-01-24,忻州,248.62,2.97,65.57,23.74,279.73,191.88,169.97
2017-01-25,忻州,285.96,3.57,76.04,21.46,312.84,234.19,190.78
2017-01-26,忻州,297.18,3.3,61.1,35.76,405.51,248.94,135.55
2017-01-27,忻州,110.79,1.47,33.69,48.29,128.57,84.88,106.28
2017-01-28,忻州,357.77,3.32,70.4,39.77,593.61,378.07,232.73
2017-01-29,忻州,188.67,1.15,10.36,69.65,237.06,136.99,47.52
2017-01-30,忻州,88.0,1.32,23.64,51.51,102.03,58.68,87.14
2017-01-31,忻州,134.4,1.43,48.49,34.31,164.49,96.82,92.1
2017-02-01,忻州,124.71,1.37,40.33,41.69,149.71,88.79,104.38
2017-02-02,忻州,222.1,2.53,64.69,26.43,268.81,164.42,153.79
2017-02-03,忻州,306.19,3.48,84.85,24.06,360.68,241.65,202.9
2017-02-04,忻州,266.72,2.92,70.65,43.48,323.98,201.72,129.78
2017-02-05,忻州,123.11,1.73,58.34,45.26,153.42,87.19,67.34
2017-02-06,忻州,175.88,1.97,60.47,33.38,209.74,132.82,82.51
2017-02-07,忻州,126.96,1.38,40.64,37.4,142.03,94.1,45.03
2017-02-08,忻州,94.69,0.66,23.73,66.06,104.13,67.92,30.28
2017-02-09,忻州,62.51,0.74,20.67,67.22,68.89,39.14,32.14
2017-02-10,忻州,72.79,0.98,38.69,51.96,77.78,48.94,51.29
2017-02-11,忻州,133.35,1.21,44.32,42.28,133.29,104.33,54.9
2017-02-12,忻州,165.6,1.7,57.04,34.64,183.12,119.85,97.26
2017-02-13,忻州,160.24,2.18,63.85,34.88,182.58,122.29,103.67
2017-02-14,忻州,227.26,2.91,92.08,23.81,269.76,180.34,150.17
2017-02-15,忻州,285.25,3.31,90.33,34.78,345.47,229.55,154.03
2017-02-16,忻州,183.42,2.17,61.56,38.61,241.32,135.06,84.22
2017-02-17,忻州,75.01,1.37,44.64,47.38,89.6,47.58,68.93
2017-02-18,忻州,116.67,1.92,65.99,45.21,157.87,83.97,92.75
2017-02-19,忻州,159.72,2.04,54.6,56.03,235.52,110.74,107.93
2017-02-20,忻州,75.17,1.37,26.81,72.36,95.25,42.01,45.94
2017-02-21,忻州,70.29,1.32,26.04,70.24,74.64,44.85,43.46
2017-02-22,忻州,124.53,1.25,32.25,65.28,135.44,88.4,55.29
2017-02-23,忻州,65.86,0.92,40.85,60.49,70.64,44.5,64.76
2017-02-24,忻州,83.52,1.22,56.76,45.33,104.62,57.89,71.28
2017-02-25,忻州,73.4,1.03,45.15,48.39,92.17,43.93,62.68
2017-02-26,忻州,78.68,1.11,54.19,41.21,93.09,51.12,69.06
2017-02-27,忻州,119.9,1.37,57.61,44.51,144.78,87.86,78.92
2017-02-28,忻州,83.95,1.22,44.98,54.05,111.68,48.73,55.67
2017-03-01,忻州,60.88,0.67,15.69,72.96,65.36,31.81,12.73
2017-03-02,忻州,92.71,1.62,62.06,35.44,102.23,63.98,74.56
2017-03-03,忻州,118.82,1.92,59.57,37.48,144.55,86.79,80.76
2017-03-04,忻州,102.71,1.8,58.11,41.71,126.93,73.31,63.64
2017-03-05,忻州,59.29,1.1,21.53,76.03,65.6,32.73,23.83
2017-03-06,忻州,57.94,1.32,34.62,59.03,63.11,32.07,35.89
2017-03-07,忻州,43.56,0.98,20.52,70.24,42.19,21.75,25.0
2017-03-08,忻州,48.45,0.83,33.64,52.67,45.68,28.96,54.45
2017-03-09,忻州,73.4,1.23,51.08,42.06,81.74,46.74,69.54
2017-03-10,忻州,102.75,1.65,61.17,32.19,116.61,75.72,82.31
2017-03-11,忻州,98.29,1.55,47.0,52.1,118.11,68.74,64.65
2017-03-12,忻州,61.36,1.07,23.1,76.2,66.35,33.68,40.0
2017-03-13,忻州,64.5,1.22,43.94,50.53,69.68,38.21,87.68
2017-03-14,忻州,102.35,1.18,62.46,39.49,112.64,74.15,92.15
2017-03-15,忻州,117.37,1.3,98.39,35.66,129.94,85.59,79.25
2017-03-16,忻州,159.62,1.81,87.71,32.12,184.38,120.64,101.77
2017-03-17,忻州,154.42,1.58,57.78,56.69,174.58,111.8,68.57
2017-03-18,忻州,100.26,1.13,44.48,59.85,128.92,70.07,46.2
2017-03-19,忻州,196.94,1.67,50.25,76.93,224.25,150.96,51.11
2017-03-20,忻州,130.6,1.34,38.08,68.37,129.65,98.39,38.83
2017-03-21,忻州,128.19,1.51,43.96,63.43,134.88,96.26,44.28
2017-03-22,忻州,150.94,1.62,54.08,53.06,185.03,113.07,51.64
2017-03-23,忻州,88.8,1.84,43.03,44.9,82.15,64.19,35.78
2017-03-24,忻州,74.97,1.25,29.53,57.53,90.12,47.53,30.64
2017-03-25,忻州,57.18,1.11,24.46,69.46,62.73,33.68,37.11
2017-03-26,忻州,62.18,1.13,35.11,63.04,62.75,39.36,43.25
2017-03-27,忻州,68.9,0.97,41.74,54.19,69.19,43.72,48.71
2017-03-28,忻州,85.36,1.0,25.5,90.62,84.14,60.59,33.94
2017-03-29,忻州,84.0,1.2,56.83,42.33,108.5,70.5,97.17
2017-03-30,忻州,59.13,0.98,28.42,86.08,66.48,32.5,42.97
2017-03-31,忻州,51.92,1.01,25.26,92.74,47.88,28.67,31.43
2017-04-01,忻州,55.67,1.18,37.46,83.03,53.18,29.8,44.9
2017-04-02,忻州,73.14,1.4,45.74,84.96,81.63,40.36,48.82
2017-04-03,忻州,118.62,1.5,52.29,89.8,158.27,81.12,70.27
2017-04-04,忻州,115.04,1.46,44.57,88.33,156.82,83.91,58.62
2017-04-05,忻州,78.39,1.24,42.46,81.74,91.42,52.14,59.07
2017-04-06,忻州,103.36,1.43,42.34,110.55,115.38,70.16,59.4
2017-04-07,忻州,143.5,1.86,34.28,149.03,172.94,106.99,43.22
2017-04-08,忻州,71.83,1.29,22.79,92.19,83.53,52.4,33.06
2017-04-09,忻州,48.37,1.28,23.39,71.82,32.74,30.98,33.28
2017-04-10,忻州,59.61,0.96,40.18,63.69,65.03,35.0,40.51
2017-04-11,忻州,66.12,0.72,37.06,78.01,70.65,42.36,31.85
2017-04-12,忻州,68.3,0.85,52.07,59.55,80.23,39.82,48.77
2017-04-13,忻州,95.28,1.01,54.34,54.94,118.48,56.93,40.42
2017-04-14,忻州,86.44,1.01,55.47,54.17,105.99,56.74,63.15
2017-04-15,忻州,80.21,0.98,55.47,74.07,95.26,51.78,48.53
2017-04-16,忻州,108.25,1.19,49.03,73.61,139.21,68.51,65.03
2017-04-17,忻州,157.69,0.61,15.14,108.11,245.11,93.53,15.47
2017-04-18,忻州,73.95,0.72,24.84,99.16,65.13,45.68,15.44
2017-04-19,忻州,86.14,0.84,53.42,57.26,111.01,52.71,31.6
2017-04-20,忻州,103.5,0.9,38.58,82.0,151.96,57.44,21.9
2017-04-21,忻州,43.54,0.82,19.62,97.38,34.63,23.16,16.68
2017-04-22,忻州,66.12,1.0,41.22,92.74,66.68,38.67,28.06
2017-04-23,忻州,65.25,1.04,35.11,107.06,73.08,34.64,34.69
2017-04-24,忻州,64.61,0.94,23.42,109.85,74.88,34.04,21.03
2017-04-25,忻州,90.13,0.87,24.4,99.92,90.58,55.14,30.1
2017-04-26,忻州,72.23,0.88,41.07,75.32,62.12,43.82,32.72
2017-04-27,忻州,61.49,0.76,39.75,80.83,70.92,32.78,27.31
2017-04-28,忻州,68.06,0.87,33.82,86.12,73.65,39.74,21.63
2017-04-29,忻州,73.24,0.97,38.87,73.53,89.77,43.52,28.74
2017-04-30,忻州,120.78,0.95,33.95,107.43,155.92,75.2,33.23
2017-05-01,忻州,126.38,0.97,23.5,143.41,166.84,80.27,19.15
2017-05-02,忻州,151.35,1.21,31.9,169.27,175.4,101.95,20.14
2017-05-03,忻州,71.0,0.94,25.03,128.88,81.0,44.21,9.54
2017-05-04,忻州,438.98,0.63,30.58,84.4,820.81,299.9,7.03
2017-05-05,忻州,265.7,0.71,11.69,120.75,425.31,192.45,13.33
2017-05-06,忻州,100.93,0.79,18.73,123.62,100.09,65.23,12.47
2017-05-07,忻州,92.92,0.93,36.02,98.63,93.58,62.61,18.77
2017-05-08,忻州,78.3,0.94,36.12,109.67,78.78,48.36,12.21
2017-05-09,忻州,107.72,0.99,41.76,96.21,139.34,70.44,13.51
2017-05-10,忻州,65.2,0.53,24.9,109.2,74.68,31.02,12.4
2017-05-11,忻州,82.88,0.62,29.4,91.42,107.14,44.65,12.94
2017-05-12,忻州,87.08,0.65,26.99,102.83,111.9,50.39,16.01
2017-05-13,忻州,65.69,0.53,12.5,122.29,70.93,33.44,4.22
2017-05-14,忻州,55.56,0.62,28.83,89.83,51.08,25.38,12.57
2017-05-15,忻州,59.44,0.68,30.51,85.6,58.59,30.98,14.72
2017-05-16,忻州,71.61,0.96,29.88,101.36,81.33,38.72,29.93
2017-05-17,忻州,89.2,1.16,34.99,132.99,93.52,46.67,25.2
2017-05-18,忻州,105.88,0.91,31.79,173.42,113.68,51.94,17.54
2017-05-19,忻州,76.62,0.82,34.08,126.94,77.83,36.63,15.49
2017-05-20,忻州,89.15,0.95,29.44,160.08,75.79,42.17,16.61
2017-05-21,忻州,101.67,1.18,28.67,188.97,96.95,48.21,14.46
2017-05-22,忻州,68.24,1.07,21.15,102.85,86.62,45.69,10.63
2017-05-23,忻州,44.51,0.54,13.31,125.82,29.27,20.35,3.67
2017-05-24,忻州,48.74,0.68,26.08,88.19,44.59,20.95,15.58
2017-05-25,忻州,52.24,0.73,31.76,76.98,51.36,25.59,18.56
2017-05-26,忻州,88.68,0.89,34.04,140.82,81.09,45.1,19.04
2017-05-27,忻州,95.52,0.83,44.46,135.72,96.88,59.82,28.07
2017-05-28,忻州,97.11,0.9,38.83,124.83,108.49,65.56,28.86
2017-05-29,忻州,101.64,1.44,25.65,188.04,120.92,62.35,16.0
2017-05-30,忻州,84.03,1.46,25.21,116.78,116.76,43.18,18.93
2017-05-31,忻州,68.26,1.06,37.54,65.55,71.16,44.43,10.62
2017-06-01,忻州,64.24,1.06,41.65,92.06,67.0,33.29,16.35
2017-06-02,忻州,86.0,1.49,38.32,149.57,97.38,47.7,22.02
2017-06-03,忻州,71.57,1.39,20.68,114.21,88.03,40.47,15.69
2017-06-04,忻州,64.03,1.27,31.69,109.12,70.01,31.69,17.17
2017-06-05,忻州,53.91,1.39,29.19,105.35,62.12,28.96,9.21
2017-06-06,忻州,42.18,0.72,21.22,88.72,39.39,24.82,5.4
