time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,晋中,252.87,3.7,86.67,10.55,279.7,205.0,363.41
2017-01-02,晋中,312.82,4.65,95.72,16.36,350.84,262.61,451.85
2017-01-03,晋中,255.81,4.67,86.56,17.47,294.13,209.77,478.36
2017-01-04,晋中,111.28,2.89,66.64,23.0,145.2,81.37,230.52
2017-01-05,晋中,112.83,2.67,42.16,69.66,108.32,84.84,126.81
2017-01-06,晋中,156.01,3.99,61.79,17.01,162.25,120.66,235.04
2017-01-07,晋中,316.42,5.04,83.31,8.69,317.05,268.81,397.13
2017-01-08,晋中,119.73,3.04,52.95,18.72,129.65,89.7,256.16
2017-01-09,晋中,113.42,2.47,48.4,16.71,131.64,84.8,200.19
2017-01-10,晋中,89.52,2.42,45.93,19.83,108.4,61.72,202.18
2017-01-11,晋中,91.55,2.23,46.56,24.23,112.52,64.44,226.23
2017-01-12,晋中,96.99,2.28,47.08,29.75,119.0,68.28,215.21
2017-01-13,晋中,113.52,2.46,54.75,17.76,141.67,83.17,259.5
2017-01-14,晋中,109.0,2.1,63.12,11.69,133.38,80.57,191.0
2017-01-15,晋中,219.49,2.75,70.89,9.02,226.54,171.72,215.65
2017-01-16,晋中,254.71,3.22,71.97,12.4,273.92,204.77,352.83
2017-01-17,晋中,158.32,2.61,58.84,20.58,179.41,119.67,279.92
2017-01-18,晋中,132.22,2.44,65.26,13.32,155.45,100.09,216.78
2017-01-19,晋中,113.55,1.4,27.03,56.43,132.69,61.96,68.82
2017-01-20,晋中,83.55,2.2,40.95,33.19,93.84,55.03,234.66
2017-01-21,晋中,89.21,1.68,31.91,47.14,100.59,56.11,147.77
2017-01-22,晋中,83.78,2.26,44.23,27.17,96.24,57.59,225.17
2017-01-23,晋中,111.54,2.64,50.74,20.93,133.73,80.28,332.37
2017-01-24,晋中,180.89,2.64,71.78,22.09,192.33,138.22,270.54
2017-01-25,晋中,253.29,2.95,70.49,38.5,263.75,203.32,261.96
2017-01-26,晋中,238.76,4.21,56.26,33.53,254.12,193.34,306.69
2017-01-27,晋中,89.67,1.63,32.8,52.29,110.48,57.1,167.68
2017-01-28,晋中,217.69,2.45,46.28,44.36,264.46,183.83,315.66
2017-01-29,晋中,96.41,1.04,18.34,63.88,113.38,54.42,95.78
2017-01-30,晋中,52.96,1.35,22.81,48.63,48.83,26.42,128.74
2017-01-31,晋中,125.8,2.67,43.1,25.58,141.45,94.12,305.12
2017-02-01,晋中,142.84,2.08,40.65,36.56,162.64,106.0,222.67
2017-02-02,晋中,150.94,2.73,46.2,46.71,155.3,110.64,239.24
2017-02-03,晋中,243.72,2.97,59.94,36.49,235.18,193.15,409.55
2017-02-04,晋中,214.73,2.88,58.43,40.71,226.08,169.49,354.74
2017-02-05,晋中,97.66,2.1,47.84,38.58,109.07,71.55,225.33
2017-02-06,晋中,183.75,2.18,41.82,55.05,204.41,144.25,147.8
2017-02-07,晋中,105.18,2.04,41.78,35.35,110.12,76.73,206.68
2017-02-08,晋中,85.78,1.29,23.82,55.67,91.1,53.73,102.07
2017-02-09,晋中,48.86,1.2,23.04,58.09,47.79,31.57,79.61
2017-02-10,晋中,66.02,1.59,34.34,46.75,67.18,43.31,161.16
2017-02-11,晋中,153.45,2.15,43.44,31.12,182.31,126.05,305.96
2017-02-12,晋中,117.09,2.01,47.1,35.1,134.77,88.6,262.3
2017-02-13,晋中,83.98,1.57,46.41,35.18,96.13,58.33,183.58
2017-02-14,晋中,183.79,2.38,74.17,30.4,205.39,141.16,262.58
2017-02-15,晋中,165.1,2.17,56.58,50.14,175.93,125.69,246.8
2017-02-16,晋中,171.02,2.77,57.29,50.03,196.64,131.18,197.62
2017-02-17,晋中,112.0,1.69,50.78,30.84,161.47,76.04,161.38
2017-02-18,晋中,111.84,1.99,53.22,40.79,154.92,80.42,241.38
2017-02-19,晋中,136.9,1.82,51.69,58.3,182.64,97.9,185.27
2017-02-20,晋中,78.36,0.99,22.78,62.17,106.26,27.46,54.08
2017-02-21,晋中,79.87,1.13,26.46,61.17,91.14,37.64,80.14
2017-02-22,晋中,182.11,2.09,51.21,45.55,170.07,139.95,240.56
2017-02-23,晋中,59.6,1.21,40.73,56.98,64.01,38.82,131.84
2017-02-24,晋中,85.65,1.62,50.71,40.66,101.27,60.67,188.47
2017-02-25,晋中,86.67,1.5,49.9,34.14,102.96,62.04,162.83
2017-02-26,晋中,79.73,1.54,48.3,30.55,96.06,55.38,166.72
2017-02-27,晋中,97.45,2.06,51.0,35.1,120.63,70.07,196.58
2017-02-28,晋中,98.94,1.62,50.92,29.19,128.19,69.15,162.15
2017-03-01,晋中,62.36,1.16,25.94,61.56,73.58,34.26,67.48
2017-03-02,晋中,78.55,1.76,43.54,36.48,97.9,52.47,192.13
2017-03-03,晋中,99.03,2.17,50.47,37.71,128.07,71.99,232.21
2017-03-04,晋中,98.36,1.87,52.53,33.02,131.82,69.24,173.08
2017-03-05,晋中,84.54,1.3,35.15,49.64,100.84,55.7,104.82
2017-03-06,晋中,62.18,1.48,28.4,52.91,73.03,27.73,94.25
2017-03-07,晋中,44.79,1.04,21.02,61.77,45.38,20.6,43.89
2017-03-08,晋中,54.51,1.0,39.53,46.97,61.27,28.13,84.34
2017-03-09,晋中,80.89,1.43,53.76,33.45,104.33,54.02,155.98
