time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,晋城,216.75,6.47,85.94,13.17,269.55,179.78,235.68
2017-01-02,晋城,215.04,3.98,76.43,33.57,231.91,170.63,187.89
2017-01-03,晋城,209.79,5.93,85.49,29.47,247.29,167.83,229.67
2017-01-04,晋城,171.12,4.24,70.9,41.67,199.21,131.43,183.93
2017-01-05,晋城,88.14,2.51,40.37,60.82,85.91,65.06,28.56
2017-01-06,晋城,42.14,1.63,28.15,55.33,40.7,26.15,22.75
2017-01-07,晋城,58.04,2.22,43.6,21.28,51.46,40.28,48.51
2017-01-08,晋城,69.12,1.17,32.16,52.1,72.5,47.9,45.33
2017-01-09,晋城,146.46,3.01,55.83,37.93,160.66,111.2,100.98
2017-01-10,晋城,136.57,2.1,59.83,25.86,158.9,103.85,79.12
2017-01-11,晋城,123.37,2.13,51.65,37.88,147.99,89.84,68.74
2017-01-12,晋城,57.17,1.02,30.53,61.6,65.44,30.51,49.12
2017-01-13,晋城,91.2,2.61,52.88,41.24,121.88,60.08,105.19
2017-01-14,晋城,92.12,1.5,48.83,47.08,106.85,66.24,68.85
2017-01-15,晋城,78.42,1.51,54.62,36.53,96.2,55.49,77.6
2017-01-16,晋城,156.03,2.58,72.57,19.74,177.78,117.8,111.85
2017-01-17,晋城,276.19,2.67,73.89,24.28,313.27,242.15,68.4
2017-01-18,晋城,243.29,1.63,57.82,37.36,250.36,194.41,48.19
2017-01-19,晋城,128.08,0.89,27.81,51.99,134.38,79.23,24.8
2017-01-20,晋城,58.15,1.16,33.46,42.59,62.94,32.71,67.67
2017-01-21,晋城,60.06,1.03,30.52,57.55,71.17,30.7,56.12
2017-01-22,晋城,67.92,1.8,44.94,44.77,78.55,41.21,101.07
2017-01-23,晋城,157.58,2.76,57.5,50.2,172.5,119.99,133.97
2017-01-24,晋城,262.71,3.88,64.55,50.17,272.84,213.71,125.4
2017-01-25,晋城,254.53,3.78,62.73,61.58,254.43,205.38,117.11
2017-01-26,晋城,219.58,2.87,56.2,48.48,235.63,162.89,104.26
2017-01-27,晋城,135.58,1.54,26.41,81.8,154.93,95.16,48.26
2017-01-28,晋城,174.12,1.6,30.31,86.65,183.26,132.75,54.33
2017-01-29,晋城,167.57,1.74,29.72,67.65,187.21,125.91,62.51
2017-01-30,晋城,80.96,1.27,19.36,64.69,99.15,54.17,35.49
2017-01-31,晋城,86.5,1.66,28.31,63.03,97.75,62.79,59.2
2017-02-01,晋城,162.65,3.34,43.08,53.58,168.88,124.53,115.56
2017-02-02,晋城,124.84,2.41,37.44,70.84,126.93,94.16,93.38
2017-02-03,晋城,136.65,2.64,42.71,79.79,146.11,103.32,96.42
2017-02-04,晋城,226.14,4.74,66.17,60.28,236.8,178.84,133.19
2017-02-05,晋城,214.15,4.44,64.01,73.31,225.36,167.75,141.47
2017-02-06,晋城,124.96,2.05,49.79,77.06,135.26,92.59,85.96
2017-02-07,晋城,87.77,1.35,37.91,62.98,93.23,64.2,41.26
2017-02-08,晋城,116.16,1.64,35.99,41.16,107.08,86.51,56.2
2017-02-09,晋城,47.88,0.9,22.37,76.56,48.8,26.76,43.26
2017-02-10,晋城,44.76,1.11,25.87,74.14,45.62,23.6,50.01
2017-02-11,晋城,75.48,2.25,40.19,60.87,84.77,49.49,89.38
2017-02-12,晋城,113.74,3.75,59.28,48.5,133.92,83.65,149.15
2017-02-13,晋城,161.98,4.41,70.83,49.8,189.69,123.27,162.19
2017-02-14,晋城,178.03,2.72,68.07,75.65,195.07,136.8,119.63
2017-02-15,晋城,181.35,3.23,74.38,60.41,205.57,140.9,126.29
2017-02-16,晋城,226.8,4.11,67.53,72.23,276.77,186.48,118.55
2017-02-17,晋城,128.38,1.95,41.44,68.38,172.16,90.92,59.98
2017-02-18,晋城,148.75,4.32,68.85,49.2,198.22,110.34,127.13
2017-02-19,晋城,159.68,3.5,75.36,68.36,211.62,121.56,125.21
2017-02-20,晋城,85.01,1.1,32.03,75.34,113.33,43.28,40.29
2017-02-21,晋城,89.62,1.37,32.87,59.97,93.08,53.97,34.36
2017-02-22,晋城,103.81,1.76,30.52,66.61,105.95,74.56,52.78
2017-02-23,晋城,74.14,1.38,34.2,71.01,84.59,48.23,53.81
2017-02-24,晋城,89.12,2.1,46.86,58.38,99.64,61.83,74.4
2017-02-25,晋城,74.15,1.88,41.87,73.0,89.44,48.93,75.06
2017-02-26,晋城,92.06,3.02,55.39,42.94,122.69,61.81,118.81
2017-02-27,晋城,113.59,3.42,59.92,53.22,154.33,78.33,121.46
2017-02-28,晋城,102.14,2.94,57.29,52.58,143.81,65.41,99.73
2017-03-01,晋城,61.81,0.9,18.31,86.49,72.82,18.46,21.56
2017-03-02,晋城,58.73,1.75,44.45,65.78,66.99,27.82,75.15
2017-03-03,晋城,102.43,3.34,61.61,58.68,139.55,65.82,119.54
2017-03-04,晋城,138.51,3.62,70.69,56.85,191.79,101.87,135.57
2017-03-05,晋城,204.35,3.82,66.39,64.67,253.62,159.33,113.75
2017-03-06,晋城,94.1,1.79,46.14,61.9,116.35,58.92,60.11
2017-03-07,晋城,57.99,1.12,33.83,71.63,69.34,22.29,44.22
2017-03-08,晋城,52.74,1.04,38.09,73.06,58.68,20.62,42.72
2017-03-09,晋城,72.11,2.33,46.25,66.71,89.48,40.12,99.2
2017-03-10,晋城,115.07,2.48,64.74,63.95,161.57,77.76,118.42
2017-03-11,晋城,158.36,2.26,74.13,65.57,200.91,120.02,92.8
2017-03-12,晋城,89.58,1.49,40.53,62.78,97.64,58.56,50.72
2017-03-13,晋城,64.09,1.27,38.59,61.73,77.89,27.43,50.89
2017-03-14,晋城,98.94,3.08,48.65,61.2,125.62,66.93,84.2
2017-03-15,晋城,77.44,1.11,42.78,83.5,96.7,52.64,47.55
2017-03-16,晋城,109.85,1.43,38.66,78.82,117.18,82.06,31.18
2017-03-17,晋城,133.21,1.83,60.28,61.17,153.85,100.53,63.4
2017-03-18,晋城,200.56,3.79,51.38,84.83,231.22,163.17,87.5
2017-03-19,晋城,98.32,1.02,35.76,116.03,114.6,72.72,33.32
2017-03-20,晋城,108.86,1.33,32.72,71.75,111.01,81.42,28.89
2017-03-21,晋城,140.49,1.45,39.5,81.78,152.54,109.64,35.62
2017-03-22,晋城,115.92,1.02,22.94,113.71,118.96,87.01,14.82
2017-03-23,晋城,73.05,0.89,26.45,81.25,78.15,51.51,15.61
2017-03-24,晋城,100.86,0.88,24.06,77.49,133.99,47.47,16.41
2017-03-25,晋城,52.95,0.69,18.19,96.76,58.56,14.26,11.39
2017-03-26,晋城,42.45,0.75,26.66,87.73,41.36,14.13,20.2
2017-03-27,晋城,81.25,2.14,49.57,74.28,111.16,44.47,67.97
2017-03-28,晋城,115.16,2.05,40.27,89.23,156.65,83.64,57.95
2017-03-29,晋城,124.99,1.38,39.68,86.16,155.36,93.62,37.5
2017-03-30,晋城,120.66,1.83,47.27,61.95,151.05,89.26,57.23
2017-03-31,晋城,127.22,1.5,42.63,53.08,135.55,96.39,24.37
2017-04-01,晋城,189.68,3.35,44.84,60.83,227.14,149.73,28.75
2017-04-02,晋城,89.65,3.05,56.43,78.76,128.06,49.55,74.91
2017-04-03,晋城,110.46,2.35,57.19,85.51,166.75,67.14,79.01
2017-04-04,晋城,53.27,0.81,17.17,108.51,53.07,31.22,18.27
2017-04-05,晋城,95.66,1.28,26.68,70.39,104.91,70.73,19.31
2017-04-06,晋城,145.39,1.94,26.78,124.43,165.72,109.97,24.24
2017-04-07,晋城,131.95,1.18,34.89,110.51,154.82,99.18,23.54
2017-04-08,晋城,71.37,1.57,33.21,80.94,77.24,49.06,18.1
2017-04-09,晋城,48.71,1.69,29.78,70.65,50.2,24.88,26.03
2017-04-10,晋城,57.2,1.39,31.65,55.01,57.68,39.03,23.89
2017-04-11,晋城,78.56,1.77,33.23,72.31,90.89,52.6,31.47
2017-04-12,晋城,90.34,2.12,48.44,63.69,116.14,57.81,40.74
2017-04-13,晋城,99.31,2.51,54.99,62.35,142.91,54.44,46.13
2017-04-14,晋城,114.53,4.52,56.85,68.07,176.54,64.88,68.92
2017-04-15,晋城,135.25,4.26,63.4,80.35,206.13,87.69,70.26
2017-04-16,晋城,56.33,1.03,24.06,82.61,65.15,27.42,22.03
2017-04-17,晋城,98.73,0.88,28.98,89.82,146.96,41.71,23.46
2017-04-18,晋城,99.3,0.69,24.92,101.45,137.16,24.18,19.73
2017-04-19,晋城,107.16,1.36,49.25,60.9,161.13,42.06,45.07
2017-04-20,晋城,96.59,1.27,27.97,88.95,143.61,32.54,32.85
2017-04-21,晋城,64.72,0.8,23.54,89.4,82.22,17.66,21.48
2017-04-22,晋城,69.17,1.5,50.59,79.32,86.72,29.62,50.11
2017-04-23,晋城,80.63,2.18,59.13,95.9,104.78,33.67,64.6
2017-04-24,晋城,90.83,2.28,60.3,97.23,130.15,41.6,67.3
2017-04-25,晋城,77.43,2.48,58.59,63.41,103.64,33.79,66.84
2017-04-26,晋城,70.92,1.7,41.72,74.19,90.34,32.15,51.39
2017-04-27,晋城,96.53,2.78,55.35,80.21,131.77,55.31,67.12
2017-04-28,晋城,84.66,1.49,51.13,91.26,113.91,38.61,44.03
2017-04-29,晋城,93.65,2.72,56.35,90.02,131.34,49.85,74.91
2017-04-30,晋城,93.16,3.4,63.31,94.18,126.94,45.15,75.49
2017-05-01,晋城,92.59,1.9,44.92,120.44,122.23,47.67,47.44
2017-05-02,晋城,94.81,1.58,42.07,133.11,119.04,53.43,34.25
2017-05-03,晋城,47.11,0.98,23.01,89.93,49.65,19.65,16.69
2017-05-04,晋城,138.9,0.98,19.64,96.7,217.0,56.98,20.23
2017-05-05,晋城,216.8,1.25,27.61,94.76,337.82,82.19,19.43
2017-05-06,晋城,85.42,1.8,31.33,99.4,117.4,36.54,39.24
2017-05-07,晋城,132.89,4.01,53.98,107.06,203.84,74.61,70.56
2017-05-08,晋城,57.88,0.93,18.09,138.1,61.27,19.49,20.53
2017-05-09,晋城,64.06,1.29,39.33,94.75,73.19,25.38,30.45
2017-05-10,晋城,69.13,1.25,46.23,83.63,89.44,24.19,36.99
2017-05-11,晋城,82.09,1.12,52.08,75.98,114.63,31.31,52.16
2017-05-12,晋城,86.65,1.56,49.75,90.27,121.64,33.22,44.6
2017-05-13,晋城,109.1,2.66,50.27,114.86,161.01,50.67,52.82
2017-05-14,晋城,84.42,1.15,32.67,106.37,114.43,31.7,23.98
2017-05-15,晋城,46.98,2.12,28.11,90.48,46.47,18.76,18.46
2017-05-16,晋城,62.73,2.07,36.18,96.94,69.33,28.06,22.95
2017-05-17,晋城,75.05,1.21,54.64,93.78,89.65,27.86,33.16
2017-05-18,晋城,82.07,1.47,56.2,98.01,104.06,33.2,38.32
2017-05-19,晋城,78.53,1.0,41.97,114.85,95.55,33.02,33.72
2017-05-20,晋城,79.65,1.29,40.7,96.68,98.72,39.96,25.13
2017-05-21,晋城,87.32,1.15,31.4,128.47,108.04,46.82,21.29
2017-05-22,晋城,94.46,1.31,46.32,103.01,131.83,57.93,23.97
2017-05-23,晋城,55.58,0.74,13.25,132.23,54.63,25.13,11.33
2017-05-24,晋城,74.41,1.24,31.44,105.76,86.82,37.6,21.17
2017-05-25,晋城,81.49,1.31,49.12,114.56,90.89,31.71,34.24
2017-05-26,晋城,112.88,1.48,54.17,151.47,124.88,42.95,38.51
2017-05-27,晋城,112.15,2.01,65.93,139.96,121.06,42.38,40.86
2017-05-28,晋城,109.4,1.83,67.29,136.17,119.21,37.3,47.72
2017-05-29,晋城,97.05,1.43,58.87,140.28,93.39,31.43,41.31
2017-05-30,晋城,83.89,1.3,29.63,171.24,76.45,32.9,28.64
2017-05-31,晋城,81.99,2.35,28.5,153.43,69.25,31.06,29.44
2017-06-01,晋城,101.91,3.97,36.61,161.9,92.09,40.05,49.13
2017-06-02,晋城,105.71,1.42,59.15,145.88,120.92,41.14,38.03
2017-06-03,晋城,97.25,1.27,36.49,124.78,143.21,47.15,26.2
2017-06-04,晋城,73.69,1.33,45.01,77.82,96.99,38.02,22.85
2017-06-05,晋城,46.89,0.76,19.04,119.96,43.34,20.83,10.83
2017-06-06,晋城,54.38,1.45,22.52,96.42,58.4,30.58,17.12
2017-06-07,晋城,84.1,2.02,38.21,106.37,100.83,46.69,28.67
2017-06-08,晋城,55.62,1.21,42.41,90.07,61.2,24.75,22.91
2017-06-09,晋城,83.63,2.53,40.33,106.45,98.84,40.07,31.14
2017-06-10,晋城,73.53,1.68,30.99,128.04,73.09,28.62,22.91
2017-06-11,晋城,96.38,1.48,51.21,126.13,131.16,44.7,32.8
2017-06-12,晋城,111.21,1.59,51.18,147.17,139.22,61.57,30.24
2017-06-13,晋城,96.54,1.64,25.97,158.64,117.9,57.24,19.66
2017-06-14,晋城,103.12,1.26,26.2,176.65,118.1,57.85,16.81
2017-06-15,晋城,117.05,2.64,43.3,177.45,134.91,72.55,36.08
2017-06-16,晋城,100.2,1.23,44.63,148.3,109.1,55.05,34.91
2017-06-17,晋城,105.26,1.15,40.15,186.82,83.33,37.67,25.66
2017-06-18,晋城,109.44,1.45,58.99,175.67,91.11,44.81,34.51
2017-06-19,晋城,118.52,2.65,49.86,189.31,140.03,72.29,46.51
2017-06-20,晋城,103.93,2.05,32.36,172.68,99.05,56.86,28.88
2017-06-21,晋城,131.14,1.94,54.3,128.8,162.84,93.21,32.87
2017-06-22,晋城,62.08,0.86,13.39,120.28,68.55,37.79,8.93
2017-06-23,晋城,99.15,1.16,21.99,104.21,121.22,72.03,11.14
2017-06-24,晋城,121.95,2.42,38.39,102.78,148.6,88.58,24.41
2017-06-25,晋城,81.59,1.86,25.22,144.15,78.3,41.8,20.43
2017-06-26,晋城,93.98,2.93,34.21,148.2,97.44,48.47,37.27
2017-06-27,晋城,120.32,1.41,41.93,167.89,138.79,67.45,23.43
2017-06-28,晋城,115.76,1.18,38.36,163.9,129.08,61.5,22.39
2017-06-29,晋城,97.28,1.39,38.25,143.85,108.76,45.74,24.38
2017-06-30,晋城,102.07,1.11,36.58,155.09,113.1,47.74,21.35
2017-07-01,晋城,120.18,2.09,39.43,150.57,149.55,67.84,27.63
2017-07-02,晋城,142.76,2.74,38.92,171.72,178.94,97.56,28.95
2017-07-03,晋城,146.39,2.14,47.83,173.54,173.89,89.21,31.21
2017-07-04,晋城,107.66,2.05,52.03,127.57,135.85,58.18,32.71
2017-07-05,晋城,92.38,2.67,28.31,127.55,123.45,62.97,21.36
2017-07-06,晋城,62.96,1.19,31.68,76.0,72.01,32.09,11.12
2017-07-07,晋城,83.73,2.15,30.59,105.4,92.48,43.38,16.39
2017-07-08,晋城,90.48,1.97,47.06,133.56,92.84,36.1,29.25
2017-07-09,晋城,132.9,2.77,53.66,148.64,179.32,81.83,35.29
2017-07-10,晋城,99.62,1.91,37.3,145.67,124.62,56.37,27.24
2017-07-11,晋城,97.03,1.65,33.95,149.58,100.46,38.43,23.33
2017-07-12,晋城,100.34,1.23,23.54,140.43,132.96,58.4,10.36
2017-07-13,晋城,116.33,2.04,25.97,141.35,151.95,74.96,10.76
2017-07-14,晋城,105.95,4.0,43.56,114.43,148.2,68.36,17.03
2017-07-15,晋城,75.23,2.52,35.99,100.78,90.39,38.98,17.7
2017-07-16,晋城,88.54,2.01,26.58,118.03,109.64,55.62,14.97
2017-07-17,晋城,83.92,1.1,17.95,119.25,109.24,53.54,12.52
2017-07-18,晋城,60.46,1.04,19.49,99.9,72.71,31.83,9.18
2017-07-19,晋城,65.32,0.93,14.37,112.13,76.12,37.09,10.42
2017-07-20,晋城,67.05,1.0,23.29,105.0,80.42,37.18,11.41
2017-07-21,晋城,83.39,1.02,25.72,112.94,107.36,49.12,11.09
2017-07-22,晋城,66.13,0.8,10.28,112.12,79.99,35.08,6.22
2017-07-23,晋城,82.37,0.94,11.43,134.68,106.73,49.17,7.24
2017-07-24,晋城,109.43,2.57,30.46,124.67,143.32,71.18,14.61
2017-07-25,晋城,98.35,1.42,12.76,138.51,125.35,71.01,10.76
2017-07-26,晋城,98.48,1.16,13.54,142.84,126.34,68.83,12.16
2017-07-27,晋城,72.71,1.41,19.5,72.65,89.45,43.41,12.3
2017-07-28,晋城,61.64,3.19,27.09,65.7,70.54,34.4,25.88
2017-07-29,晋城,87.17,3.65,36.57,39.11,96.83,61.41,20.07
2017-07-30,晋城,90.36,2.26,27.44,96.41,104.74,55.96,21.61
2017-07-31,晋城,148.02,3.05,27.25,132.12,187.18,100.17,18.12
2017-08-01,晋城,112.92,2.31,24.22,96.68,137.08,81.53,23.75
2017-08-02,晋城,88.84,1.98,20.71,88.17,111.93,59.35,20.9
2017-08-03,晋城,106.25,1.41,21.03,123.17,132.11,63.34,19.98
2017-08-04,晋城,128.92,3.04,32.76,147.62,167.57,86.87,26.8
2017-08-05,晋城,121.33,1.65,29.3,147.94,142.15,74.45,20.8
2017-08-06,晋城,119.36,3.84,44.88,135.91,161.06,78.85,43.65
2017-08-07,晋城,116.16,3.39,40.32,85.18,155.63,83.38,44.67
2017-08-08,晋城,59.97,0.86,19.76,119.15,56.26,25.76,20.43
2017-08-09,晋城,66.45,1.76,31.8,101.86,81.76,28.49,31.26
2017-08-10,晋城,109.73,3.08,44.39,117.53,132.64,53.52,50.24
2017-08-11,晋城,104.96,1.82,47.45,142.83,127.39,51.95,31.8
2017-08-12,晋城,62.02,1.43,19.4,100.74,73.64,29.94,20.85
2017-08-13,晋城,77.84,1.29,22.38,111.36,93.62,45.96,15.72
2017-08-14,晋城,110.59,2.26,21.71,129.9,129.11,76.91,21.66
2017-08-15,晋城,111.4,1.53,34.18,114.48,138.42,75.52,19.01
2017-08-16,晋城,114.72,3.06,34.18,118.12,143.93,79.99,26.5
2017-08-17,晋城,92.95,1.43,32.87,123.24,117.85,53.32,22.34
2017-08-18,晋城,73.2,0.72,10.87,124.21,89.81,47.69,10.01
2017-08-19,晋城,77.0,1.31,19.22,98.83,87.7,52.85,12.19
2017-08-20,晋城,120.79,1.81,23.24,106.22,129.96,92.2,14.48
2017-08-21,晋城,119.73,1.12,23.89,133.92,142.03,89.62,15.23
2017-08-22,晋城,84.17,0.83,14.75,144.11,93.7,58.81,9.57
2017-08-23,晋城,49.11,0.81,19.24,129.15,46.93,25.77,14.03
2017-08-24,晋城,75.26,1.1,29.01,141.81,81.13,40.92,26.86
2017-08-25,晋城,76.81,1.65,51.8,68.5,96.77,48.52,34.08
2017-08-26,晋城,63.67,1.69,46.74,49.13,74.26,37.99,23.34
2017-08-27,晋城,67.72,0.81,18.35,142.85,78.55,40.62,16.08
2017-08-28,晋城,55.14,1.56,28.26,89.89,64.8,29.35,22.0
2017-08-29,晋城,64.24,1.47,34.79,47.53,67.59,41.41,14.56
2017-08-30,晋城,45.9,1.67,33.09,43.45,45.82,22.63,12.08
2017-08-31,晋城,87.35,1.57,26.8,86.28,89.33,59.73,18.82
2017-09-01,晋城,83.47,0.76,22.61,95.21,89.36,59.5,14.78
2017-09-02,晋城,45.03,0.55,16.26,107.9,41.17,20.41,10.39
2017-09-03,晋城,71.01,1.29,43.14,73.78,85.88,44.98,21.16
2017-09-04,晋城,136.7,3.03,55.74,33.21,162.51,103.47,23.94
2017-09-05,晋城,63.24,1.38,34.9,44.67,59.89,41.37,12.86
