time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,朔州,119.01,1.69,49.53,22.53,137.27,85.27,137.27
2017-01-02,朔州,102.45,1.24,37.47,39.63,118.39,72.56,135.97
2017-01-03,朔州,133.7,1.37,41.08,39.85,179.41,85.71,116.65
2017-01-04,朔州,195.7,2.21,58.23,15.19,236.09,151.28,224.79
2017-01-05,朔州,198.9,2.0,52.58,33.94,217.67,155.29,158.53
2017-01-06,朔州,240.5,2.64,59.42,10.69,227.36,192.64,178.06
2017-01-07,朔州,150.37,1.66,39.25,24.52,161.36,106.82,97.94
2017-01-08,朔州,102.77,1.49,37.57,30.12,114.8,72.77,110.23
2017-01-09,朔州,102.62,1.3,41.25,31.26,119.12,69.1,104.49
2017-01-10,朔州,100.41,1.25,40.04,29.39,127.03,66.3,134.63
2017-01-11,朔州,100.88,1.35,37.68,36.06,114.93,67.46,112.22
2017-01-12,朔州,91.67,1.26,33.89,43.95,108.62,58.7,101.9
2017-01-13,朔州,120.62,1.61,41.56,29.02,132.97,85.75,119.46
2017-01-14,朔州,141.81,1.96,44.77,20.6,160.15,107.01,143.57
2017-01-15,朔州,243.64,2.58,56.45,12.43,275.02,192.99,246.63
2017-01-16,朔州,139.22,1.46,38.41,43.94,154.82,104.52,109.96
2017-01-17,朔州,73.94,0.88,29.1,55.94,83.78,45.98,68.66
2017-01-18,朔州,164.4,1.92,46.79,19.89,213.83,116.66,217.49
2017-01-19,朔州,82.57,0.73,14.51,70.04,103.43,34.73,46.2
2017-01-20,朔州,84.39,1.0,29.09,47.78,97.65,54.33,119.05
2017-01-21,朔州,56.83,0.74,18.99,64.01,60.31,27.27,61.37
2017-01-22,朔州,102.35,1.36,34.42,37.07,129.11,63.93,130.93
2017-01-23,朔州,157.84,2.16,39.81,43.5,204.37,115.48,192.31
2017-01-24,朔州,185.47,2.11,40.45,39.91,223.36,149.94,187.21
2017-01-25,朔州,243.94,2.34,57.26,45.05,283.92,195.39,252.66
2017-01-26,朔州,136.76,0.92,20.36,82.66,190.64,78.45,74.62
2017-01-27,朔州,110.99,1.39,28.33,57.68,115.36,80.78,142.37
2017-01-28,朔州,276.54,2.55,39.6,64.55,343.31,189.68,278.01
2017-01-29,朔州,59.41,0.54,6.81,79.68,73.28,17.39,29.5
2017-01-30,朔州,81.43,1.02,20.01,45.95,83.02,54.75,99.61
2017-01-31,朔州,114.15,1.21,32.32,45.71,140.81,78.95,128.36
2017-02-01,朔州,93.94,0.94,23.32,47.1,114.02,56.04,93.73
2017-02-02,朔州,193.22,2.11,46.81,32.98,228.96,150.7,237.65
2017-02-03,朔州,209.47,1.99,50.44,44.67,232.77,161.08,193.94
2017-02-04,朔州,141.14,1.42,36.05,70.13,155.31,106.26,124.04
2017-02-05,朔州,131.55,1.4,44.86,43.3,140.28,99.14,134.06
2017-02-06,朔州,139.93,1.52,39.02,40.66,152.7,105.23,92.92
2017-02-07,朔州,189.6,1.62,32.71,44.95,166.39,143.76,62.84
2017-02-08,朔州,48.07,0.81,17.29,75.94,53.27,20.16,32.72
2017-02-09,朔州,62.69,0.97,27.25,58.4,67.55,32.75,65.88
2017-02-10,朔州,77.04,1.25,35.52,48.06,90.95,44.55,80.47
2017-02-11,朔州,106.74,1.29,38.87,42.56,112.0,74.7,129.54
2017-02-12,朔州,153.68,1.64,45.73,38.12,189.15,113.98,157.62
2017-02-13,朔州,131.7,1.53,48.53,39.19,141.73,99.03,136.2
2017-02-14,朔州,184.12,2.13,53.74,40.97,235.6,136.57,172.32
2017-02-15,朔州,128.89,1.65,43.96,69.22,141.4,95.33,94.51
2017-02-16,朔州,103.74,1.13,40.28,43.19,135.34,61.58,68.6
2017-02-17,朔州,62.56,1.22,25.79,61.76,69.58,35.82,62.55
2017-02-18,朔州,86.17,1.38,32.21,72.49,101.24,50.44,89.15
2017-02-19,朔州,83.98,1.17,20.74,94.26,112.46,40.03,40.92
2017-02-20,朔州,63.77,1.15,24.88,65.96,69.33,33.15,44.73
2017-02-21,朔州,80.53,1.17,23.92,77.08,87.56,48.5,62.5
2017-02-22,朔州,59.84,0.93,21.19,81.16,53.53,36.69,56.52
2017-02-23,朔州,67.92,1.15,28.53,73.06,65.32,43.0,72.21
2017-02-24,朔州,90.72,1.28,44.78,52.85,104.65,60.72,86.5
2017-02-25,朔州,80.48,1.38,36.62,54.52,92.06,44.64,63.49
2017-02-26,朔州,114.48,1.73,49.6,44.58,128.67,74.72,98.16
2017-02-27,朔州,120.12,1.49,41.37,54.59,136.31,78.49,70.34
2017-02-28,朔州,93.54,1.26,42.0,47.55,108.05,60.61,78.41
2017-03-01,朔州,47.01,0.58,14.55,88.84,50.61,15.17,24.99
2017-03-02,朔州,82.05,1.14,42.75,53.88,96.75,47.92,76.76
2017-03-03,朔州,95.67,1.36,49.72,45.47,117.35,62.55,102.73
2017-03-04,朔州,95.68,1.42,44.89,53.31,116.77,57.35,84.74
2017-03-05,朔州,53.78,1.01,27.77,65.15,59.64,21.25,38.06
2017-03-06,朔州,55.14,0.99,25.15,61.95,60.8,22.27,42.77
2017-03-07,朔州,44.35,0.98,22.36,63.89,47.4,19.47,31.81
2017-03-08,朔州,70.41,1.18,36.14,38.51,88.07,31.21,65.47
2017-03-09,朔州,72.7,1.23,40.03,45.21,82.85,40.59,74.53
2017-03-10,朔州,97.55,1.37,48.4,46.28,120.65,60.37,103.67
2017-03-11,朔州,80.57,1.01,32.88,70.86,94.25,45.6,55.1
2017-03-12,朔州,64.2,0.89,29.59,62.36,73.66,27.02,39.12
2017-03-13,朔州,80.43,1.19,40.83,45.98,93.11,51.83,74.39
2017-03-14,朔州,112.75,1.58,50.56,39.75,151.56,71.38,96.01
2017-03-15,朔州,142.98,1.76,56.6,49.96,195.5,99.37,104.8
2017-03-16,朔州,134.86,1.4,54.58,66.64,172.3,96.68,87.41
