time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,长治,267.27,6.42,99.08,15.44,308.91,219.1,316.81
2017-01-02,长治,255.76,5.3,88.88,27.17,281.3,211.67,285.63
2017-01-03,长治,217.79,5.59,102.33,33.38,248.59,174.78,297.8
2017-01-04,长治,249.25,5.56,114.55,17.52,295.73,202.63,267.5
2017-01-05,长治,111.53,2.78,57.17,54.92,106.62,83.56,51.54
2017-01-06,长治,129.75,3.48,56.97,26.24,130.21,97.67,85.75
2017-01-07,长治,117.32,3.4,60.7,9.56,112.2,88.32,103.29
2017-01-08,长治,119.49,1.94,53.17,32.91,119.36,90.27,109.93
2017-01-09,长治,141.95,2.93,73.15,19.82,159.64,107.45,167.0
2017-01-10,长治,122.27,2.5,74.42,18.5,141.35,91.87,154.82
2017-01-11,长治,152.13,2.59,64.16,29.31,171.2,114.46,135.73
2017-01-12,长治,76.47,1.84,56.37,43.35,92.58,52.63,117.12
2017-01-13,长治,103.82,2.75,65.11,33.91,130.27,75.23,152.55
2017-01-14,长治,122.84,2.41,63.98,35.81,146.37,92.58,134.37
2017-01-15,长治,95.55,2.22,59.14,37.13,111.55,70.93,109.03
2017-01-16,长治,144.88,2.7,65.88,28.75,157.31,109.5,150.97
2017-01-17,长治,196.91,2.99,73.97,31.27,214.76,153.03,166.63
2017-01-18,长治,228.25,2.8,64.26,37.44,238.5,179.91,109.68
2017-01-19,长治,135.0,1.43,36.75,60.29,153.57,83.63,54.25
2017-01-20,长治,66.8,2.02,54.23,39.25,76.8,40.9,116.2
2017-01-21,长治,76.7,2.29,56.1,42.37,88.04,53.32,137.84
2017-01-22,长治,96.09,2.9,58.15,34.08,114.48,67.75,148.63
2017-01-23,长治,129.63,3.68,62.56,45.18,146.38,96.57,182.08
2017-01-24,长治,263.61,4.41,82.12,41.06,290.13,217.42,132.15
2017-01-25,长治,201.53,3.55,73.42,52.67,212.32,156.43,150.13
2017-01-26,长治,141.53,2.34,48.69,56.91,160.2,99.36,93.2
2017-01-27,长治,111.76,2.12,38.78,55.75,141.87,74.52,98.39
2017-01-28,长治,149.64,2.3,45.74,61.8,163.29,114.12,109.06
2017-01-29,长治,158.59,2.18,44.71,50.89,183.03,118.47,109.21
2017-01-30,长治,113.77,2.03,40.01,50.96,138.4,82.65,86.57
2017-01-31,长治,105.79,2.49,49.58,44.23,124.83,76.66,135.4
2017-02-01,长治,144.18,3.23,52.92,46.94,158.22,109.07,134.94
2017-02-02,长治,134.81,2.9,52.42,53.02,142.99,101.53,138.96
2017-02-03,长治,111.71,2.81,57.88,52.39,122.54,82.08,151.02
2017-02-04,长治,156.33,3.65,63.83,64.52,169.65,115.9,178.97
2017-02-05,长治,161.5,3.64,76.86,45.47,171.65,121.66,185.77
2017-02-06,长治,178.75,2.76,60.41,55.95,188.04,138.32,109.82
2017-02-07,长治,97.9,2.89,62.55,36.38,109.3,72.53,109.46
2017-02-08,长治,148.99,2.53,54.69,32.47,147.16,110.99,106.52
2017-02-09,长治,68.7,1.69,49.92,46.36,79.51,45.19,124.82
2017-02-10,长治,65.48,2.05,54.43,44.62,73.32,43.15,120.4
