time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,阳泉,165.03,3.05,88.56,32.09,196.64,126.84,194.78
2017-01-02,阳泉,214.89,2.7,96.0,33.37,255.36,175.86,268.35
2017-01-03,阳泉,151.23,2.15,81.28,35.63,179.47,114.01,220.58
2017-01-04,阳泉,124.64,2.29,79.81,37.95,156.87,88.99,134.64
2017-01-05,阳泉,216.35,3.36,69.23,59.1,215.16,168.99,51.09
2017-01-06,阳泉,190.86,3.77,85.3,16.56,213.6,147.84,120.89
2017-01-07,阳泉,243.39,4.41,93.08,10.88,273.02,195.85,120.11
2017-01-08,阳泉,97.78,1.59,50.92,37.52,98.37,72.33,69.79
2017-01-09,阳泉,74.37,1.22,55.35,31.66,89.14,50.78,74.02
2017-01-10,阳泉,66.78,0.95,49.93,38.6,82.42,41.67,62.68
2017-01-11,阳泉,80.36,1.2,54.96,34.41,102.37,53.98,105.4
2017-01-12,阳泉,65.23,0.98,42.64,49.93,78.26,37.67,61.26
2017-01-13,阳泉,84.91,1.32,53.84,38.71,103.0,57.08,78.17
2017-01-14,阳泉,168.26,2.43,86.48,13.47,201.5,128.94,107.54
2017-01-15,阳泉,228.03,2.69,88.06,11.11,250.64,180.76,121.68
2017-01-16,阳泉,320.14,3.28,93.01,8.2,356.77,270.75,119.15
2017-01-17,阳泉,212.65,2.38,72.4,24.45,249.62,169.96,108.77
2017-01-18,阳泉,256.53,2.57,82.15,14.53,294.64,208.53,100.54
2017-01-19,阳泉,142.4,1.13,37.77,61.93,167.93,88.88,43.13
2017-01-20,阳泉,55.34,0.92,39.47,53.25,57.79,31.01,83.52
2017-01-21,阳泉,70.8,1.12,43.34,52.54,83.87,42.9,89.06
2017-01-22,阳泉,82.06,1.69,59.26,29.4,104.1,52.74,119.09
2017-01-23,阳泉,151.34,2.59,89.64,13.87,176.29,114.98,146.36
2017-01-24,阳泉,231.97,3.15,96.8,24.03,250.99,182.23,132.16
2017-01-25,阳泉,245.13,3.3,89.64,44.16,278.62,197.03,175.29
2017-01-26,阳泉,200.07,2.41,63.2,49.15,231.09,153.93,154.24
2017-01-27,阳泉,91.65,1.43,42.3,55.47,104.79,56.9,76.87
2017-01-28,阳泉,210.12,2.76,66.32,30.9,237.45,165.59,159.2
2017-01-29,阳泉,139.11,2.17,39.14,58.03,161.87,99.05,96.12
2017-01-30,阳泉,47.69,1.16,28.62,56.07,51.09,25.98,52.02
2017-01-31,阳泉,96.44,1.89,50.48,40.72,112.69,69.99,156.77
2017-02-01,阳泉,128.88,2.27,54.3,43.41,150.23,96.99,123.57
2017-02-02,阳泉,141.28,2.65,67.31,44.12,159.72,106.85,125.34
2017-02-03,阳泉,233.44,3.66,92.2,39.88,264.12,185.74,229.4
2017-02-04,阳泉,247.14,3.42,84.51,54.54,288.46,199.28,198.98
2017-02-05,阳泉,175.85,2.28,67.59,64.24,203.36,136.6,92.85
2017-02-06,阳泉,198.7,2.14,70.38,39.15,222.57,161.41,72.83
2017-02-07,阳泉,114.36,1.51,53.62,35.29,141.39,85.39,79.5
2017-02-08,阳泉,85.93,1.25,42.46,49.46,105.69,59.96,52.32
2017-02-09,阳泉,46.17,0.81,20.86,80.16,46.18,19.99,20.96
2017-02-10,阳泉,47.29,0.86,25.47,78.64,44.79,24.94,30.98
2017-02-11,阳泉,82.21,1.29,46.67,52.54,93.79,57.41,118.27
2017-02-12,阳泉,97.74,1.8,55.61,49.86,127.1,67.32,132.97
2017-02-13,阳泉,117.7,2.01,65.78,50.42,152.83,78.41,108.78
2017-02-14,阳泉,203.96,2.73,90.79,47.39,260.64,149.71,139.49
2017-02-15,阳泉,202.06,2.82,78.67,60.58,253.83,154.78,119.05
2017-02-16,阳泉,206.2,2.11,62.14,69.78,265.92,152.31,75.22
2017-02-17,阳泉,118.54,1.48,50.89,46.04,185.64,68.73,36.19
2017-02-18,阳泉,102.91,1.58,59.06,49.45,154.4,54.58,103.7
2017-02-19,阳泉,155.12,2.12,67.46,67.08,227.32,104.26,106.31
2017-02-20,阳泉,99.42,1.01,35.92,65.57,133.06,53.15,27.69
2017-02-21,阳泉,70.17,1.22,32.82,55.49,72.03,46.19,28.59
2017-02-22,阳泉,84.19,1.32,33.76,64.65,78.83,58.69,63.31
2017-02-23,阳泉,43.32,0.72,35.85,70.67,39.6,24.05,29.67
2017-02-24,阳泉,68.05,1.09,52.43,52.48,75.97,45.44,80.23
2017-02-25,阳泉,51.14,0.82,39.38,68.4,52.96,27.62,37.21
2017-02-26,阳泉,69.9,1.31,50.0,49.58,91.28,39.82,83.1
2017-02-27,阳泉,97.27,2.96,52.89,54.89,124.92,58.47,88.69
2017-02-28,阳泉,79.19,1.06,43.47,61.79,104.38,47.06,65.67
2017-03-01,阳泉,64.65,0.6,21.67,86.24,79.11,24.81,17.56
2017-03-02,阳泉,51.7,0.91,38.98,67.26,54.98,27.8,75.24
2017-03-03,阳泉,74.5,1.19,50.87,66.3,97.39,46.96,98.52
2017-03-04,阳泉,102.48,1.55,62.54,57.21,142.34,64.85,66.43
2017-03-05,阳泉,122.47,1.44,52.8,71.81,161.59,84.85,41.2
2017-03-06,阳泉,54.41,0.87,38.93,69.24,60.7,23.1,25.52
2017-03-07,阳泉,51.29,0.89,36.64,66.86,55.73,21.9,23.97
2017-03-08,阳泉,48.49,0.86,29.62,74.22,47.27,21.6,23.59
2017-03-09,阳泉,58.6,0.96,39.3,67.15,65.16,32.89,44.98
2017-03-10,阳泉,102.11,1.47,63.82,51.74,147.65,64.96,102.86
2017-03-11,阳泉,111.04,1.5,62.21,60.27,158.84,68.76,92.25
2017-03-12,阳泉,85.35,1.07,49.01,63.77,120.17,44.32,51.82
2017-03-13,阳泉,87.81,1.18,52.97,56.78,126.12,38.47,58.32
2017-03-14,阳泉,98.08,1.74,57.96,51.98,145.38,53.25,103.16
2017-03-15,阳泉,108.59,2.03,68.16,50.86,162.14,64.69,85.73
2017-03-16,阳泉,106.06,1.37,47.95,89.78,141.11,72.29,87.9
2017-03-17,阳泉,141.04,1.84,63.52,76.45,183.8,102.52,101.0
2017-03-18,阳泉,188.29,2.03,67.89,102.81,235.74,136.24,84.19
2017-03-19,阳泉,185.99,1.68,61.31,124.94,224.96,141.07,61.17
2017-03-20,阳泉,87.19,1.11,31.87,128.82,90.38,58.83,25.06
2017-03-21,阳泉,137.1,1.55,55.12,62.49,189.94,101.49,54.33
2017-03-22,阳泉,171.82,2.09,68.66,51.83,210.24,129.31,66.52
2017-03-23,阳泉,113.9,1.25,37.67,55.03,102.95,82.69,11.65
2017-03-24,阳泉,92.34,0.85,31.53,68.91,109.92,56.46,30.84
2017-03-25,阳泉,49.43,0.51,26.85,82.62,50.41,26.69,16.2
2017-03-26,阳泉,49.94,0.56,34.29,81.41,49.15,25.48,19.07
2017-03-27,阳泉,83.69,1.11,52.17,65.07,113.75,50.46,73.0
2017-03-28,阳泉,83.07,0.79,33.83,86.8,90.3,59.51,27.82
2017-03-29,阳泉,107.69,1.33,57.95,78.44,144.34,72.4,57.09
2017-03-30,阳泉,163.06,1.44,63.17,70.44,213.84,109.56,73.4
2017-03-31,阳泉,115.07,0.92,43.34,78.17,139.22,83.76,25.78
2017-04-01,阳泉,75.31,0.76,50.77,72.51,101.58,35.66,26.97
2017-04-02,阳泉,88.82,0.84,50.81,84.12,117.1,48.57,62.81
2017-04-03,阳泉,143.39,1.56,74.09,75.1,212.84,94.55,66.04
2017-04-04,阳泉,133.62,1.55,51.2,76.36,214.26,93.86,45.46
2017-04-05,阳泉,66.9,1.05,45.09,77.11,70.9,45.56,22.77
2017-04-06,阳泉,128.59,1.49,49.75,96.1,160.15,90.76,52.48
2017-04-07,阳泉,230.57,1.54,49.66,109.33,251.36,184.04,24.21
2017-04-08,阳泉,115.81,1.05,29.66,95.4,118.97,86.43,9.45
2017-04-09,阳泉,44.67,0.85,30.41,79.67,40.94,25.28,23.94
2017-04-10,阳泉,68.17,1.06,38.69,75.65,71.05,48.37,28.08
2017-04-11,阳泉,115.55,1.13,50.3,66.0,129.48,77.73,65.58
2017-04-12,阳泉,86.63,0.8,57.05,69.37,122.59,43.81,42.77
2017-04-13,阳泉,75.6,0.85,49.39,74.57,102.8,44.16,50.7
2017-04-14,阳泉,75.62,0.76,49.4,84.84,97.85,37.88,52.38
2017-04-15,阳泉,85.42,0.83,58.41,74.52,118.95,41.61,52.71
2017-04-16,阳泉,81.0,0.76,45.15,79.32,108.88,49.51,70.76
2017-04-17,阳泉,157.8,0.62,34.57,88.07,257.7,55.82,26.59
2017-04-18,阳泉,74.49,0.45,21.0,103.69,97.11,23.54,8.74
2017-04-19,阳泉,100.62,0.79,50.49,55.29,148.09,43.38,38.14
2017-04-20,阳泉,126.57,0.77,39.32,74.0,200.63,48.31,48.28
2017-04-21,阳泉,47.61,0.49,24.92,91.54,47.78,17.28,8.73
2017-04-22,阳泉,70.36,0.74,45.31,82.36,89.37,31.18,55.89
2017-04-23,阳泉,93.31,1.04,47.22,98.01,135.62,50.65,70.31
2017-04-24,阳泉,94.06,1.08,48.35,89.19,135.23,50.91,46.47
2017-04-25,阳泉,73.83,0.73,31.62,88.19,97.41,35.56,18.27
2017-04-26,阳泉,71.66,0.73,43.8,74.72,95.94,29.58,22.42
2017-04-27,阳泉,75.05,0.78,44.23,75.23,103.28,27.35,26.67
2017-04-28,阳泉,80.23,0.79,44.98,80.26,113.06,33.2,33.07
2017-04-29,阳泉,92.47,1.1,48.3,86.26,128.93,41.86,52.6
2017-04-30,阳泉,167.28,1.26,48.85,105.43,239.96,73.08,67.22
2017-05-01,阳泉,128.07,1.28,42.54,119.2,194.73,60.13,30.77
2017-05-02,阳泉,132.77,1.72,48.14,160.19,193.56,73.1,39.87
2017-05-03,阳泉,95.37,1.55,49.33,95.97,124.85,67.92,27.55
2017-05-04,阳泉,284.68,1.14,34.48,79.87,403.01,104.9,9.87
2017-05-05,阳泉,219.68,0.85,24.35,106.26,376.18,95.12,7.78
2017-05-06,阳泉,81.23,0.75,31.16,100.99,109.84,32.62,18.51
2017-05-07,阳泉,98.04,1.0,55.03,84.5,139.76,53.2,64.41
2017-05-08,阳泉,87.86,1.01,54.1,101.52,122.17,45.1,24.88
2017-05-09,阳泉,96.63,1.26,53.76,105.13,129.99,53.72,30.28
2017-05-10,阳泉,77.95,0.9,43.53,81.5,105.24,35.96,16.19
2017-05-11,阳泉,81.9,0.82,44.13,79.74,112.38,35.79,22.52
2017-05-12,阳泉,85.51,0.57,43.23,88.52,120.53,29.2,17.6
2017-05-13,阳泉,84.44,0.56,38.75,110.63,110.12,29.52,13.56
2017-05-14,阳泉,81.8,0.83,47.95,89.55,109.72,37.57,16.55
2017-05-15,阳泉,71.02,0.84,32.51,117.73,84.1,29.23,11.1
2017-05-16,阳泉,61.5,0.77,27.68,121.27,60.5,27.28,15.15
2017-05-17,阳泉,100.46,1.14,37.68,154.69,118.43,52.86,30.62
2017-05-18,阳泉,109.14,1.23,51.64,141.37,133.57,58.42,22.66
2017-05-19,阳泉,75.94,1.03,41.11,120.43,86.01,31.65,22.85
2017-05-20,阳泉,89.29,1.16,51.88,122.17,98.03,38.43,18.31
2017-05-21,阳泉,100.53,1.41,45.57,140.95,115.62,48.55,20.65
2017-05-22,阳泉,115.59,1.68,51.08,62.17,167.07,78.24,18.23
2017-05-23,阳泉,45.97,0.69,23.13,121.47,25.85,14.51,9.24
2017-05-24,阳泉,64.93,0.63,47.29,79.53,69.3,23.46,15.04
2017-05-25,阳泉,73.65,0.82,38.87,123.1,77.77,30.14,28.96
2017-05-26,阳泉,107.59,1.21,46.17,148.51,112.48,41.18,22.27
2017-05-27,阳泉,99.95,1.24,57.58,130.62,109.61,43.32,26.71
2017-05-28,阳泉,125.85,1.47,38.91,207.38,158.26,66.36,47.33
2017-05-29,阳泉,131.28,1.55,38.46,181.9,197.67,70.16,21.78
2017-05-30,阳泉,104.16,1.12,39.52,124.29,152.37,48.59,22.8
2017-05-31,阳泉,58.91,0.77,41.55,96.2,55.59,26.42,11.22
2017-06-01,阳泉,98.9,1.0,48.64,131.47,114.55,44.01,22.71
2017-06-02,阳泉,107.93,1.22,53.05,121.07,150.96,70.6,19.98
2017-06-03,阳泉,68.21,0.86,34.61,79.51,83.73,35.24,19.09
2017-06-04,阳泉,70.41,1.04,47.86,79.67,87.43,33.62,23.49
2017-06-05,阳泉,88.28,1.36,63.03,79.84,122.83,52.68,26.26
2017-06-06,阳泉,49.5,0.7,29.22,86.17,48.28,30.87,9.51
2017-06-07,阳泉,81.12,0.85,35.51,88.86,79.83,52.14,24.1
2017-06-08,阳泉,84.85,0.84,51.87,107.15,94.25,37.8,32.17
2017-06-09,阳泉,81.35,0.98,49.68,108.64,96.62,45.24,44.04
2017-06-10,阳泉,108.9,1.1,39.65,129.1,145.03,59.7,50.22
2017-06-11,阳泉,107.19,1.11,59.51,113.82,153.65,49.35,25.93
2017-06-12,阳泉,103.88,1.38,39.65,152.65,127.43,67.03,19.24
2017-06-13,阳泉,107.67,1.39,31.59,102.42,110.71,77.99,7.9
2017-06-14,阳泉,84.17,1.04,40.85,105.01,82.05,48.33,9.06
2017-06-15,阳泉,91.89,0.91,52.36,133.6,100.53,43.55,21.34
2017-06-16,阳泉,120.51,1.42,61.0,158.54,141.32,72.81,26.26
2017-06-17,阳泉,118.75,1.29,55.54,133.96,150.73,78.3,22.71
2017-06-18,阳泉,90.51,1.15,46.03,128.06,106.36,57.15,28.67
2017-06-19,阳泉,69.97,0.97,49.98,90.19,82.72,39.94,23.7
2017-06-20,阳泉,87.52,1.1,47.46,109.5,103.74,47.12,28.57
2017-06-21,阳泉,98.23,1.25,58.12,106.06,140.79,64.72,25.5
2017-06-22,阳泉,46.72,0.99,20.6,95.68,46.81,29.96,4.91
2017-06-23,阳泉,47.08,1.07,28.65,96.84,42.55,28.41,9.37
2017-06-24,阳泉,65.77,1.12,42.42,86.38,67.7,44.45,11.15
2017-06-25,阳泉,62.22,0.9,44.33,82.94,67.39,32.82,12.71
2017-06-26,阳泉,63.95,0.84,49.26,86.06,66.61,24.24,18.85
2017-06-27,阳泉,80.5,1.07,59.08,92.91,96.78,37.17,23.58
2017-06-28,阳泉,92.79,1.14,58.19,116.56,114.83,52.91,30.25
2017-06-29,阳泉,87.61,1.17,50.59,102.88,109.18,54.0,24.26
2017-06-30,阳泉,89.63,1.25,54.3,84.48,118.99,51.36,29.01
2017-07-01,阳泉,93.82,1.2,40.14,118.42,105.32,51.38,23.68
2017-07-02,阳泉,111.76,1.37,53.68,135.26,134.26,70.1,25.4
2017-07-03,阳泉,125.32,1.51,64.38,132.42,169.64,79.88,31.04
2017-07-04,阳泉,101.25,1.52,48.01,115.4,123.53,73.45,20.26
2017-07-05,阳泉,90.37,1.37,41.27,102.18,111.69,57.23,21.2
2017-07-06,阳泉,90.76,1.78,41.89,59.87,116.45,64.55,20.13
2017-07-07,阳泉,87.43,1.11,33.09,88.45,92.97,57.47,25.12
2017-07-08,阳泉,95.95,1.07,37.11,157.25,100.14,45.0,28.66
2017-07-09,阳泉,104.85,1.23,48.58,114.84,137.76,51.74,49.3
2017-07-10,阳泉,64.46,0.98,40.07,89.68,72.04,30.38,22.59
2017-07-11,阳泉,109.01,1.34,45.84,134.84,130.21,50.34,35.73
2017-07-12,阳泉,96.9,1.28,38.3,148.52,94.9,42.56,25.88
2017-07-13,阳泉,120.11,1.71,43.36,154.24,146.14,72.6,24.24
2017-07-14,阳泉,111.53,1.09,23.98,167.08,130.98,61.83,17.4
2017-07-15,阳泉,64.52,1.15,25.72,122.4,68.89,38.83,11.05
2017-07-16,阳泉,63.1,1.21,24.14,114.53,66.76,39.32,10.61
2017-07-17,阳泉,86.58,1.32,25.01,132.28,95.08,52.26,12.74
2017-07-18,阳泉,89.99,1.48,31.13,107.05,115.54,62.36,18.57
2017-07-19,阳泉,100.03,1.51,34.2,125.59,116.43,65.07,24.39
2017-07-20,阳泉,120.43,1.64,20.99,151.65,143.17,81.21,17.38
2017-07-21,阳泉,63.17,1.55,31.97,78.01,82.92,38.16,15.18
2017-07-22,阳泉,55.88,1.46,22.39,67.06,61.88,37.25,7.91
2017-07-23,阳泉,67.84,1.61,27.77,67.81,78.02,45.65,7.72
2017-07-24,阳泉,63.02,1.5,28.4,65.59,68.46,41.42,8.86
2017-07-25,阳泉,50.91,1.05,24.1,92.82,50.26,30.96,8.19
2017-07-26,阳泉,56.91,1.37,28.26,70.38,60.53,37.36,10.38
2017-07-27,阳泉,52.06,1.2,40.81,41.4,57.86,30.48,16.04
2017-07-28,阳泉,40.33,0.81,34.44,64.1,39.93,18.45,12.48
2017-07-29,阳泉,43.36,0.76,24.35,98.71,33.39,22.19,15.13
2017-07-30,阳泉,96.61,1.14,35.12,113.74,113.07,62.04,43.93
2017-07-31,阳泉,114.73,1.11,23.81,164.59,135.92,78.49,17.36
2017-08-01,阳泉,117.43,1.28,34.22,100.17,149.32,85.07,11.36
2017-08-02,阳泉,82.26,1.24,28.35,69.49,104.94,55.06,10.76
2017-08-03,阳泉,75.45,1.09,37.73,83.35,90.1,45.35,13.25
2017-08-04,阳泉,94.68,1.09,54.21,111.48,120.1,42.46,31.53
2017-08-05,阳泉,83.92,1.2,50.59,92.71,114.55,45.04,19.48
2017-08-06,阳泉,74.48,0.98,39.75,110.22,84.01,41.29,25.23
2017-08-07,阳泉,64.81,0.94,52.33,74.15,81.8,27.59,26.04
2017-08-08,阳泉,64.89,1.06,36.97,86.61,77.83,39.83,50.53
2017-08-09,阳泉,60.96,1.05,40.16,80.74,69.55,34.52,43.52
2017-08-10,阳泉,83.76,1.32,45.12,90.33,111.52,49.55,59.2
2017-08-11,阳泉,111.57,1.87,55.66,111.21,154.31,67.56,22.4
2017-08-12,阳泉,83.91,1.63,44.2,69.11,102.44,56.02,13.49
2017-08-13,阳泉,,,,,,,
2017-08-14,阳泉,,,,,,,
2017-08-15,阳泉,95.2,1.98,41.2,45.4,132.2,68.2,23.8
2017-08-16,阳泉,,,,,,,
2017-08-17,阳泉,80.6,1.27,22.98,110.19,84.33,57.89,3.95
2017-08-18,阳泉,80.03,1.32,24.49,87.67,80.11,56.82,4.83
