time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,东莞,110.35,1.43,65.28,46.6,110.76,82.92,20.03
2017-01-01,中山,82.04,0.8,53.42,37.31,77.24,59.59,9.19
2017-01-01,云浮,104.19,1.27,48.46,59.63,108.13,77.74,13.23
2017-01-01,佛山,143.51,1.46,92.41,51.43,147.25,109.38,26.07
2017-01-01,广州,103.44,1.39,91.98,45.23,115.66,76.69,16.16
2017-01-01,惠州,73.88,0.94,45.06,52.58,82.44,50.8,9.71
2017-01-01,揭阳,73.47,1.25,46.31,49.46,83.4,51.74,15.76
2017-01-01,梅州,78.25,1.31,42.42,25.49,87.04,54.93,8.96
2017-01-01,汕头,61.04,1.04,33.56,56.89,68.9,39.11,13.88
2017-01-01,汕尾,47.89,0.74,12.85,75.15,48.48,30.27,8.56
2017-01-01,江门,125.78,1.59,92.01,43.82,139.15,94.62,18.3
2017-01-01,河源,85.59,1.07,55.35,38.89,90.79,62.69,10.15
2017-01-01,深圳,54.37,0.79,37.13,64.66,58.32,35.82,8.53
2017-01-01,清远,101.42,1.82,83.07,32.11,111.18,75.7,21.86
2017-01-01,湛江,88.53,0.94,23.74,114.94,86.48,63.91,12.57
2017-01-01,潮州,65.4,1.09,30.51,47.09,71.28,45.07,20.74
2017-01-01,珠海,71.62,0.83,51.66,46.35,64.6,46.53,6.78
2017-01-01,肇庆,98.47,1.06,58.28,54.25,101.59,73.34,18.92
2017-01-01,茂名,103.91,1.06,33.89,90.51,123.36,75.51,20.88
2017-01-01,阳江,100.55,1.05,42.22,93.53,101.5,74.55,21.27
2017-01-01,韶关,113.82,1.69,57.72,28.66,116.57,85.14,27.47
2017-01-02,东莞,113.81,1.47,65.64,77.33,114.77,82.11,18.07
2017-01-02,中山,101.5,1.14,72.44,71.09,104.55,71.25,16.45
2017-01-02,云浮,112.03,1.1,47.05,62.78,93.29,83.17,18.78
2017-01-02,佛山,156.11,1.4,97.06,75.78,158.97,118.41,23.27
2017-01-02,广州,115.19,1.44,111.9,53.83,130.06,83.89,15.0
2017-01-02,惠州,71.41,0.99,51.53,55.86,84.78,45.61,10.69
2017-01-02,揭阳,88.26,1.35,49.11,68.64,102.41,62.96,19.19
2017-01-02,梅州,72.6,1.31,44.47,42.43,82.03,48.88,9.12
2017-01-02,汕头,73.11,1.15,37.85,71.5,84.12,50.63,18.68
2017-01-02,汕尾,60.95,0.9,18.58,98.25,64.75,40.22,10.15
2017-01-02,江门,153.59,1.71,104.59,82.84,163.29,115.38,20.02
2017-01-02,河源,66.68,0.98,44.3,47.68,70.79,45.67,5.7
2017-01-02,深圳,65.98,0.94,60.61,65.7,75.24,44.23,10.62
2017-01-02,清远,86.35,1.66,71.2,46.5,94.98,62.37,13.57
2017-01-02,湛江,50.87,0.81,18.53,83.42,46.5,33.45,11.74
2017-01-02,潮州,67.42,1.15,27.6,64.78,70.12,47.77,16.03
2017-01-02,珠海,67.45,0.87,47.27,62.56,65.76,46.23,8.24
2017-01-02,肇庆,106.57,1.18,58.43,64.55,108.14,77.59,15.54
2017-01-02,茂名,72.33,0.94,26.43,71.22,82.56,47.27,15.6
2017-01-02,阳江,85.6,1.29,34.72,84.25,88.02,62.65,11.83
2017-01-02,韶关,112.9,1.99,56.99,47.71,122.0,84.28,30.05
2017-01-03,东莞,131.59,1.54,82.97,55.5,132.3,98.55,22.24
2017-01-03,中山,121.46,1.29,68.38,60.8,115.09,88.9,14.81
2017-01-03,云浮,80.92,1.03,41.12,58.78,96.05,58.86,19.26
2017-01-03,佛山,152.26,1.39,100.15,75.52,159.86,115.68,22.57
2017-01-03,广州,124.86,1.54,111.24,58.81,143.84,91.64,18.18
2017-01-03,惠州,76.64,0.93,45.47,57.87,87.65,53.48,10.77
2017-01-03,揭阳,83.06,1.19,45.78,56.06,92.82,58.79,19.47
2017-01-03,梅州,70.35,1.3,42.64,36.6,78.75,47.83,10.88
2017-01-03,汕头,49.41,0.82,23.58,75.51,50.19,30.65,10.69
2017-01-03,汕尾,61.93,0.85,17.75,74.67,62.18,43.26,8.92
2017-01-03,江门,174.2,1.64,104.84,74.86,187.4,132.76,21.4
2017-01-03,河源,81.56,1.07,49.01,47.69,86.23,57.77,12.56
2017-01-03,深圳,71.24,1.03,49.13,66.74,78.98,50.2,8.43
2017-01-03,清远,91.32,1.65,65.11,53.78,99.72,67.62,14.29
2017-01-03,湛江,72.2,0.95,28.57,103.15,67.15,48.86,12.81
2017-01-03,潮州,75.15,1.15,30.76,62.47,80.79,54.17,19.5
2017-01-03,珠海,75.71,0.9,54.01,49.23,74.53,49.48,9.79
2017-01-03,肇庆,85.78,1.1,55.31,64.21,92.2,62.68,12.07
2017-01-03,茂名,85.76,0.92,28.9,87.66,100.91,59.9,16.92
2017-01-03,阳江,83.53,1.28,33.12,85.93,88.19,58.61,11.76
2017-01-03,韶关,110.1,1.47,46.19,49.5,107.84,82.65,21.52
2017-01-04,东莞,95.69,1.11,56.53,55.08,95.54,71.21,14.77
2017-01-04,中山,57.16,0.88,44.68,61.22,56.42,36.85,8.93
2017-01-04,云浮,133.94,1.21,44.36,65.0,129.98,101.18,10.21
2017-01-04,佛山,143.3,1.08,85.36,53.96,147.14,109.29,16.23
2017-01-04,广州,111.57,1.13,97.6,38.17,120.39,83.18,15.19
2017-01-04,惠州,60.87,0.78,39.25,70.56,68.58,39.08,8.99
2017-01-04,揭阳,71.74,1.13,38.48,67.35,80.8,50.37,16.11
2017-01-04,梅州,81.46,1.24,41.31,45.61,88.49,58.43,7.72
2017-01-04,汕头,61.23,0.92,30.23,79.11,67.68,41.39,14.94
2017-01-04,汕尾,54.42,0.78,13.64,86.11,55.42,35.74,9.25
2017-01-04,江门,85.16,0.9,57.11,60.03,93.78,62.4,15.49
2017-01-04,河源,89.32,0.89,37.32,50.01,76.95,69.62,5.5
2017-01-04,深圳,47.66,0.79,32.96,78.81,48.16,30.21,7.9
2017-01-04,清远,155.36,1.86,92.96,25.79,152.17,118.11,18.31
2017-01-04,湛江,43.31,0.73,11.32,93.97,40.85,26.69,5.02
2017-01-04,潮州,75.29,1.03,31.64,71.17,79.71,54.18,22.07
2017-01-04,珠海,48.45,0.7,45.55,51.05,47.45,28.33,6.29
2017-01-04,肇庆,168.82,1.32,72.67,53.28,158.22,129.41,14.37
2017-01-04,茂名,67.9,0.82,24.57,83.85,79.48,44.76,11.11
2017-01-04,阳江,63.08,0.97,27.04,71.19,67.2,43.29,7.67
2017-01-04,韶关,142.44,1.69,58.03,46.43,134.35,108.13,29.19
2017-01-05,东莞,133.12,1.34,87.47,45.96,137.41,100.48,21.39
2017-01-05,中山,75.57,1.15,71.11,36.15,80.62,54.57,15.18
2017-01-05,云浮,135.74,1.22,42.58,59.71,118.7,102.23,10.74
2017-01-05,佛山,273.02,1.67,126.69,47.57,268.54,227.06,22.98
2017-01-05,广州,192.26,1.77,155.44,38.13,208.71,148.73,18.56
2017-01-05,惠州,89.53,1.06,61.73,43.25,108.19,60.88,10.47
2017-01-05,揭阳,97.09,1.53,52.9,49.95,111.01,70.51,18.03
2017-01-05,梅州,74.57,1.22,43.6,28.21,81.61,53.63,8.24
2017-01-05,汕头,71.31,1.0,38.39,67.74,80.93,49.86,16.79
2017-01-05,汕尾,65.33,0.91,20.29,78.07,69.12,45.36,9.18
2017-01-05,江门,131.47,1.39,90.68,49.93,146.48,98.58,22.54
2017-01-05,河源,91.61,1.21,47.2,34.0,98.33,67.87,8.1
2017-01-05,深圳,68.25,1.07,66.53,48.55,79.21,47.2,8.24
2017-01-05,清远,160.4,1.85,81.33,50.92,167.96,123.41,9.73
2017-01-05,湛江,38.17,0.78,13.51,92.72,36.34,22.71,6.55
2017-01-05,潮州,75.75,1.13,32.94,59.21,83.73,54.11,18.49
2017-01-05,珠海,65.47,0.91,83.28,36.66,63.51,45.7,9.18
2017-01-05,肇庆,179.98,1.38,63.31,72.27,174.86,138.82,12.75
2017-01-05,茂名,62.66,0.84,25.96,70.34,73.32,39.54,13.0
2017-01-05,阳江,58.72,0.84,26.49,76.64,59.61,38.69,9.33
2017-01-05,韶关,141.23,1.84,63.94,38.61,136.28,106.59,24.9
2017-01-06,东莞,114.32,1.14,56.82,56.1,109.5,84.08,16.62
2017-01-06,中山,114.01,1.4,78.78,66.13,108.88,83.47,13.76
2017-01-06,云浮,147.75,1.26,51.19,63.51,141.94,112.68,15.54
2017-01-06,佛山,206.97,1.51,110.62,71.79,208.74,166.46,17.39
2017-01-06,广州,128.71,1.53,106.74,38.33,143.64,95.76,14.1
2017-01-06,惠州,74.62,0.92,41.74,52.32,78.65,51.74,9.52
2017-01-06,揭阳,94.32,1.16,36.43,71.68,95.3,69.36,15.34
2017-01-06,梅州,68.24,1.16,39.03,26.53,74.67,46.01,7.64
2017-01-06,汕头,67.65,0.87,29.32,79.28,70.02,48.31,11.79
2017-01-06,汕尾,65.19,0.82,17.14,77.36,63.23,45.86,10.22
2017-01-06,江门,185.57,1.66,98.2,87.4,185.42,145.73,18.89
2017-01-06,河源,70.93,0.99,40.68,33.76,75.42,50.48,5.11
2017-01-06,深圳,68.66,1.03,49.4,64.09,77.47,47.94,8.72
2017-01-06,清远,109.4,1.51,65.93,48.74,112.58,82.69,11.87
2017-01-06,湛江,46.4,0.83,18.1,82.0,40.97,29.94,10.3
2017-01-06,潮州,89.68,1.06,29.12,70.46,84.43,66.19,15.12
2017-01-06,珠海,74.88,0.92,66.72,68.61,67.49,51.08,11.47
2017-01-06,肇庆,174.81,1.51,67.89,85.59,160.91,134.86,13.12
2017-01-06,茂名,63.01,0.84,24.45,61.99,67.77,39.18,14.14
2017-01-06,阳江,75.68,1.14,31.51,82.92,75.25,53.29,9.33
2017-01-06,韶关,116.72,1.48,50.14,37.68,109.88,87.72,24.38
2017-01-07,东莞,91.05,0.9,53.28,51.8,92.76,66.95,11.57
2017-01-07,中山,54.81,0.93,49.49,39.93,53.19,36.93,11.65
2017-01-07,云浮,113.97,1.19,50.33,40.06,118.42,85.3,11.42
2017-01-07,佛山,101.01,0.86,80.89,38.52,109.72,75.6,15.33
2017-01-07,广州,87.31,1.09,90.76,34.75,95.87,63.24,15.99
2017-01-07,惠州,70.43,0.82,35.13,72.72,78.92,48.89,6.12
2017-01-07,揭阳,74.01,1.21,36.59,63.73,83.09,52.87,14.63
2017-01-07,梅州,87.48,1.28,48.62,29.25,89.12,62.36,6.52
2017-01-07,汕头,47.07,0.9,30.22,76.34,47.9,29.93,10.74
2017-01-07,汕尾,61.87,0.84,15.13,81.28,59.78,43.72,10.3
2017-01-07,江门,79.4,0.81,50.88,46.58,82.52,57.32,15.29
2017-01-07,河源,71.98,0.92,34.68,46.64,65.72,51.15,5.21
2017-01-07,深圳,49.37,0.75,28.94,73.51,46.99,33.58,7.25
2017-01-07,清远,121.83,1.36,83.18,30.33,122.87,92.02,17.03
2017-01-07,湛江,50.09,0.83,12.39,94.11,44.59,33.85,5.37
2017-01-07,潮州,80.05,1.13,31.32,67.65,80.42,58.52,17.12
2017-01-07,珠海,48.91,0.72,46.91,52.3,47.86,31.6,9.33
2017-01-07,肇庆,133.86,1.3,63.07,47.63,131.2,101.05,13.72
2017-01-07,茂名,54.93,0.8,23.71,64.5,59.68,32.74,9.84
2017-01-07,阳江,60.1,0.84,20.13,74.29,58.85,40.62,6.9
2017-01-07,韶关,131.0,1.79,50.15,30.41,119.21,98.63,24.7
2017-01-08,东莞,103.47,1.23,53.81,40.39,116.34,72.62,13.44
2017-01-08,中山,95.12,1.48,65.49,62.6,95.81,70.53,17.22
2017-01-08,云浮,96.01,1.32,35.61,28.35,93.87,71.36,15.65
2017-01-08,佛山,104.35,1.49,67.8,44.84,115.99,77.44,13.18
2017-01-08,广州,88.13,1.57,71.59,41.41,98.78,63.47,13.1
2017-01-08,惠州,70.32,1.16,36.18,59.88,75.47,49.37,8.25
2017-01-08,揭阳,94.05,1.41,42.12,61.23,104.24,69.64,15.96
2017-01-08,梅州,42.01,1.24,27.69,37.62,41.77,27.45,6.03
2017-01-08,汕头,66.75,1.14,37.81,73.3,78.19,46.97,17.26
2017-01-08,汕尾,68.44,1.01,18.0,85.9,64.53,48.61,10.36
2017-01-08,江门,109.11,1.47,68.39,63.78,118.46,80.76,15.08
2017-01-08,河源,48.53,1.23,27.35,45.33,44.67,33.11,6.0
2017-01-08,深圳,71.18,1.07,46.71,72.87,75.35,50.99,8.88
2017-01-08,清远,71.57,1.77,38.69,32.62,71.87,51.61,7.4
2017-01-08,湛江,42.94,0.89,14.46,89.15,40.95,27.59,6.15
2017-01-08,潮州,77.54,1.18,29.03,62.01,78.86,55.69,14.86
2017-01-08,珠海,85.2,1.17,57.73,78.38,76.39,61.6,12.99
2017-01-08,肇庆,96.38,1.51,37.04,50.23,85.43,71.57,12.18
2017-01-08,茂名,62.19,0.89,22.85,75.98,71.73,40.44,13.17
2017-01-08,阳江,85.5,0.98,26.06,117.28,82.77,58.99,11.74
2017-01-08,韶关,44.52,2.09,45.92,10.29,38.14,30.25,19.76
2017-01-09,东莞,60.03,1.22,41.74,48.76,63.6,39.44,14.33
2017-01-09,中山,73.74,1.6,55.76,61.76,66.11,51.38,13.68
2017-01-09,云浮,55.09,1.5,29.72,60.8,55.26,39.07,9.75
2017-01-09,佛山,65.05,1.48,54.72,50.4,66.23,45.54,10.26
2017-01-09,广州,51.97,1.56,53.82,41.75,52.67,34.56,11.2
2017-01-09,惠州,51.14,1.19,29.59,59.67,55.45,32.23,6.54
2017-01-09,揭阳,60.77,1.15,28.61,60.25,64.85,41.07,13.28
2017-01-09,梅州,45.94,1.25,34.07,46.77,49.68,29.35,6.1
2017-01-09,汕头,47.46,1.01,26.31,85.59,46.75,28.91,9.43
2017-01-09,汕尾,53.64,1.03,12.98,82.98,50.98,37.38,10.91
2017-01-09,江门,67.25,1.57,58.07,45.89,70.96,46.95,12.77
2017-01-09,河源,41.51,1.14,28.88,43.48,38.78,27.6,6.15
2017-01-09,深圳,55.77,1.16,35.82,72.06,57.29,37.91,8.47
2017-01-09,清远,46.71,1.76,35.81,53.11,46.38,30.35,7.77
