time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,中山,82.04,0.8,53.42,37.31,77.24,59.59,9.19
2017-01-02,中山,101.5,1.14,72.44,71.09,104.55,71.25,16.45
2017-01-03,中山,121.46,1.29,68.38,60.8,115.09,88.9,14.81
2017-01-04,中山,57.16,0.88,44.68,61.22,56.42,36.85,8.93
2017-01-05,中山,75.57,1.15,71.11,36.15,80.62,54.57,15.18
2017-01-06,中山,114.01,1.4,78.78,66.13,108.88,83.47,13.76
2017-01-07,中山,54.81,0.93,49.49,39.93,53.19,36.93,11.65
2017-01-08,中山,95.12,1.48,65.49,62.6,95.81,70.53,17.22
2017-01-09,中山,73.74,1.6,55.76,61.76,66.11,51.38,13.68
2017-01-10,中山,61.95,0.97,31.47,76.01,54.46,43.97,7.37
2017-01-11,中山,90.05,1.06,54.26,56.85,84.53,66.74,11.93
2017-01-12,中山,78.61,1.3,47.81,7.7,82.89,56.57,13.93
2017-01-13,中山,28.02,1.17,38.83,12.82,26.49,18.18,6.14
2017-01-14,中山,39.69,1.13,43.4,7.65,37.66,27.2,6.77
2017-01-15,中山,45.47,1.2,39.9,5.58,39.25,31.55,7.25
2017-01-16,中山,50.73,1.2,47.6,5.7,39.75,35.78,7.69
2017-01-17,中山,71.41,1.27,56.81,9.12,61.72,51.17,12.52
2017-01-18,中山,80.21,1.45,70.31,4.66,73.86,57.34,13.34
2017-01-19,中山,78.69,1.44,60.33,6.09,78.59,56.82,12.04
2017-01-20,中山,34.38,0.87,33.55,47.45,31.57,20.98,8.95
2017-01-21,中山,79.01,0.95,37.15,75.65,69.45,57.93,12.32
2017-01-22,中山,71.58,0.9,43.72,79.98,69.75,51.94,13.03
2017-01-23,中山,76.15,0.99,44.62,62.71,73.24,55.54,11.62
2017-01-24,中山,69.44,0.75,29.99,101.51,71.95,50.22,10.08
2017-01-25,中山,64.12,0.73,31.23,90.85,62.37,42.9,10.16
2017-01-26,中山,68.99,0.7,27.46,63.13,62.86,49.82,8.03
2017-01-27,中山,56.75,0.62,25.86,82.15,53.64,38.85,8.41
2017-01-28,中山,79.58,0.54,20.56,65.16,86.04,57.49,12.07
2017-01-29,中山,77.24,0.67,23.25,33.8,66.61,56.53,8.46
2017-01-30,中山,59.78,0.85,21.7,44.07,49.11,42.37,7.03
2017-01-31,中山,52.55,0.96,17.52,42.58,45.14,36.88,8.79
2017-02-01,中山,44.73,1.04,24.03,45.8,38.38,30.48,9.39
2017-02-02,中山,47.95,0.83,16.3,58.05,39.59,33.25,8.7
2017-02-03,中山,49.73,0.72,18.61,80.16,44.29,33.77,6.92
2017-02-04,中山,61.33,0.81,31.54,48.77,46.17,42.76,7.13
2017-02-05,中山,68.06,0.99,32.28,48.32,51.34,49.01,8.63
