time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,云浮,104.19,1.27,48.46,59.63,108.13,77.74,13.23
2017-01-02,云浮,112.03,1.1,47.05,62.78,93.29,83.17,18.78
2017-01-03,云浮,80.92,1.03,41.12,58.78,96.05,58.86,19.26
2017-01-04,云浮,133.94,1.21,44.36,65.0,129.98,101.18,10.21
2017-01-05,云浮,135.74,1.22,42.58,59.71,118.7,102.23,10.74
2017-01-06,云浮,147.75,1.26,51.19,63.51,141.94,112.68,15.54
2017-01-07,云浮,113.97,1.19,50.33,40.06,118.42,85.3,11.42
2017-01-08,云浮,96.01,1.32,35.61,28.35,93.87,71.36,15.65
2017-01-09,云浮,55.09,1.5,29.72,60.8,55.26,39.07,9.75
2017-01-10,云浮,136.0,1.52,62.93,37.29,128.71,102.86,15.08
2017-01-11,云浮,120.3,1.24,42.77,31.08,102.08,90.64,12.5
2017-01-12,云浮,60.9,1.21,25.62,23.23,47.68,44.35,6.65
2017-01-13,云浮,15.0,1.09,23.08,23.33,13.95,7.99,6.28
2017-01-14,云浮,14.88,1.02,19.53,25.58,13.0,8.74,5.57
2017-01-15,云浮,20.17,0.97,18.6,24.33,19.35,13.04,5.61
2017-01-16,云浮,34.08,0.96,21.36,24.51,26.8,23.44,6.08
2017-01-17,云浮,29.29,0.98,25.15,18.42,21.84,20.04,6.92
2017-01-18,云浮,62.5,1.07,28.79,12.89,53.68,43.38,8.39
2017-01-19,云浮,62.36,1.14,24.4,5.76,60.22,43.68,14.49
2017-01-20,云浮,32.19,0.85,16.94,36.74,31.42,20.9,10.85
2017-01-21,云浮,63.39,0.79,26.21,50.14,58.81,45.33,16.28
2017-01-22,云浮,70.44,0.69,21.94,67.85,66.28,50.99,12.78
2017-01-23,云浮,71.28,0.79,28.74,59.83,73.82,51.46,11.71
2017-01-24,云浮,87.89,0.97,34.67,57.61,83.61,65.06,11.79
2017-01-25,云浮,96.07,1.0,28.99,67.75,84.87,71.6,11.28
2017-01-26,云浮,100.14,1.03,28.04,50.39,88.57,74.78,8.51
2017-01-27,云浮,91.28,0.89,17.29,73.19,79.74,67.72,8.51
2017-01-28,云浮,140.25,0.65,12.8,82.18,204.81,124.02,18.55
2017-01-29,云浮,82.83,0.67,11.91,44.8,75.7,60.91,8.86
2017-01-30,云浮,62.67,0.74,9.57,49.97,59.45,44.92,7.31
2017-01-31,云浮,58.19,0.99,8.43,40.01,44.34,41.25,7.24
2017-02-01,云浮,50.17,1.05,11.38,37.89,40.44,35.07,9.43
2017-02-02,云浮,55.94,0.86,11.0,54.81,43.53,39.49,8.57
2017-02-03,云浮,73.78,0.88,18.74,45.72,57.52,53.76,9.43
2017-02-04,云浮,79.67,1.0,33.67,23.01,61.56,58.45,10.01
2017-02-05,云浮,46.18,0.87,25.04,23.76,39.13,31.6,14.74
2017-02-06,云浮,63.44,0.95,24.68,30.76,50.95,45.54,10.75
2017-02-07,云浮,76.06,0.82,23.96,59.25,67.63,55.57,9.33
2017-02-08,云浮,63.57,0.9,26.19,36.32,70.21,46.25,9.56
2017-02-09,云浮,51.88,0.73,11.99,88.93,49.3,35.12,11.68
2017-02-10,云浮,99.06,0.82,13.57,83.0,79.51,73.9,13.72
2017-02-11,云浮,86.53,0.73,17.39,70.54,67.88,63.9,13.61
2017-02-12,云浮,79.9,0.73,29.94,59.39,76.42,58.64,16.03
2017-02-13,云浮,86.12,0.81,34.85,66.79,82.39,63.35,16.61
2017-02-14,云浮,89.81,0.87,38.1,86.86,84.41,66.44,19.29
2017-02-15,云浮,83.6,0.81,36.15,83.86,78.79,61.51,13.31
2017-02-16,云浮,68.09,0.77,30.96,59.21,70.28,48.76,9.71
