time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,广州,103.44,1.39,91.98,45.23,115.66,76.69,16.16
2017-01-02,广州,115.19,1.44,111.9,53.83,130.06,83.89,15.0
2017-01-03,广州,124.86,1.54,111.24,58.81,143.84,91.64,18.18
2017-01-04,广州,111.57,1.13,97.6,38.17,120.39,83.18,15.19
2017-01-05,广州,192.26,1.77,155.44,38.13,208.71,148.73,18.56
2017-01-06,广州,128.71,1.53,106.74,38.33,143.64,95.76,14.1
2017-01-07,广州,87.31,1.09,90.76,34.75,95.87,63.24,15.99
2017-01-08,广州,88.13,1.57,71.59,41.41,98.78,63.47,13.1
2017-01-09,广州,51.97,1.56,53.82,41.75,52.67,34.56,11.2
2017-01-10,广州,82.43,1.31,75.3,58.3,89.29,59.81,15.22
2017-01-11,广州,88.17,1.39,67.72,24.94,92.09,64.46,14.68
2017-01-12,广州,50.24,1.33,37.92,17.91,51.45,35.05,7.52
2017-01-13,广州,21.02,1.2,37.67,22.6,15.22,9.04,5.69
2017-01-14,广州,31.56,1.01,38.65,26.75,28.7,18.3,5.95
2017-01-15,广州,35.9,1.14,38.54,19.37,32.56,23.59,6.48
2017-01-16,广州,42.09,1.14,42.9,20.27,34.97,29.07,6.31
2017-01-17,广州,42.87,1.16,42.91,12.25,38.01,27.96,6.9
2017-01-18,广州,54.59,1.24,50.45,10.02,57.65,35.62,10.96
2017-01-19,广州,50.73,1.23,40.54,9.43,50.85,32.83,9.46
2017-01-20,广州,33.1,0.85,30.43,44.55,29.09,21.68,7.16
2017-01-21,广州,75.63,0.87,36.57,81.06,74.54,55.03,10.8
2017-01-22,广州,62.67,0.77,44.21,77.75,64.17,43.57,10.7
2017-01-23,广州,65.97,0.9,59.46,67.07,67.35,46.09,10.97
2017-01-24,广州,73.94,0.97,62.06,55.71,74.49,53.22,10.76
2017-01-25,广州,77.35,0.97,54.1,68.53,74.47,56.2,11.45
2017-01-26,广州,78.03,0.97,48.6,66.8,76.19,56.82,10.6
2017-01-27,广州,69.25,0.83,43.21,67.37,64.75,48.92,9.15
2017-01-28,广州,110.09,0.78,40.41,67.38,111.77,82.81,18.46
2017-01-29,广州,53.56,0.74,36.74,30.85,44.19,37.57,7.25
2017-01-30,广州,42.87,0.94,27.33,38.84,36.49,29.18,6.71
2017-01-31,广州,48.03,1.05,20.98,40.62,38.96,33.45,6.16
2017-02-01,广州,33.11,1.04,23.66,35.61,27.77,22.34,7.03
2017-02-02,广州,43.23,0.89,25.17,50.22,35.97,29.86,6.66
2017-02-03,广州,59.68,0.86,37.11,43.88,53.7,41.76,8.02
2017-02-04,广州,74.2,0.99,54.14,31.63,66.54,53.69,9.47
2017-02-05,广州,56.86,0.97,38.6,37.82,46.5,39.55,7.44
2017-02-06,广州,52.3,0.9,45.48,45.83,48.94,35.99,9.18
2017-02-07,广州,71.14,0.88,52.49,70.38,77.44,49.9,11.39
2017-02-08,广州,47.68,0.92,46.84,34.12,52.31,31.66,8.23
2017-02-09,广州,36.05,0.82,22.13,61.88,31.3,23.89,8.43
2017-02-10,广州,75.52,0.87,27.8,89.25,66.71,55.12,15.81
2017-02-11,广州,64.75,0.75,33.06,83.41,58.33,46.31,13.47
2017-02-12,广州,71.89,0.84,55.55,71.9,69.79,51.95,16.95
2017-02-13,广州,82.34,1.09,77.79,55.32,86.57,59.71,15.09
2017-02-14,广州,91.74,1.01,90.2,70.76,97.33,63.81,16.13
2017-02-15,广州,76.77,0.92,92.34,70.31,85.68,51.71,18.13
2017-02-16,广州,67.23,0.84,86.82,54.21,72.7,43.56,17.84
2017-02-17,广州,78.29,1.01,101.04,46.59,86.01,50.75,17.55
2017-02-18,广州,105.19,1.16,113.39,74.2,115.83,70.41,18.76
2017-02-19,广州,82.75,0.77,52.96,77.66,79.84,58.78,11.0
2017-02-20,广州,80.08,0.92,69.59,46.43,73.89,55.74,13.04
2017-02-21,广州,52.93,0.78,60.9,29.77,54.15,31.8,11.95
2017-02-22,广州,57.38,0.83,65.57,22.48,57.64,37.78,13.36
2017-02-23,广州,32.59,0.78,33.08,15.02,32.09,16.43,8.78
2017-02-24,广州,32.47,0.71,30.86,46.05,28.84,20.47,7.9
2017-02-25,广州,24.27,0.67,34.59,40.6,19.48,14.72,7.03
2017-02-26,广州,44.82,0.79,44.4,42.86,46.44,29.93,10.23
2017-02-27,广州,65.31,0.91,63.51,47.5,68.3,45.14,16.61
2017-02-28,广州,94.38,1.01,85.16,39.5,101.32,69.72,22.36
2017-03-01,广州,73.22,0.89,61.59,40.49,76.17,51.86,16.41
2017-03-02,广州,65.6,0.68,59.74,60.91,76.15,37.86,13.94
2017-03-03,广州,88.55,0.83,86.98,79.73,112.47,58.5,22.5
2017-03-04,广州,86.94,0.84,89.89,48.54,102.53,61.95,21.73
2017-03-05,广州,76.32,0.78,70.06,40.67,83.35,53.69,15.42
2017-03-06,广州,44.57,0.83,43.63,35.08,44.27,27.87,10.01
2017-03-07,广州,41.3,0.78,41.22,33.19,36.67,27.77,7.25
2017-03-08,广州,46.94,0.78,43.37,51.25,43.84,32.18,7.36
2017-03-09,广州,63.96,0.9,57.59,19.86,58.33,45.6,8.87
2017-03-10,广州,64.87,1.22,63.73,7.15,60.6,45.35,8.94
2017-03-11,广州,49.23,1.15,55.13,8.07,37.13,34.43,7.81
2017-03-12,广州,82.49,1.06,75.05,15.65,75.04,59.25,11.63
2017-03-13,广州,84.52,1.02,81.66,11.05,82.57,60.16,15.62
2017-03-14,广州,38.21,0.83,44.04,21.51,33.82,22.93,8.94
2017-03-15,广州,48.4,0.87,50.87,23.31,53.37,31.63,9.9
2017-03-16,广州,71.61,1.06,60.38,7.7,84.16,49.77,12.51
2017-03-17,广州,67.33,1.05,61.97,12.72,75.41,47.61,11.75
2017-03-18,广州,82.09,1.11,66.25,10.96,78.25,58.51,11.18
