time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,惠州,73.88,0.94,45.06,52.58,82.44,50.8,9.71
2017-01-02,惠州,71.41,0.99,51.53,55.86,84.78,45.61,10.69
2017-01-03,惠州,76.64,0.93,45.47,57.87,87.65,53.48,10.77
2017-01-04,惠州,60.87,0.78,39.25,70.56,68.58,39.08,8.99
2017-01-05,惠州,89.53,1.06,61.73,43.25,108.19,60.88,10.47
2017-01-06,惠州,74.62,0.92,41.74,52.32,78.65,51.74,9.52
2017-01-07,惠州,70.43,0.82,35.13,72.72,78.92,48.89,6.12
2017-01-08,惠州,70.32,1.16,36.18,59.88,75.47,49.37,8.25
2017-01-09,惠州,51.14,1.19,29.59,59.67,55.45,32.23,6.54
2017-01-10,惠州,65.38,1.05,29.95,82.75,71.78,45.84,6.56
2017-01-11,惠州,85.34,1.11,29.79,75.26,89.99,62.56,7.54
2017-01-12,惠州,67.76,1.39,27.06,21.78,69.67,47.74,5.31
2017-01-13,惠州,20.21,1.27,20.62,30.7,18.91,9.62,3.58
2017-01-14,惠州,24.69,1.06,20.4,31.98,24.67,14.0,4.11
2017-01-15,惠州,32.26,1.12,22.82,22.8,29.44,21.06,4.33
2017-01-16,惠州,43.69,1.16,25.07,32.24,42.98,27.98,10.28
2017-01-17,惠州,52.81,0.95,28.96,43.36,50.92,34.19,6.39
2017-01-18,惠州,54.98,0.87,32.44,33.58,57.04,35.99,7.32
2017-01-19,惠州,49.78,0.94,27.59,30.63,47.6,31.98,5.06
2017-01-20,惠州,33.44,0.9,16.16,52.62,32.9,19.38,4.17
2017-01-21,惠州,66.39,0.92,23.93,87.22,67.38,47.53,6.86
2017-01-22,惠州,63.43,0.83,22.24,87.96,68.59,43.73,7.7
2017-01-23,惠州,64.2,0.81,21.69,95.69,67.4,43.05,7.02
2017-01-24,惠州,62.33,0.79,18.51,100.83,69.07,41.76,7.26
2017-01-25,惠州,54.64,0.74,18.67,92.28,56.12,36.3,6.83
2017-01-26,惠州,61.53,0.82,17.68,87.33,63.69,42.56,7.2
2017-01-27,惠州,54.58,0.76,16.75,89.31,54.77,36.39,6.71
2017-01-28,惠州,120.03,0.74,15.05,71.12,117.38,90.47,13.13
2017-01-29,惠州,76.83,0.72,16.55,68.19,71.77,55.43,8.77
2017-01-30,惠州,44.16,0.86,17.17,49.01,36.78,29.75,4.83
2017-01-31,惠州,42.67,1.14,12.56,42.02,37.45,29.12,4.88
2017-02-01,惠州,32.0,1.08,11.52,52.88,28.91,20.74,5.38
2017-02-02,惠州,44.42,0.92,10.68,56.65,40.56,29.16,5.21
2017-02-03,惠州,48.28,0.84,14.46,71.2,46.21,31.61,5.58
2017-02-04,惠州,49.66,0.81,20.98,72.67,44.86,32.05,8.09
2017-02-05,惠州,49.48,0.87,23.78,59.0,42.91,33.57,7.03
2017-02-06,惠州,49.22,0.87,17.48,72.56,48.21,32.53,6.98
2017-02-07,惠州,62.02,0.83,14.7,117.3,70.13,41.35,7.0
2017-02-08,惠州,47.11,0.82,16.29,80.8,50.08,28.63,6.77
2017-02-09,惠州,36.33,0.93,10.78,69.19,37.7,21.21,5.92
2017-02-10,惠州,75.24,0.96,14.25,87.15,68.76,54.91,10.02
2017-02-11,惠州,74.38,0.86,19.79,90.33,68.85,53.64,9.73
2017-02-12,惠州,77.87,0.84,28.27,91.63,77.27,56.42,9.99
2017-02-13,惠州,65.51,0.78,30.93,90.27,67.72,44.66,8.88
2017-02-14,惠州,55.17,0.72,31.34,87.3,58.07,31.57,7.79
2017-02-15,惠州,58.52,0.74,31.59,98.34,63.47,33.74,9.48
2017-02-16,惠州,58.48,0.76,40.07,85.58,62.77,33.27,9.32
2017-02-17,惠州,65.49,0.82,45.56,80.99,68.31,37.87,9.91
2017-02-18,惠州,66.89,0.78,42.17,73.53,73.01,40.99,10.12
2017-02-19,惠州,69.47,0.73,23.41,98.22,69.05,47.36,6.48
2017-02-20,惠州,67.89,0.82,33.64,69.23,62.7,45.95,7.78
2017-02-21,惠州,48.13,0.69,21.64,61.37,48.92,27.34,6.21
2017-02-22,惠州,30.31,0.73,25.94,54.34,30.18,16.23,6.59
2017-02-23,惠州,29.11,0.85,19.4,32.04,29.23,12.43,6.61
2017-02-24,惠州,25.54,0.87,16.67,47.0,24.2,13.82,5.08
2017-02-25,惠州,19.46,0.81,15.61,45.13,18.22,10.44,4.87
2017-02-26,惠州,31.12,0.82,19.93,54.58,32.82,16.25,5.89
2017-02-27,惠州,53.42,0.9,29.35,72.18,56.9,31.34,10.44
