time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,揭阳,73.47,1.25,46.31,49.46,83.4,51.74,15.76
2017-01-02,揭阳,88.26,1.35,49.11,68.64,102.41,62.96,19.19
2017-01-03,揭阳,83.06,1.19,45.78,56.06,92.82,58.79,19.47
2017-01-04,揭阳,71.74,1.13,38.48,67.35,80.8,50.37,16.11
2017-01-05,揭阳,97.09,1.53,52.9,49.95,111.01,70.51,18.03
2017-01-06,揭阳,94.32,1.16,36.43,71.68,95.3,69.36,15.34
2017-01-07,揭阳,74.01,1.21,36.59,63.73,83.09,52.87,14.63
2017-01-08,揭阳,94.05,1.41,42.12,61.23,104.24,69.64,15.96
2017-01-09,揭阳,60.77,1.15,28.61,60.25,64.85,41.07,13.28
2017-01-10,揭阳,68.5,1.12,24.65,82.32,75.58,48.64,11.78
2017-01-11,揭阳,85.85,1.15,24.71,90.91,93.1,63.16,13.75
2017-01-12,揭阳,73.1,1.23,27.19,42.06,77.72,52.13,12.69
2017-01-13,揭阳,29.0,1.51,29.77,10.92,30.07,15.26,9.56
2017-01-14,揭阳,35.12,1.33,28.32,15.0,38.39,21.85,10.62
2017-01-15,揭阳,62.95,1.04,31.5,47.58,62.1,44.66,13.67
2017-01-16,揭阳,43.45,0.92,23.12,47.31,43.26,27.13,10.19
2017-01-17,揭阳,54.58,0.89,27.73,58.46,57.75,34.52,11.67
2017-01-18,揭阳,68.02,1.0,37.12,45.08,72.92,48.51,13.64
2017-01-19,揭阳,83.18,1.15,36.92,34.81,76.19,61.04,9.68
2017-01-20,揭阳,32.34,1.06,19.99,26.5,32.34,18.78,8.22
2017-01-21,揭阳,61.43,1.11,22.46,55.66,63.95,43.47,9.14
2017-01-22,揭阳,74.01,1.0,24.14,77.09,81.88,51.94,9.97
2017-01-23,揭阳,69.18,0.85,19.53,91.55,80.88,46.72,9.33
2017-01-24,揭阳,60.69,0.7,14.15,89.59,66.35,40.76,8.36
2017-01-25,揭阳,49.7,0.68,12.71,78.8,49.34,32.83,6.29
2017-01-26,揭阳,60.28,0.79,15.12,61.22,57.5,42.0,6.03
2017-01-27,揭阳,57.5,0.86,11.74,79.95,56.59,39.4,6.39
2017-01-28,揭阳,69.83,0.75,8.86,70.78,67.22,50.26,7.52
2017-01-29,揭阳,66.86,0.94,12.97,65.48,65.83,47.72,7.2
2017-01-30,揭阳,65.85,1.14,13.3,41.34,72.81,47.05,5.34
2017-01-31,揭阳,35.79,0.9,9.12,58.41,33.71,23.44,5.66
2017-02-01,揭阳,48.47,0.86,11.28,66.44,46.31,32.54,7.73
2017-02-02,揭阳,38.3,0.7,9.03,69.84,37.04,23.77,6.65
2017-02-03,揭阳,44.72,0.85,11.85,69.67,42.61,29.85,7.44
2017-02-04,揭阳,63.95,1.09,18.13,70.66,63.95,44.23,10.04
2017-02-05,揭阳,77.36,1.3,28.6,54.51,73.25,56.26,11.36
2017-02-06,揭阳,65.77,0.95,19.09,72.28,65.77,45.89,10.97
2017-02-07,揭阳,79.79,0.79,16.11,101.66,81.58,55.4,10.85
2017-02-08,揭阳,51.43,0.76,16.2,72.93,55.9,30.14,8.86
2017-02-09,揭阳,37.67,0.84,11.98,57.21,40.47,21.57,7.09
2017-02-10,揭阳,76.85,0.86,14.85,69.45,69.01,56.16,10.46
2017-02-11,揭阳,73.24,0.81,14.61,89.79,70.09,53.25,11.69
2017-02-12,揭阳,85.79,0.85,21.14,94.36,89.61,62.71,13.42
2017-02-13,揭阳,68.35,0.84,27.43,77.12,71.05,47.43,11.77
2017-02-14,揭阳,58.15,0.8,26.94,79.19,59.12,39.74,11.44
2017-02-15,揭阳,63.59,0.86,30.7,88.49,68.36,42.04,15.6
2017-02-16,揭阳,83.21,1.06,35.5,79.13,84.73,60.58,16.66
2017-02-17,揭阳,90.32,1.25,43.72,60.16,91.66,65.12,18.88
2017-02-18,揭阳,92.78,1.11,39.66,62.35,92.8,68.96,16.93
2017-02-19,揭阳,88.46,1.03,26.34,99.16,92.53,64.76,12.04
2017-02-20,揭阳,106.14,1.36,34.25,73.49,102.27,77.79,12.03
2017-02-21,揭阳,51.35,0.8,23.04,68.23,51.45,30.5,10.22
2017-02-22,揭阳,46.43,1.28,43.29,33.05,42.64,31.5,10.97
2017-02-23,揭阳,39.67,1.25,30.61,15.41,42.43,23.47,14.58
2017-02-24,揭阳,26.61,0.98,25.18,19.71,25.58,15.03,11.37
2017-02-25,揭阳,24.45,1.0,27.59,12.23,23.48,14.14,13.62
2017-02-26,揭阳,34.01,1.01,27.11,24.29,35.13,20.68,12.08
2017-02-27,揭阳,63.61,1.01,32.77,73.78,67.17,42.27,17.12
2017-02-28,揭阳,90.35,1.17,44.98,86.94,96.65,65.64,21.38
2017-03-01,揭阳,92.33,1.2,38.45,72.83,88.74,67.5,16.18
2017-03-02,揭阳,71.09,0.93,29.44,97.4,85.12,46.27,16.66
2017-03-03,揭阳,81.7,1.01,33.46,98.62,100.54,58.24,16.18
2017-03-04,揭阳,90.92,1.22,48.03,74.78,104.8,66.59,20.6
2017-03-05,揭阳,96.51,1.42,52.76,54.42,113.37,71.31,21.77
2017-03-06,揭阳,61.49,1.26,34.77,59.67,71.2,38.08,14.22
2017-03-07,揭阳,74.92,0.98,33.17,65.23,72.79,53.53,13.65
2017-03-08,揭阳,84.75,1.17,40.37,42.08,73.79,61.67,16.78
2017-03-09,揭阳,90.85,1.31,46.06,37.87,89.83,67.48,16.85
2017-03-10,揭阳,67.4,1.16,42.61,49.35,65.93,49.22,8.15
2017-03-11,揭阳,48.17,1.11,37.26,61.5,49.68,29.77,12.67
2017-03-12,揭阳,58.73,1.39,44.29,68.78,72.8,37.79,12.22
2017-03-13,揭阳,87.26,1.63,49.17,48.94,104.88,60.5,17.96
2017-03-14,揭阳,46.54,0.86,27.09,60.87,52.67,27.83,9.02
2017-03-15,揭阳,51.77,0.78,27.1,83.68,54.79,28.56,11.89
2017-03-16,揭阳,67.65,0.96,42.04,52.65,70.66,46.19,12.19
2017-03-17,揭阳,56.66,1.13,41.98,30.4,59.84,37.61,10.11
2017-03-18,揭阳,75.28,1.42,49.68,39.21,84.91,53.67,17.01
2017-03-19,揭阳,65.64,1.5,50.23,25.81,66.55,47.31,11.44
2017-03-20,揭阳,62.07,1.45,33.9,71.21,68.97,39.74,16.14
2017-03-21,揭阳,62.92,1.31,34.87,71.4,74.94,39.25,16.8
2017-03-22,揭阳,63.8,1.28,39.05,59.79,74.32,43.17,14.17
2017-03-23,揭阳,80.46,1.5,42.2,64.23,74.78,55.72,14.82
2017-03-24,揭阳,43.4,1.09,25.21,96.96,43.63,21.79,17.03
2017-03-25,揭阳,46.42,1.26,32.29,34.77,49.3,25.54,16.29
2017-03-26,揭阳,33.31,1.06,29.59,28.52,37.24,15.34,11.08
2017-03-27,揭阳,63.1,0.98,36.63,64.78,75.42,33.25,23.51
2017-03-28,揭阳,79.98,1.16,43.94,76.38,100.54,52.38,20.67
2017-03-29,揭阳,80.73,1.19,39.69,72.5,99.27,54.61,19.57
2017-03-30,揭阳,83.78,1.36,41.55,72.88,105.04,60.12,19.2
2017-03-31,揭阳,71.12,1.52,41.77,38.61,87.53,52.21,16.21
2017-04-01,揭阳,39.53,0.98,21.48,90.94,41.01,23.2,11.98
2017-04-02,揭阳,72.16,0.93,34.82,100.87,77.3,49.02,18.95
2017-04-03,揭阳,72.9,0.9,37.26,95.9,78.84,49.17,20.1
2017-04-04,揭阳,72.92,0.99,28.03,105.76,75.85,51.38,17.29
2017-04-05,揭阳,71.31,1.13,32.03,67.03,75.47,46.64,17.9
2017-04-06,揭阳,62.83,1.21,36.23,53.58,71.53,38.91,17.06
2017-04-07,揭阳,52.14,1.03,29.22,38.9,52.1,32.59,13.62
2017-04-08,揭阳,62.7,1.09,29.98,37.76,61.49,40.52,16.27
2017-04-09,揭阳,48.48,0.95,28.33,28.81,51.86,29.62,15.58
2017-04-10,揭阳,43.39,0.92,22.81,23.23,43.58,25.88,14.13
2017-04-11,揭阳,45.5,0.95,22.5,34.64,47.49,28.16,12.55
2017-04-12,揭阳,27.26,1.01,21.93,39.1,27.78,14.98,8.86
2017-04-13,揭阳,37.45,0.99,26.94,55.95,37.54,20.54,12.28
2017-04-14,揭阳,57.9,1.09,35.89,77.88,65.14,33.6,21.55
2017-04-15,揭阳,77.5,1.54,56.27,60.7,94.45,53.11,29.15
2017-04-16,揭阳,55.89,1.34,42.08,41.84,61.24,35.92,19.74
2017-04-17,揭阳,45.72,0.95,24.27,37.91,47.11,26.09,17.33
2017-04-18,揭阳,58.32,0.98,23.23,69.79,60.36,38.18,13.68
2017-04-19,揭阳,74.92,1.09,28.09,84.46,79.79,52.65,18.36
2017-04-20,揭阳,40.19,0.96,28.25,36.34,39.14,24.31,13.28
2017-04-21,揭阳,50.7,1.2,38.88,35.85,61.14,32.69,17.38
2017-04-22,揭阳,28.55,0.91,23.41,48.25,27.57,14.84,12.86
2017-04-23,揭阳,53.58,0.96,27.81,84.97,58.54,29.17,15.48
2017-04-24,揭阳,61.19,0.97,26.18,123.51,65.29,40.12,14.29
2017-04-25,揭阳,72.97,1.21,32.89,74.38,74.39,50.8,15.45
2017-04-26,揭阳,63.32,1.22,30.27,53.96,72.01,41.98,20.64
2017-04-27,揭阳,23.84,0.87,20.86,61.47,17.52,12.46,7.24
2017-04-28,揭阳,34.57,0.86,21.57,96.29,31.99,15.18,10.14
2017-04-29,揭阳,67.91,1.15,39.46,122.71,67.39,36.41,21.22
2017-04-30,揭阳,76.76,1.14,36.25,125.48,76.92,49.51,21.49
2017-05-01,揭阳,62.45,1.06,24.67,86.85,64.31,41.62,20.91
2017-05-02,揭阳,54.18,0.97,18.48,60.24,54.52,33.55,14.47
2017-05-03,揭阳,51.09,0.96,22.22,46.61,51.55,30.96,15.94
2017-05-04,揭阳,59.31,1.01,27.07,41.42,62.47,40.19,14.02
2017-05-05,揭阳,62.29,1.21,31.36,54.02,68.97,41.56,17.41
2017-05-06,揭阳,51.12,1.04,24.59,61.68,53.69,32.36,14.95
2017-05-07,揭阳,40.77,0.9,16.84,101.45,40.86,21.86,9.25
2017-05-08,揭阳,61.82,0.83,16.84,91.73,76.15,33.58,11.66
2017-05-09,揭阳,38.33,0.94,20.5,67.9,38.93,20.47,11.39
2017-05-10,揭阳,52.81,1.19,31.94,74.33,55.5,30.09,22.24
2017-05-11,揭阳,55.3,0.98,23.32,67.33,54.3,35.95,14.9
2017-05-12,揭阳,46.38,0.97,17.68,45.97,46.2,28.6,14.47
2017-05-13,揭阳,39.11,1.03,25.42,49.83,38.68,21.79,12.48
2017-05-14,揭阳,50.82,0.96,17.16,74.31,48.37,33.96,12.38
2017-05-15,揭阳,44.72,1.01,16.54,79.94,39.85,30.4,10.47
2017-05-16,揭阳,23.35,1.11,18.47,62.26,20.22,11.59,7.82
2017-05-17,揭阳,41.33,1.13,21.87,82.97,41.46,22.38,12.47
2017-05-18,揭阳,53.17,0.98,25.39,97.1,57.71,30.58,13.99
2017-05-19,揭阳,54.94,1.02,28.41,76.47,55.3,36.14,16.04
2017-05-20,揭阳,52.56,1.09,24.05,75.1,45.23,35.52,16.49
2017-05-21,揭阳,50.91,1.05,21.6,78.36,49.04,30.56,12.81
2017-05-22,揭阳,35.96,0.79,14.92,87.51,34.53,18.58,13.15
2017-05-23,揭阳,49.27,1.0,18.36,81.64,48.17,31.68,11.89
2017-05-24,揭阳,43.16,1.11,24.47,26.72,44.46,28.35,12.84
2017-05-25,揭阳,32.15,1.18,18.99,52.4,31.37,17.56,10.19
2017-05-26,揭阳,37.43,1.03,23.21,56.73,36.64,21.81,11.01
2017-05-27,揭阳,55.54,0.92,29.39,86.12,56.57,30.01,18.11
2017-05-28,揭阳,74.79,0.87,22.96,134.68,70.26,41.04,18.0
2017-05-29,揭阳,47.6,0.71,15.21,109.49,45.33,26.03,11.99
2017-05-30,揭阳,38.39,0.74,10.88,86.54,36.62,22.03,11.88
2017-05-31,揭阳,46.36,0.83,14.45,72.84,47.5,27.56,12.86
2017-06-01,揭阳,37.9,0.74,12.72,51.06,36.46,23.09,11.01
2017-06-02,揭阳,40.93,0.79,16.79,39.99,41.72,21.08,11.41
2017-06-03,揭阳,40.88,0.93,21.53,47.92,44.72,22.97,7.91
2017-06-04,揭阳,27.49,0.98,14.76,62.8,25.94,15.52,7.2
2017-06-05,揭阳,34.45,0.94,10.51,78.19,31.96,19.47,7.5
2017-06-06,揭阳,43.8,0.93,12.12,47.98,46.99,25.51,8.26
2017-06-07,揭阳,42.64,1.07,19.75,42.17,43.66,22.2,14.09
2017-06-08,揭阳,45.47,1.07,20.48,48.09,45.76,25.79,17.82
2017-06-09,揭阳,42.35,0.81,10.42,64.59,39.77,25.12,8.91
2017-06-10,揭阳,35.85,0.74,9.88,49.12,36.12,19.91,10.04
2017-06-11,揭阳,35.81,0.76,12.04,56.17,36.47,18.01,11.26
2017-06-12,揭阳,28.56,0.73,9.51,38.61,28.77,11.22,9.66
2017-06-13,揭阳,18.33,0.73,8.66,45.93,16.22,7.31,6.46
2017-06-14,揭阳,27.76,1.03,21.11,27.6,27.68,12.45,10.01
2017-06-15,揭阳,45.07,1.12,23.9,46.8,48.76,24.18,15.29
2017-06-16,揭阳,28.12,0.96,17.29,46.44,27.45,13.84,9.93
2017-06-17,揭阳,24.99,0.93,19.27,29.5,24.37,13.16,11.56
2017-06-18,揭阳,19.54,0.97,20.75,29.52,19.22,10.18,10.81
2017-06-19,揭阳,27.82,1.07,21.75,26.66,27.89,13.47,14.85
2017-06-20,揭阳,33.94,1.2,24.36,26.51,35.52,18.27,17.09
2017-06-21,揭阳,33.03,1.46,29.41,21.05,32.65,20.08,12.94
2017-06-22,揭阳,32.71,1.19,16.95,30.56,31.46,18.23,10.64
2017-06-23,揭阳,31.48,0.87,14.41,29.92,32.05,15.37,13.52
2017-06-24,揭阳,35.61,0.92,20.18,33.63,36.87,17.6,12.74
2017-06-25,揭阳,28.41,0.68,12.96,41.96,28.07,12.21,10.61
2017-06-26,揭阳,29.99,0.66,12.6,43.6,29.66,11.75,11.09
2017-06-27,揭阳,38.48,0.86,20.41,33.93,40.99,17.51,13.66
2017-06-28,揭阳,36.55,0.77,14.94,46.83,37.24,18.77,10.98
2017-06-29,揭阳,40.15,0.72,13.59,61.54,40.24,20.37,13.13
2017-06-30,揭阳,34.16,0.83,16.44,37.34,34.29,16.77,15.11
2017-07-01,揭阳,27.37,0.87,16.59,30.8,27.0,10.9,13.18
2017-07-02,揭阳,31.01,1.01,20.61,18.2,31.47,15.34,13.67
2017-07-03,揭阳,29.06,0.94,18.66,25.9,28.94,13.53,13.33
2017-07-04,揭阳,30.67,0.9,15.33,37.1,29.65,14.47,11.7
