time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,梅州,78.25,1.31,42.42,25.49,87.04,54.93,8.96
2017-01-02,梅州,72.6,1.31,44.47,42.43,82.03,48.88,9.12
2017-01-03,梅州,70.35,1.3,42.64,36.6,78.75,47.83,10.88
2017-01-04,梅州,81.46,1.24,41.31,45.61,88.49,58.43,7.72
2017-01-05,梅州,74.57,1.22,43.6,28.21,81.61,53.63,8.24
2017-01-06,梅州,68.24,1.16,39.03,26.53,74.67,46.01,7.64
2017-01-07,梅州,87.48,1.28,48.62,29.25,89.12,62.36,6.52
2017-01-08,梅州,42.01,1.24,27.69,37.62,41.77,27.45,6.03
2017-01-09,梅州,45.94,1.25,34.07,46.77,49.68,29.35,6.1
2017-01-10,梅州,67.06,1.27,37.97,48.1,70.87,47.11,7.92
2017-01-11,梅州,93.32,1.36,36.12,44.94,87.1,69.36,8.82
2017-01-12,梅州,51.01,1.55,26.25,11.69,48.08,36.31,5.74
2017-01-13,梅州,17.39,1.51,24.37,20.48,14.12,8.0,4.54
2017-01-14,梅州,30.75,1.4,24.9,16.42,26.62,18.97,4.79
2017-01-15,梅州,30.71,1.37,25.29,14.38,27.62,19.87,5.25
2017-01-16,梅州,41.62,1.31,29.94,15.6,39.81,28.15,6.42
2017-01-17,梅州,48.12,1.09,32.1,31.55,47.26,31.8,7.58
2017-01-18,梅州,58.46,1.14,32.51,21.76,57.33,40.25,7.58
2017-01-19,梅州,45.47,1.2,24.32,14.51,39.78,31.15,4.9
2017-01-20,梅州,32.08,1.14,22.24,31.5,26.45,21.29,4.49
2017-01-21,梅州,56.26,1.05,20.14,60.85,47.4,39.82,6.19
2017-01-22,梅州,64.28,1.05,25.42,53.67,57.81,45.72,6.53
2017-01-23,梅州,61.39,1.01,25.33,52.42,57.82,43.11,9.11
2017-01-24,梅州,59.62,0.93,22.51,66.44,54.4,41.67,11.1
2017-01-25,梅州,55.42,0.88,17.33,81.78,48.38,39.0,10.9
2017-01-26,梅州,75.88,0.97,22.82,50.92,61.76,55.35,6.29
2017-01-27,梅州,67.93,0.84,14.99,54.79,60.09,48.21,8.01
2017-01-28,梅州,166.05,0.87,16.9,38.82,151.0,129.82,13.37
2017-01-29,梅州,82.32,0.9,16.72,35.36,73.82,60.25,7.41
2017-01-30,梅州,34.19,1.07,15.12,32.43,28.98,22.81,6.15
2017-01-31,梅州,30.25,1.28,15.86,25.32,24.79,20.7,6.28
2017-02-01,梅州,31.51,1.23,13.85,30.68,28.26,20.88,6.61
2017-02-02,梅州,48.62,1.02,11.62,46.51,36.81,33.76,7.12
2017-02-03,梅州,58.54,0.95,12.68,49.4,45.25,41.1,7.24
2017-02-04,梅州,45.1,0.88,16.65,50.16,40.0,30.14,7.35
2017-02-05,梅州,53.4,0.93,19.71,46.54,45.21,37.07,6.83
2017-02-06,梅州,46.07,0.99,19.1,51.21,42.62,32.12,6.87
