time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,汕头,61.04,1.04,33.56,56.89,68.9,39.11,13.88
2017-01-02,汕头,73.11,1.15,37.85,71.5,84.12,50.63,18.68
2017-01-03,汕头,49.41,0.82,23.58,75.51,50.19,30.65,10.69
2017-01-04,汕头,61.23,0.92,30.23,79.11,67.68,41.39,14.94
2017-01-05,汕头,71.31,1.0,38.39,67.74,80.93,49.86,16.79
2017-01-06,汕头,67.65,0.87,29.32,79.28,70.02,48.31,11.79
2017-01-07,汕头,47.07,0.9,30.22,76.34,47.9,29.93,10.74
2017-01-08,汕头,66.75,1.14,37.81,73.3,78.19,46.97,17.26
2017-01-09,汕头,47.46,1.01,26.31,85.59,46.75,28.91,9.43
2017-01-10,汕头,54.63,0.9,22.94,95.15,55.91,36.15,8.05
2017-01-11,汕头,68.8,0.91,22.51,94.92,70.36,49.56,8.56
2017-01-12,汕头,51.45,0.84,25.42,66.42,50.4,34.94,8.64
2017-01-13,汕头,32.28,1.46,31.97,11.06,33.46,18.08,10.3
2017-01-14,汕头,37.71,1.01,24.21,59.13,40.13,22.76,8.4
2017-01-15,汕头,49.72,0.83,24.45,77.41,49.64,32.88,10.13
2017-01-16,汕头,36.51,0.72,19.85,73.41,35.19,22.26,7.6
2017-01-17,汕头,40.43,0.69,21.64,74.67,41.38,23.12,9.17
2017-01-18,汕头,49.51,0.77,31.46,46.94,51.68,30.78,9.67
2017-01-19,汕头,46.42,0.75,26.01,52.33,41.68,31.59,6.44
2017-01-20,汕头,32.56,0.93,23.32,28.6,33.79,18.34,7.22
2017-01-21,汕头,52.08,0.84,20.29,74.31,55.22,31.31,7.03
2017-01-22,汕头,59.81,0.83,21.15,94.01,65.2,38.01,8.8
2017-01-23,汕头,56.88,0.79,16.89,110.85,63.54,33.2,8.59
2017-01-24,汕头,46.6,0.71,15.01,97.84,47.91,28.21,7.36
2017-01-25,汕头,32.98,0.53,12.78,86.26,31.76,19.47,5.54
2017-01-26,汕头,40.28,0.58,14.48,83.27,40.08,24.75,5.59
2017-01-27,汕头,50.46,0.64,13.12,94.11,50.65,33.49,6.54
2017-01-28,汕头,51.69,0.56,11.32,87.25,52.15,34.61,7.65
2017-01-29,汕头,54.46,0.78,19.55,68.57,53.55,37.88,9.45
2017-01-30,汕头,69.95,1.0,20.95,46.3,71.71,50.55,6.39
2017-01-31,汕头,33.88,0.68,11.83,74.69,33.47,20.22,5.11
2017-02-01,汕头,38.31,0.63,12.99,72.5,35.87,24.78,6.56
2017-02-02,汕头,31.89,0.58,11.19,80.09,31.43,18.57,5.08
2017-02-03,汕头,33.78,0.69,13.03,78.72,32.06,20.54,6.04
2017-02-04,汕头,47.03,0.76,19.8,72.34,47.47,30.5,8.32
2017-02-05,汕头,53.89,0.82,23.46,59.42,54.11,37.27,9.45
2017-02-06,汕头,48.4,0.9,16.14,88.69,52.35,30.51,6.97
2017-02-07,汕头,53.67,0.73,12.89,113.83,56.17,34.14,6.84
2017-02-08,汕头,44.45,0.67,16.74,84.09,46.25,24.19,8.26
2017-02-09,汕头,34.36,0.87,13.97,66.09,34.34,19.86,8.04
2017-02-10,汕头,68.35,0.87,16.6,83.62,62.01,49.36,11.4
2017-02-11,汕头,71.95,0.79,17.98,95.22,69.72,52.15,15.09
2017-02-12,汕头,71.06,0.74,18.99,104.39,69.16,51.01,13.59
2017-02-13,汕头,54.54,0.77,21.75,90.32,57.17,36.3,11.77
2017-02-14,汕头,47.36,0.68,21.08,97.43,48.84,27.74,12.87
2017-02-15,汕头,46.11,0.61,18.54,108.86,45.23,27.26,11.17
2017-02-16,汕头,68.94,0.84,34.02,93.12,75.41,47.45,16.07
2017-02-17,汕头,79.67,1.05,49.31,57.88,88.42,56.44,18.08
2017-02-18,汕头,74.56,0.94,32.62,77.1,80.66,53.19,11.74
2017-02-19,汕头,66.41,0.89,26.22,99.69,77.81,46.22,10.67
2017-02-20,汕头,100.14,1.2,36.38,71.23,115.27,74.11,13.94
2017-02-21,汕头,47.75,0.72,19.83,80.84,48.55,26.45,7.75
2017-02-22,汕头,50.67,1.11,46.56,35.58,53.37,32.43,13.34
2017-02-23,汕头,45.93,1.16,34.1,17.59,49.39,28.43,12.31
2017-02-24,汕头,27.09,1.01,24.53,20.4,25.43,15.56,9.92
2017-02-25,汕头,24.26,1.06,25.88,15.4,22.67,14.49,10.0
2017-02-26,汕头,30.02,0.98,24.1,33.72,31.0,17.67,10.12
2017-02-27,汕头,53.79,0.92,26.44,102.04,57.89,33.7,13.75
2017-02-28,汕头,72.77,0.92,31.88,114.12,77.31,52.07,17.74
2017-03-01,汕头,87.33,1.0,36.4,103.43,93.56,64.03,17.6
2017-03-02,汕头,84.29,0.94,36.37,103.95,99.35,55.17,15.69
2017-03-03,汕头,60.74,0.72,25.92,114.12,71.24,35.44,12.38
2017-03-04,汕头,58.47,0.85,32.52,88.08,65.73,37.98,13.9
2017-03-05,汕头,84.69,1.25,51.24,64.31,107.72,59.58,22.17
2017-03-06,汕头,60.24,1.1,33.83,67.22,71.09,36.56,10.38
2017-03-07,汕头,65.17,0.88,30.06,96.42,69.48,44.01,11.49
