time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,江门,125.78,1.59,92.01,43.82,139.15,94.62,18.3
2017-01-02,江门,153.59,1.71,104.59,82.84,163.29,115.38,20.02
2017-01-03,江门,174.2,1.64,104.84,74.86,187.4,132.76,21.4
2017-01-04,江门,85.16,0.9,57.11,60.03,93.78,62.4,15.49
2017-01-05,江门,131.47,1.39,90.68,49.93,146.48,98.58,22.54
2017-01-06,江门,185.57,1.66,98.2,87.4,185.42,145.73,18.89
2017-01-07,江门,79.4,0.81,50.88,46.58,82.52,57.32,15.29
2017-01-08,江门,109.11,1.47,68.39,63.78,118.46,80.76,15.08
2017-01-09,江门,67.25,1.57,58.07,45.89,70.96,46.95,12.77
2017-01-10,江门,87.2,1.09,51.6,54.25,90.8,64.36,12.27
2017-01-11,江门,92.94,1.25,59.73,29.67,101.28,69.02,14.41
2017-01-12,江门,63.89,1.41,44.27,5.43,73.32,45.62,8.31
2017-01-13,江门,28.17,1.33,38.22,9.24,27.99,15.85,4.24
2017-01-14,江门,38.9,1.16,44.38,13.94,40.36,25.84,4.23
2017-01-15,江门,44.55,1.2,41.77,10.33,44.51,29.6,5.52
2017-01-16,江门,49.01,1.21,45.98,11.03,40.91,34.39,4.95
2017-01-17,江门,60.05,1.15,48.07,5.68,53.06,42.44,6.02
2017-01-18,江门,64.12,1.29,59.73,8.31,67.11,44.65,9.67
2017-01-19,江门,59.0,1.17,42.52,9.02,60.02,40.7,7.43
2017-01-20,江门,35.61,0.9,30.69,38.02,33.66,21.84,6.01
2017-01-21,江门,74.77,0.86,31.72,81.09,75.34,54.5,7.83
2017-01-22,江门,70.95,0.84,36.23,78.72,75.26,50.57,9.72
2017-01-23,江门,73.51,1.0,51.99,61.68,79.84,52.87,9.84
2017-01-24,江门,78.67,0.83,39.99,82.95,84.53,57.35,10.76
2017-01-25,江门,77.31,0.9,37.82,92.9,81.58,54.67,8.43
2017-01-26,江门,83.7,0.9,33.19,70.81,86.17,60.55,7.95
2017-01-27,江门,70.69,0.8,27.12,87.69,71.43,48.68,7.91
2017-01-28,江门,72.57,0.75,24.82,77.16,71.58,52.62,10.03
2017-01-29,江门,62.4,0.67,22.02,40.3,51.74,44.62,5.07
2017-01-30,江门,54.75,0.84,16.3,51.35,51.14,38.26,4.56
2017-01-31,江门,57.35,1.03,17.92,46.85,49.68,40.58,4.38
2017-02-01,江门,45.41,0.98,20.2,50.89,37.98,29.96,5.8
2017-02-02,江门,49.14,0.77,18.44,62.4,45.68,32.21,5.14
2017-02-03,江门,58.54,0.7,22.91,72.94,55.56,40.05,6.35
2017-02-04,江门,74.87,0.93,41.89,42.68,70.61,54.07,8.09
2017-02-05,江门,53.28,0.83,21.15,54.18,46.4,36.72,4.99
2017-02-06,江门,53.19,0.84,31.5,50.95,49.99,36.54,8.42
2017-02-07,江门,66.82,0.77,28.08,88.66,71.06,46.53,9.1
2017-02-08,江门,50.58,0.8,36.57,45.02,56.88,35.19,8.01
