time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,河源,85.59,1.07,55.35,38.89,90.79,62.69,10.15
2017-01-02,河源,66.68,0.98,44.3,47.68,70.79,45.67,5.7
2017-01-03,河源,81.56,1.07,49.01,47.69,86.23,57.77,12.56
2017-01-04,河源,89.32,0.89,37.32,50.01,76.95,69.62,5.5
2017-01-05,河源,91.61,1.21,47.2,34.0,98.33,67.87,8.1
2017-01-06,河源,70.93,0.99,40.68,33.76,75.42,50.48,5.11
2017-01-07,河源,71.98,0.92,34.68,46.64,65.72,51.15,5.21
2017-01-08,河源,48.53,1.23,27.35,45.33,44.67,33.11,6.0
2017-01-09,河源,41.51,1.14,28.88,43.48,38.78,27.6,6.15
2017-01-10,河源,61.59,1.1,34.91,57.5,57.98,43.52,8.08
2017-01-11,河源,91.13,1.16,29.87,44.1,84.65,67.07,8.96
2017-01-12,河源,36.99,1.3,23.17,21.27,34.95,24.24,3.48
2017-01-13,河源,16.19,1.16,21.15,37.22,12.98,6.88,3.22
2017-01-14,河源,32.36,1.02,20.59,38.74,25.4,21.29,3.48
2017-01-15,河源,27.06,1.08,20.83,31.17,23.49,17.72,3.12
2017-01-16,河源,49.21,1.07,22.35,31.17,40.92,34.23,4.06
2017-01-17,河源,46.56,1.03,23.39,30.64,37.54,32.15,3.12
2017-01-18,河源,45.42,1.07,25.19,22.82,43.88,28.83,4.01
2017-01-19,河源,33.58,0.99,19.99,25.6,29.74,21.69,3.06
2017-01-20,河源,43.85,0.84,19.56,48.17,35.47,30.1,3.35
2017-01-21,河源,81.1,0.8,17.94,91.54,75.45,59.47,7.29
2017-01-22,河源,65.29,0.77,23.93,82.71,67.71,46.15,7.44
2017-01-23,河源,67.47,0.87,30.29,75.32,67.76,48.04,7.25
2017-01-24,河源,72.28,0.92,33.21,60.83,69.44,52.14,7.01
2017-01-25,河源,67.62,0.9,25.72,68.52,67.0,48.37,5.59
2017-01-26,河源,73.07,0.83,18.56,81.32,68.62,53.15,5.95
2017-01-27,河源,68.54,0.78,17.89,59.1,64.34,49.03,5.19
2017-01-28,河源,149.73,0.71,14.86,52.86,191.36,114.02,17.29
2017-01-29,河源,78.19,0.73,15.99,42.23,68.51,56.59,5.97
2017-01-30,河源,46.22,0.89,12.56,46.04,38.03,31.97,2.76
2017-01-31,河源,38.38,1.08,10.49,38.54,31.09,26.61,2.92
2017-02-01,河源,33.94,1.04,10.15,44.07,30.05,23.18,2.92
2017-02-02,河源,48.69,0.92,11.01,45.21,42.1,31.8,2.87
2017-02-03,河源,65.56,0.95,14.96,39.94,51.06,46.55,3.17
2017-02-04,河源,58.81,0.94,22.0,43.52,48.31,41.36,4.36
2017-02-05,河源,53.6,0.87,14.31,50.35,41.04,37.49,3.22
2017-02-06,河源,42.93,0.93,16.03,42.5,35.58,29.38,3.06
2017-02-07,河源,60.83,1.01,22.48,57.36,55.69,43.05,5.14
2017-02-08,河源,53.84,0.93,18.74,65.65,49.16,37.5,4.5
2017-02-09,河源,43.01,0.79,11.33,68.99,33.22,29.61,5.15
2017-02-10,河源,78.67,0.86,13.64,88.39,64.4,57.62,11.38
2017-02-11,河源,66.18,0.81,15.17,93.68,58.44,47.54,10.44
2017-02-12,河源,67.0,0.9,30.12,79.97,62.3,48.07,10.32
2017-02-13,河源,70.44,1.02,44.68,59.46,70.84,50.29,9.36
2017-02-14,河源,66.97,1.04,44.54,62.08,67.94,46.24,8.08
2017-02-15,河源,66.46,1.12,51.24,63.76,68.39,45.21,7.61
2017-02-16,河源,59.96,1.07,46.73,65.66,61.51,40.23,6.53
2017-02-17,河源,68.65,1.24,55.17,60.14,71.36,45.28,6.94
2017-02-18,河源,87.88,1.35,58.06,62.68,96.3,63.51,7.58
2017-02-19,河源,84.28,0.95,19.44,96.97,70.3,62.49,4.43
2017-02-20,河源,58.03,1.07,33.0,54.71,53.02,37.84,4.96
2017-02-21,河源,49.22,1.09,29.14,38.03,51.83,25.62,5.97
2017-02-22,河源,31.81,1.04,22.95,39.57,29.45,18.62,4.46
2017-02-23,河源,30.22,1.02,17.55,37.35,25.29,16.89,4.46
2017-02-24,河源,28.14,0.95,16.91,50.17,20.62,18.3,3.91
2017-02-25,河源,20.94,0.9,17.33,52.17,16.12,12.68,3.28
2017-02-26,河源,39.83,1.03,23.3,51.2,42.7,26.65,4.55
2017-02-27,河源,58.49,1.15,37.82,58.22,60.15,39.37,8.96
2017-02-28,河源,68.44,1.16,41.82,44.68,70.57,47.51,10.24
2017-03-01,河源,61.03,1.05,24.3,70.0,58.2,42.97,7.23
2017-03-02,河源,68.34,0.9,28.51,90.21,75.59,37.79,8.98
2017-03-03,河源,80.07,0.97,54.73,55.64,95.83,50.64,13.44
2017-03-04,河源,77.21,0.89,49.19,58.24,94.63,53.48,10.81
2017-03-05,河源,62.08,0.8,25.37,70.97,65.08,43.47,5.59
2017-03-06,河源,35.36,0.72,20.74,69.1,32.87,16.66,4.59
2017-03-07,河源,34.86,0.78,20.61,53.25,31.97,22.28,4.93
2017-03-08,河源,58.97,0.8,26.31,73.68,52.33,41.93,5.28
2017-03-09,河源,52.99,0.94,35.41,32.44,50.47,37.32,4.99
2017-03-10,河源,25.69,1.03,36.94,22.19,22.77,13.7,4.42
2017-03-11,河源,29.36,1.01,36.96,14.66,27.29,17.27,4.91
2017-03-12,河源,37.52,1.14,35.21,17.46,36.96,22.32,3.21
2017-03-13,河源,58.54,1.2,35.66,57.76,64.95,37.69,4.64
2017-03-14,河源,28.03,0.75,19.32,48.95,24.98,14.12,4.03
2017-03-15,河源,27.65,0.7,20.51,31.69,26.82,13.49,3.78
2017-03-16,河源,33.95,0.82,29.1,12.51,32.44,20.74,4.92
2017-03-17,河源,34.57,1.06,29.68,7.54,34.09,19.41,4.35
2017-03-18,河源,33.24,1.02,28.61,5.56,31.8,20.45,4.0
2017-03-19,河源,32.66,1.28,34.86,5.88,27.06,19.92,4.11
2017-03-20,河源,48.91,1.23,32.3,25.88,45.88,31.75,3.97
2017-03-21,河源,39.61,0.97,21.38,35.47,36.52,24.81,4.36
2017-03-22,河源,50.41,0.97,31.51,38.39,48.46,31.97,5.04
2017-03-23,河源,33.48,0.77,24.87,63.9,32.33,16.13,4.15
2017-03-24,河源,40.45,0.7,21.04,85.75,39.84,21.0,5.11
2017-03-25,河源,21.39,0.8,17.72,51.31,18.68,7.06,4.18
2017-03-26,河源,48.03,0.71,22.68,54.07,52.16,20.47,5.76
2017-03-27,河源,61.98,0.85,34.26,56.35,69.26,32.65,9.29
2017-03-28,河源,69.54,0.84,35.66,68.64,86.3,40.67,10.06
2017-03-29,河源,62.57,0.94,31.15,61.74,69.86,42.0,6.1
2017-03-30,河源,59.23,0.88,24.61,53.48,66.16,38.42,6.04
2017-03-31,河源,32.3,0.88,14.98,60.07,29.11,16.5,4.31
2017-04-01,河源,37.26,0.7,11.9,90.66,36.3,20.44,6.71
2017-04-02,河源,55.31,0.71,27.36,86.19,53.59,32.76,9.18
2017-04-03,河源,90.04,0.87,40.04,93.67,87.76,66.0,9.72
2017-04-04,河源,86.41,0.9,33.47,94.92,90.45,60.97,8.05
2017-04-05,河源,59.06,0.81,37.26,55.22,65.31,35.89,6.49
2017-04-06,河源,50.14,0.9,40.39,24.87,46.77,33.37,5.55
2017-04-07,河源,47.96,0.82,25.98,42.91,49.05,25.35,6.21
2017-04-08,河源,49.01,0.69,24.34,41.87,49.44,26.14,7.1
2017-04-09,河源,46.82,0.69,21.4,32.77,41.73,27.05,5.95
2017-04-10,河源,38.91,0.75,25.76,19.29,37.05,20.39,5.49
2017-04-11,河源,35.74,0.8,24.17,22.43,34.06,19.1,5.43
2017-04-12,河源,29.87,0.75,19.68,50.22,28.18,15.22,5.55
2017-04-13,河源,44.04,0.82,20.83,45.54,42.58,27.11,6.22
