time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,深圳,54.37,0.79,37.13,64.66,58.32,35.82,8.53
2017-01-02,深圳,65.98,0.94,60.61,65.7,75.24,44.23,10.62
2017-01-03,深圳,71.24,1.03,49.13,66.74,78.98,50.2,8.43
2017-01-04,深圳,47.66,0.79,32.96,78.81,48.16,30.21,7.9
2017-01-05,深圳,68.25,1.07,66.53,48.55,79.21,47.2,8.24
2017-01-06,深圳,68.66,1.03,49.4,64.09,77.47,47.94,8.72
2017-01-07,深圳,49.37,0.75,28.94,73.51,46.99,33.58,7.25
2017-01-08,深圳,71.18,1.07,46.71,72.87,75.35,50.99,8.88
2017-01-09,深圳,55.77,1.16,35.82,72.06,57.29,37.91,8.47
2017-01-10,深圳,58.67,0.97,23.87,94.99,57.81,41.11,6.7
2017-01-11,深圳,81.97,1.08,34.06,88.04,82.08,60.19,8.56
2017-01-12,深圳,86.39,1.34,40.83,29.85,89.23,63.5,7.09
2017-01-13,深圳,25.85,1.33,34.05,28.14,24.76,13.88,5.04
2017-01-14,深圳,28.41,1.17,35.2,27.81,27.14,16.25,4.85
2017-01-15,深圳,36.51,1.23,31.97,24.29,35.09,23.7,5.2
2017-01-16,深圳,38.67,1.17,32.18,36.82,36.62,26.01,5.67
2017-01-17,深圳,43.65,0.8,34.36,61.69,43.54,27.98,6.88
2017-01-18,深圳,58.92,1.02,47.69,44.61,63.5,39.84,7.69
2017-01-19,深圳,61.36,0.98,48.29,34.12,61.91,42.94,7.49
2017-01-20,深圳,36.05,0.9,23.98,56.55,33.9,22.94,5.84
2017-01-21,深圳,62.67,0.88,25.95,86.08,57.64,44.61,7.23
2017-01-22,深圳,66.29,0.8,30.66,88.19,63.41,47.67,9.04
2017-01-23,深圳,63.11,0.84,31.06,92.4,62.47,44.84,8.0
2017-01-24,深圳,58.07,0.77,22.69,107.26,62.22,39.57,8.66
2017-01-25,深圳,50.38,0.68,22.14,96.35,50.94,32.86,7.62
2017-01-26,深圳,54.67,0.75,18.71,84.3,51.61,37.88,6.53
2017-01-27,深圳,47.11,0.71,19.2,99.26,43.1,31.99,7.25
2017-01-28,深圳,62.39,0.71,19.4,79.63,56.81,44.67,10.5
2017-01-29,深圳,49.96,0.75,21.16,71.64,49.35,33.11,6.84
2017-01-30,深圳,38.96,0.87,19.68,52.79,36.41,26.21,5.38
2017-01-31,深圳,44.2,1.16,14.14,48.14,37.4,30.56,5.0
2017-02-01,深圳,35.44,1.11,16.74,60.37,29.07,23.62,6.28
2017-02-02,深圳,41.5,0.87,15.13,64.55,37.98,27.8,5.52
2017-02-03,深圳,42.15,0.81,18.75,80.67,40.27,28.03,5.88
2017-02-04,深圳,41.23,0.75,23.18,74.83,38.81,27.47,6.56
2017-02-05,深圳,50.07,0.87,33.88,56.05,44.58,35.28,6.73
2017-02-06,深圳,45.82,0.75,20.03,84.66,42.05,31.75,6.24
2017-02-07,深圳,60.58,0.77,17.01,116.1,61.06,42.5,7.48
2017-02-08,深圳,42.98,0.71,23.08,81.44,43.43,26.46,7.09
2017-02-09,深圳,38.6,0.89,15.11,71.05,34.33,24.93,6.51
2017-02-10,深圳,79.5,0.95,18.92,89.23,69.0,58.92,11.23
2017-02-11,深圳,76.52,0.85,23.52,92.95,66.89,55.9,10.58
2017-02-12,深圳,77.86,0.88,34.23,98.23,74.25,56.96,10.42
2017-02-13,深圳,60.84,0.81,34.45,105.99,59.8,41.64,9.47
2017-02-14,深圳,44.17,0.69,32.52,100.08,41.96,26.28,8.16
2017-02-15,深圳,44.17,0.65,33.32,103.4,42.31,25.84,8.42
2017-02-16,深圳,46.11,0.69,49.4,77.5,45.07,26.02,8.21
2017-02-17,深圳,53.76,0.78,60.22,68.1,53.8,32.1,8.41
2017-02-18,深圳,56.59,0.8,47.51,76.82,60.73,36.53,7.22
2017-02-19,深圳,56.28,0.75,26.21,95.95,55.02,39.42,5.57
2017-02-20,深圳,52.39,0.86,50.08,47.34,50.1,36.19,6.79
2017-02-21,深圳,35.49,0.64,22.97,71.59,34.13,21.54,5.56
2017-02-22,深圳,30.18,0.75,36.97,53.23,26.28,16.98,6.95
2017-02-23,深圳,40.96,0.91,30.42,31.13,39.14,25.97,5.42
2017-02-24,深圳,32.83,0.94,28.08,43.32,30.62,20.83,5.11
2017-02-25,深圳,26.44,0.98,30.8,37.86,25.04,15.18,5.02
2017-02-26,深圳,28.37,0.94,29.09,56.39,25.29,16.46,5.62
2017-02-27,深圳,45.12,0.93,38.49,67.94,44.49,28.16,8.03
2017-02-28,深圳,59.24,0.78,35.75,113.65,63.51,39.39,10.23
2017-03-01,深圳,80.46,0.93,44.4,91.01,88.68,58.26,10.65
2017-03-02,深圳,60.31,0.62,32.62,98.17,62.95,37.71,9.29
2017-03-03,深圳,66.25,0.7,29.51,122.48,80.9,41.77,10.6
2017-03-04,深圳,57.36,0.7,32.24,99.44,63.08,34.22,8.78
2017-03-05,深圳,56.23,0.77,39.74,66.0,61.09,35.08,8.42
2017-03-06,深圳,45.6,0.89,38.59,58.73,46.52,27.91,6.57
2017-03-07,深圳,51.14,0.85,31.77,66.19,54.87,30.55,6.55
2017-03-08,深圳,36.36,0.94,32.25,48.81,34.3,23.58,5.51
2017-03-09,深圳,59.84,0.92,37.37,57.88,61.24,41.19,7.09
2017-03-10,深圳,67.36,0.95,48.27,60.5,75.69,44.92,6.68
2017-03-11,深圳,37.03,0.79,28.52,71.06,35.23,22.99,5.84
2017-03-12,深圳,35.43,0.74,29.61,84.82,30.2,19.12,6.7
2017-03-13,深圳,48.42,0.8,41.34,54.23,46.55,32.28,6.87
2017-03-14,深圳,40.61,0.89,39.52,28.77,40.87,23.55,5.68
2017-03-15,深圳,39.7,0.69,28.25,73.24,39.05,21.02,7.02
2017-03-16,深圳,50.76,0.68,35.23,73.96,53.38,29.95,8.36
2017-03-17,深圳,48.74,0.73,31.56,63.9,48.49,32.6,6.92
2017-03-18,深圳,42.14,0.73,30.9,63.82,39.67,28.51,6.25
2017-03-19,深圳,41.53,0.83,33.82,51.2,38.46,28.01,5.91
2017-03-20,深圳,37.74,0.77,38.22,59.33,34.74,24.43,8.39
2017-03-21,深圳,51.87,0.74,40.02,69.06,50.97,35.43,9.56
2017-03-22,深圳,43.68,0.75,31.62,82.89,42.11,27.99,6.12
2017-03-23,深圳,50.58,0.83,41.84,59.35,49.71,33.48,7.56
2017-03-24,深圳,37.52,0.72,25.03,96.44,32.61,21.11,6.16
2017-03-25,深圳,35.4,0.87,36.98,47.0,34.78,20.09,6.43
2017-03-26,深圳,35.8,0.76,27.73,57.38,35.77,15.66,6.16
2017-03-27,深圳,51.58,0.69,33.06,79.77,55.58,24.91,7.92
2017-03-28,深圳,62.2,0.69,28.64,115.92,73.16,33.6,8.19
2017-03-29,深圳,62.93,0.74,27.47,97.1,74.9,38.88,7.94
2017-03-30,深圳,59.74,0.75,25.64,88.86,67.56,39.39,7.14
2017-03-31,深圳,40.1,0.87,33.06,52.0,41.37,24.93,6.16
2017-04-01,深圳,36.89,0.73,26.07,95.53,28.96,18.86,7.66
2017-04-02,深圳,52.55,0.72,33.32,106.37,51.2,32.26,8.94
2017-04-03,深圳,54.14,0.64,25.48,126.41,54.35,35.3,8.79
2017-04-04,深圳,53.49,0.63,21.04,119.09,55.4,33.67,8.57
2017-04-05,深圳,49.05,0.65,26.05,84.8,49.95,28.91,7.97
2017-04-06,深圳,47.75,0.73,34.23,51.51,49.32,27.98,8.41
2017-04-07,深圳,42.4,0.69,39.04,33.28,42.18,26.94,9.38
2017-04-08,深圳,38.08,0.65,36.84,24.41,37.23,23.96,10.37
2017-04-09,深圳,29.44,0.59,26.92,29.99,28.6,18.49,7.61
2017-04-10,深圳,28.72,0.6,26.17,28.65,28.41,15.6,7.84
2017-04-11,深圳,34.49,0.71,34.9,24.52,34.52,19.71,8.24
2017-04-12,深圳,28.82,0.9,31.83,29.86,28.11,15.68,6.11
2017-04-13,深圳,39.76,0.87,39.51,37.61,39.56,23.34,6.85
2017-04-14,深圳,51.52,0.97,48.79,55.95,54.67,32.51,9.4
2017-04-15,深圳,40.91,0.8,37.3,65.31,41.2,25.26,8.3
2017-04-16,深圳,39.87,0.73,28.6,55.5,38.37,25.85,9.12
2017-04-17,深圳,42.37,0.66,36.96,55.32,39.09,25.34,10.32
2017-04-18,深圳,58.34,0.79,44.36,77.42,55.19,35.53,11.47
2017-04-19,深圳,40.9,0.66,35.98,46.04,39.37,26.47,8.36
2017-04-20,深圳,26.87,0.62,29.47,34.49,25.67,15.93,7.94
2017-04-21,深圳,34.3,0.71,35.16,37.6,33.46,19.87,8.03
2017-04-22,深圳,38.6,0.7,25.17,70.4,38.12,19.6,7.37
2017-04-23,深圳,53.28,0.8,35.39,50.26,57.19,28.19,7.18
2017-04-24,深圳,60.23,0.82,30.34,88.35,65.77,38.97,8.07
2017-04-25,深圳,54.22,0.82,27.42,87.29,55.55,35.41,6.8
2017-04-26,深圳,55.69,0.85,36.22,47.73,55.96,37.61,6.84
2017-04-27,深圳,39.86,0.82,31.12,41.89,38.31,26.72,6.99
