time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,清远,101.42,1.82,83.07,32.11,111.18,75.7,21.86
2017-01-02,清远,86.35,1.66,71.2,46.5,94.98,62.37,13.57
2017-01-03,清远,91.32,1.65,65.11,53.78,99.72,67.62,14.29
2017-01-04,清远,155.36,1.86,92.96,25.79,152.17,118.11,18.31
2017-01-05,清远,160.4,1.85,81.33,50.92,167.96,123.41,9.73
2017-01-06,清远,109.4,1.51,65.93,48.74,112.58,82.69,11.87
2017-01-07,清远,121.83,1.36,83.18,30.33,122.87,92.02,17.03
2017-01-08,清远,71.57,1.77,38.69,32.62,71.87,51.61,7.4
2017-01-09,清远,46.71,1.76,35.81,53.11,46.38,30.35,7.77
2017-01-10,清远,67.57,1.62,49.04,58.44,71.73,46.62,14.97
2017-01-11,清远,74.46,1.53,33.21,41.01,67.34,54.22,10.51
2017-01-12,清远,24.0,1.47,24.31,20.5,20.37,13.68,4.75
2017-01-13,清远,16.61,1.38,24.39,22.25,13.45,6.67,4.69
2017-01-14,清远,28.99,1.17,24.83,36.46,26.77,16.99,6.4
2017-01-15,清远,32.26,1.15,21.67,31.9,30.82,18.72,6.88
2017-01-16,清远,44.47,1.21,27.51,35.33,40.12,30.04,8.24
2017-01-17,清远,30.85,1.26,30.22,20.64,27.02,18.08,6.64
2017-01-18,清远,36.49,1.41,30.67,10.64,38.53,17.67,6.7
2017-01-19,清远,35.14,1.38,20.96,14.77,36.98,18.03,5.38
2017-01-20,清远,35.69,1.29,17.89,40.79,31.76,23.72,7.86
2017-01-21,清远,81.6,1.33,23.08,72.08,71.52,59.96,13.38
2017-01-22,清远,73.46,1.29,23.5,77.69,66.71,52.31,15.08
2017-01-23,清远,69.15,1.27,35.94,70.78,69.07,48.42,19.51
2017-01-24,清远,80.89,1.15,38.92,61.47,75.42,59.22,15.51
2017-01-25,清远,92.6,1.17,34.4,66.95,81.0,68.74,14.31
2017-01-26,清远,98.35,1.14,30.24,78.82,89.56,73.41,17.2
2017-01-27,清远,93.5,1.13,22.79,76.32,83.38,69.28,11.33
2017-01-28,清远,155.91,0.95,19.23,77.02,147.63,118.61,25.17
2017-01-29,清远,63.51,0.89,19.43,43.41,48.39,45.67,6.26
2017-01-30,清远,61.49,1.16,14.68,47.24,51.36,43.88,5.81
2017-01-31,清远,64.79,1.29,18.35,37.51,47.58,46.67,8.18
2017-02-01,清远,56.53,1.34,22.03,36.94,44.3,39.71,13.89
2017-02-02,清远,56.22,1.2,16.42,53.32,45.93,39.4,11.61
2017-02-03,清远,70.01,1.24,22.49,41.93,55.5,50.74,13.41
2017-02-04,清远,91.97,1.22,32.72,40.93,71.75,68.27,10.88
2017-02-05,清远,46.72,1.09,21.57,42.99,42.02,31.81,6.89
2017-02-06,清远,59.26,1.2,32.0,46.45,55.48,40.98,12.52
2017-02-07,清远,87.51,1.33,42.01,26.01,85.31,64.36,11.14
2017-02-08,清远,58.31,1.26,29.42,24.18,59.48,40.82,6.82
2017-02-09,清远,49.64,0.97,14.85,72.57,41.93,34.51,9.36
2017-02-10,清远,92.39,1.2,19.46,87.79,74.34,68.66,20.58
2017-02-11,清远,63.77,0.98,19.74,86.72,52.96,45.0,18.82
2017-02-12,清远,72.0,0.94,29.22,79.65,60.84,52.12,16.74
2017-02-13,清远,79.76,1.27,51.31,53.83,77.59,58.06,17.93
2017-02-14,清远,98.83,1.35,59.65,68.4,96.9,73.35,17.75
2017-02-15,清远,114.83,1.56,74.3,65.2,115.45,85.64,17.28
2017-02-16,清远,103.17,1.54,73.25,58.62,117.83,76.97,15.71
2017-02-17,清远,85.53,1.51,70.64,58.38,107.14,59.24,16.56
2017-02-18,清远,104.78,1.4,69.33,85.23,114.29,73.57,18.49
2017-02-19,清远,93.47,1.12,55.93,78.96,108.4,68.85,15.21
2017-02-20,清远,89.58,1.22,48.84,69.23,102.6,65.83,15.27
2017-02-21,清远,74.23,1.21,57.76,28.77,89.42,46.98,13.89
2017-02-22,清远,59.53,1.14,46.9,18.29,74.49,37.28,11.62
2017-02-23,清远,19.1,0.92,14.17,31.47,19.92,10.03,5.67
2017-02-24,清远,24.83,0.99,20.73,38.52,19.62,16.68,4.75
2017-02-25,清远,21.4,1.05,21.52,39.98,17.74,14.4,5.02
2017-02-26,清远,50.52,1.17,33.77,63.83,51.14,34.1,9.77
2017-02-27,清远,58.74,1.24,41.51,71.6,58.65,40.06,16.58
2017-02-28,清远,65.47,1.15,40.49,56.24,66.55,45.07,14.01
2017-03-01,清远,55.94,1.1,34.83,55.44,53.46,37.94,6.93
2017-03-02,清远,63.87,0.97,39.43,78.74,73.23,33.7,12.8
2017-03-03,清远,87.86,1.06,71.89,83.54,103.67,55.85,21.88
2017-03-04,清远,125.99,1.55,110.07,49.57,163.22,93.32,26.33
2017-03-05,清远,121.24,2.05,99.1,20.61,179.29,84.62,17.62
2017-03-06,清远,36.17,1.13,33.06,43.17,40.72,21.71,6.99
2017-03-07,清远,37.51,1.15,38.35,54.58,34.55,23.62,6.67
2017-03-08,清远,48.42,1.05,35.7,80.93,44.48,32.23,6.06
2017-03-09,清远,56.5,1.22,49.74,41.84,58.42,40.16,8.26
2017-03-10,清远,26.31,1.43,49.1,16.07,19.68,11.41,4.82
2017-03-11,清远,36.39,1.48,49.51,10.57,34.99,19.58,6.03
2017-03-12,清远,48.19,1.83,64.26,6.42,52.1,29.21,5.96
2017-03-13,清远,95.75,2.82,88.58,2.99,118.29,69.19,9.35
2017-03-14,清远,29.49,1.17,29.36,37.36,36.44,16.89,5.83
2017-03-15,清远,36.23,1.12,37.14,35.03,37.74,16.84,7.22
2017-03-16,清远,40.88,1.41,44.36,7.89,44.15,24.31,8.38
2017-03-17,清远,35.87,1.48,43.54,7.22,37.56,18.28,6.38
2017-03-18,清远,42.14,1.59,41.42,2.9,47.64,23.72,6.89
2017-03-19,清远,34.36,1.8,40.67,3.07,35.72,18.64,7.43
2017-03-20,清远,85.62,2.58,66.54,7.65,105.82,59.61,10.36
2017-03-21,清远,51.39,1.49,34.86,17.61,60.75,28.89,7.23
2017-03-22,清远,51.15,1.82,55.64,4.49,54.61,30.06,8.28
2017-03-23,清远,45.18,1.59,51.22,18.96,48.36,23.75,9.14
2017-03-24,清远,90.31,1.92,80.36,31.65,129.15,53.43,14.71
2017-03-25,清远,21.99,1.01,29.46,39.25,19.0,9.99,6.03
2017-03-26,清远,57.21,0.72,33.97,73.97,67.26,18.69,9.65
2017-03-27,清远,73.09,1.06,63.13,57.39,94.38,39.38,16.35
2017-03-28,清远,98.21,1.51,92.89,49.72,141.54,65.33,19.57
2017-03-29,清远,67.0,1.3,54.76,47.83,86.3,39.2,6.65
2017-03-30,清远,92.14,1.85,91.04,9.19,120.0,62.01,11.88
2017-03-31,清远,40.53,0.97,37.99,61.88,50.08,20.62,5.82
2017-04-01,清远,38.28,0.85,39.42,89.77,35.79,18.93,10.07
2017-04-02,清远,61.39,0.91,65.25,81.28,63.88,40.04,19.03
2017-04-03,清远,92.29,0.93,65.41,102.64,86.93,59.13,16.68
2017-04-04,清远,66.75,0.82,49.06,99.64,70.58,39.64,14.84
2017-04-05,清远,59.2,0.86,52.59,63.04,62.77,36.85,17.43
2017-04-06,清远,75.25,0.99,70.58,29.34,78.96,49.1,15.19
2017-04-07,清远,75.18,1.03,67.35,36.08,93.88,46.92,17.99
2017-04-08,清远,53.19,0.88,51.24,22.49,58.73,27.03,15.15
2017-04-09,清远,52.28,0.97,53.06,14.65,58.57,25.78,14.42
2017-04-10,清远,60.85,1.22,53.85,9.42,72.15,26.33,13.33
2017-04-11,清远,39.28,0.96,30.75,24.86,41.73,21.88,7.12
2017-04-12,清远,25.74,0.86,27.31,32.83,25.79,11.92,7.54
2017-04-13,清远,42.85,0.92,35.44,68.08,44.56,23.85,14.61
2017-04-14,清远,73.43,1.22,59.16,39.92,90.77,47.1,18.89
2017-04-15,清远,117.98,1.89,112.04,19.92,178.75,68.54,21.81
2017-04-16,清远,85.15,1.52,67.99,37.69,120.11,49.79,12.32
2017-04-17,清远,71.23,1.16,51.73,39.86,92.95,38.04,19.7
2017-04-18,清远,44.2,0.85,35.95,65.07,44.64,23.07,9.89
2017-04-19,清远,56.12,0.99,51.12,23.21,71.16,29.77,13.35
2017-04-20,清远,47.41,0.95,44.86,37.49,50.86,26.88,10.22
2017-04-21,清远,38.36,1.03,35.87,30.39,46.26,17.21,6.97
2017-04-22,清远,44.03,0.72,26.56,78.93,46.93,13.38,8.04
2017-04-23,清远,75.71,0.81,46.62,70.35,82.67,43.93,15.76
2017-04-24,清远,107.07,1.15,68.88,39.4,103.24,79.38,19.86
2017-04-25,清远,93.67,1.44,57.4,25.86,91.9,68.58,8.33
2017-04-26,清远,59.68,1.46,53.89,14.19,72.98,38.18,8.99
2017-04-27,清远,24.6,0.93,24.56,57.65,16.24,12.4,4.7
2017-04-28,清远,54.14,1.04,44.36,83.15,53.93,32.86,10.17
2017-04-29,清远,72.69,1.25,47.95,61.13,82.49,50.42,16.49
2017-04-30,清远,131.59,1.4,35.8,133.92,105.42,87.78,19.92
2017-05-01,清远,71.35,1.41,38.19,85.02,76.71,49.0,11.51
2017-05-02,清远,67.59,1.1,41.49,44.58,80.47,41.77,11.39
2017-05-03,清远,51.64,1.03,37.61,30.72,55.89,27.38,10.03
2017-05-04,清远,38.17,0.91,27.78,62.78,36.4,19.46,9.08
2017-05-05,清远,37.22,0.96,28.86,90.93,31.23,17.14,6.65
2017-05-06,清远,56.25,1.13,40.26,79.89,56.66,34.56,11.1
2017-05-07,清远,53.6,1.02,32.06,93.4,56.67,34.74,9.03
2017-05-08,清远,53.35,1.07,47.83,50.27,55.26,33.52,11.44
2017-05-09,清远,44.38,1.11,33.81,92.45,37.89,21.55,6.76
2017-05-10,清远,73.85,1.2,44.29,101.26,74.12,46.56,12.32
2017-05-11,清远,142.79,1.31,57.67,115.14,170.71,100.79,17.33
2017-05-12,清远,44.26,0.94,37.47,70.9,48.6,20.72,9.67
2017-05-13,清远,55.56,1.06,45.45,60.18,57.78,31.39,12.85
2017-05-14,清远,95.07,1.12,52.79,115.97,88.28,54.44,16.86
2017-05-15,清远,31.42,0.97,26.47,62.23,29.97,17.47,5.88
2017-05-16,清远,34.44,0.91,25.47,94.71,24.2,11.6,5.18
2017-05-17,清远,60.41,1.11,39.78,98.29,63.48,37.06,7.9
2017-05-18,清远,82.58,1.25,55.69,92.33,90.04,58.31,18.33
2017-05-19,清远,66.26,1.12,50.83,71.82,75.19,44.6,16.42
2017-05-20,清远,55.48,1.11,53.06,36.7,56.97,36.94,15.11
2017-05-21,清远,48.83,1.18,41.67,45.03,53.08,31.48,8.89
2017-05-22,清远,35.0,1.05,32.11,53.96,30.59,20.61,7.72
2017-05-23,清远,73.12,1.44,48.12,94.05,79.03,48.24,9.62
2017-05-24,清远,34.02,1.13,26.78,50.73,36.86,17.48,6.6
2017-05-25,清远,29.65,1.01,24.22,75.01,25.91,13.15,5.81
2017-05-26,清远,51.26,0.96,35.16,102.13,49.69,31.04,11.68
2017-05-27,清远,61.72,1.01,44.62,84.82,63.21,40.49,13.8
2017-05-28,清远,77.61,1.01,45.51,113.4,70.93,47.89,15.21
2017-05-29,清远,106.46,1.1,50.51,132.06,102.21,68.87,18.25
2017-05-30,清远,98.17,1.04,46.64,135.23,89.91,57.03,17.7
2017-05-31,清远,64.17,0.99,36.99,85.78,72.93,40.74,14.31
2017-06-01,清远,47.83,0.84,34.12,63.97,48.51,27.98,16.39
2017-06-02,清远,51.62,0.9,37.61,53.17,56.81,29.11,14.19
2017-06-03,清远,53.71,0.94,34.75,91.67,60.45,30.12,12.11
2017-06-04,清远,53.93,0.97,36.08,83.1,48.23,27.83,8.68
2017-06-05,清远,45.3,0.86,34.88,58.89,46.43,20.16,10.19
2017-06-06,清远,50.15,0.83,32.9,80.07,39.93,21.69,10.14
2017-06-07,清远,36.29,0.78,26.73,97.22,28.0,14.57,8.32
2017-06-08,清远,47.69,0.9,34.96,88.26,36.81,20.07,9.29
2017-06-09,清远,40.46,0.9,40.07,51.68,40.0,23.96,13.31
2017-06-10,清远,59.49,1.06,47.42,77.29,51.09,32.72,12.74
