time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,湛江,88.53,0.94,23.74,114.94,86.48,63.91,12.57
2017-01-02,湛江,50.87,0.81,18.53,83.42,46.5,33.45,11.74
2017-01-03,湛江,72.2,0.95,28.57,103.15,67.15,48.86,12.81
2017-01-04,湛江,43.31,0.73,11.32,93.97,40.85,26.69,5.02
2017-01-05,湛江,38.17,0.78,13.51,92.72,36.34,22.71,6.55
2017-01-06,湛江,46.4,0.83,18.1,82.0,40.97,29.94,10.3
2017-01-07,湛江,50.09,0.83,12.39,94.11,44.59,33.85,5.37
2017-01-08,湛江,42.94,0.89,14.46,89.15,40.95,27.59,6.15
2017-01-09,湛江,75.91,1.41,23.61,103.3,75.63,53.98,12.33
2017-01-10,湛江,52.6,1.07,10.35,113.05,49.87,35.37,4.91
2017-01-11,湛江,51.57,0.98,10.13,106.05,47.82,35.04,5.59
2017-01-12,湛江,66.98,1.34,26.08,38.98,75.39,49.01,8.1
2017-01-13,湛江,20.2,1.34,18.34,23.43,19.42,11.08,6.1
2017-01-14,湛江,32.01,1.3,19.85,18.41,27.16,20.97,7.18
2017-01-15,湛江,31.9,1.32,18.4,16.27,26.56,21.17,7.74
2017-01-16,湛江,29.97,1.25,19.27,24.81,27.99,19.85,7.1
2017-01-17,湛江,45.41,1.06,24.38,32.62,42.59,29.92,9.28
2017-01-18,湛江,53.03,0.91,19.08,73.9,49.57,35.01,7.49
2017-01-19,湛江,54.76,0.95,22.22,70.8,53.95,37.07,9.72
2017-01-20,湛江,41.0,1.18,20.16,37.74,40.32,26.44,8.92
2017-01-21,湛江,56.68,1.1,18.33,64.97,52.8,39.4,10.75
2017-01-22,湛江,73.71,1.04,18.06,84.27,68.16,53.6,9.93
2017-01-23,湛江,76.08,0.95,21.89,115.83,73.21,55.2,12.26
2017-01-24,湛江,63.23,0.83,14.82,127.51,62.58,44.42,8.31
2017-01-25,湛江,71.85,0.87,18.24,117.88,68.01,51.44,10.88
2017-01-26,湛江,66.05,0.84,15.25,118.64,57.53,47.31,7.33
2017-01-27,湛江,57.85,0.8,11.47,113.65,55.2,39.51,6.87
2017-01-28,湛江,106.54,0.76,11.36,104.58,113.46,78.56,14.45
2017-01-29,湛江,50.99,0.73,8.88,86.61,44.14,34.89,5.87
2017-01-30,湛江,55.24,0.78,14.34,71.03,52.8,38.47,7.72
2017-01-31,湛江,56.69,1.06,12.94,59.78,54.01,40.13,7.07
2017-02-01,湛江,46.39,1.1,12.57,62.97,39.11,31.92,6.87
2017-02-02,湛江,45.17,0.99,11.41,88.0,38.75,30.66,6.85
2017-02-03,湛江,41.92,0.78,9.82,90.2,40.56,26.66,6.08
2017-02-04,湛江,33.42,0.81,14.85,73.22,31.61,21.67,6.94
2017-02-05,湛江,42.57,0.97,24.8,56.22,36.53,27.75,10.25
2017-02-06,湛江,51.02,0.89,20.11,72.29,44.69,33.84,9.26
2017-02-07,湛江,62.07,0.87,8.62,108.64,61.5,42.66,6.32
2017-02-08,湛江,43.97,0.88,10.81,75.22,46.19,29.18,6.69
2017-02-09,湛江,37.99,0.95,12.31,69.17,38.05,23.74,9.98
2017-02-10,湛江,97.31,1.08,15.62,80.76,79.52,72.55,15.34
2017-02-11,湛江,110.53,1.12,16.72,80.7,98.36,83.12,15.88
2017-02-12,湛江,108.57,0.95,20.61,109.55,103.26,81.37,19.03
2017-02-13,湛江,97.35,0.89,22.97,132.54,77.85,71.31,14.39
2017-02-14,湛江,50.84,0.69,15.44,116.22,47.43,32.67,10.43
2017-02-15,湛江,47.65,0.7,13.92,112.06,46.37,29.02,8.6
2017-02-16,湛江,45.41,0.67,11.26,103.37,44.34,26.72,6.15
2017-02-17,湛江,42.24,0.7,13.36,91.61,40.65,26.03,6.5
2017-02-18,湛江,46.28,0.72,25.29,69.85,45.79,26.57,10.23
2017-02-19,湛江,50.28,0.73,12.92,94.1,47.89,32.39,5.87
2017-02-20,湛江,56.03,0.76,10.52,87.94,54.08,38.92,4.78
2017-02-21,湛江,44.19,0.7,8.6,81.47,40.79,29.51,5.37
2017-02-22,湛江,29.58,0.65,11.44,64.76,28.94,16.22,5.06
2017-02-23,湛江,38.12,0.73,14.94,40.05,36.44,21.91,7.54
2017-02-24,湛江,37.62,0.83,15.03,42.29,34.42,24.27,7.99
2017-02-25,湛江,28.92,0.85,15.78,40.47,26.75,18.45,7.96
2017-02-26,湛江,39.54,0.77,16.77,51.72,36.17,25.5,14.7
2017-02-27,湛江,71.47,0.89,24.24,58.77,68.46,51.54,18.38
2017-02-28,湛江,72.29,0.87,20.83,86.87,67.91,51.48,16.59
2017-03-01,湛江,74.83,0.98,23.01,74.88,69.79,54.44,14.12
2017-03-02,湛江,69.23,0.84,23.86,100.87,72.51,46.94,15.99
2017-03-03,湛江,62.55,0.75,18.94,133.85,72.51,39.2,8.06
2017-03-04,湛江,55.9,0.79,10.85,115.08,58.76,35.69,6.19
2017-03-05,湛江,43.73,0.77,10.08,88.26,41.36,27.9,5.6
2017-03-06,湛江,53.69,0.88,16.34,59.99,53.72,36.66,11.76
2017-03-07,湛江,64.53,1.11,25.68,44.49,64.65,44.8,12.64
2017-03-08,湛江,40.78,1.11,22.25,19.64,40.46,28.01,13.05
2017-03-09,湛江,58.83,0.98,22.18,58.31,53.08,41.24,10.99
2017-03-10,湛江,69.47,0.9,28.51,58.46,76.26,46.32,10.15
2017-03-11,湛江,56.03,0.86,35.31,37.93,50.44,39.04,10.46
2017-03-12,湛江,43.86,0.65,13.74,68.44,43.62,27.03,5.88
2017-03-13,湛江,39.45,0.57,9.79,59.81,38.38,23.83,6.04
2017-03-14,湛江,33.08,0.65,14.94,47.85,33.09,21.01,6.06
2017-03-15,湛江,35.66,0.69,17.99,72.44,37.37,17.5,6.21
2017-03-16,湛江,44.06,0.63,13.57,97.16,40.38,28.78,5.95
2017-03-17,湛江,63.78,0.75,26.75,70.05,62.5,45.41,6.94
2017-03-18,湛江,47.76,0.62,12.16,82.57,43.88,31.74,5.23
2017-03-19,湛江,32.6,0.58,11.54,78.13,26.95,15.86,5.37
2017-03-20,湛江,35.29,0.62,10.8,62.56,32.92,20.94,5.1
2017-03-21,湛江,36.33,0.62,9.28,69.72,32.6,22.91,5.05
2017-03-22,湛江,37.36,0.61,9.35,70.92,35.71,22.65,5.2
2017-03-23,湛江,50.73,0.71,8.73,98.51,49.58,33.9,5.26
2017-03-24,湛江,42.11,0.67,8.44,90.79,40.25,26.1,5.59
2017-03-25,湛江,29.45,0.79,12.4,59.91,27.48,18.35,7.02
2017-03-26,湛江,28.28,0.8,16.26,47.1,29.27,11.74,10.63
2017-03-27,湛江,60.29,0.77,27.31,73.63,68.5,32.89,16.58
2017-03-28,湛江,65.71,0.72,14.94,112.92,74.32,43.56,9.78
2017-03-29,湛江,61.87,0.66,9.29,104.48,67.26,41.01,6.12
2017-03-30,湛江,50.53,0.65,9.15,75.25,49.02,33.03,5.73
2017-03-31,湛江,35.28,0.77,15.66,52.52,32.26,20.54,8.43
2017-04-01,湛江,37.54,0.7,12.47,107.24,34.03,19.34,9.33
2017-04-02,湛江,67.53,0.75,22.36,131.48,61.96,45.78,12.97
2017-04-03,湛江,56.67,0.63,8.41,138.11,52.38,38.58,6.82
2017-04-04,湛江,54.95,0.6,6.53,120.11,52.79,36.33,6.87
2017-04-05,湛江,51.51,0.59,7.05,109.06,48.91,33.85,5.49
2017-04-06,湛江,42.68,0.56,9.88,70.25,38.44,28.01,5.49
2017-04-07,湛江,39.05,0.55,9.49,50.1,38.03,23.21,5.53
2017-04-08,湛江,30.97,0.61,9.82,40.3,32.15,17.97,6.0
2017-04-09,湛江,40.93,0.62,16.51,42.26,42.53,20.87,8.1
2017-04-10,湛江,48.51,0.67,25.4,42.86,52.15,24.87,12.57
2017-04-11,湛江,43.92,0.69,13.28,36.39,43.56,25.9,6.23
2017-04-12,湛江,51.19,0.95,18.01,29.22,53.74,33.08,9.37
2017-04-13,湛江,38.56,0.99,15.49,53.04,36.07,25.09,11.39
2017-04-14,湛江,60.76,1.05,17.74,92.39,59.56,40.92,8.17
2017-04-15,湛江,41.59,0.82,9.49,85.04,43.57,22.67,5.52
2017-04-16,湛江,27.74,0.77,7.71,56.85,27.02,16.53,4.88
2017-04-17,湛江,37.89,0.78,15.99,55.97,40.24,20.26,9.1
2017-04-18,湛江,66.37,0.77,23.09,67.05,63.11,45.62,10.8
2017-04-19,湛江,38.45,0.71,14.59,59.19,37.47,24.07,9.33
2017-04-20,湛江,44.12,0.77,15.43,66.45,46.45,25.67,7.28
2017-04-21,湛江,49.32,0.87,16.56,64.09,51.01,29.77,7.96
2017-04-22,湛江,38.87,0.73,15.83,63.11,37.5,19.03,11.31
2017-04-23,湛江,49.81,0.84,21.72,50.17,45.69,33.23,13.45
2017-04-24,湛江,36.49,0.87,16.79,73.25,29.53,21.67,8.31
