time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,潮州,65.4,1.09,30.51,47.09,71.28,45.07,20.74
2017-01-02,潮州,67.42,1.15,27.6,64.78,70.12,47.77,16.03
2017-01-03,潮州,75.15,1.15,30.76,62.47,80.79,54.17,19.5
2017-01-04,潮州,75.29,1.03,31.64,71.17,79.71,54.18,22.07
2017-01-05,潮州,75.75,1.13,32.94,59.21,83.73,54.11,18.49
2017-01-06,潮州,89.68,1.06,29.12,70.46,84.43,66.19,15.12
2017-01-07,潮州,80.05,1.13,31.32,67.65,80.42,58.52,17.12
2017-01-08,潮州,77.54,1.18,29.03,62.01,78.86,55.69,14.86
2017-01-09,潮州,52.81,1.08,24.03,58.3,55.29,34.67,13.65
2017-01-10,潮州,66.17,1.09,23.06,87.32,65.35,47.24,14.06
2017-01-11,潮州,80.62,1.11,24.22,90.26,80.44,59.04,14.81
2017-01-12,潮州,70.03,1.12,22.18,43.12,69.97,49.6,13.08
2017-01-13,潮州,18.89,1.35,17.29,14.94,14.2,11.15,9.54
2017-01-14,潮州,25.31,1.24,17.24,19.06,25.88,14.99,10.18
2017-01-15,潮州,46.85,0.88,15.99,59.89,44.49,31.43,11.54
2017-01-16,潮州,34.9,0.79,11.61,55.21,31.71,22.22,10.0
2017-01-17,潮州,45.38,0.8,17.01,65.97,44.64,28.29,11.62
2017-01-18,潮州,65.31,0.96,29.71,37.79,65.3,46.58,14.74
2017-01-19,潮州,74.94,1.04,26.69,28.0,63.63,54.64,8.9
2017-01-20,潮州,25.88,0.96,15.72,22.33,24.33,14.65,6.92
2017-01-21,潮州,54.1,0.98,17.14,52.13,53.38,37.75,9.21
2017-01-22,潮州,58.64,0.89,16.17,72.17,60.96,39.78,8.9
2017-01-23,潮州,60.53,0.85,14.69,85.75,65.41,39.46,9.54
2017-01-24,潮州,55.92,0.77,12.19,89.35,56.44,35.04,9.29
2017-01-25,潮州,46.42,0.73,11.96,78.46,44.47,30.72,8.32
2017-01-26,潮州,49.75,0.75,11.98,61.25,45.2,33.76,7.98
2017-01-27,潮州,50.53,0.7,8.64,81.35,47.64,33.5,8.4
2017-01-28,潮州,66.49,0.73,9.51,69.97,60.72,47.63,10.02
2017-01-29,潮州,61.58,0.98,13.61,60.1,55.1,43.8,9.65
2017-01-30,潮州,45.61,0.98,11.81,38.07,39.46,31.47,6.85
2017-01-31,潮州,33.33,0.92,11.01,62.15,32.61,21.32,7.14
2017-02-01,潮州,47.89,0.91,11.06,60.06,44.46,32.76,9.44
2017-02-02,潮州,36.44,0.71,10.01,75.42,35.33,22.57,8.19
2017-02-03,潮州,43.93,0.79,11.88,69.74,41.04,29.54,9.06
2017-02-04,潮州,54.93,0.85,13.59,66.64,50.95,37.96,9.77
2017-02-05,潮州,69.0,1.04,20.97,54.6,61.86,49.86,10.28
