time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,珠海,71.62,0.83,51.66,46.35,64.6,46.53,6.78
2017-01-02,珠海,67.45,0.87,47.27,62.56,65.76,46.23,8.24
2017-01-03,珠海,75.71,0.9,54.01,49.23,74.53,49.48,9.79
2017-01-04,珠海,48.45,0.7,45.55,51.05,47.45,28.33,6.29
2017-01-05,珠海,65.47,0.91,83.28,36.66,63.51,45.7,9.18
2017-01-06,珠海,74.88,0.92,66.72,68.61,67.49,51.08,11.47
2017-01-07,珠海,48.91,0.72,46.91,52.3,47.86,31.6,9.33
2017-01-08,珠海,85.2,1.17,57.73,78.38,76.39,61.6,12.99
2017-01-09,珠海,60.52,1.47,52.51,43.52,61.94,40.83,11.47
2017-01-10,珠海,55.5,0.93,36.05,77.08,54.47,38.08,7.35
2017-01-11,珠海,74.75,0.95,51.35,64.71,75.3,53.1,8.55
2017-01-12,珠海,89.11,1.33,52.44,22.21,84.89,62.98,8.85
2017-01-13,珠海,33.84,1.28,42.38,23.19,31.84,20.47,2.9
2017-01-14,珠海,34.74,1.16,45.73,23.72,30.77,22.92,3.08
2017-01-15,珠海,42.07,1.23,43.01,19.98,39.58,26.46,3.71
2017-01-16,珠海,48.22,1.23,48.47,22.56,44.05,32.47,4.0
2017-01-17,珠海,64.11,1.18,61.36,25.55,61.91,43.99,6.97
2017-01-18,珠海,68.28,1.26,70.12,25.27,66.4,47.45,7.57
2017-01-19,珠海,77.38,1.29,69.88,27.02,78.05,55.04,7.23
2017-01-20,珠海,39.43,0.96,28.76,50.8,38.73,19.63,4.48
2017-01-21,珠海,67.03,0.91,26.23,78.05,64.7,48.22,7.19
2017-01-22,珠海,68.62,0.88,31.99,79.36,68.95,48.88,8.89
2017-01-23,珠海,71.31,0.93,39.7,71.86,70.84,50.15,7.52
2017-01-24,珠海,59.06,0.75,24.55,94.15,63.23,36.83,6.74
2017-01-25,珠海,51.31,0.6,20.02,88.7,49.39,31.22,6.24
2017-01-26,珠海,57.3,0.68,20.49,69.04,52.51,38.57,5.16
2017-01-27,珠海,54.67,0.67,14.23,90.71,43.81,37.35,4.41
2017-01-28,珠海,68.32,0.6,21.48,64.16,70.0,43.0,7.88
2017-01-29,珠海,64.78,0.65,22.22,42.8,61.09,44.58,3.37
2017-01-30,珠海,58.0,0.8,20.66,49.84,46.51,40.05,3.44
2017-01-31,珠海,42.41,0.99,12.83,44.86,36.16,28.23,2.84
2017-02-01,珠海,41.76,1.03,20.16,56.1,37.08,26.99,5.38
2017-02-02,珠海,39.77,0.71,18.45,51.97,36.84,23.98,4.57
2017-02-03,珠海,40.83,0.62,15.52,73.65,37.73,25.42,4.09
2017-02-04,珠海,41.11,0.62,30.68,54.51,37.48,25.85,5.74
2017-02-05,珠海,57.93,0.85,28.12,56.31,53.14,40.36,3.91
2017-02-06,珠海,42.44,0.63,26.24,62.93,39.84,26.61,5.68
2017-02-07,珠海,58.83,0.68,26.86,86.07,58.61,39.63,5.24
2017-02-08,珠海,45.75,0.63,32.95,56.85,43.31,26.07,5.07
2017-02-09,珠海,33.11,0.78,16.98,58.88,27.83,21.14,5.03
2017-02-10,珠海,83.11,0.83,20.74,79.55,72.34,61.21,12.35
2017-02-11,珠海,80.36,0.76,24.47,83.92,71.83,58.98,10.07
2017-02-12,珠海,87.43,0.83,41.56,78.45,78.48,64.49,12.0
2017-02-13,珠海,69.27,0.71,40.94,85.09,64.22,47.4,8.81
2017-02-14,珠海,47.28,0.58,40.25,76.52,45.14,26.75,6.99
2017-02-15,珠海,41.02,0.54,37.11,79.53,38.87,23.83,7.55
2017-02-16,珠海,45.64,0.6,39.69,66.29,38.6,28.99,8.36
2017-02-17,珠海,54.64,0.66,48.0,62.14,45.56,35.04,9.28
2017-02-18,珠海,52.79,0.67,46.88,63.89,47.19,34.58,9.39
2017-02-19,珠海,54.36,0.63,37.01,73.94,50.08,37.77,5.88
2017-02-20,珠海,63.24,0.74,55.65,40.92,49.92,43.5,9.77
2017-02-21,珠海,42.52,0.63,42.92,46.47,42.12,23.94,5.03
2017-02-22,珠海,29.18,0.64,48.36,39.77,24.17,16.48,6.16
2017-02-23,珠海,50.09,0.86,43.08,20.65,43.9,33.36,5.15
2017-02-24,珠海,45.77,0.86,35.28,33.07,35.07,31.59,3.64
2017-02-25,珠海,36.41,0.85,39.41,29.81,27.41,24.91,3.4
2017-02-26,珠海,48.14,0.83,36.05,49.5,40.84,33.15,6.91
2017-02-27,珠海,59.67,0.84,53.91,54.97,53.88,39.05,11.0
2017-02-28,珠海,57.08,0.6,46.83,79.17,50.57,37.89,9.24
