time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,肇庆,98.47,1.06,58.28,54.25,101.59,73.34,18.92
2017-01-02,肇庆,106.57,1.18,58.43,64.55,108.14,77.59,15.54
2017-01-03,肇庆,85.78,1.1,55.31,64.21,92.2,62.68,12.07
2017-01-04,肇庆,168.82,1.32,72.67,53.28,158.22,129.41,14.37
2017-01-05,肇庆,179.98,1.38,63.31,72.27,174.86,138.82,12.75
2017-01-06,肇庆,174.81,1.51,67.89,85.59,160.91,134.86,13.12
2017-01-07,肇庆,133.86,1.3,63.07,47.63,131.2,101.05,13.72
2017-01-08,肇庆,96.38,1.51,37.04,50.23,85.43,71.57,12.18
2017-01-09,肇庆,53.29,1.69,31.0,61.33,51.26,36.76,9.24
2017-01-10,肇庆,102.9,1.54,62.78,40.22,105.77,76.97,18.19
2017-01-11,肇庆,102.45,1.46,37.96,35.0,91.44,76.62,14.57
2017-01-12,肇庆,40.18,1.43,21.64,22.49,39.41,27.94,7.96
2017-01-13,肇庆,16.88,1.39,22.6,20.83,12.09,9.18,6.5
2017-01-14,肇庆,26.7,1.29,20.77,31.88,23.25,17.94,6.79
2017-01-15,肇庆,32.5,1.21,20.14,26.89,26.82,21.75,7.14
2017-01-16,肇庆,49.67,1.24,22.73,31.01,38.2,34.74,7.24
2017-01-17,肇庆,38.6,1.24,27.06,21.78,28.21,26.78,6.95
2017-01-18,肇庆,54.65,1.3,30.25,18.57,53.97,37.6,8.16
2017-01-19,肇庆,53.45,1.28,26.18,10.07,51.9,36.44,7.03
2017-01-20,肇庆,33.86,1.07,15.56,42.2,30.14,21.27,6.11
2017-01-21,肇庆,71.79,1.01,16.96,75.24,63.74,52.05,8.79
2017-01-22,肇庆,73.19,0.96,21.83,77.88,70.02,52.88,9.05
2017-01-23,肇庆,71.18,1.0,27.99,74.95,68.69,50.49,10.0
2017-01-24,肇庆,84.8,1.14,33.0,69.98,80.71,62.29,11.8
2017-01-25,肇庆,91.28,1.24,27.56,80.46,87.3,67.66,10.19
2017-01-26,肇庆,93.52,1.22,21.03,85.96,87.89,69.55,10.36
2017-01-27,肇庆,89.54,1.12,18.6,85.48,75.59,65.73,9.46
2017-01-28,肇庆,131.52,0.99,15.54,80.53,125.5,99.41,21.89
2017-01-29,肇庆,61.64,0.89,14.37,46.33,49.7,44.28,9.18
2017-01-30,肇庆,50.26,1.08,11.08,44.98,41.79,35.14,6.52
2017-01-31,肇庆,61.31,1.31,10.48,42.86,50.64,43.94,6.01
2017-02-01,肇庆,55.22,1.27,13.17,49.91,45.75,38.93,8.29
2017-02-02,肇庆,56.84,1.06,12.52,58.0,48.36,40.06,8.14
2017-02-03,肇庆,68.11,1.09,22.07,42.42,54.55,49.49,9.31
2017-02-04,肇庆,66.53,1.13,29.59,32.03,58.59,48.09,7.97
2017-02-05,肇庆,36.01,0.95,16.53,39.26,30.07,24.05,6.28
2017-02-06,肇庆,60.34,1.13,34.12,30.06,51.63,43.25,8.76
2017-02-07,肇庆,67.71,1.0,32.28,62.93,69.63,47.26,10.99
2017-02-08,肇庆,62.06,1.1,34.83,36.07,68.6,44.16,10.95
2017-02-09,肇庆,49.29,0.89,13.49,79.62,42.76,33.5,9.75
2017-02-10,肇庆,92.22,1.02,16.26,86.67,76.26,68.48,15.33
2017-02-11,肇庆,72.12,0.94,20.31,82.14,62.52,52.25,13.9
2017-02-12,肇庆,70.66,0.96,31.08,73.62,63.78,51.18,12.88
2017-02-13,肇庆,71.74,0.99,40.39,71.76,69.36,51.47,14.5
2017-02-14,肇庆,109.32,1.18,60.05,88.61,103.05,81.26,20.72
2017-02-15,肇庆,96.48,1.17,61.38,76.47,95.83,70.51,22.02
2017-02-16,肇庆,68.27,1.05,43.8,67.46,70.01,46.94,19.99
2017-02-17,肇庆,69.23,1.01,42.29,68.78,73.29,48.26,21.76
2017-02-18,肇庆,95.58,1.09,55.06,94.38,94.39,66.61,17.5
2017-02-19,肇庆,80.42,0.99,33.55,78.21,82.84,58.55,14.67
2017-02-20,肇庆,96.03,1.09,40.36,58.42,91.37,71.29,16.06
2017-02-21,肇庆,67.25,0.97,34.05,32.7,68.37,46.99,15.51
2017-02-22,肇庆,75.95,0.96,45.19,22.21,71.72,55.04,17.24
2017-02-23,肇庆,34.05,0.88,20.82,31.96,31.81,21.49,8.24
2017-02-24,肇庆,29.35,0.97,19.85,35.54,25.29,19.2,7.58
2017-02-25,肇庆,25.31,0.9,22.43,36.43,20.41,16.61,7.15
2017-02-26,肇庆,42.43,0.92,25.26,56.26,41.71,29.36,10.88
2017-02-27,肇庆,69.47,1.07,43.6,59.95,67.16,48.77,21.36
2017-02-28,肇庆,97.22,1.15,57.25,38.63,92.85,72.7,25.22
2017-03-01,肇庆,77.99,0.9,33.21,44.42,66.78,56.61,14.46
