time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,茂名,103.91,1.06,33.89,90.51,123.36,75.51,20.88
2017-01-02,茂名,72.33,0.94,26.43,71.22,82.56,47.27,15.6
2017-01-03,茂名,85.76,0.92,28.9,87.66,100.91,59.9,16.92
2017-01-04,茂名,67.9,0.82,24.57,83.85,79.48,44.76,11.11
2017-01-05,茂名,62.66,0.84,25.96,70.34,73.32,39.54,13.0
2017-01-06,茂名,63.01,0.84,24.45,61.99,67.77,39.18,14.14
2017-01-07,茂名,54.93,0.8,23.71,64.5,59.68,32.74,9.84
2017-01-08,茂名,62.19,0.89,22.85,75.98,71.73,40.44,13.17
2017-01-09,茂名,101.37,1.42,27.55,78.82,111.43,75.15,19.11
2017-01-10,茂名,71.99,0.97,19.2,89.91,77.0,49.38,9.68
2017-01-11,茂名,64.98,0.9,16.65,95.43,72.66,43.67,10.08
2017-01-12,茂名,88.96,1.29,24.52,34.48,93.21,63.24,13.03
2017-01-13,茂名,25.65,1.29,16.74,18.77,23.51,14.72,12.74
2017-01-14,茂名,41.52,1.35,17.93,17.23,36.68,26.72,12.31
2017-01-15,茂名,30.86,1.24,17.63,13.95,26.83,20.2,12.17
2017-01-16,茂名,26.82,1.09,15.14,27.92,25.0,15.74,7.86
2017-01-17,茂名,48.6,0.89,19.52,38.01,50.76,29.31,9.07
2017-01-18,茂名,54.58,0.9,22.23,47.92,58.56,32.35,11.44
2017-01-19,茂名,78.3,1.09,28.0,48.69,86.04,55.46,16.35
2017-01-20,茂名,42.88,1.06,15.42,41.3,43.08,25.29,11.14
2017-01-21,茂名,59.34,0.96,16.25,67.71,59.22,41.11,10.3
2017-01-22,茂名,93.08,1.04,26.04,77.91,96.36,68.34,18.68
2017-01-23,茂名,85.59,0.96,25.1,102.05,94.51,62.33,13.07
2017-01-24,茂名,85.78,0.95,23.7,110.71,98.85,61.4,11.64
2017-01-25,茂名,95.62,0.99,24.69,106.72,102.74,69.81,11.56
2017-01-26,茂名,83.1,0.96,20.69,84.03,88.79,60.16,8.94
2017-01-27,茂名,85.88,0.87,13.98,103.99,85.66,62.46,8.35
2017-01-28,茂名,128.63,0.79,11.04,89.52,126.84,95.25,17.38
2017-01-29,茂名,62.78,0.72,9.83,72.97,58.93,43.55,8.21
2017-01-30,茂名,78.1,0.86,13.16,51.62,74.58,55.16,6.77
2017-01-31,茂名,55.8,0.97,9.38,52.93,51.76,38.47,5.79
2017-02-01,茂名,53.04,1.08,13.72,46.61,48.22,36.26,5.8
2017-02-02,茂名,59.27,0.96,13.61,75.66,54.9,40.0,6.59
2017-02-03,茂名,54.31,0.71,11.85,75.23,52.75,34.83,5.32
2017-02-04,茂名,46.4,0.78,15.86,54.23,47.1,30.3,6.57
2017-02-05,茂名,41.71,0.75,15.52,56.7,37.11,26.33,7.82
2017-02-06,茂名,53.5,0.76,16.56,60.98,53.89,33.8,7.1
2017-02-07,茂名,62.86,0.8,11.4,83.61,63.31,44.23,6.97
2017-02-08,茂名,44.62,0.87,11.09,59.84,41.59,29.46,7.15
2017-02-09,茂名,41.51,0.89,7.25,67.58,36.44,28.7,9.33
