time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,阳江,100.55,1.05,42.22,93.53,101.5,74.55,21.27
2017-01-02,阳江,85.6,1.29,34.72,84.25,88.02,62.65,11.83
2017-01-03,阳江,83.53,1.28,33.12,85.93,88.19,58.61,11.76
2017-01-04,阳江,63.08,0.97,27.04,71.19,67.2,43.29,7.67
2017-01-05,阳江,58.72,0.84,26.49,76.64,59.61,38.69,9.33
2017-01-06,阳江,75.68,1.14,31.51,82.92,75.25,53.29,9.33
2017-01-07,阳江,60.1,0.84,20.13,74.29,58.85,40.62,6.9
2017-01-08,阳江,85.5,0.98,26.06,117.28,82.77,58.99,11.74
2017-01-09,阳江,75.07,1.45,26.32,87.58,73.38,53.12,9.96
2017-01-10,阳江,78.94,1.09,22.38,83.18,76.88,57.46,9.54
2017-01-11,阳江,86.15,1.03,25.86,85.31,83.71,63.28,10.82
2017-01-12,阳江,80.81,1.37,33.9,18.01,85.62,59.06,8.9
2017-01-13,阳江,22.49,1.3,18.12,14.32,19.48,14.39,4.76
2017-01-14,阳江,25.79,1.21,20.38,21.79,21.34,17.47,3.47
2017-01-15,阳江,31.61,1.14,18.03,25.89,26.88,21.07,3.79
2017-01-16,阳江,34.66,1.19,18.37,28.25,26.51,23.78,3.7
2017-01-17,阳江,64.01,1.17,33.07,20.62,57.84,45.68,5.64
2017-01-18,阳江,65.14,1.26,35.58,35.74,64.67,45.51,8.74
2017-01-19,阳江,78.22,1.28,43.6,42.88,69.82,56.9,9.49
2017-01-20,阳江,39.58,1.17,16.75,43.24,38.45,25.35,5.06
2017-01-21,阳江,66.21,1.1,18.19,86.42,62.83,47.71,6.78
2017-01-22,阳江,73.59,1.09,22.74,77.14,70.32,53.04,10.8
2017-01-23,阳江,76.83,1.13,24.33,105.24,76.29,55.12,8.96
2017-01-24,阳江,80.43,1.14,18.99,117.24,80.97,58.68,9.14
2017-01-25,阳江,78.94,1.09,18.67,107.81,77.01,57.24,8.94
2017-01-26,阳江,81.2,1.05,18.29,89.84,79.32,59.59,8.25
2017-01-27,阳江,63.89,0.82,6.71,117.62,57.49,45.28,5.96
2017-01-28,阳江,71.73,0.73,4.52,92.05,75.49,51.74,7.88
2017-01-29,阳江,43.62,0.68,2.43,73.07,37.91,29.86,3.97
2017-01-30,阳江,42.53,0.75,3.5,58.3,36.28,28.7,3.83
2017-01-31,阳江,54.5,1.1,4.44,52.6,42.7,38.33,3.93
2017-02-01,阳江,45.49,1.11,6.83,61.51,36.27,31.07,5.11
2017-02-02,阳江,52.67,1.0,7.31,67.54,43.48,36.68,5.79
2017-02-03,阳江,52.58,0.86,8.93,83.15,45.8,36.01,5.07
2017-02-04,阳江,60.88,0.99,16.91,62.74,59.53,43.42,5.97
2017-02-05,阳江,38.04,0.98,23.49,48.58,31.15,25.6,9.32
2017-02-06,阳江,43.76,0.91,16.57,67.36,37.27,29.51,6.5
2017-02-07,阳江,65.62,0.99,13.54,94.41,63.96,46.86,5.93
2017-02-08,阳江,53.83,1.02,20.07,59.29,50.77,37.94,5.54
2017-02-09,阳江,36.32,1.01,10.81,74.0,40.68,22.62,6.14
2017-02-10,阳江,89.38,1.16,16.9,91.6,76.01,66.25,15.76
2017-02-11,阳江,70.07,0.99,13.75,98.1,60.45,50.75,12.18
2017-02-12,阳江,81.46,1.13,31.65,100.72,74.53,59.81,12.58
2017-02-13,阳江,88.08,1.28,40.43,104.14,85.89,63.78,13.49
2017-02-14,阳江,59.99,1.03,31.08,98.08,58.49,39.99,9.08
2017-02-15,阳江,53.89,0.89,21.54,98.68,55.59,34.29,8.36
2017-02-16,阳江,53.1,0.93,25.19,77.33,51.77,34.75,5.94
2017-02-17,阳江,52.25,0.95,25.35,78.28,51.3,32.57,6.42
2017-02-18,阳江,54.22,0.94,28.89,79.58,52.42,32.69,7.57
2017-02-19,阳江,54.46,0.82,17.65,85.15,51.69,36.18,5.94
2017-02-20,阳江,55.14,0.91,14.39,74.49,51.95,38.03,6.17
2017-02-21,阳江,44.31,0.9,17.57,59.56,44.22,27.56,5.61
2017-02-22,阳江,37.21,0.94,17.22,55.72,37.47,21.32,5.01
2017-02-23,阳江,34.49,0.87,21.88,21.77,31.79,20.19,2.97
2017-02-24,阳江,25.53,0.93,20.61,22.31,23.29,15.92,2.06
2017-02-25,阳江,27.22,0.82,20.08,28.78,23.75,17.76,1.83
2017-02-26,阳江,37.0,0.82,20.53,47.17,36.32,24.86,3.89
2017-02-27,阳江,67.57,1.1,35.63,57.75,62.51,48.38,10.48
2017-02-28,阳江,64.89,0.92,27.57,115.4,67.37,45.6,9.34
2017-03-01,阳江,113.01,1.23,41.9,60.41,105.76,84.87,16.46
2017-03-02,阳江,68.93,0.99,26.26,101.96,80.1,42.29,7.77
2017-03-03,阳江,78.47,0.96,37.16,95.33,96.7,52.9,7.16
2017-03-04,阳江,62.21,0.82,15.06,103.14,60.7,42.85,5.18
2017-03-05,阳江,56.15,0.86,12.83,83.31,60.9,35.11,3.79
2017-03-06,阳江,57.61,1.21,31.61,31.45,61.49,36.54,8.35
2017-03-07,阳江,63.75,1.13,37.38,39.38,71.16,43.68,13.18
2017-03-08,阳江,40.35,1.1,27.72,47.23,37.48,27.86,4.38
2017-03-09,阳江,85.89,1.2,44.6,28.42,73.15,63.4,7.71
2017-03-10,阳江,85.52,1.7,39.22,36.38,103.69,57.57,6.9
2017-03-11,阳江,54.72,1.48,64.36,6.64,47.98,38.57,9.28
2017-03-12,阳江,52.64,1.28,37.0,56.34,46.34,35.82,5.36
2017-03-13,阳江,43.91,0.96,5.06,80.13,36.24,28.65,2.36
2017-03-14,阳江,40.17,1.13,25.03,32.2,34.58,26.04,3.82
2017-03-15,阳江,56.55,1.01,38.91,30.5,62.19,31.42,10.32
2017-03-16,阳江,85.57,0.98,54.15,40.96,97.07,63.11,14.71
2017-03-17,阳江,98.93,1.22,75.57,17.66,107.94,73.81,14.17
2017-03-18,阳江,70.21,0.97,40.36,32.43,71.97,49.31,8.25
2017-03-19,阳江,34.57,1.0,38.44,41.19,32.33,22.79,6.51
2017-03-20,阳江,42.58,0.92,16.25,60.81,38.55,25.24,3.64
2017-03-21,阳江,42.43,0.92,16.83,59.76,40.49,25.82,3.28
2017-03-22,阳江,41.9,0.92,10.14,73.81,40.39,26.07,3.31
2017-03-23,阳江,56.39,0.89,15.32,77.64,53.87,38.89,4.24
2017-03-24,阳江,45.68,0.85,14.65,82.08,42.54,28.64,4.93
2017-03-25,阳江,40.86,0.98,21.61,49.32,42.17,24.96,4.92
2017-03-26,阳江,44.24,0.8,20.69,67.61,51.07,14.26,6.76
2017-03-27,阳江,63.12,0.92,32.59,80.74,74.4,39.07,15.59
2017-03-28,阳江,69.83,0.91,17.03,113.21,79.75,46.18,8.47
2017-03-29,阳江,67.33,0.95,10.69,97.68,73.93,45.68,6.22
2017-03-30,阳江,56.17,0.93,9.22,69.82,59.78,36.61,4.38
2017-03-31,阳江,43.62,0.7,2.57,57.86,43.14,26.67,2.86
2017-04-01,阳江,52.14,0.93,16.94,137.96,42.1,23.57,9.76
2017-04-02,阳江,77.89,1.0,33.82,114.31,65.32,52.68,13.79
2017-04-03,阳江,69.13,0.87,17.1,131.42,57.81,49.46,7.32
2017-04-04,阳江,55.46,0.8,6.64,122.32,51.84,37.23,6.14
2017-04-05,阳江,53.14,0.85,7.92,100.56,51.21,35.28,5.76
2017-04-06,阳江,46.19,1.06,21.65,46.39,43.1,30.51,5.23
