time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,北海,145.17,1.66,29.46,105.42,104.33,109.5,16.35
2017-01-01,南宁,145.79,1.52,94.02,19.25,178.8,107.86,20.11
2017-01-01,崇左,140.55,1.23,45.47,54.97,133.75,106.29,18.13
2017-01-01,来宾,229.53,1.81,64.47,41.92,223.14,180.45,33.39
2017-01-01,柳州,157.87,1.52,69.42,36.74,177.67,119.82,29.72
2017-01-01,桂林,137.07,1.21,48.13,72.24,137.36,104.22,48.08
2017-01-01,梧州,103.96,1.93,46.45,35.17,119.03,77.58,16.51
2017-01-01,河池,141.39,1.22,51.3,36.84,136.24,107.04,22.0
2017-01-01,玉林,104.04,1.42,49.0,53.78,110.71,77.78,20.36
2017-01-01,百色,155.63,1.42,46.18,27.58,159.43,118.16,57.13
2017-01-01,贵港,138.37,1.42,62.06,45.37,158.45,101.74,32.15
2017-01-01,贺州,125.44,1.66,34.36,45.11,165.92,94.67,15.89
2017-01-01,钦州,144.58,1.56,43.6,67.07,147.75,109.89,28.11
2017-01-01,防城港,117.04,1.58,27.84,57.92,112.78,88.24,23.45
2017-01-02,北海,65.97,1.3,21.46,83.97,59.02,47.38,11.46
2017-01-02,南宁,144.5,1.41,66.57,57.08,151.95,107.3,16.93
2017-01-02,崇左,111.35,1.22,29.0,68.35,102.38,83.78,9.93
2017-01-02,来宾,228.44,1.88,37.76,83.21,197.85,180.74,25.26
2017-01-02,柳州,185.87,1.65,41.27,48.1,173.07,142.83,36.18
2017-01-02,桂林,165.84,1.36,43.44,49.2,158.26,126.64,27.77
2017-01-02,梧州,106.86,1.76,51.65,54.31,125.32,78.26,13.36
2017-01-02,河池,126.81,1.15,33.69,39.92,106.26,95.92,16.86
2017-01-02,玉林,128.58,1.57,39.42,74.63,132.08,97.0,33.08
2017-01-02,百色,141.05,1.18,26.08,27.05,103.23,106.29,30.79
2017-01-02,贵港,141.26,1.36,46.81,83.86,148.51,107.21,31.62
2017-01-02,贺州,133.68,1.51,31.87,62.5,172.07,101.38,18.15
2017-01-02,钦州,148.92,1.67,46.12,66.98,151.67,112.97,24.68
2017-01-02,防城港,97.22,1.34,26.65,56.02,92.4,72.37,18.92
2017-01-03,北海,91.55,1.33,26.35,103.0,84.89,67.28,12.72
2017-01-03,南宁,141.46,1.54,66.08,43.49,157.3,106.94,17.15
2017-01-03,崇左,127.04,1.31,41.35,52.42,128.94,96.12,13.21
2017-01-03,来宾,164.98,1.81,35.44,67.1,145.07,128.73,20.38
2017-01-03,柳州,129.24,1.44,30.67,51.41,122.47,99.1,33.54
