time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,北海,145.17,1.66,29.46,105.42,104.33,109.5,16.35
2017-01-02,北海,65.97,1.3,21.46,83.97,59.02,47.38,11.46
2017-01-03,北海,91.55,1.33,26.35,103.0,84.89,67.28,12.72
2017-01-04,北海,68.84,1.04,17.28,112.03,61.88,47.84,10.85
2017-01-05,北海,60.45,1.01,19.9,98.9,56.73,40.84,10.26
2017-01-06,北海,62.78,1.07,17.51,94.76,53.84,44.26,10.58
2017-01-07,北海,77.15,1.09,20.8,75.08,70.61,56.07,9.86
2017-01-08,北海,75.21,1.32,21.0,69.2,66.47,54.42,8.92
2017-01-09,北海,87.63,1.78,20.23,99.14,80.29,64.17,12.17
2017-01-10,北海,62.1,1.24,13.29,125.23,58.86,43.34,7.45
2017-01-11,北海,55.86,1.4,14.47,95.59,50.94,37.18,9.0
2017-01-12,北海,22.23,1.61,13.68,44.24,14.21,10.78,6.68
2017-01-13,北海,26.36,1.51,10.81,59.89,20.76,13.73,6.57
2017-01-14,北海,43.65,1.43,14.42,46.27,36.26,29.47,7.67
2017-01-15,北海,37.75,1.49,15.19,40.78,30.49,25.41,7.2
2017-01-16,北海,49.53,1.56,14.95,40.23,37.91,34.49,6.15
2017-01-17,北海,29.08,1.62,15.31,36.75,23.91,18.57,6.01
2017-01-18,北海,35.51,1.7,17.47,30.91,33.31,21.25,6.56
2017-01-19,北海,48.82,1.46,16.55,27.23,45.73,32.24,6.97
2017-01-20,北海,48.08,1.15,13.57,54.88,44.61,33.1,7.98
2017-01-21,北海,73.6,1.14,12.12,76.71,66.0,53.5,7.64
2017-01-22,北海,98.14,1.18,16.74,92.81,87.55,73.15,9.0
2017-01-23,北海,96.74,1.22,18.91,105.11,91.08,71.92,9.14
2017-01-24,北海,121.58,1.27,21.51,118.15,99.03,92.02,10.09
2017-01-25,北海,103.47,1.27,18.64,109.99,88.1,77.19,8.54
2017-01-26,北海,86.46,1.12,14.54,103.72,73.84,63.76,7.78
2017-01-27,北海,91.26,1.16,12.34,129.6,77.81,66.43,9.34
2017-01-28,北海,133.44,1.05,10.78,105.72,126.71,103.12,13.16
2017-01-29,北海,54.41,0.98,9.83,91.02,50.89,34.6,7.55
2017-01-30,北海,81.97,1.21,14.4,88.95,75.88,59.65,7.89
2017-01-31,北海,85.16,1.4,12.7,84.09,74.94,62.51,7.85
2017-02-01,北海,57.38,1.46,13.16,77.49,48.69,40.43,8.44
2017-02-02,北海,109.75,1.66,15.36,85.96,91.9,82.1,8.42
2017-02-03,北海,51.54,1.21,12.49,92.4,48.41,34.6,7.31
2017-02-04,北海,40.26,1.29,11.53,80.49,31.11,24.63,6.89
2017-02-05,北海,51.31,1.57,11.89,68.17,40.09,35.33,7.54
2017-02-06,北海,52.16,1.38,12.28,76.04,47.64,35.8,7.48
2017-02-07,北海,65.36,1.32,10.35,113.26,65.71,44.44,6.61
2017-02-08,北海,43.45,1.46,11.2,73.93,45.17,28.03,6.96
2017-02-09,北海,56.2,1.38,9.84,86.42,50.77,40.0,10.42
2017-02-10,北海,97.21,1.46,11.64,90.84,81.27,72.46,12.93
2017-02-11,北海,104.27,1.43,11.94,99.52,89.84,78.08,14.85
2017-02-12,北海,83.07,1.34,13.28,106.02,76.83,65.2,11.34
2017-02-13,北海,107.91,1.52,19.4,121.24,97.39,79.96,15.55
2017-02-14,北海,76.53,1.36,14.61,120.49,68.05,53.59,11.91
2017-02-15,北海,61.62,1.21,14.26,108.51,58.79,41.32,11.67
