time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,南宁,145.79,1.52,94.02,19.25,178.8,107.86,20.11
2017-01-02,南宁,144.5,1.41,66.57,57.08,151.95,107.3,16.93
2017-01-03,南宁,141.46,1.54,66.08,43.49,157.3,106.94,17.15
2017-01-04,南宁,107.53,1.24,62.65,37.68,118.96,77.05,15.89
2017-01-05,南宁,80.9,1.13,59.47,33.05,99.95,55.98,18.41
2017-01-06,南宁,81.66,1.04,51.46,27.75,93.79,57.82,15.07
2017-01-07,南宁,67.47,0.97,44.77,35.04,78.97,44.97,13.28
2017-01-08,南宁,69.65,1.56,35.88,34.3,72.89,47.85,12.65
2017-01-09,南宁,64.92,1.64,36.36,33.49,70.54,44.47,14.22
2017-01-10,南宁,98.85,1.51,53.76,28.77,98.49,73.65,14.27
2017-01-11,南宁,33.19,1.5,29.41,19.93,38.57,22.51,9.48
2017-01-12,南宁,15.13,1.22,22.9,29.7,9.38,6.06,9.54
2017-01-13,南宁,24.52,1.06,24.57,35.18,25.03,13.71,10.19
2017-01-14,南宁,47.14,1.09,28.32,26.93,44.49,31.7,10.68
2017-01-15,南宁,43.31,1.2,30.56,24.03,39.49,29.66,10.36
2017-01-16,南宁,63.25,1.28,35.98,22.26,57.13,45.06,11.09
2017-01-17,南宁,34.57,1.39,31.07,15.36,28.03,23.83,9.78
2017-01-18,南宁,37.5,1.51,34.66,10.33,34.09,25.22,10.05
2017-01-19,南宁,33.17,1.47,27.74,10.36,29.5,21.71,10.19
2017-01-20,南宁,45.32,1.1,23.72,39.49,42.54,29.53,11.62
2017-01-21,南宁,84.9,1.14,26.66,49.09,81.87,62.56,13.56
2017-01-22,南宁,86.09,1.14,42.06,47.5,89.93,63.09,14.02
2017-01-23,南宁,91.23,1.22,45.87,53.82,100.55,67.24,15.36
2017-01-24,南宁,106.98,1.28,48.9,56.1,106.96,80.21,14.87
2017-01-25,南宁,118.07,1.35,41.27,66.99,112.73,88.99,16.06
2017-01-26,南宁,106.14,1.32,27.69,79.08,101.29,79.64,17.92
2017-01-27,南宁,95.3,1.07,18.59,88.54,93.87,70.66,13.29
2017-01-28,南宁,152.59,0.92,16.13,72.58,174.12,119.97,18.03
2017-01-29,南宁,60.08,0.77,14.05,66.36,50.1,42.75,12.17
2017-01-30,南宁,89.18,1.02,18.71,57.92,82.51,66.06,12.83
2017-01-31,南宁,98.16,1.29,19.57,71.17,91.54,73.23,15.19
2017-02-01,南宁,94.52,1.41,19.08,45.83,84.03,70.3,12.45
2017-02-02,南宁,94.9,1.5,19.52,38.65,87.78,70.61,12.36
