time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,崇左,140.55,1.23,45.47,54.97,133.75,106.29,18.13
2017-01-02,崇左,111.35,1.22,29.0,68.35,102.38,83.78,9.93
2017-01-03,崇左,127.04,1.31,41.35,52.42,128.94,96.12,13.21
2017-01-04,崇左,109.46,1.18,37.46,57.75,110.3,80.77,15.4
2017-01-05,崇左,75.6,1.05,33.5,36.27,79.26,56.85,11.12
2017-01-06,崇左,85.94,1.11,27.75,44.9,90.37,63.27,14.54
2017-01-07,崇左,73.13,0.98,27.41,46.02,76.7,51.61,11.65
2017-01-08,崇左,80.27,1.11,23.67,57.65,80.46,58.79,11.12
2017-01-09,崇左,88.07,1.92,22.57,51.46,88.0,65.15,9.46
2017-01-10,崇左,113.37,1.8,30.49,35.21,109.65,85.44,9.16
2017-01-11,崇左,21.35,1.48,16.79,38.88,15.19,12.27,6.5
2017-01-12,崇左,14.19,1.27,11.06,40.02,5.81,3.62,6.56
2017-01-13,崇左,21.12,1.07,11.56,43.15,19.03,10.42,6.96
2017-01-14,崇左,29.42,0.95,12.08,37.29,25.31,19.92,6.5
2017-01-15,崇左,24.9,0.97,13.33,33.88,21.91,17.0,6.5
2017-01-16,崇左,43.35,1.07,16.92,34.54,35.27,29.9,6.54
2017-01-17,崇左,23.79,1.18,16.26,31.71,16.1,15.0,6.5
2017-01-18,崇左,27.69,1.22,16.67,28.17,25.92,18.65,6.56
2017-01-19,崇左,28.56,1.3,18.75,18.62,24.91,19.19,7.48
2017-01-20,崇左,28.54,1.01,13.08,49.38,27.63,17.94,7.04
2017-01-21,崇左,67.75,1.1,17.44,58.73,60.81,48.85,8.94
2017-01-22,崇左,76.73,1.14,24.04,62.29,73.16,55.79,9.29
2017-01-23,崇左,97.46,1.29,32.44,68.48,100.36,71.44,11.54
2017-01-24,崇左,106.48,1.29,27.29,68.31,98.82,79.79,9.83
2017-01-25,崇左,127.77,1.35,27.31,93.21,114.0,96.73,12.29
2017-01-26,崇左,113.53,1.34,23.29,89.53,112.84,85.53,13.56
2017-01-27,崇左,86.83,1.14,14.9,90.4,80.28,64.17,9.44
2017-01-28,崇左,148.5,1.0,12.1,72.72,170.03,112.92,32.08
2017-01-29,崇左,40.85,0.79,8.96,70.8,36.73,27.0,9.3
2017-01-30,崇左,72.31,1.01,12.27,66.35,60.5,52.54,9.02
2017-01-31,崇左,113.58,1.39,15.73,88.15,107.05,85.19,12.42
2017-02-01,崇左,120.5,1.56,19.67,58.25,99.33,90.65,9.29
2017-02-02,崇左,114.73,1.54,17.23,60.44,102.94,86.48,9.69
2017-02-03,崇左,120.4,1.47,23.98,51.71,115.66,90.35,10.17
2017-02-04,崇左,47.63,1.07,15.15,46.72,43.07,32.48,7.7
2017-02-05,崇左,39.21,1.12,15.02,51.02,35.97,23.6,7.36
2017-02-06,崇左,47.54,1.03,12.89,67.83,41.23,32.46,7.28
2017-02-07,崇左,47.28,0.9,20.17,58.65,47.93,29.85,8.39
2017-02-08,崇左,45.27,1.12,18.57,40.52,42.23,28.23,8.09
2017-02-09,崇左,36.29,1.16,12.06,62.52,34.63,19.67,8.46
2017-02-10,崇左,75.56,1.07,14.5,72.9,64.59,55.12,11.48
2017-02-11,崇左,83.71,0.94,16.0,80.35,72.86,61.62,13.96
2017-02-12,崇左,83.06,0.91,22.79,86.38,77.19,60.9,15.69
2017-02-13,崇左,110.56,1.05,39.06,65.81,107.98,83.0,15.35
2017-02-14,崇左,120.38,1.2,42.67,63.58,112.59,90.81,13.56
2017-02-15,崇左,118.4,1.18,38.04,50.75,112.48,89.19,12.69
2017-02-16,崇左,80.56,1.02,29.73,42.15,81.86,57.58,13.08
2017-02-17,崇左,62.96,0.94,33.65,40.06,71.16,41.46,10.0
2017-02-18,崇左,73.25,1.0,30.67,44.23,82.04,49.81,10.17
2017-02-19,崇左,54.88,0.87,23.92,64.71,58.16,34.4,10.5
2017-02-20,崇左,62.94,0.88,32.12,48.65,67.79,43.83,13.4
2017-02-21,崇左,65.65,0.87,25.92,47.69,67.8,45.02,10.73
2017-02-22,崇左,74.75,0.93,28.46,48.08,82.46,52.42,14.94
2017-02-23,崇左,38.25,0.84,13.04,47.75,39.07,19.98,8.94
2017-02-24,崇左,38.76,0.69,12.0,63.07,38.9,21.9,8.93
2017-02-25,崇左,41.71,0.74,13.27,59.85,42.53,23.73,8.71
2017-02-26,崇左,55.6,0.81,18.08,60.29,51.61,38.17,17.19
2017-02-27,崇左,74.6,0.84,25.42,65.42,74.91,54.29,17.6
2017-02-28,崇左,106.46,0.98,25.04,70.17,100.8,79.92,18.25
2017-03-01,崇左,100.92,0.97,21.56,60.73,93.88,74.52,14.98
2017-03-02,崇左,110.17,1.04,33.28,58.43,109.95,81.07,22.2
2017-03-03,崇左,87.98,0.97,33.44,76.42,97.19,64.52,19.81
2017-03-04,崇左,70.21,0.92,19.35,89.48,68.84,50.56,12.88
2017-03-05,崇左,86.77,1.03,30.38,56.58,92.07,64.08,13.56
2017-03-06,崇左,41.48,0.91,15.44,51.31,42.07,27.02,9.12
2017-03-07,崇左,54.98,0.96,20.88,37.54,49.05,38.31,10.02
2017-03-08,崇左,26.54,0.91,14.37,52.78,29.03,13.11,7.78
2017-03-09,崇左,36.83,1.08,17.06,45.25,33.09,25.15,8.23
2017-03-10,崇左,34.35,1.2,22.19,27.12,36.77,21.4,14.75
2017-03-11,崇左,30.54,1.29,19.73,28.06,25.17,20.54,8.04
2017-03-12,崇左,40.15,1.45,24.98,9.31,41.54,25.79,8.06
2017-03-13,崇左,57.69,1.23,19.5,33.69,58.54,37.94,9.52
2017-03-14,崇左,59.08,1.09,20.38,32.44,59.82,40.6,9.35
2017-03-15,崇左,46.39,1.13,19.04,28.0,45.73,30.76,8.41
2017-03-16,崇左,27.25,1.13,19.15,12.5,27.06,18.15,8.42
2017-03-17,崇左,22.35,1.1,18.7,13.61,22.12,11.93,7.96
2017-03-18,崇左,20.31,1.16,20.15,9.08,18.98,12.62,8.04
2017-03-19,崇左,22.77,1.14,19.88,20.88,22.02,11.67,8.08
2017-03-20,崇左,42.33,1.1,21.02,31.17,43.71,24.04,10.1
2017-03-21,崇左,50.12,1.22,17.83,17.9,48.02,32.65,8.25
2017-03-22,崇左,37.31,1.16,16.0,28.6,37.42,21.77,7.79
2017-03-23,崇左,45.89,0.8,11.23,42.81,47.34,27.32,7.36
2017-03-24,崇左,52.06,0.76,16.58,52.46,51.88,35.19,10.23
2017-03-25,崇左,31.31,0.85,13.33,38.5,32.88,15.44,8.58
2017-03-26,崇左,41.76,0.63,9.76,71.74,42.93,16.39,8.46
2017-03-27,崇左,60.59,0.75,24.04,51.89,68.74,39.55,16.65
2017-03-28,崇左,55.85,0.87,14.69,56.35,51.0,38.75,10.35
2017-03-29,崇左,54.84,1.16,16.5,28.89,62.08,31.2,10.27
2017-03-30,崇左,49.77,1.07,17.52,27.48,53.55,29.27,12.8
2017-03-31,崇左,30.62,0.96,12.17,54.17,27.0,17.71,7.6
2017-04-01,崇左,44.52,0.94,15.82,72.14,46.31,23.57,14.16
2017-04-02,崇左,61.31,0.91,21.52,76.08,69.96,38.48,17.48
2017-04-03,崇左,60.11,0.96,19.65,87.22,67.11,38.96,14.52
2017-04-04,崇左,51.39,0.94,15.2,63.91,54.43,31.8,14.24
2017-04-05,崇左,48.33,0.91,16.46,53.12,50.17,28.4,10.86
2017-04-06,崇左,55.8,0.93,18.3,50.54,61.0,35.96,10.02
2017-04-07,崇左,47.21,0.95,17.58,46.71,47.31,30.5,12.27
2017-04-08,崇左,55.46,1.01,20.0,45.77,60.15,33.81,15.65
2017-04-09,崇左,54.94,1.02,14.5,71.98,59.45,36.62,9.33
2017-04-10,崇左,78.21,1.22,15.46,100.67,79.46,56.8,9.54
2017-04-11,崇左,73.04,1.23,18.77,58.12,81.51,51.56,10.08
2017-04-12,崇左,39.85,1.1,17.77,53.44,40.19,22.06,8.35
2017-04-13,崇左,47.35,1.08,22.4,66.98,49.42,26.02,13.38
2017-04-14,崇左,59.85,1.1,21.44,67.08,62.2,41.21,17.1
2017-04-15,崇左,50.23,1.05,16.23,60.38,46.83,33.71,9.92
2017-04-16,崇左,35.42,0.77,14.81,48.79,34.54,20.35,8.27
2017-04-17,崇左,34.79,0.74,15.31,40.55,34.03,21.74,8.31
2017-04-18,崇左,28.11,0.85,11.2,57.91,26.81,16.43,7.57
2017-04-19,崇左,41.58,0.88,14.04,58.81,43.04,23.85,9.08
2017-04-20,崇左,51.56,0.76,19.88,62.0,54.45,30.69,10.77
2017-04-21,崇左,38.75,0.73,16.04,54.77,37.36,21.35,10.85
2017-04-22,崇左,32.19,0.61,9.98,83.92,28.65,10.88,7.67
2017-04-23,崇左,53.91,0.71,24.43,52.48,58.63,29.83,16.93
2017-04-24,崇左,60.46,0.88,17.06,51.67,60.21,41.67,11.81
2017-04-25,崇左,51.92,0.82,15.29,50.46,51.62,33.5,9.12
2017-04-26,崇左,52.02,0.77,18.98,49.42,55.91,33.46,7.93
2017-04-27,崇左,23.1,0.73,9.87,62.56,20.1,8.25,8.47
2017-04-28,崇左,33.94,0.76,12.88,90.25,31.29,17.02,8.9
2017-04-29,崇左,62.15,0.85,26.72,80.24,71.2,38.39,15.2
2017-04-30,崇左,65.94,0.94,20.02,91.48,75.1,45.25,17.73
2017-05-01,崇左,52.22,0.77,13.02,75.43,55.53,30.0,9.07
2017-05-02,崇左,50.85,0.74,15.17,65.78,54.76,29.04,8.83
2017-05-03,崇左,60.81,0.77,12.88,82.96,65.69,41.5,14.73
2017-05-04,崇左,39.25,0.78,13.11,81.43,41.19,23.61,9.11
2017-05-05,崇左,34.12,0.93,12.58,96.38,28.63,17.17,9.5
2017-05-06,崇左,42.0,0.99,13.73,90.02,41.52,26.0,9.0
2017-05-07,崇左,37.92,0.91,10.54,67.98,33.53,24.92,8.56
2017-05-08,崇左,33.52,0.84,12.44,50.09,33.63,20.73,9.08
2017-05-09,崇左,31.06,0.91,9.56,73.02,30.56,20.27,7.9
2017-05-10,崇左,33.94,0.95,13.81,67.04,35.91,18.12,9.56
2017-05-11,崇左,37.06,0.87,19.15,37.76,36.76,18.44,10.06
2017-05-12,崇左,32.9,0.85,15.55,56.94,31.6,12.52,7.96
2017-05-13,崇左,38.81,0.87,17.35,67.5,36.73,18.94,8.04
2017-05-14,崇左,49.31,0.88,21.17,56.94,54.54,27.27,13.06
2017-05-15,崇左,29.89,0.89,13.27,57.91,28.49,17.68,8.05
2017-05-16,崇左,42.83,0.88,17.7,68.04,39.76,17.7,10.11
