time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,来宾,229.53,1.81,64.47,41.92,223.14,180.45,33.39
2017-01-02,来宾,228.44,1.88,37.76,83.21,197.85,180.74,25.26
2017-01-03,来宾,164.98,1.81,35.44,67.1,145.07,128.73,20.38
2017-01-04,来宾,228.0,2.2,49.46,58.38,213.09,179.42,50.79
2017-01-05,来宾,159.5,1.5,38.88,38.19,156.04,122.38,32.71
2017-01-06,来宾,193.65,1.59,42.58,37.58,185.93,151.65,29.23
2017-01-07,来宾,119.3,1.42,29.83,34.39,120.02,87.65,27.76
2017-01-08,来宾,51.71,2.44,26.19,19.35,53.35,35.62,20.48
2017-01-09,来宾,82.87,1.76,28.78,29.83,79.11,59.93,24.65
2017-01-10,来宾,122.88,1.88,36.21,20.96,113.5,93.06,25.02
2017-01-11,来宾,24.52,1.55,13.69,27.17,19.5,15.44,6.48
2017-01-12,来宾,16.48,1.09,5.9,51.31,7.12,5.27,4.27
2017-01-13,来宾,46.15,0.94,12.94,51.58,43.73,31.98,6.79
2017-01-14,来宾,60.6,0.75,20.35,51.4,57.62,42.5,10.81
2017-01-15,来宾,73.75,0.91,21.62,47.44,67.04,53.73,11.6
2017-01-16,来宾,108.44,0.99,27.42,40.42,92.93,81.48,14.31
2017-01-17,来宾,64.46,1.21,26.73,28.96,46.03,46.6,7.15
2017-01-18,来宾,57.22,1.19,24.2,25.56,46.56,40.1,7.29
2017-01-19,来宾,42.1,1.17,19.75,26.44,36.91,27.81,8.31
2017-01-20,来宾,80.48,0.81,18.08,54.69,74.14,59.1,10.31
2017-01-21,来宾,124.96,0.94,26.83,63.06,115.83,94.67,12.12
2017-01-22,来宾,153.62,1.27,45.12,51.12,151.94,118.9,21.33
2017-01-23,来宾,154.62,1.45,45.0,52.4,162.73,119.29,17.71
2017-01-24,来宾,215.94,1.59,53.27,51.08,204.43,172.69,21.52
2017-01-25,来宾,207.08,1.65,46.6,64.21,198.91,169.38,24.31
2017-01-26,来宾,184.26,1.59,36.21,59.12,166.48,142.41,22.59
2017-01-27,来宾,258.35,1.59,31.6,57.25,241.68,211.6,36.35
2017-01-28,来宾,259.75,0.99,15.25,57.89,436.78,326.34,70.32
2017-01-29,来宾,78.09,0.71,9.39,70.74,67.32,56.78,12.15
2017-01-30,来宾,133.85,1.2,14.58,70.5,117.12,101.21,13.58
2017-01-31,来宾,143.94,1.3,13.9,78.08,129.08,109.25,12.69
2017-02-01,来宾,154.79,1.6,18.98,47.33,133.84,117.54,14.77
2017-02-02,来宾,72.75,1.44,18.19,29.48,61.83,53.02,10.08
2017-02-03,来宾,131.77,2.04,39.81,21.65,108.79,99.52,23.98
2017-02-04,来宾,73.91,1.77,24.74,14.8,66.65,53.8,14.09
2017-02-05,来宾,62.04,1.46,20.42,25.77,54.95,43.9,12.23
2017-02-06,来宾,79.85,1.15,18.75,41.17,71.82,58.6,8.9
2017-02-07,来宾,103.26,1.25,24.63,30.09,96.5,76.8,8.7
2017-02-08,来宾,57.18,1.32,22.95,27.53,61.26,38.95,9.63
2017-02-09,来宾,71.37,1.0,15.49,71.76,65.38,51.74,12.8
2017-02-10,来宾,101.38,0.92,16.96,76.62,86.07,75.79,14.27
2017-02-11,来宾,89.52,0.81,22.1,76.35,79.48,66.04,14.85
2017-02-12,来宾,105.15,1.04,29.9,74.54,95.98,78.77,20.69
2017-02-13,来宾,154.75,1.31,45.42,53.65,151.02,118.77,18.65
2017-02-14,来宾,203.31,1.47,55.38,60.94,214.28,158.92,47.81
2017-02-15,来宾,183.52,1.59,49.23,64.6,203.4,141.77,28.29
2017-02-16,来宾,81.8,0.94,26.55,60.61,103.73,56.43,33.93
2017-02-17,来宾,88.38,0.87,23.83,59.25,99.56,64.42,13.12
2017-02-18,来宾,125.71,1.19,37.94,53.17,143.08,94.29,42.96
2017-02-19,来宾,87.79,0.81,24.69,67.75,102.85,57.42,33.46
2017-02-20,来宾,80.9,0.82,23.58,50.5,90.35,57.58,20.19
2017-02-21,来宾,81.33,0.89,23.23,42.29,97.62,57.35,18.58
2017-02-22,来宾,57.88,0.87,15.0,36.15,67.0,31.33,12.5
2017-02-23,来宾,47.56,0.76,12.38,62.46,47.2,28.02,7.53
2017-02-24,来宾,53.39,0.71,14.47,59.91,48.58,36.87,8.91
2017-02-25,来宾,64.06,0.61,17.29,56.62,49.42,46.19,7.58
2017-02-26,来宾,82.79,0.85,23.62,57.79,77.1,60.9,19.81
2017-02-27,来宾,126.35,1.07,39.4,51.69,122.79,95.12,24.1
2017-02-28,来宾,172.15,1.12,34.79,49.54,153.83,131.6,26.44
2017-03-01,来宾,137.94,1.41,34.94,52.5,140.4,104.5,52.4
2017-03-02,来宾,114.33,1.05,35.61,60.26,135.37,83.65,35.0
2017-03-03,来宾,123.08,0.95,34.48,77.52,141.81,93.02,85.54
2017-03-04,来宾,148.62,1.13,38.31,35.0,150.53,112.35,22.48
2017-03-05,来宾,96.73,1.12,27.21,36.0,111.6,70.85,16.1
2017-03-06,来宾,40.67,0.79,15.38,60.35,39.77,25.79,8.69
2017-03-07,来宾,63.6,0.82,19.48,52.06,56.0,45.42,7.94
2017-03-08,来宾,63.64,0.87,19.82,72.09,65.55,43.55,11.55
2017-03-09,来宾,69.56,1.03,24.25,45.29,60.6,50.67,14.27
