time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,柳州,157.87,1.52,69.42,36.74,177.67,119.82,29.72
2017-01-02,柳州,185.87,1.65,41.27,48.1,173.07,142.83,36.18
2017-01-03,柳州,129.24,1.44,30.67,51.41,122.47,99.1,33.54
2017-01-04,柳州,184.31,1.79,55.2,46.23,190.35,140.26,37.72
2017-01-05,柳州,204.31,1.86,62.81,29.31,215.1,161.78,20.69
2017-01-06,柳州,212.31,1.68,52.43,30.41,196.17,167.45,17.69
2017-01-07,柳州,152.26,1.83,40.28,23.57,141.66,114.72,20.95
2017-01-08,柳州,42.69,1.92,22.98,23.12,38.79,28.8,27.4
2017-01-09,柳州,56.39,1.15,23.81,40.97,58.22,38.32,22.03
2017-01-10,柳州,74.33,1.33,26.26,25.49,73.27,54.06,22.11
2017-01-11,柳州,25.96,1.46,22.15,26.56,23.43,17.31,19.53
2017-01-12,柳州,21.29,1.22,20.49,41.2,17.56,13.12,14.4
2017-01-13,柳州,47.64,0.98,19.48,44.99,43.68,33.08,15.48
2017-01-14,柳州,56.67,0.8,18.41,53.2,56.0,38.22,11.75
2017-01-15,柳州,69.85,0.96,22.18,42.47,63.22,50.57,27.25
2017-01-16,柳州,92.93,0.97,19.69,46.69,88.63,68.47,14.35
2017-01-17,柳州,60.22,1.13,21.42,34.83,49.77,42.76,14.31
2017-01-18,柳州,47.64,1.01,19.27,30.14,40.48,32.76,9.4
2017-01-19,柳州,36.67,0.97,18.4,29.12,32.87,24.32,16.64
2017-01-20,柳州,72.43,0.86,17.09,53.25,64.45,52.28,19.0
2017-01-21,柳州,101.19,0.93,23.06,66.46,99.66,75.06,18.77
2017-01-22,柳州,100.33,1.12,37.47,52.22,113.62,72.69,17.59
2017-01-23,柳州,105.56,1.26,42.38,67.95,120.49,78.16,17.49
2017-01-24,柳州,120.39,1.45,48.88,70.5,131.35,90.45,17.15
2017-01-25,柳州,113.34,1.17,27.88,80.51,112.76,85.13,28.69
2017-01-26,柳州,110.32,1.1,28.21,71.54,109.03,82.77,10.68
2017-01-27,柳州,157.7,1.27,29.0,78.52,148.62,120.77,14.75
2017-01-28,柳州,208.96,0.98,20.22,69.24,253.88,186.47,32.74
2017-01-29,柳州,74.1,0.7,13.96,68.28,67.44,54.14,12.82
2017-01-30,柳州,98.74,1.08,13.92,64.06,95.55,73.43,22.22
2017-01-31,柳州,110.28,1.25,14.48,71.55,106.42,82.88,13.4
2017-02-01,柳州,106.95,1.38,19.84,40.13,99.17,80.25,24.12
2017-02-02,柳州,46.57,1.31,18.53,26.28,40.8,32.37,25.67
2017-02-03,柳州,69.37,1.28,20.08,20.46,61.48,50.2,22.45
2017-02-04,柳州,50.57,1.56,21.96,13.85,49.99,35.34,20.99
2017-02-05,柳州,65.44,1.41,25.0,21.07,59.42,47.33,9.93
2017-02-06,柳州,82.3,1.33,26.91,28.3,72.38,60.66,9.91
2017-02-07,柳州,48.93,1.18,25.58,21.46,44.48,32.14,8.36
2017-02-08,柳州,28.04,1.2,17.38,27.83,23.74,19.43,15.06
2017-02-09,柳州,68.54,0.92,15.94,70.27,61.68,48.72,20.33
2017-02-10,柳州,84.42,0.9,16.71,76.69,76.68,62.17,20.01
2017-02-11,柳州,66.39,0.7,15.03,85.24,58.64,47.11,17.5
2017-02-12,柳州,77.03,0.89,28.53,72.56,82.06,52.8,22.04
2017-02-13,柳州,105.0,1.2,51.59,52.44,126.04,74.4,23.54
2017-02-14,柳州,155.7,1.63,67.97,50.99,177.64,118.04,32.79
2017-02-15,柳州,183.13,1.62,58.94,63.3,194.88,140.47,31.99
2017-02-16,柳州,105.19,1.06,39.64,58.14,121.74,75.46,14.85
2017-02-17,柳州,93.31,0.94,38.9,51.21,105.95,67.04,12.19
2017-02-18,柳州,115.12,1.25,47.23,60.28,141.0,82.54,18.36
2017-02-19,柳州,95.52,0.84,36.72,71.03,110.65,65.03,14.12
2017-02-20,柳州,70.51,0.73,27.02,53.86,78.16,46.85,7.61
2017-02-21,柳州,80.62,0.76,26.02,49.59,89.62,55.1,8.27
2017-02-22,柳州,51.84,0.84,21.24,33.23,51.61,34.26,21.04
2017-02-23,柳州,45.24,0.73,18.92,56.16,41.46,28.46,28.52
2017-02-24,柳州,38.08,0.65,14.28,60.09,35.71,24.1,20.09
2017-02-25,柳州,41.55,0.77,20.43,54.59,38.63,26.32,20.35
2017-02-26,柳州,68.22,0.93,27.77,53.07,70.12,47.51,18.01
2017-02-27,柳州,95.62,0.99,35.29,61.09,100.68,70.42,26.24
2017-02-28,柳州,137.2,1.12,46.52,32.95,136.31,103.82,34.75
2017-03-01,柳州,145.51,1.37,44.81,43.26,153.58,108.57,41.42
2017-03-02,柳州,102.64,1.04,47.88,63.39,133.64,70.47,27.49
2017-03-03,柳州,102.62,0.87,53.81,72.52,140.06,71.9,23.5
2017-03-04,柳州,130.04,1.19,51.97,23.44,126.16,97.98,7.94
2017-03-05,柳州,102.83,1.57,36.38,20.27,113.64,76.13,23.26
2017-03-06,柳州,38.01,0.99,21.84,51.23,32.61,23.38,25.22
2017-03-07,柳州,54.38,0.86,22.03,55.28,49.45,36.33,16.62
2017-03-08,柳州,57.34,0.86,23.96,67.43,54.62,38.54,21.47
2017-03-09,柳州,74.22,1.02,28.76,42.22,67.52,54.1,22.08
2017-03-10,柳州,40.26,1.15,26.02,28.86,38.52,26.51,14.87
2017-03-11,柳州,55.42,1.21,26.03,34.01,58.71,35.58,23.46
2017-03-12,柳州,65.1,1.54,35.02,9.3,68.62,44.92,9.88
2017-03-13,柳州,58.49,1.21,23.11,31.07,63.04,35.9,10.91
2017-03-14,柳州,33.18,1.06,19.75,46.19,25.49,19.55,23.37
2017-03-15,柳州,42.7,0.72,19.31,35.65,40.27,26.42,13.75
2017-03-16,柳州,28.97,0.9,21.09,20.41,27.08,17.34,17.09
2017-03-17,柳州,38.93,0.92,20.93,15.77,36.08,24.26,15.56
2017-03-18,柳州,28.8,1.12,22.95,17.36,27.35,16.84,19.22
2017-03-19,柳州,44.94,1.14,23.32,13.93,45.51,28.06,18.24
2017-03-20,柳州,42.63,1.27,23.44,9.79,41.26,27.28,21.6
2017-03-21,柳州,41.52,1.08,20.98,39.93,38.38,25.67,14.67
2017-03-22,柳州,39.86,1.23,24.06,25.57,37.35,24.44,13.95
2017-03-23,柳州,57.64,1.15,29.21,30.27,65.21,34.6,20.23
2017-03-24,柳州,59.57,1.12,27.76,18.29,67.29,41.16,21.91
2017-03-25,柳州,29.05,0.97,19.49,48.94,27.16,15.08,22.26
2017-03-26,柳州,63.14,0.76,21.62,67.34,76.01,30.62,18.8
2017-03-27,柳州,101.75,1.17,40.7,33.49,140.36,68.49,30.01
2017-03-28,柳州,109.24,1.09,41.09,27.59,117.17,80.8,12.82
2017-03-29,柳州,82.17,1.26,33.93,25.5,87.31,58.99,13.38
2017-03-30,柳州,75.48,1.37,33.84,15.56,85.78,50.7,10.06
2017-03-31,柳州,39.38,1.03,18.62,63.24,36.8,25.11,16.56
2017-04-01,柳州,66.06,0.89,24.3,78.04,67.9,44.54,16.59
2017-04-02,柳州,79.99,0.97,40.1,65.28,97.92,53.38,21.32
2017-04-03,柳州,80.91,0.84,34.65,97.78,97.55,54.43,13.59
2017-04-04,柳州,69.22,0.72,18.41,92.1,77.04,45.46,8.85
2017-04-05,柳州,74.18,0.74,19.96,70.67,82.16,48.93,8.71
2017-04-06,柳州,60.11,0.72,24.36,41.56,63.97,36.37,6.02
2017-04-07,柳州,56.61,0.75,19.11,42.37,57.42,33.76,5.49
2017-04-08,柳州,48.12,0.7,14.71,41.72,46.21,26.51,5.2
2017-04-09,柳州,55.49,0.73,15.18,56.44,57.16,32.13,5.52
2017-04-10,柳州,60.78,0.9,16.78,67.34,63.89,37.55,10.92
2017-04-11,柳州,41.9,1.04,16.12,42.0,40.65,23.6,24.85
2017-04-12,柳州,42.51,0.76,15.83,87.44,41.61,21.49,13.64
2017-04-13,柳州,67.38,1.0,28.15,104.23,77.09,44.76,16.35
2017-04-14,柳州,91.99,1.13,43.85,47.51,111.29,64.41,13.83
2017-04-15,柳州,85.46,1.05,32.47,31.66,78.94,61.75,4.9
2017-04-16,柳州,62.94,0.96,25.91,34.49,66.41,41.4,5.49
2017-04-17,柳州,51.94,1.05,27.35,37.42,59.39,34.8,9.5
2017-04-18,柳州,64.68,1.18,30.92,44.23,65.83,42.76,22.33
2017-04-19,柳州,69.72,1.07,30.56,39.12,69.63,48.46,8.53
2017-04-20,柳州,64.56,0.86,23.88,60.85,64.77,43.06,5.15
2017-04-21,柳州,40.93,1.04,19.3,63.8,38.24,25.78,17.83
2017-04-22,柳州,52.39,0.75,23.57,72.39,58.02,25.24,22.53
2017-04-23,柳州,77.69,0.87,39.84,58.55,99.1,47.71,23.19
2017-04-24,柳州,63.58,0.79,28.64,44.94,69.49,41.4,11.01
2017-04-25,柳州,63.31,0.98,30.92,26.29,61.61,43.95,6.94
2017-04-26,柳州,46.04,1.01,22.34,32.15,39.93,30.46,17.73
2017-04-27,柳州,35.42,1.01,18.98,65.67,32.84,20.12,25.82
2017-04-28,柳州,77.58,0.92,27.54,91.03,85.45,53.66,25.17
2017-04-29,柳州,105.65,1.19,55.64,70.7,132.02,73.49,27.91
2017-04-30,柳州,95.43,0.88,37.71,81.72,108.03,68.88,9.88
2017-05-01,柳州,62.52,0.75,19.55,67.43,61.51,42.8,5.79
2017-05-02,柳州,63.16,0.8,26.54,46.56,68.86,42.18,7.38
2017-05-03,柳州,60.52,0.75,18.81,60.17,62.21,39.01,4.89
2017-05-04,柳州,37.38,0.76,16.26,79.95,33.4,19.26,12.03
2017-05-05,柳州,54.25,0.68,25.0,97.33,54.72,29.56,15.78
2017-05-06,柳州,74.33,0.94,30.77,70.58,77.78,51.8,21.06
2017-05-07,柳州,88.91,1.03,24.88,51.97,86.91,65.31,17.75
2017-05-08,柳州,51.74,0.91,21.31,43.14,56.17,34.71,15.43
2017-05-09,柳州,57.99,0.98,26.17,61.66,57.78,36.77,25.5
2017-05-10,柳州,66.22,0.92,28.92,55.31,72.0,43.65,11.65
2017-05-11,柳州,41.68,0.64,21.47,49.65,40.43,24.89,7.53
2017-05-12,柳州,43.17,0.87,20.11,70.92,42.85,25.38,12.11
2017-05-13,柳州,85.88,1.39,35.36,53.64,96.64,57.99,19.46
2017-05-14,柳州,75.51,0.93,33.76,67.44,88.84,50.19,13.85
2017-05-15,柳州,33.35,0.97,18.13,66.28,29.52,19.44,11.06
2017-05-16,柳州,54.44,0.95,20.21,74.81,57.02,34.57,22.06
2017-05-17,柳州,95.12,1.23,39.64,59.81,110.97,68.8,29.52
2017-05-18,柳州,121.74,1.4,44.01,50.61,131.25,91.38,23.88
2017-05-19,柳州,58.85,0.95,21.52,69.88,50.91,41.29,10.22
2017-05-20,柳州,50.57,0.95,22.91,39.21,48.2,34.7,11.0
2017-05-21,柳州,47.84,0.9,20.45,58.36,47.26,31.1,11.13
2017-05-22,柳州,59.16,0.97,27.34,36.14,59.57,38.18,13.61
2017-05-23,柳州,41.79,0.88,21.6,49.76,39.76,25.41,6.77
2017-05-24,柳州,29.4,1.12,19.36,62.67,26.86,15.34,24.07
2017-05-25,柳州,44.68,0.99,20.87,82.34,43.26,27.55,29.78
2017-05-26,柳州,56.57,0.84,28.68,86.99,59.06,32.47,27.84
2017-05-27,柳州,87.25,1.04,46.81,70.93,108.03,54.11,34.79
2017-05-28,柳州,92.63,1.11,48.28,78.4,114.25,60.44,28.56
2017-05-29,柳州,106.56,1.15,51.69,88.64,135.67,72.42,27.75
2017-05-30,柳州,90.85,0.95,40.39,88.24,102.04,61.76,9.26
2017-05-31,柳州,66.63,0.88,26.1,68.02,68.93,42.58,6.58
2017-06-01,柳州,50.12,0.85,16.15,73.07,52.22,30.89,5.25
2017-06-02,柳州,42.25,0.98,19.57,74.84,42.46,23.28,22.11
2017-06-03,柳州,54.42,1.05,23.28,42.99,55.14,34.49,17.52
2017-06-04,柳州,54.2,0.96,19.65,54.85,55.12,33.66,10.05
2017-06-05,柳州,45.53,0.91,14.99,72.5,46.38,23.69,6.1
2017-06-06,柳州,34.69,0.9,11.85,70.2,23.21,19.7,9.34
2017-06-07,柳州,39.19,0.95,16.88,44.53,38.05,22.04,16.24
2017-06-08,柳州,47.97,0.96,23.82,39.96,49.12,29.67,13.53
2017-06-09,柳州,30.86,0.77,19.87,34.5,29.38,16.01,7.24
2017-06-10,柳州,30.12,0.77,17.69,44.52,28.86,15.84,4.99
2017-06-11,柳州,36.38,0.82,24.64,41.1,36.68,18.78,5.22
2017-06-12,柳州,45.67,0.88,28.21,53.99,46.43,24.24,6.4
2017-06-13,柳州,44.9,1.19,23.5,46.84,44.52,27.88,11.64
2017-06-14,柳州,46.25,1.14,19.71,35.51,48.17,30.09,16.07
2017-06-15,柳州,39.72,0.91,18.21,65.26,39.21,23.3,7.35
2017-06-16,柳州,22.17,1.18,20.03,36.62,19.79,12.65,9.24
2017-06-17,柳州,26.88,0.86,12.71,57.64,24.75,15.76,12.46
2017-06-18,柳州,47.99,0.86,19.7,72.13,47.4,30.02,18.06
2017-06-19,柳州,62.67,1.03,30.65,53.61,69.24,42.3,18.53
2017-06-20,柳州,57.58,1.04,25.28,40.32,56.04,39.64,13.05
2017-06-21,柳州,50.1,1.07,21.67,34.92,47.02,34.53,10.41
2017-06-22,柳州,32.08,0.96,21.99,33.35,31.42,18.3,5.55
2017-06-23,柳州,31.49,0.93,18.09,40.0,31.77,18.72,4.76
2017-06-24,柳州,30.84,0.87,14.73,46.97,30.4,16.57,4.78
2017-06-25,柳州,31.82,1.02,18.25,43.22,30.85,17.96,5.99
2017-06-26,柳州,40.47,1.08,22.36,38.52,37.85,24.05,9.76
2017-06-27,柳州,26.98,0.94,17.5,37.69,25.19,15.76,10.14
2017-06-28,柳州,56.49,1.32,31.56,18.75,52.88,38.1,13.7
2017-06-29,柳州,33.79,0.92,25.95,21.75,28.49,21.22,6.17
2017-06-30,柳州,24.04,0.81,19.52,28.6,22.76,14.12,5.35
2017-07-01,柳州,23.67,0.78,15.25,35.64,22.62,14.08,5.02
2017-07-02,柳州,18.18,0.72,15.53,43.03,13.31,8.39,4.23
2017-07-03,柳州,18.15,0.71,13.24,39.33,15.15,8.87,5.29
2017-07-04,柳州,22.62,0.72,17.6,31.12,21.82,11.17,4.89
2017-07-05,柳州,32.24,0.72,18.38,34.17,31.87,16.15,6.31
2017-07-06,柳州,32.94,0.7,21.18,34.99,31.87,16.17,5.71
2017-07-07,柳州,30.22,0.62,17.52,37.88,30.16,14.57,4.95
2017-07-08,柳州,23.2,0.61,11.31,46.17,22.47,11.55,4.05
2017-07-09,柳州,22.94,0.62,10.47,42.86,22.05,11.51,4.34
2017-07-10,柳州,24.81,0.74,18.06,27.68,23.93,12.66,4.75
2017-07-11,柳州,36.97,0.88,22.01,16.76,32.67,22.2,8.82
2017-07-12,柳州,48.36,1.07,22.52,40.07,44.43,30.8,17.01
2017-07-13,柳州,39.15,0.85,23.51,36.14,40.4,19.5,6.24
2017-07-14,柳州,40.53,0.82,20.09,46.56,42.03,19.77,5.53
2017-07-15,柳州,38.38,0.9,21.04,49.67,38.08,19.53,10.8
2017-07-16,柳州,42.07,0.89,26.26,34.5,44.23,20.99,13.9
2017-07-17,柳州,31.37,0.82,20.19,35.9,31.43,14.4,11.54
2017-07-18,柳州,22.62,0.82,18.59,32.08,22.23,10.9,4.75
2017-07-19,柳州,21.43,0.78,17.2,28.26,19.8,10.16,5.4
2017-07-20,柳州,23.69,0.76,19.44,21.99,22.95,11.53,6.62
2017-07-21,柳州,42.13,0.91,25.66,36.69,43.18,24.34,13.85
2017-07-22,柳州,81.73,1.54,39.45,60.31,88.27,55.44,34.47
2017-07-23,柳州,60.85,1.03,28.4,55.47,65.46,38.44,19.67
2017-07-24,柳州,34.59,0.8,19.67,36.65,34.34,17.42,14.35
2017-07-25,柳州,46.1,0.85,22.12,43.99,50.52,23.73,15.04
2017-07-26,柳州,68.91,1.07,28.05,71.41,76.49,42.02,24.56
2017-07-27,柳州,82.21,1.01,31.98,82.44,92.31,53.9,13.4
2017-07-28,柳州,79.86,1.06,32.05,76.72,90.91,52.57,17.96
2017-07-29,柳州,87.71,1.04,25.37,71.6,96.58,62.69,17.88
2017-07-30,柳州,87.93,1.06,24.51,78.23,99.3,61.09,26.68
2017-07-31,柳州,102.52,1.18,29.09,68.87,115.69,74.55,18.86
2017-08-01,柳州,78.19,1.42,29.94,95.28,79.48,51.13,21.18
2017-08-02,柳州,56.12,1.23,23.65,73.81,52.3,37.01,11.26
2017-08-03,柳州,40.93,0.86,17.5,56.55,40.01,23.73,7.03
2017-08-04,柳州,28.64,0.78,15.99,43.21,27.48,14.19,5.31
2017-08-05,柳州,33.61,0.82,17.88,44.06,31.27,19.17,9.44
2017-08-06,柳州,34.42,0.8,18.14,54.14,34.62,17.72,5.11
2017-08-07,柳州,34.08,0.78,16.76,53.33,33.91,17.93,4.22
2017-08-08,柳州,29.9,0.72,13.3,53.47,29.35,15.15,4.19
2017-08-09,柳州,31.95,0.77,16.23,39.7,31.31,17.01,4.49
2017-08-10,柳州,27.21,0.74,17.01,45.62,26.0,14.88,5.2
2017-08-11,柳州,31.63,0.8,23.61,29.22,30.96,17.73,5.5
2017-08-12,柳州,29.9,0.73,16.07,46.56,28.45,17.03,4.87
2017-08-13,柳州,34.03,0.78,17.37,42.08,32.96,20.17,5.83
2017-08-14,柳州,29.65,0.77,18.29,31.74,28.41,18.36,6.15
2017-08-15,柳州,25.51,0.81,21.53,22.69,25.02,14.21,9.17
2017-08-16,柳州,35.58,0.79,22.1,28.5,34.58,19.36,9.59
2017-08-17,柳州,42.9,0.78,21.33,29.61,43.39,24.67,9.09
2017-08-18,柳州,37.43,0.69,18.82,38.8,36.74,20.81,6.46
2017-08-19,柳州,43.94,0.7,21.45,44.15,44.94,24.67,6.4
2017-08-20,柳州,48.75,0.79,24.0,48.18,52.0,27.95,8.7
2017-08-21,柳州,56.19,0.87,25.68,61.16,60.22,32.33,9.19
2017-08-22,柳州,75.86,1.16,34.94,58.42,86.51,49.22,21.39
2017-08-23,柳州,60.89,0.88,14.51,69.32,57.22,42.3,17.63
2017-08-24,柳州,21.23,0.71,10.4,41.97,20.86,10.45,6.55
2017-08-25,柳州,37.31,0.85,20.68,42.83,39.17,21.27,16.83
2017-08-26,柳州,44.34,0.97,24.65,39.66,42.31,28.45,19.63
2017-08-27,柳州,43.62,0.99,18.19,40.29,41.98,27.25,21.92
2017-08-28,柳州,23.4,0.77,13.43,43.26,22.41,12.82,5.57
2017-08-29,柳州,26.99,0.77,18.34,27.8,24.97,13.84,8.03
2017-08-30,柳州,55.46,1.1,24.76,50.37,57.17,35.98,25.96
2017-08-31,柳州,67.71,1.2,32.52,62.3,73.27,45.67,22.91
2017-09-01,柳州,64.01,0.98,27.32,64.89,66.69,43.48,13.98
2017-09-02,柳州,59.09,0.86,29.2,48.84,65.56,36.97,13.01
2017-09-03,柳州,59.44,0.9,29.15,53.55,66.76,34.12,14.12
2017-09-04,柳州,60.4,0.92,23.94,52.32,62.36,39.39,11.27
2017-09-05,柳州,43.7,0.98,21.1,44.9,42.44,26.32,12.0
2017-09-06,柳州,60.58,1.26,28.23,53.5,61.31,40.23,25.79
2017-09-07,柳州,38.75,1.18,19.96,47.26,36.77,25.03,13.69
2017-09-08,柳州,46.8,1.14,30.81,19.04,41.74,30.59,10.94
2017-09-09,柳州,29.83,0.85,12.4,62.88,28.31,16.6,4.79
2017-09-10,柳州,28.24,0.83,14.57,45.92,26.61,14.52,6.02
2017-09-11,柳州,35.35,0.93,21.19,31.47,34.34,19.86,10.39
2017-09-12,柳州,37.92,1.07,18.39,41.75,36.95,23.99,23.14
2017-09-13,柳州,51.79,0.98,17.75,57.98,50.45,34.55,17.52
2017-09-14,柳州,50.76,0.98,15.36,68.39,48.22,34.37,15.25
2017-09-15,柳州,69.57,1.01,22.7,85.81,74.05,49.53,17.91
2017-09-16,柳州,82.38,1.14,33.51,80.42,92.14,58.37,19.17
2017-09-17,柳州,85.34,1.15,41.03,84.11,101.26,58.22,20.11
2017-09-18,柳州,72.08,1.05,41.36,57.77,87.32,48.31,12.06
2017-09-19,柳州,47.33,0.89,21.26,63.41,50.15,28.71,8.12
2017-09-20,柳州,49.46,1.03,20.12,57.28,50.78,30.2,12.6
2017-09-21,柳州,42.83,1.17,21.68,42.51,42.97,27.54,18.69
2017-09-22,柳州,55.96,1.08,21.04,64.07,58.51,37.1,22.16
2017-09-23,柳州,73.9,1.03,32.89,52.74,81.98,50.85,19.24
2017-09-24,柳州,52.98,0.82,24.48,46.86,60.05,29.56,11.06
2017-09-25,柳州,29.72,0.65,17.8,42.96,28.98,13.7,8.27
2017-09-26,柳州,36.03,0.7,18.02,45.76,37.36,14.56,8.37
2017-09-27,柳州,56.98,0.81,25.44,52.13,65.94,30.18,17.08
2017-09-28,柳州,67.56,1.05,30.46,50.61,83.91,40.46,26.39
2017-09-29,柳州,48.22,1.19,20.1,57.51,51.14,31.54,24.01
2017-09-30,柳州,50.96,0.96,27.66,37.86,52.19,33.38,11.29
2017-10-01,柳州,31.02,0.76,19.34,39.43,30.71,15.22,6.77
2017-10-02,柳州,41.85,0.79,23.17,38.17,44.21,22.05,9.56
2017-10-03,柳州,47.81,0.78,24.03,44.98,50.4,26.17,12.92
2017-10-04,柳州,49.64,0.87,12.68,75.33,48.63,31.86,8.71
2017-10-05,柳州,34.57,0.81,12.56,64.48,34.22,20.83,7.5
2017-10-06,柳州,47.03,0.84,15.42,76.13,46.05,30.27,12.71
2017-10-07,柳州,58.04,0.92,21.98,76.16,65.39,36.71,11.04
2017-10-08,柳州,59.56,0.91,23.42,70.06,65.18,38.73,11.61
2017-10-09,柳州,57.67,0.85,15.84,73.01,59.49,39.43,15.42
2017-10-10,柳州,72.67,0.9,15.87,85.13,74.31,52.68,15.25
2017-10-11,柳州,68.31,0.96,14.93,90.08,67.89,48.55,11.24
