time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,桂林,137.07,1.21,48.13,72.24,137.36,104.22,48.08
2017-01-02,桂林,165.84,1.36,43.44,49.2,158.26,126.64,27.77
2017-01-03,桂林,170.95,1.43,39.29,68.03,163.67,129.8,22.28
2017-01-04,桂林,212.36,1.91,63.65,44.32,224.81,162.77,25.52
2017-01-05,桂林,232.81,2.22,68.0,19.58,228.95,184.04,25.97
2017-01-06,桂林,118.61,1.73,40.2,17.18,94.41,88.36,18.34
2017-01-07,桂林,37.29,2.02,32.46,12.26,32.54,23.5,13.38
2017-01-08,桂林,27.08,1.25,23.44,43.01,23.1,17.5,7.21
2017-01-09,桂林,48.6,0.98,21.12,54.59,40.24,33.99,11.38
2017-01-10,桂林,43.69,1.31,22.7,34.41,34.78,30.39,10.32
2017-01-11,桂林,18.62,1.24,18.23,53.82,13.2,10.02,5.33
2017-01-12,桂林,19.31,0.98,15.76,59.7,9.13,7.19,4.35
2017-01-13,桂林,49.4,0.75,20.05,67.0,44.82,34.15,9.98
2017-01-14,桂林,68.8,0.81,22.93,68.79,56.7,49.76,14.99
2017-01-15,桂林,86.27,0.85,22.74,71.98,73.94,63.72,14.2
2017-01-16,桂林,116.24,1.01,28.06,56.76,97.17,87.73,18.19
2017-01-17,桂林,77.24,1.0,24.49,52.14,62.32,56.34,7.74
2017-01-18,桂林,46.12,0.95,22.64,51.96,32.46,32.34,4.49
2017-01-19,桂林,49.33,0.94,18.77,44.29,34.07,34.92,5.27
2017-01-20,桂林,101.18,0.94,20.43,66.78,80.17,75.65,10.3
2017-01-21,桂林,92.46,0.9,26.46,73.96,99.45,66.64,12.25
2017-01-22,桂林,83.16,0.92,31.27,60.71,87.05,59.61,11.93
2017-01-23,桂林,90.93,0.95,29.13,106.0,88.41,67.43,14.8
2017-01-24,桂林,91.33,0.98,31.73,93.79,91.4,67.68,12.82
2017-01-25,桂林,90.2,0.86,20.05,99.45,83.74,66.84,13.23
2017-01-26,桂林,107.12,1.07,32.31,65.24,95.72,80.25,8.47
2017-01-27,桂林,132.08,1.12,28.04,72.42,120.89,100.61,16.67
2017-01-28,桂林,230.84,0.97,17.48,62.19,219.57,206.41,30.81
2017-01-29,桂林,83.33,0.77,20.58,65.76,68.09,61.22,8.01
2017-01-30,桂林,117.64,1.07,13.57,80.92,108.61,88.83,13.71
2017-01-31,桂林,114.35,1.25,17.32,56.03,98.89,86.01,6.78
2017-02-01,桂林,118.81,1.23,16.79,47.9,103.2,89.75,6.16
2017-02-02,桂林,40.45,1.05,14.2,41.24,27.49,28.26,4.2
2017-02-03,桂林,58.85,1.13,19.04,21.71,47.11,42.04,4.64
2017-02-04,桂林,37.95,1.19,19.73,18.5,32.1,26.05,4.84
2017-02-05,桂林,32.12,1.05,15.57,40.3,25.43,21.34,4.6
2017-02-06,桂林,37.45,1.05,15.64,41.62,29.43,25.55,4.5
2017-02-07,桂林,29.78,1.25,20.1,24.05,22.74,20.46,3.96
2017-02-08,桂林,27.94,1.05,14.02,40.97,9.3,17.47,4.39
2017-02-09,桂林,83.97,0.93,14.42,82.03,59.85,61.84,10.7
2017-02-10,桂林,85.64,0.79,16.66,84.93,64.31,63.2,14.02
2017-02-11,桂林,72.76,0.68,17.79,91.11,58.58,52.92,14.3
2017-02-12,桂林,81.71,0.88,30.78,70.03,72.64,59.94,16.0
2017-02-13,桂林,79.7,1.01,39.89,52.89,81.48,57.94,12.74
2017-02-14,桂林,111.57,1.17,50.03,50.34,111.85,83.69,18.05
2017-02-15,桂林,132.79,1.28,48.3,69.52,132.08,100.06,13.5
2017-02-16,桂林,112.4,1.17,45.7,38.87,119.86,80.62,9.97
2017-02-17,桂林,118.08,1.25,38.46,43.63,128.62,86.09,21.03
2017-02-18,桂林,138.53,1.05,29.14,86.85,127.9,104.58,13.0
2017-02-19,桂林,123.33,0.89,26.32,107.48,121.39,88.16,12.58
2017-02-20,桂林,70.71,0.67,28.06,55.79,69.43,45.97,12.87
2017-02-21,桂林,132.23,1.25,40.49,14.55,138.92,99.98,26.52
2017-02-22,桂林,36.25,0.75,16.0,43.11,41.32,23.27,8.33
2017-02-23,桂林,50.21,0.66,12.27,80.52,42.58,34.23,10.2
2017-02-24,桂林,39.57,0.67,12.61,75.94,29.99,26.3,6.55
2017-02-25,桂林,53.79,0.7,15.25,85.06,43.47,37.26,8.1
2017-02-26,桂林,63.93,0.75,18.64,76.45,56.96,45.1,15.96
2017-02-27,桂林,89.08,0.94,30.94,75.67,77.78,65.96,15.59
2017-02-28,桂林,96.45,1.01,36.45,36.45,94.96,71.58,13.3
2017-03-01,桂林,81.16,0.85,29.48,56.88,86.68,57.17,16.51
2017-03-02,桂林,75.93,0.6,25.76,85.92,90.98,45.49,21.95
2017-03-03,桂林,81.97,0.62,29.38,88.76,98.27,56.94,25.49
2017-03-04,桂林,126.38,0.97,40.09,41.92,118.03,95.69,26.18
2017-03-05,桂林,61.63,0.9,25.16,39.92,53.04,43.52,13.76
2017-03-06,桂林,37.66,0.63,15.36,78.69,28.11,24.07,9.51
2017-03-07,桂林,62.82,0.65,18.2,82.27,49.39,44.97,11.98
2017-03-08,桂林,75.57,0.69,17.61,103.64,57.7,55.11,13.26
2017-03-09,桂林,74.72,0.88,29.36,51.04,59.49,54.59,12.79
2017-03-10,桂林,30.21,0.92,24.98,41.42,25.73,19.09,10.65
2017-03-11,桂林,48.14,0.96,19.13,66.93,40.37,33.22,11.79
2017-03-12,桂林,45.65,1.14,27.24,38.22,36.24,31.68,7.69
2017-03-13,桂林,33.11,1.06,21.71,29.24,28.42,19.84,11.42
2017-03-14,桂林,24.78,0.63,12.06,60.98,16.31,9.78,6.68
2017-03-15,桂林,35.71,0.66,17.43,41.65,29.5,24.43,8.23
2017-03-16,桂林,31.2,0.68,15.38,50.88,23.97,20.96,8.25
2017-03-17,桂林,47.42,0.75,19.33,38.7,37.28,32.98,11.35
2017-03-18,桂林,17.67,0.86,17.19,34.4,14.26,10.04,7.71
2017-03-19,桂林,36.21,1.01,24.33,29.16,26.52,24.98,9.33
2017-03-20,桂林,31.46,1.11,21.08,26.72,25.91,20.45,10.15
2017-03-21,桂林,51.02,0.88,18.86,72.56,38.39,35.99,8.43
2017-03-22,桂林,26.93,0.8,22.38,45.27,22.33,15.56,8.49
2017-03-23,桂林,37.46,0.8,17.56,43.85,34.12,25.29,14.45
2017-03-24,桂林,29.18,0.86,15.61,40.98,24.77,17.54,12.73
2017-03-25,桂林,41.32,0.49,10.7,81.77,44.82,15.13,8.72
2017-03-26,桂林,67.57,0.52,19.69,81.02,83.23,33.39,12.4
2017-03-27,桂林,84.18,0.83,36.66,39.36,104.43,56.51,15.3
2017-03-28,桂林,104.3,0.96,38.78,18.59,91.61,78.07,19.34
2017-03-29,桂林,67.6,1.18,45.06,18.71,57.9,48.8,14.11
2017-03-30,桂林,67.24,1.72,36.65,11.97,61.85,48.59,12.08
2017-03-31,桂林,48.48,0.75,15.0,88.26,41.42,31.65,12.54
2017-04-01,桂林,55.8,0.54,19.33,103.62,49.65,35.59,13.9
2017-04-02,桂林,66.12,0.65,31.25,71.47,67.44,46.14,15.84
2017-04-03,桂林,89.01,0.69,31.43,84.12,90.76,65.1,14.99
2017-04-04,桂林,79.64,0.52,18.76,95.46,78.06,57.64,17.18
2017-04-05,桂林,117.47,0.92,35.66,24.73,120.6,87.71,32.19
2017-04-06,桂林,111.67,1.31,36.74,12.86,112.78,83.89,22.78
2017-04-07,桂林,68.92,0.92,18.91,39.1,69.08,48.25,11.49
2017-04-08,桂林,49.29,0.66,20.08,28.99,47.22,33.47,8.79
2017-04-09,桂林,48.87,0.54,15.38,29.55,46.93,32.19,11.87
2017-04-10,桂林,30.75,0.8,14.99,41.35,30.6,18.04,10.12
2017-04-11,桂林,29.29,0.62,13.51,56.32,27.61,17.51,10.45
2017-04-12,桂林,44.83,0.67,13.57,98.27,37.86,28.83,12.82
2017-04-13,桂林,60.69,0.81,21.49,99.44,60.04,40.22,15.14
2017-04-14,桂林,70.52,0.82,24.36,71.53,71.5,48.92,14.85
2017-04-15,桂林,67.41,1.02,26.39,37.54,65.97,48.01,8.36
2017-04-16,桂林,66.54,1.19,27.42,22.79,71.91,45.1,10.74
2017-04-17,桂林,34.52,0.75,20.47,50.79,37.94,20.61,9.49
2017-04-18,桂林,46.88,0.7,20.88,56.05,44.75,30.87,18.18
2017-04-19,桂林,54.45,0.84,24.8,38.89,51.86,37.02,11.46
2017-04-20,桂林,48.04,0.76,19.64,48.79,46.42,31.79,9.68
2017-04-21,桂林,44.72,0.42,11.72,93.21,44.14,19.26,9.11
2017-04-22,桂林,47.34,0.36,14.96,99.01,48.91,18.22,14.27
2017-04-23,桂林,63.18,0.52,24.93,81.19,70.54,36.2,18.46
2017-04-24,桂林,64.86,0.63,20.08,61.98,67.46,42.89,12.18
2017-04-25,桂林,53.52,0.92,26.77,30.73,49.77,37.05,9.89
2017-04-26,桂林,33.52,0.8,19.48,57.1,27.42,16.97,9.62
2017-04-27,桂林,39.49,0.76,12.32,93.2,31.18,18.91,8.39
2017-04-28,桂林,67.98,0.73,24.77,95.29,70.04,44.96,15.82
2017-04-29,桂林,70.46,0.71,31.61,75.58,76.77,48.24,17.67
2017-04-30,桂林,102.75,0.87,33.66,60.49,104.19,76.11,29.38
2017-05-01,桂林,76.58,0.9,34.57,40.32,78.19,55.57,11.42
2017-05-02,桂林,60.23,0.97,28.16,33.86,62.04,41.75,18.92
2017-05-03,桂林,60.88,0.95,19.6,40.8,64.15,41.23,11.37
2017-05-04,桂林,32.08,0.6,11.09,97.35,20.08,10.78,10.17
2017-05-05,桂林,46.52,0.64,16.48,111.25,42.48,26.24,16.67
2017-05-06,桂林,56.13,0.73,15.36,120.99,51.24,38.63,17.04
2017-05-07,桂林,100.72,0.89,22.56,77.42,132.48,74.11,18.17
2017-05-08,桂林,65.07,0.8,21.46,56.81,91.42,46.52,12.97
2017-05-09,桂林,44.93,0.75,16.49,69.91,40.98,27.98,12.34
2017-05-10,桂林,54.02,0.72,18.88,56.87,55.01,36.44,20.3
2017-05-11,桂林,32.05,0.53,13.0,50.36,30.48,18.99,9.32
2017-05-12,桂林,34.6,0.56,13.14,88.26,31.39,17.66,8.18
2017-05-13,桂林,57.33,0.68,21.61,68.17,61.83,36.0,17.31
2017-05-14,桂林,62.77,0.66,22.03,73.12,68.74,41.33,18.83
2017-05-15,桂林,46.44,0.62,15.94,91.55,40.76,30.66,9.28
2017-05-16,桂林,54.18,0.64,13.99,103.82,52.62,37.23,9.07
2017-05-17,桂林,68.64,0.72,22.51,86.19,67.8,46.48,16.13
2017-05-18,桂林,66.67,0.71,25.31,70.67,70.86,46.73,28.15
2017-05-19,桂林,61.28,0.74,17.61,58.59,57.14,44.03,8.14
2017-05-20,桂林,53.34,0.75,20.58,46.03,48.15,37.45,17.85
2017-05-21,桂林,40.25,0.73,19.77,47.32,38.6,26.26,12.11
2017-05-22,桂林,40.17,0.7,16.31,42.01,35.19,26.48,14.08
2017-05-23,桂林,30.0,0.61,17.3,56.55,26.23,16.73,6.38
2017-05-24,桂林,35.06,0.44,10.62,99.02,28.54,15.83,6.46
2017-05-25,桂林,44.38,0.48,18.6,96.31,42.21,25.03,14.28
2017-05-26,桂林,54.9,0.5,21.89,81.55,49.21,34.51,17.25
2017-05-27,桂林,60.97,0.55,22.31,89.85,58.06,39.7,18.84
2017-05-28,桂林,68.13,0.58,26.5,100.86,64.67,40.38,21.44
2017-05-29,桂林,70.03,0.63,24.76,94.63,70.78,49.16,23.39
2017-05-30,桂林,77.79,1.48,19.21,93.58,72.5,55.67,17.66
2017-05-31,桂林,68.82,0.65,16.34,70.71,66.55,49.21,12.64
2017-06-01,桂林,51.45,0.59,17.19,48.41,50.72,34.08,9.12
2017-06-02,桂林,27.99,0.54,14.51,60.36,27.95,15.08,9.01
2017-06-03,桂林,38.35,0.61,21.28,28.6,36.94,24.32,13.24
2017-06-04,桂林,43.6,0.62,19.27,42.99,44.59,27.59,12.43
2017-06-05,桂林,49.03,0.63,17.82,46.31,54.87,32.21,8.25
2017-06-06,桂林,23.23,0.59,14.97,62.59,16.81,11.77,4.86
2017-06-07,桂林,43.92,0.8,21.84,44.21,44.45,27.66,14.7
2017-06-08,桂林,50.61,0.94,22.77,48.15,51.23,33.2,8.63
2017-06-09,桂林,29.08,0.6,14.75,28.85,28.02,17.08,11.25
2017-06-10,桂林,25.54,0.6,13.32,29.03,25.35,12.89,7.19
2017-06-11,桂林,39.47,0.69,14.5,30.03,39.67,22.38,8.84
2017-06-12,桂林,39.61,0.67,17.37,47.23,41.67,23.51,11.07
2017-06-13,桂林,46.05,0.71,15.94,52.77,41.56,30.21,9.96
2017-06-14,桂林,22.09,0.71,13.76,57.29,17.49,11.81,7.63
2017-06-15,桂林,22.09,0.74,17.5,57.78,18.43,11.84,6.43
2017-06-16,桂林,21.49,0.67,12.14,65.86,12.36,7.07,5.84
2017-06-17,桂林,33.74,0.67,14.97,77.58,30.83,18.41,7.92
2017-06-18,桂林,53.75,0.79,19.82,65.97,52.88,36.49,13.81
2017-06-19,桂林,57.52,0.81,20.54,66.42,54.66,39.46,11.55
2017-06-20,桂林,50.27,0.84,20.25,30.65,50.58,34.02,11.67
2017-06-21,桂林,26.22,0.78,14.55,36.9,23.41,15.78,8.32
2017-06-22,桂林,28.12,0.52,14.11,27.5,27.99,13.32,10.91
2017-06-23,桂林,31.09,0.54,14.39,34.35,31.3,15.43,8.85
2017-06-24,桂林,36.36,0.57,14.04,45.82,36.48,16.87,7.83
2017-06-25,桂林,36.78,0.53,15.16,36.2,37.43,16.96,10.95
2017-06-26,桂林,23.43,0.51,14.92,43.83,20.94,12.14,10.47
2017-06-27,桂林,30.38,0.55,16.42,80.64,23.06,14.43,7.95
2017-06-28,桂林,30.6,0.79,26.0,33.51,26.49,19.5,11.38
2017-06-29,桂林,38.88,0.76,21.51,18.99,37.49,25.46,12.27
2017-06-30,桂林,29.76,0.65,19.8,17.53,29.21,16.86,9.65
2017-07-01,桂林,25.8,0.53,16.01,21.68,24.61,15.88,7.51
2017-07-02,桂林,17.62,0.47,14.01,31.82,17.89,9.36,7.1
2017-07-03,桂林,20.6,0.48,11.08,23.74,20.01,11.52,10.48
2017-07-04,桂林,15.63,0.43,9.69,31.6,13.93,7.08,7.25
2017-07-05,桂林,26.5,0.47,10.24,28.01,25.99,12.89,9.02
2017-07-06,桂林,25.83,0.35,9.81,42.54,24.22,13.01,7.49
2017-07-07,桂林,24.24,0.32,8.11,46.98,22.28,12.01,7.18
2017-07-08,桂林,18.55,0.33,9.4,36.99,17.1,9.82,6.55
2017-07-09,桂林,20.85,0.39,10.9,33.2,20.17,9.7,6.62
2017-07-10,桂林,24.98,0.45,15.65,25.46,25.53,12.43,7.1
2017-07-11,桂林,34.43,0.51,17.47,21.69,34.47,19.98,16.23
2017-07-12,桂林,36.29,0.46,14.47,29.04,35.34,21.23,11.55
2017-07-13,桂林,29.16,0.41,10.79,33.06,28.96,14.03,8.33
2017-07-14,桂林,32.6,0.47,11.42,36.47,32.14,16.5,8.68
2017-07-15,桂林,34.73,0.42,12.24,48.5,33.77,16.71,9.8
2017-07-16,桂林,38.72,0.51,12.59,45.57,37.9,21.94,15.26
2017-07-17,桂林,45.16,0.53,14.27,50.95,47.04,24.96,22.44
2017-07-18,桂林,31.6,0.53,14.39,29.1,31.22,19.1,12.15
2017-07-19,桂林,20.84,0.48,9.38,32.95,19.7,9.22,8.55
2017-07-20,桂林,17.9,0.45,9.28,29.76,17.19,7.65,5.6
2017-07-21,桂林,42.05,0.53,17.46,43.63,43.62,21.08,11.8
2017-07-22,桂林,50.18,0.55,14.67,60.81,51.18,30.91,17.7
2017-07-23,桂林,48.79,0.54,16.2,51.69,49.46,29.84,17.84
2017-07-24,桂林,36.57,0.51,9.75,44.84,34.63,22.21,11.08
2017-07-25,桂林,39.69,0.52,11.33,57.48,34.41,24.39,12.11
2017-07-26,桂林,59.55,0.62,13.35,61.14,53.76,39.33,11.88
2017-07-27,桂林,55.99,0.71,13.56,72.93,56.55,36.35,8.89
2017-07-28,桂林,56.53,0.77,15.7,71.21,57.77,35.57,9.76
2017-07-29,桂林,67.89,0.83,18.21,72.26,71.53,46.37,14.88
2017-07-30,桂林,74.91,0.98,14.8,98.36,76.1,53.41,12.29
2017-07-31,桂林,75.43,1.01,17.2,82.35,83.27,52.12,11.27
2017-08-01,桂林,44.95,0.8,10.76,91.17,45.09,27.48,7.86
2017-08-02,桂林,48.39,0.81,11.26,74.09,46.38,30.56,8.34
2017-08-03,桂林,38.98,0.66,10.02,71.92,36.59,22.78,7.24
2017-08-04,桂林,27.1,0.56,10.66,47.65,25.63,14.59,11.54
2017-08-05,桂林,34.72,0.56,12.25,44.59,31.31,18.48,14.01
2017-08-06,桂林,31.62,0.49,12.08,44.25,30.56,15.78,9.2
2017-08-07,桂林,33.62,0.54,12.08,41.85,33.15,17.47,9.09
2017-08-08,桂林,32.75,0.52,10.57,51.32,31.97,18.8,9.6
2017-08-09,桂林,34.51,0.58,14.63,44.29,34.73,19.52,8.03
2017-08-10,桂林,25.0,0.61,15.54,38.86,23.77,14.57,6.8
2017-08-11,桂林,29.34,0.67,18.24,29.91,28.47,17.21,9.49
2017-08-12,桂林,36.29,0.66,17.57,28.05,36.67,20.38,9.77
2017-08-13,桂林,33.81,0.63,16.04,32.09,34.12,19.27,9.58
2017-08-14,桂林,24.29,0.67,18.77,21.44,25.34,13.81,8.18
2017-08-15,桂林,20.33,0.64,19.72,16.83,19.76,10.58,9.02
2017-08-16,桂林,32.7,0.59,15.8,26.42,32.06,17.77,9.48
2017-08-17,桂林,43.7,0.7,18.9,32.93,43.41,23.85,8.9
2017-08-18,桂林,35.07,0.66,13.95,31.87,35.12,19.4,11.2
2017-08-19,桂林,36.27,0.58,14.59,34.82,37.48,19.0,9.18
2017-08-20,桂林,42.52,0.56,15.29,42.66,44.09,22.73,8.27
2017-08-21,桂林,44.52,0.58,15.17,52.33,44.67,26.3,12.02
2017-08-22,桂林,57.43,0.72,16.65,74.22,60.55,35.98,16.36
2017-08-23,桂林,45.2,0.57,11.66,87.61,45.43,28.61,11.37
2017-08-24,桂林,25.69,0.49,12.11,43.91,24.44,15.06,13.71
2017-08-25,桂林,39.46,0.56,15.2,45.32,39.8,21.61,17.24
2017-08-26,桂林,35.26,0.56,14.22,55.74,34.49,20.99,11.32
2017-08-27,桂林,43.55,0.61,13.73,60.03,43.53,27.21,14.6
2017-08-28,桂林,31.48,0.6,14.14,36.3,31.32,17.43,12.04
2017-08-29,桂林,23.51,0.55,12.5,31.91,22.46,10.91,10.68
2017-08-30,桂林,39.88,0.58,14.81,49.09,39.18,20.2,15.85
2017-08-31,桂林,50.02,0.75,11.71,82.76,48.42,33.18,12.59
2017-09-01,桂林,55.99,0.75,11.66,80.91,54.27,38.33,10.46
2017-09-02,桂林,59.53,0.78,13.23,91.32,60.17,40.67,11.83
2017-09-03,桂林,60.7,0.81,11.89,76.32,62.78,41.65,15.14
2017-09-04,桂林,72.62,0.9,9.64,100.86,73.77,52.53,11.89
2017-09-05,桂林,67.36,0.85,10.87,90.26,69.09,47.8,14.52
2017-09-06,桂林,66.73,0.92,11.26,83.31,61.18,47.1,13.37
2017-09-07,桂林,53.44,0.82,11.49,72.37,50.64,35.88,12.67
2017-09-08,桂林,51.83,0.78,13.0,44.75,51.53,35.14,19.69
2017-09-09,桂林,37.07,0.68,18.79,39.43,36.68,17.36,15.21
2017-09-10,桂林,30.65,0.59,11.97,38.15,30.8,14.84,8.27
2017-09-11,桂林,32.68,0.68,12.67,45.31,31.94,18.09,13.48
2017-09-12,桂林,49.43,0.8,11.27,99.4,49.4,32.51,11.1
2017-09-13,桂林,50.45,0.86,10.83,92.47,47.37,34.05,12.05
2017-09-14,桂林,54.76,0.83,11.05,105.67,55.31,36.98,10.19
2017-09-15,桂林,59.52,0.82,14.42,132.12,63.24,39.26,15.07
2017-09-16,桂林,72.63,0.78,18.62,139.58,72.06,43.69,20.31
2017-09-17,桂林,83.32,0.81,19.23,117.7,85.72,57.65,24.44
2017-09-18,桂林,78.62,0.79,16.35,95.38,84.71,57.22,16.11
2017-09-19,桂林,58.2,0.71,16.2,66.53,61.44,40.33,9.35
2017-09-20,桂林,47.96,0.66,13.91,62.61,48.92,30.09,11.43
2017-09-21,桂林,46.85,0.8,15.26,75.93,45.78,30.11,13.87
2017-09-22,桂林,65.75,0.78,16.2,95.15,68.92,46.33,18.25
2017-09-23,桂林,77.35,0.86,22.47,90.92,84.58,56.01,17.1
2017-09-24,桂林,51.49,0.6,16.48,59.93,53.25,33.32,11.68
2017-09-25,桂林,31.62,0.49,11.84,53.74,31.0,17.18,12.07
2017-09-26,桂林,28.91,0.45,11.37,46.86,27.57,12.15,10.45
2017-09-27,桂林,44.46,0.53,17.51,54.64,46.05,23.14,14.59
2017-09-28,桂林,58.54,0.72,16.79,66.18,60.71,39.31,17.04
2017-09-29,桂林,54.79,0.78,16.12,82.29,54.6,37.76,15.96
2017-09-30,桂林,53.34,0.73,17.68,57.93,52.69,35.25,10.82
2017-10-01,桂林,31.51,0.48,15.5,45.15,30.01,15.22,9.42
2017-10-02,桂林,39.01,0.55,16.15,36.47,40.61,21.3,9.53
2017-10-03,桂林,62.97,0.72,16.65,75.3,64.45,43.03,14.11
2017-10-04,桂林,33.65,0.73,11.05,68.16,28.54,21.29,11.51
2017-10-05,桂林,27.38,0.65,13.67,59.12,25.85,15.67,12.56
2017-10-06,桂林,43.83,0.65,14.05,67.11,40.58,28.8,16.65
2017-10-07,桂林,50.53,0.72,14.47,79.69,47.42,33.86,15.18
2017-10-08,桂林,58.26,0.74,14.19,81.06,54.53,40.69,15.96
2017-10-09,桂林,68.3,0.73,14.58,94.22,68.43,49.1,15.42
2017-10-10,桂林,80.21,0.74,13.44,100.39,79.3,58.7,14.39
2017-10-11,桂林,53.28,0.87,13.3,79.02,53.05,35.41,10.5
2017-10-12,桂林,31.66,0.84,13.78,44.77,30.95,17.26,9.78
2017-10-13,桂林,28.34,0.79,12.17,62.94,26.1,15.77,9.05
2017-10-14,桂林,36.26,0.71,11.21,60.81,32.8,23.91,8.65
2017-10-15,桂林,25.64,0.58,10.22,69.48,23.34,13.75,7.19
2017-10-16,桂林,21.84,0.52,9.03,68.57,10.1,7.19,5.79
2017-10-17,桂林,19.9,0.56,11.53,57.94,12.1,8.45,6.9
2017-10-18,桂林,23.55,0.53,11.85,61.38,19.52,12.85,8.22
2017-10-19,桂林,31.38,0.56,12.62,68.46,28.14,20.56,9.04
2017-10-20,桂林,35.44,0.52,14.29,65.27,32.2,23.18,11.54
2017-10-21,桂林,47.35,0.57,15.16,95.16,45.3,31.94,12.45
2017-10-22,桂林,61.94,0.6,17.05,108.15,57.89,44.15,17.3
2017-10-23,桂林,77.57,0.57,16.29,105.97,69.77,56.71,24.89
2017-10-24,桂林,102.24,0.84,22.44,126.16,96.97,76.49,25.03
2017-10-25,桂林,107.73,1.01,27.67,117.27,110.61,80.88,26.83
2017-10-26,桂林,108.83,0.97,23.06,116.02,111.21,81.75,28.55
2017-10-27,桂林,98.41,0.86,20.56,125.18,99.36,73.39,24.85
2017-10-28,桂林,80.46,0.76,18.46,127.32,79.66,58.99,19.18
2017-10-29,桂林,73.58,0.68,14.64,152.38,76.09,50.65,15.79
2017-10-30,桂林,92.53,0.82,17.41,138.1,93.16,68.12,12.69
2017-10-31,桂林,74.67,0.71,29.2,120.28,83.85,53.16,20.6
2017-11-01,桂林,93.91,0.84,44.48,106.58,100.95,67.35,25.02
2017-11-02,桂林,94.25,0.8,35.97,106.1,98.66,69.53,24.04
2017-11-03,桂林,85.52,0.64,20.54,144.82,90.17,62.67,18.55
