time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,梧州,103.96,1.93,46.45,35.17,119.03,77.58,16.51
2017-01-02,梧州,106.86,1.76,51.65,54.31,125.32,78.26,13.36
2017-01-03,梧州,128.32,1.77,51.08,36.34,147.41,96.03,15.92
2017-01-04,梧州,133.83,1.43,53.49,41.6,146.98,100.74,13.18
2017-01-05,梧州,120.06,1.66,51.31,52.85,133.78,90.54,12.86
2017-01-06,梧州,108.59,1.6,44.46,38.32,124.55,80.25,10.75
2017-01-07,梧州,103.59,1.52,46.57,40.16,126.42,77.26,14.41
2017-01-08,梧州,60.63,1.16,18.29,27.02,56.11,42.63,6.97
2017-01-09,梧州,50.43,1.04,16.42,40.96,47.86,33.92,7.45
2017-01-10,梧州,72.76,1.28,29.77,48.07,77.13,52.38,9.48
2017-01-11,梧州,55.78,1.14,17.93,26.08,48.12,38.97,5.33
2017-01-12,梧州,24.0,0.91,16.12,24.1,20.39,15.83,4.24
2017-01-13,梧州,24.97,1.01,18.29,33.95,21.77,16.88,4.47
2017-01-14,梧州,43.93,1.0,15.69,32.29,38.25,30.12,5.38
2017-01-15,梧州,51.92,1.04,17.74,30.79,49.21,36.32,5.32
2017-01-16,梧州,68.95,1.08,19.71,25.87,56.09,49.83,6.05
2017-01-17,梧州,41.0,0.9,16.95,21.36,30.12,28.47,4.88
2017-01-18,梧州,37.72,0.88,18.7,15.57,35.38,24.27,6.19
2017-01-19,梧州,43.91,0.85,19.9,16.79,39.44,29.59,6.54
2017-01-20,梧州,55.66,0.82,15.66,39.18,54.66,38.15,5.81
2017-01-21,梧州,86.65,0.92,16.51,48.99,85.92,63.19,7.0
2017-01-22,梧州,89.9,1.32,28.15,50.95,94.12,64.74,9.79
2017-01-23,梧州,96.49,1.38,36.1,36.83,101.11,70.69,10.45
2017-01-24,梧州,120.68,1.54,35.33,43.04,105.38,90.72,11.73
2017-01-25,梧州,124.66,1.55,30.21,55.92,110.49,93.02,13.01
2017-01-26,梧州,116.38,1.77,30.81,50.22,113.62,86.68,11.5
2017-01-27,梧州,125.34,1.34,21.91,49.16,119.68,95.61,13.09
2017-01-28,梧州,226.99,1.3,20.67,37.21,240.34,197.13,29.03
2017-01-29,梧州,129.53,1.15,19.34,41.98,108.8,99.09,15.67
2017-01-30,梧州,112.88,1.18,12.88,48.99,102.6,84.62,8.29
2017-01-31,梧州,103.67,0.97,10.74,44.17,88.54,77.58,6.46
2017-02-01,梧州,83.94,0.97,11.03,44.28,71.22,61.84,6.46
2017-02-02,梧州,103.91,0.98,13.39,45.48,93.22,77.79,6.4
2017-02-03,梧州,87.09,0.89,15.5,54.57,75.27,63.96,7.63
2017-02-04,梧州,75.0,1.09,19.54,30.48,62.87,54.55,7.01
2017-02-05,梧州,49.42,1.11,13.73,33.93,41.85,33.18,5.32
2017-02-06,梧州,52.85,1.5,19.33,34.04,50.83,36.02,6.85
2017-02-07,梧州,70.5,1.34,21.28,41.79,67.17,50.93,7.59
2017-02-08,梧州,53.48,0.87,10.07,35.7,46.41,38.07,5.29
2017-02-09,梧州,70.15,0.86,10.59,69.09,60.68,50.9,10.4
2017-02-10,梧州,114.33,0.84,12.78,70.23,99.85,86.15,15.11
2017-02-11,梧州,96.13,0.98,15.54,62.09,83.07,70.76,9.58
2017-02-12,梧州,88.0,1.29,31.09,53.69,87.65,64.25,10.74
2017-02-13,梧州,95.76,1.26,35.3,44.39,99.28,69.78,9.8
2017-02-14,梧州,106.27,1.28,45.48,54.65,117.84,77.08,10.51
2017-02-15,梧州,109.05,1.58,51.79,55.78,118.2,79.58,9.25
2017-02-16,梧州,101.85,1.68,54.16,39.25,125.0,73.6,11.1
2017-02-17,梧州,101.74,1.56,43.2,40.37,118.32,72.46,10.71
2017-02-18,梧州,89.99,1.43,45.55,43.36,109.63,63.41,12.24
2017-02-19,梧州,80.29,1.06,39.63,49.47,93.19,57.06,9.27
2017-02-20,梧州,65.25,0.98,29.89,39.17,69.75,44.54,7.95
2017-02-21,梧州,70.97,1.14,28.67,34.14,76.61,49.89,7.61
2017-02-22,梧州,51.13,1.17,16.02,31.77,49.82,33.26,7.2
2017-02-23,梧州,46.47,1.0,11.22,47.39,44.97,31.65,7.23
2017-02-24,梧州,44.33,0.86,11.89,40.01,37.39,30.74,7.16
2017-02-25,梧州,39.55,0.79,15.3,41.73,33.62,27.2,7.46
2017-02-26,梧州,49.95,0.84,17.55,47.76,44.83,34.7,11.2
2017-02-27,梧州,72.74,1.04,28.31,35.06,75.52,52.48,14.08
2017-02-28,梧州,93.22,1.25,24.49,37.49,87.8,69.12,15.23
2017-03-01,梧州,83.08,1.08,23.86,27.36,78.34,60.45,11.62
2017-03-02,梧州,84.11,1.11,29.84,36.18,93.13,59.17,18.35
2017-03-03,梧州,88.85,1.26,45.07,50.15,112.39,62.04,18.27
2017-03-04,梧州,100.46,1.05,36.43,49.46,118.94,73.69,15.21
2017-03-05,梧州,123.51,1.41,43.36,18.57,136.29,93.47,17.56
2017-03-06,梧州,54.16,0.96,14.65,41.08,49.68,36.8,9.05
2017-03-07,梧州,39.69,0.95,15.9,30.21,34.54,26.84,12.76
2017-03-08,梧州,37.14,0.85,16.0,40.63,33.07,24.63,6.86
2017-03-09,梧州,52.21,0.95,21.05,34.35,47.64,35.73,6.25
2017-03-10,梧州,36.62,1.07,27.92,16.55,32.55,24.68,6.54
2017-03-11,梧州,38.67,0.88,24.02,10.04,37.44,24.46,6.46
2017-03-12,梧州,48.53,0.97,29.65,11.38,49.89,32.31,8.78
2017-03-13,梧州,75.4,1.66,33.21,24.89,88.62,53.12,11.86
2017-03-14,梧州,41.24,0.9,10.97,30.95,41.4,26.1,7.6
2017-03-15,梧州,38.32,0.86,13.77,18.64,37.83,23.1,7.32
2017-03-16,梧州,38.83,0.86,15.91,15.15,34.76,25.15,6.78
2017-03-17,梧州,37.43,1.38,16.82,11.83,38.36,22.16,7.83
2017-03-18,梧州,41.25,1.1,25.0,4.39,36.2,28.14,8.04
2017-03-19,梧州,32.25,0.98,23.07,8.7,30.12,20.75,8.04
2017-03-20,梧州,52.25,1.34,23.14,31.39,50.06,35.51,10.66
2017-03-21,梧州,38.88,0.84,12.22,25.81,38.1,24.91,7.39
2017-03-22,梧州,59.09,0.87,24.49,16.81,56.31,41.48,10.02
2017-03-23,梧州,53.33,0.91,18.87,46.43,53.44,36.23,7.41
2017-03-24,梧州,75.15,0.96,22.28,47.3,77.89,53.64,9.02
2017-03-25,梧州,27.2,0.82,10.36,37.76,24.28,16.98,6.9
2017-03-26,梧州,44.89,0.84,17.05,47.63,47.08,26.02,8.28
2017-03-27,梧州,72.79,0.97,37.72,31.11,93.57,43.7,13.18
2017-03-28,梧州,78.51,0.83,31.52,40.6,96.92,55.24,18.34
2017-03-29,梧州,48.41,0.99,21.12,38.98,43.43,31.62,8.94
2017-03-30,梧州,66.05,1.14,34.18,20.02,76.43,44.01,10.48
2017-03-31,梧州,41.04,0.86,16.53,56.84,38.99,27.35,6.33
2017-04-01,梧州,62.12,0.88,27.27,49.5,63.43,42.48,8.49
2017-04-02,梧州,70.36,0.98,32.22,46.28,82.2,47.6,11.65
2017-04-03,梧州,80.02,0.89,34.54,81.9,87.94,55.85,12.2
2017-04-04,梧州,64.98,0.81,19.04,79.25,69.47,45.33,8.52
2017-04-05,梧州,63.83,0.94,25.74,55.36,72.65,40.38,8.98
2017-04-06,梧州,62.04,0.84,28.09,37.08,70.37,38.62,8.6
2017-04-07,梧州,61.59,0.91,28.2,42.96,69.7,40.32,9.62
2017-04-08,梧州,55.76,0.93,23.48,18.85,58.74,35.25,12.26
2017-04-09,梧州,48.83,0.92,23.4,25.4,51.67,29.71,7.52
2017-04-10,梧州,57.99,1.08,20.15,46.85,61.86,37.46,6.99
2017-04-11,梧州,52.29,0.92,14.19,34.91,51.73,33.52,6.58
2017-04-12,梧州,42.94,0.98,19.48,43.54,41.62,26.59,11.0
2017-04-13,梧州,52.17,0.97,24.4,60.35,52.49,32.86,9.17
2017-04-14,梧州,64.74,1.01,36.26,41.27,70.21,44.89,11.63
2017-04-15,梧州,93.01,1.2,42.4,21.98,97.72,69.12,13.44
2017-04-16,梧州,84.29,1.15,35.76,28.88,87.39,59.73,11.09
2017-04-17,梧州,61.45,0.79,30.25,34.03,66.37,41.27,13.95
2017-04-18,梧州,43.28,0.95,23.96,47.26,46.55,25.37,9.58
2017-04-19,梧州,64.45,0.86,38.27,11.04,69.85,44.21,10.47
2017-04-20,梧州,51.2,0.95,30.64,37.18,46.39,34.24,7.93
2017-04-21,梧州,38.13,0.78,22.9,34.87,38.17,24.55,9.3
2017-04-22,梧州,47.74,0.77,19.24,53.83,49.01,25.68,9.27
2017-04-23,梧州,57.7,0.74,30.04,28.21,63.23,36.45,13.28
2017-04-24,梧州,59.86,0.74,32.22,31.72,62.0,38.57,9.65
2017-04-25,梧州,57.53,0.76,27.17,35.96,50.04,40.29,8.09
2017-04-26,梧州,43.81,0.82,22.34,25.51,42.88,29.31,9.73
2017-04-27,梧州,29.18,0.77,13.33,48.2,25.7,17.63,9.13
2017-04-28,梧州,57.74,0.96,24.02,63.16,59.16,39.63,11.63
2017-04-29,梧州,76.53,1.25,36.85,58.8,87.68,54.49,18.65
2017-04-30,梧州,83.87,0.81,38.08,62.9,95.14,60.93,14.02
2017-05-01,梧州,64.12,0.79,27.97,54.84,64.02,44.58,9.01
2017-05-02,梧州,63.11,0.81,30.3,34.6,63.58,43.39,9.13
2017-05-03,梧州,52.1,0.78,28.45,23.62,53.0,31.65,9.02
2017-05-04,梧州,37.45,0.9,19.4,60.87,35.34,22.96,10.64
2017-05-05,梧州,41.65,0.75,21.47,68.79,41.63,22.6,12.45
2017-05-06,梧州,58.2,0.72,26.94,57.25,65.83,34.74,13.54
2017-05-07,梧州,58.85,0.83,25.92,46.46,65.14,39.17,11.33
2017-05-08,梧州,40.47,0.87,23.77,27.94,42.24,24.15,9.47
2017-05-09,梧州,35.16,0.98,20.13,41.34,33.76,19.69,10.83
2017-05-10,梧州,52.18,0.82,29.54,44.34,49.92,31.33,21.62
2017-05-11,梧州,61.59,1.0,29.88,26.85,68.96,39.38,15.89
2017-05-12,梧州,38.26,0.97,22.36,60.52,37.83,21.49,10.19
2017-05-13,梧州,50.21,1.03,27.68,46.35,52.6,30.04,14.42
2017-05-14,梧州,60.1,0.87,27.81,53.8,66.22,39.35,13.4
2017-05-15,梧州,36.33,0.71,15.77,51.38,33.79,23.48,9.21
2017-05-16,梧州,40.54,0.88,16.16,74.32,39.39,24.09,11.71
2017-05-17,梧州,71.05,0.89,33.69,51.53,81.61,48.28,17.65
2017-05-18,梧州,77.61,0.85,31.65,80.57,82.1,56.4,17.77
2017-05-19,梧州,75.88,0.87,24.18,64.04,69.02,54.62,12.92
2017-05-20,梧州,52.33,0.82,19.52,46.77,48.94,35.75,8.53
2017-05-21,梧州,49.74,0.8,17.8,62.97,45.23,33.06,7.89
2017-05-22,梧州,41.68,0.76,18.87,60.47,38.3,26.61,7.75
2017-05-23,梧州,51.5,0.89,23.04,62.25,51.19,32.05,9.23
2017-05-24,梧州,32.35,0.78,13.8,54.05,31.16,20.15,9.42
2017-05-25,梧州,43.29,0.88,15.61,75.61,42.35,28.41,15.7
2017-05-26,梧州,67.62,1.07,27.63,73.67,66.35,47.61,23.63
2017-05-27,梧州,79.28,1.06,32.57,66.19,85.79,57.71,21.58
2017-05-28,梧州,82.29,1.1,34.33,66.36,93.78,58.76,19.57
2017-05-29,梧州,97.74,1.18,38.93,95.61,110.36,68.71,18.94
2017-05-30,梧州,94.4,1.2,34.01,94.2,98.55,65.63,12.29
2017-05-31,梧州,68.44,1.11,31.87,49.43,73.12,46.52,13.68
2017-06-01,梧州,55.84,1.09,28.62,36.32,61.71,35.92,14.44
2017-06-02,梧州,54.9,1.06,25.58,50.88,59.23,32.66,17.03
2017-06-03,梧州,51.81,0.92,21.45,51.73,52.29,32.21,8.82
2017-06-04,梧州,51.79,0.91,17.4,47.33,50.69,33.68,8.45
2017-06-05,梧州,42.01,0.93,19.3,42.88,42.03,24.56,5.57
2017-06-06,梧州,35.1,0.84,15.14,40.94,34.25,20.08,6.82
2017-06-07,梧州,29.73,0.88,14.44,45.5,27.9,17.15,7.75
2017-06-08,梧州,31.05,0.94,18.25,31.68,30.62,18.05,7.18
2017-06-09,梧州,31.44,0.88,18.34,27.63,30.33,18.29,6.96
2017-06-10,梧州,36.25,0.88,19.61,42.45,34.77,19.56,8.22
2017-06-11,梧州,42.48,1.0,23.75,49.47,42.39,22.66,7.66
2017-06-12,梧州,57.73,1.08,24.85,75.37,59.79,35.14,14.04
2017-06-13,梧州,48.5,0.89,19.83,46.9,48.32,30.73,12.23
2017-06-14,梧州,35.35,0.91,21.27,24.37,32.6,20.94,7.11
2017-06-15,梧州,45.74,0.99,20.93,35.07,46.26,26.5,9.57
2017-06-16,梧州,40.55,0.88,17.92,27.0,39.24,22.74,6.24
2017-06-17,梧州,31.77,0.94,11.57,43.85,30.4,17.83,7.21
2017-06-18,梧州,33.05,1.02,12.33,40.21,31.55,18.69,5.85
2017-06-19,梧州,35.61,1.04,19.82,28.26,34.85,20.55,5.15
2017-06-20,梧州,45.04,0.87,18.96,30.25,47.13,27.44,7.04
2017-06-21,梧州,29.38,1.02,23.46,20.16,27.95,17.99,6.4
2017-06-22,梧州,38.7,1.11,19.22,23.32,39.4,21.85,11.3
2017-06-23,梧州,43.56,1.0,15.23,27.64,45.74,25.24,8.66
2017-06-24,梧州,34.65,0.89,14.99,39.3,34.12,17.66,7.29
2017-06-25,梧州,36.97,0.91,17.71,35.65,36.07,19.51,9.68
2017-06-26,梧州,47.09,1.07,16.48,42.48,48.83,28.14,15.51
2017-06-27,梧州,39.72,1.05,17.36,30.58,39.4,23.08,15.5
2017-06-28,梧州,50.86,1.1,21.75,21.21,53.14,30.36,20.5
2017-06-29,梧州,43.16,1.05,17.47,27.31,45.64,22.92,8.6
2017-06-30,梧州,40.35,0.99,16.25,24.69,41.03,21.36,8.28
2017-07-01,梧州,35.76,0.78,15.12,26.63,36.15,17.57,7.51
2017-07-02,梧州,33.11,0.8,20.81,11.81,31.61,19.92,7.56
2017-07-03,梧州,30.19,0.82,15.03,20.45,24.86,19.85,6.94
2017-07-04,梧州,30.34,0.88,12.56,31.45,29.76,17.74,6.22
2017-07-05,梧州,36.19,0.91,11.52,47.29,34.45,22.68,6.67
2017-07-06,梧州,37.28,1.01,13.75,46.88,35.27,23.03,7.61
2017-07-07,梧州,31.53,0.98,15.14,24.58,31.12,18.56,7.01
2017-07-08,梧州,27.88,0.91,14.21,24.64,26.93,15.87,6.01
2017-07-09,梧州,32.04,0.94,13.58,23.46,31.36,18.56,9.97
2017-07-10,梧州,29.04,0.96,14.47,27.99,28.09,17.38,7.0
2017-07-11,梧州,33.38,0.98,14.19,33.9,32.78,19.43,9.11
2017-07-12,梧州,38.53,1.0,17.18,40.5,36.95,22.35,9.46
2017-07-13,梧州,45.48,0.87,15.07,41.15,45.41,27.73,11.68
2017-07-14,梧州,44.87,0.89,17.25,48.51,45.35,26.62,15.41
2017-07-15,梧州,45.71,0.83,21.9,63.71,44.66,29.02,11.9
2017-07-16,梧州,32.43,0.8,18.23,36.5,32.06,18.28,4.69
2017-07-17,梧州,28.15,0.85,17.17,29.46,27.55,16.02,5.1
2017-07-18,梧州,22.27,0.79,17.67,28.06,20.87,13.72,4.23
2017-07-19,梧州,27.05,0.83,18.88,28.54,26.1,14.81,4.8
2017-07-20,梧州,28.24,0.89,18.93,30.43,27.22,16.48,6.15
2017-07-21,梧州,45.25,0.92,21.98,56.18,45.18,28.66,12.56
2017-07-22,梧州,48.92,1.0,27.51,51.89,49.2,30.58,10.25
2017-07-23,梧州,55.22,0.89,22.7,44.06,58.21,37.53,11.12
2017-07-24,梧州,28.8,0.85,16.7,35.15,28.1,17.02,6.68
2017-07-25,梧州,48.41,0.94,23.38,53.9,48.2,30.76,9.07
2017-07-26,梧州,63.34,0.82,21.6,70.46,66.9,43.87,11.73
2017-07-27,梧州,54.27,0.82,20.53,82.76,53.09,34.66,7.03
2017-07-28,梧州,89.04,0.96,30.98,80.96,90.84,63.53,16.9
2017-07-29,梧州,93.37,0.88,25.96,64.33,100.91,69.01,14.76
2017-07-30,梧州,81.72,0.89,20.67,69.33,85.37,59.79,13.26
2017-07-31,梧州,72.93,0.94,21.47,60.57,73.69,52.07,16.65
2017-08-01,梧州,60.19,0.9,15.56,78.07,60.79,42.11,18.06
2017-08-02,梧州,37.37,0.86,14.79,44.41,34.09,23.78,7.16
2017-08-03,梧州,34.95,0.83,18.5,35.05,34.46,19.24,7.47
2017-08-04,梧州,31.99,0.78,14.05,32.29,31.0,19.23,6.9
2017-08-05,梧州,32.12,0.8,13.46,38.6,29.63,18.88,9.66
2017-08-06,梧州,45.27,0.96,18.54,46.12,44.56,28.42,13.26
2017-08-07,梧州,47.11,0.89,19.1,39.05,50.46,28.49,11.05
2017-08-08,梧州,46.5,0.87,17.73,32.79,48.17,26.56,10.83
2017-08-09,梧州,49.25,0.94,20.89,33.45,50.28,29.96,15.81
2017-08-10,梧州,41.88,0.94,21.96,28.71,41.12,24.48,10.42
2017-08-11,梧州,35.65,0.85,16.98,37.95,33.72,21.19,6.61
2017-08-12,梧州,33.61,0.86,16.77,34.13,32.45,19.73,6.33
2017-08-13,梧州,36.46,0.84,16.29,30.09,35.98,20.59,7.7
2017-08-14,梧州,39.15,0.88,17.67,28.0,37.98,22.83,16.41
2017-08-15,梧州,39.23,0.9,17.35,23.72,38.47,24.24,14.57
2017-08-16,梧州,36.45,0.82,14.8,31.21,34.12,22.6,11.85
2017-08-17,梧州,39.51,0.82,20.74,36.74,38.72,23.05,9.31
2017-08-18,梧州,53.32,0.98,23.69,44.6,53.97,34.69,18.45
2017-08-19,梧州,59.42,1.0,23.5,52.29,64.56,39.89,14.17
2017-08-20,梧州,62.32,1.0,26.14,48.5,68.86,41.74,14.5
2017-08-21,梧州,60.51,1.05,28.15,49.08,69.78,39.23,15.05
2017-08-22,梧州,62.6,0.96,25.85,61.13,74.68,37.32,18.81
2017-08-23,梧州,36.36,0.8,10.42,51.32,36.76,21.68,7.88
2017-08-24,梧州,22.45,0.81,12.14,34.39,20.74,13.97,6.57
2017-08-25,梧州,31.54,0.9,16.38,38.83,29.71,17.89,10.18
2017-08-26,梧州,40.67,0.91,19.01,43.96,41.92,24.65,14.06
2017-08-27,梧州,33.34,0.79,14.24,30.6,33.06,20.31,12.35
2017-08-28,梧州,28.11,0.85,17.1,20.88,27.31,16.02,7.78
2017-08-29,梧州,27.18,0.81,15.9,32.26,25.78,15.18,7.54
2017-08-30,梧州,40.95,0.87,16.72,32.59,42.74,22.68,14.64
2017-08-31,梧州,61.52,0.94,25.76,51.3,69.36,37.29,21.73
2017-09-01,梧州,59.86,0.91,26.6,48.38,66.93,38.88,18.82
2017-09-02,梧州,72.47,0.89,25.83,57.46,76.51,51.86,24.93
2017-09-03,梧州,74.05,0.86,24.72,72.7,77.15,53.47,16.37
2017-09-04,梧州,55.25,0.89,19.12,57.6,57.21,37.96,12.33
2017-09-05,梧州,43.77,0.83,21.13,50.19,39.63,28.16,13.99
2017-09-06,梧州,44.89,0.83,25.04,39.88,45.31,25.95,11.7
2017-09-07,梧州,39.5,0.82,21.8,26.52,38.43,24.12,13.14
2017-09-08,梧州,34.39,0.64,35.83,6.76,34.03,19.28,8.97
2017-09-09,梧州,33.64,0.74,19.36,43.57,34.52,19.04,6.43
2017-09-10,梧州,30.22,0.86,24.09,16.6,29.98,16.51,7.97
2017-09-11,梧州,40.16,0.76,20.53,49.69,39.79,22.28,10.92
2017-09-12,梧州,45.73,0.86,23.07,32.78,46.32,27.09,22.37
2017-09-13,梧州,52.75,0.91,23.12,40.11,49.51,35.45,18.53
2017-09-14,梧州,53.3,0.91,19.77,47.3,52.96,35.26,14.37
2017-09-15,梧州,61.24,0.86,22.52,73.14,62.82,42.8,15.16
2017-09-16,梧州,77.28,0.92,38.04,74.12,85.05,54.47,19.27
2017-09-17,梧州,76.05,0.96,41.51,62.69,90.15,53.07,24.74
2017-09-18,梧州,79.39,0.95,46.17,70.96,89.71,55.9,15.03
2017-09-19,梧州,83.11,0.94,37.64,82.43,86.8,60.08,12.5
2017-09-20,梧州,75.93,0.89,34.35,53.89,81.7,54.68,13.36
2017-09-21,梧州,79.38,0.95,35.2,65.44,90.47,57.26,21.06
2017-09-22,梧州,68.29,0.84,24.76,75.79,69.9,48.69,12.47
2017-09-23,梧州,63.23,0.87,32.45,64.98,68.08,42.92,14.93
2017-09-24,梧州,46.95,0.83,28.3,44.16,45.73,29.01,13.14
2017-09-25,梧州,34.93,0.87,23.64,31.86,34.31,19.35,12.12
2017-09-26,梧州,41.99,0.89,26.92,41.01,43.28,21.4,11.14
2017-09-27,梧州,65.58,0.91,32.26,52.97,76.79,42.12,25.99
2017-09-28,梧州,72.02,0.86,30.65,73.56,83.03,50.6,29.54
2017-09-29,梧州,52.8,0.81,20.76,50.93,52.82,33.69,12.2
2017-09-30,梧州,50.55,0.92,32.05,30.1,51.83,32.79,14.59
2017-10-01,梧州,44.1,0.92,23.47,38.22,42.43,27.66,17.25
2017-10-02,梧州,37.91,0.84,23.01,37.73,36.17,23.02,7.47
2017-10-03,梧州,43.43,0.84,23.34,48.02,42.91,27.02,8.94
2017-10-04,梧州,48.31,0.87,20.26,57.94,48.75,30.88,11.05
2017-10-05,梧州,36.91,0.84,13.67,50.23,34.09,24.58,10.41
2017-10-06,梧州,44.8,0.93,22.42,40.03,43.5,29.21,8.43
2017-10-07,梧州,53.67,0.94,22.76,47.65,56.12,35.97,11.75
2017-10-08,梧州,59.15,0.97,25.36,43.48,63.26,39.83,12.84
2017-10-09,梧州,60.4,0.91,20.05,47.84,61.97,41.21,12.23
2017-10-10,梧州,50.03,0.99,25.83,35.35,50.98,32.32,11.44
2017-10-11,梧州,57.02,0.91,22.61,51.84,58.61,37.41,14.24
2017-10-12,梧州,44.97,0.84,12.83,56.05,39.71,30.45,10.08
2017-10-13,梧州,37.66,0.81,15.22,50.88,33.76,23.39,13.11
2017-10-14,梧州,39.2,0.81,14.12,52.08,34.81,23.66,11.12
2017-10-15,梧州,29.64,0.74,12.45,51.49,28.2,17.29,8.33
2017-10-16,梧州,21.06,0.75,11.64,41.04,18.96,12.62,7.0
2017-10-17,梧州,27.24,0.79,15.98,24.05,25.86,17.17,14.45
2017-10-18,梧州,37.89,0.8,16.48,41.05,35.38,23.97,17.87
2017-10-19,梧州,34.89,0.77,15.95,42.72,33.49,20.47,10.12
2017-10-20,梧州,31.71,0.72,17.42,44.24,29.63,19.7,11.44
2017-10-21,梧州,41.9,0.73,15.76,54.98,40.45,27.46,13.53
2017-10-22,梧州,62.11,0.76,24.9,60.38,61.55,43.8,22.43
2017-10-23,梧州,78.33,0.65,30.44,57.67,78.16,57.11,20.89
2017-10-24,梧州,94.34,0.89,32.55,77.8,98.77,69.61,17.77
2017-10-25,梧州,103.71,0.97,44.72,79.46,115.41,75.88,15.36
2017-10-26,梧州,116.05,1.01,49.96,66.27,136.45,86.74,22.92
2017-10-27,梧州,114.6,1.06,48.96,67.61,134.02,83.62,18.12
2017-10-28,梧州,92.97,0.98,42.95,75.49,107.38,68.17,17.17
2017-10-29,梧州,85.62,0.82,25.44,104.59,87.39,63.13,21.98
2017-10-30,梧州,87.44,0.82,26.63,113.44,89.38,64.25,22.4
2017-10-31,梧州,92.97,0.84,36.88,88.75,101.53,68.32,15.23
2017-11-01,梧州,97.89,0.93,52.87,72.73,111.73,71.01,17.93
2017-11-02,梧州,102.73,1.23,55.97,64.61,125.23,73.21,19.44
2017-11-03,梧州,103.99,1.05,55.47,66.27,128.03,73.32,17.59
2017-11-04,梧州,86.51,0.82,32.72,98.15,95.85,62.94,17.17
2017-11-05,梧州,111.2,0.91,29.09,109.12,115.61,83.54,16.08
2017-11-06,梧州,131.98,0.93,41.84,69.73,133.31,99.9,16.24
2017-11-07,梧州,74.88,0.84,27.32,47.18,61.46,54.71,8.69
2017-11-08,梧州,70.41,0.88,32.62,18.36,64.79,50.75,12.91
2017-11-09,梧州,71.28,0.96,35.14,19.85,74.78,50.97,14.32
2017-11-10,梧州,79.49,1.12,36.95,73.44,92.86,57.01,13.2
2017-11-11,梧州,81.72,1.07,33.91,46.19,90.39,58.2,12.03
2017-11-12,梧州,69.78,0.91,29.94,58.68,70.54,50.03,10.96
2017-11-13,梧州,74.49,0.89,31.77,41.21,74.25,54.25,12.43
2017-11-14,梧州,53.06,0.91,22.6,27.84,45.45,37.38,8.26
2017-11-15,梧州,32.8,0.92,22.54,18.47,26.19,22.17,9.77
2017-11-16,梧州,42.28,0.87,31.71,29.6,42.17,28.44,8.93
2017-11-17,梧州,68.24,1.14,49.52,18.87,77.9,46.67,13.26
2017-11-18,梧州,42.39,0.93,27.5,27.77,43.73,28.05,11.95
2017-11-19,梧州,23.91,0.81,21.86,17.7,22.28,15.39,9.79
2017-11-20,梧州,28.98,0.79,21.46,20.94,25.7,18.04,12.45
2017-11-21,梧州,38.04,0.79,21.53,17.23,35.36,25.16,14.09
2017-11-22,梧州,41.03,0.73,22.06,30.2,39.52,25.93,12.19
2017-11-23,梧州,56.74,0.71,22.28,52.76,53.01,39.7,13.81
2017-11-24,梧州,46.48,0.78,23.0,47.99,38.96,32.22,11.76
2017-11-25,梧州,36.68,0.83,26.37,32.91,29.57,25.27,8.86
2017-11-26,梧州,41.1,0.95,29.31,21.48,39.44,27.84,12.28
2017-11-27,梧州,52.02,1.47,34.51,26.54,57.56,31.15,11.94
2017-11-28,梧州,55.4,1.08,39.29,12.92,62.89,36.67,11.32
2017-11-29,梧州,54.26,1.74,38.92,12.92,52.79,37.07,18.31
2017-11-30,梧州,42.07,0.9,26.86,30.81,41.48,25.17,11.17
