time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,河池,141.39,1.22,51.3,36.84,136.24,107.04,22.0
2017-01-02,河池,126.81,1.15,33.69,39.92,106.26,95.92,16.86
2017-01-03,河池,108.8,1.15,22.98,14.08,101.5,81.74,8.74
2017-01-04,河池,122.32,1.26,29.21,28.36,119.18,92.28,17.11
2017-01-05,河池,134.9,1.41,45.01,16.71,137.75,102.07,20.6
2017-01-06,河池,110.06,1.16,35.28,12.28,96.64,82.72,14.21
2017-01-07,河池,82.98,1.05,26.6,27.41,79.98,59.91,7.83
2017-01-08,河池,50.5,1.65,23.06,24.44,49.21,30.85,8.8
2017-01-09,河池,59.07,1.29,17.81,29.62,54.67,41.38,9.99
2017-01-10,河池,84.15,1.11,25.23,20.79,73.85,62.07,9.99
2017-01-11,河池,14.27,0.99,14.5,34.45,8.19,5.4,5.23
2017-01-12,河池,21.06,0.87,14.14,50.01,10.06,9.56,4.46
2017-01-13,河池,44.82,0.82,20.53,31.5,37.06,30.79,5.54
2017-01-14,河池,47.36,0.71,17.18,28.51,39.98,33.11,5.97
2017-01-15,河池,37.49,0.73,13.65,40.76,30.17,24.5,4.94
2017-01-16,河池,64.6,0.85,17.1,35.68,50.91,46.5,4.86
2017-01-17,河池,33.14,0.97,15.04,35.28,29.48,20.74,4.0
2017-01-18,河池,36.68,1.08,17.82,28.38,24.06,25.6,3.25
2017-01-19,河池,23.04,0.93,14.99,31.71,21.93,12.83,3.51
2017-01-20,河池,60.0,0.8,12.97,57.64,52.14,42.85,4.65
2017-01-21,河池,75.9,0.94,18.1,57.07,66.3,55.21,4.93
2017-01-22,河池,87.4,1.07,29.26,34.34,83.78,64.44,6.99
2017-01-23,河池,85.46,0.99,33.32,45.17,88.29,62.78,6.83
2017-01-24,河池,101.64,1.01,35.88,47.53,98.3,75.94,7.03
2017-01-25,河池,108.25,0.98,30.11,48.97,99.96,81.0,6.42
2017-01-26,河池,119.86,0.99,24.41,56.25,105.43,90.59,6.75
2017-01-27,河池,148.77,1.21,22.42,59.99,125.69,113.17,9.04
2017-01-28,河池,134.81,0.9,9.88,86.96,135.04,104.88,11.85
2017-01-29,河池,52.14,0.67,8.38,69.51,47.05,36.13,5.68
2017-01-30,河池,82.4,1.03,9.79,45.36,60.94,60.67,4.5
2017-01-31,河池,101.07,1.11,12.75,64.46,89.53,75.53,7.94
2017-02-01,河池,114.53,1.31,13.78,44.24,92.65,86.01,6.04
2017-02-02,河池,40.92,1.07,8.78,26.54,36.45,27.17,2.56
2017-02-03,河池,53.9,1.09,13.64,18.22,46.55,38.12,2.5
2017-02-04,河池,31.61,1.1,13.46,21.25,26.84,20.45,10.49
2017-02-05,河池,48.28,0.99,13.15,30.88,40.33,33.71,3.54
2017-02-06,河池,63.4,0.84,12.83,56.21,49.17,45.5,4.19
2017-02-07,河池,83.39,1.0,19.64,50.14,65.94,61.19,5.83
2017-02-08,河池,34.79,0.99,11.1,45.44,27.67,19.0,4.56
2017-02-09,河池,54.89,0.81,9.1,72.11,41.94,38.74,4.38
2017-02-10,河池,79.92,0.76,9.74,75.49,61.94,58.61,5.93
2017-02-11,河池,66.81,0.61,12.31,77.18,58.73,47.82,7.83
2017-02-12,河池,71.88,0.62,26.65,56.79,62.09,52.21,8.29
2017-02-13,河池,88.04,0.75,38.31,51.12,78.74,65.04,9.81
2017-02-14,河池,140.85,1.08,55.89,38.31,134.47,107.06,14.76
2017-02-15,河池,152.19,1.12,53.54,34.82,154.74,114.43,9.71
2017-02-16,河池,81.81,0.83,35.75,42.66,90.92,59.51,6.54
2017-02-17,河池,81.69,0.73,31.34,46.57,79.69,59.28,8.07
2017-02-18,河池,75.46,0.67,30.75,49.45,78.55,53.65,7.38
2017-02-19,河池,66.32,0.64,29.64,68.86,73.49,42.32,8.42
2017-02-20,河池,72.34,0.59,19.92,55.0,55.76,51.37,6.39
2017-02-21,河池,74.54,0.75,17.62,58.3,65.97,54.25,6.35
2017-02-22,河池,40.15,0.76,15.71,43.5,41.52,24.5,5.15
2017-02-23,河池,32.73,0.58,7.12,72.21,29.91,18.85,3.44
2017-02-24,河池,33.21,0.64,8.18,74.15,29.03,21.46,4.19
2017-02-25,河池,48.67,0.73,15.25,67.6,45.3,32.6,7.35
2017-02-26,河池,56.87,0.57,19.48,46.05,50.46,38.43,9.05
2017-02-27,河池,71.62,0.55,30.76,40.34,67.43,51.74,11.07
2017-02-28,河池,100.4,0.65,31.47,40.6,94.21,75.03,13.28
2017-03-01,河池,102.43,0.71,34.15,36.71,101.26,74.79,11.07
2017-03-02,河池,89.99,0.7,34.1,56.21,103.52,65.1,13.71
2017-03-03,河池,101.38,0.79,32.03,82.07,111.61,75.74,21.04
2017-03-04,河池,135.28,0.88,23.72,56.43,115.86,102.38,8.0
2017-03-05,河池,79.31,0.88,20.51,23.61,56.3,57.06,7.04
2017-03-06,河池,32.89,0.63,16.22,51.19,31.2,20.18,5.08
2017-03-07,河池,52.75,0.68,15.5,48.19,49.1,36.0,7.06
2017-03-08,河池,44.19,0.72,14.39,53.96,37.14,29.88,5.81
2017-03-09,河池,63.62,0.77,18.11,42.38,43.74,45.74,5.85
2017-03-10,河池,44.57,0.94,19.43,27.62,38.29,30.39,6.5
2017-03-11,河池,60.14,0.97,22.99,18.1,60.87,40.82,8.03
2017-03-12,河池,59.56,1.34,27.99,11.65,42.4,42.71,4.83
2017-03-13,河池,65.86,1.15,16.46,31.74,68.06,45.32,7.72
2017-03-14,河池,28.2,0.76,10.03,60.02,23.53,13.23,6.78
2017-03-15,河池,38.57,0.69,15.07,34.7,31.8,26.44,6.74
2017-03-16,河池,22.16,0.75,13.35,27.22,16.07,12.83,5.24
2017-03-17,河池,24.1,0.77,13.61,20.06,16.45,16.36,7.19
2017-03-18,河池,21.61,0.78,14.12,21.54,16.43,12.47,7.17
2017-03-19,河池,33.61,0.87,17.08,18.06,25.07,22.71,14.0
2017-03-20,河池,33.6,0.98,17.65,13.82,32.32,20.28,5.62
2017-03-21,河池,27.93,0.89,18.99,19.64,23.76,18.11,4.74
2017-03-22,河池,25.07,0.97,19.78,22.08,22.16,14.04,8.76
2017-03-23,河池,40.06,0.85,18.72,23.15,32.21,27.81,5.51
2017-03-24,河池,57.11,1.04,17.87,21.81,58.07,35.26,7.77
2017-03-25,河池,31.29,0.62,13.07,60.43,28.7,10.49,5.04
2017-03-26,河池,56.79,0.47,14.85,64.85,63.81,27.96,5.86
2017-03-27,河池,73.13,0.69,31.12,13.93,86.6,49.26,8.58
2017-03-28,河池,72.68,0.79,27.01,20.31,75.8,52.43,5.42
2017-03-29,河池,52.22,0.98,28.11,18.14,37.7,36.73,5.3
2017-03-30,河池,59.73,1.13,28.44,22.02,62.34,40.61,6.25
2017-03-31,河池,40.29,0.83,17.31,56.12,33.79,23.96,5.4
2017-04-01,河池,57.75,0.69,22.48,54.57,55.0,35.65,9.09
2017-04-02,河池,66.78,0.69,29.88,53.9,73.27,45.31,9.83
2017-04-03,河池,72.8,0.75,24.14,72.41,70.98,52.46,8.36
2017-04-04,河池,50.77,0.66,16.51,66.46,48.98,32.72,4.86
2017-04-05,河池,53.1,0.6,17.12,52.0,55.5,32.12,5.79
2017-04-06,河池,53.22,0.63,18.48,44.26,55.39,33.61,6.8
2017-04-07,河池,59.81,0.65,15.46,57.58,62.58,41.33,6.35
2017-04-08,河池,54.04,0.62,14.88,60.29,56.19,35.23,5.73
2017-04-09,河池,61.2,0.64,13.52,78.75,63.85,42.18,6.58
2017-04-10,河池,67.51,0.69,11.71,85.18,69.43,48.65,6.46
2017-04-11,河池,35.93,0.76,9.9,68.17,34.39,15.32,6.93
2017-04-12,河池,39.83,0.69,15.89,82.86,33.79,17.93,8.0
2017-04-13,河池,56.47,0.81,29.6,80.17,59.85,35.57,14.26
2017-04-14,河池,72.75,0.94,28.28,80.15,70.57,52.78,10.15
2017-04-15,河池,62.92,0.94,15.58,62.78,57.44,43.52,6.45
2017-04-16,河池,54.48,0.84,21.1,44.25,56.92,35.29,7.58
2017-04-17,河池,33.57,0.75,16.19,49.86,34.1,16.83,6.38
2017-04-18,河池,52.98,0.89,20.27,37.9,56.75,32.61,8.78
2017-04-19,河池,59.88,0.77,24.93,37.29,62.35,40.71,7.76
2017-04-20,河池,60.12,0.74,24.27,43.4,65.94,39.62,7.07
2017-04-21,河池,34.63,0.52,11.68,81.35,30.2,8.91,5.32
2017-04-22,河池,38.03,0.44,13.3,77.25,37.46,13.56,6.51
2017-04-23,河池,52.69,0.57,27.56,49.67,55.67,29.04,10.62
2017-04-24,河池,50.25,0.6,22.4,45.51,51.37,31.5,6.99
2017-04-25,河池,53.35,0.78,23.22,24.22,50.84,35.79,6.25
2017-04-26,河池,31.67,0.74,19.33,26.11,31.67,16.19,5.81
2017-04-27,河池,27.03,0.67,12.53,70.57,18.41,7.89,5.6
2017-04-28,河池,49.64,0.64,22.74,72.97,48.62,30.68,7.25
2017-04-29,河池,65.71,0.64,32.22,53.71,69.56,46.19,9.58
