time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,玉林,104.04,1.42,49.0,53.78,110.71,77.78,20.36
2017-01-02,玉林,128.58,1.57,39.42,74.63,132.08,97.0,33.08
2017-01-03,玉林,111.6,1.44,38.14,65.49,113.06,82.96,16.12
2017-01-04,玉林,126.61,1.46,46.14,76.82,129.91,95.4,64.74
2017-01-05,玉林,116.96,1.53,45.97,47.51,130.17,87.06,57.19
2017-01-06,玉林,77.8,1.26,31.58,55.97,88.0,53.9,41.3
2017-01-07,玉林,92.12,1.43,39.39,34.43,106.86,67.38,51.3
2017-01-08,玉林,93.07,1.93,29.44,23.38,95.25,69.14,33.28
2017-01-09,玉林,60.9,1.96,25.93,41.94,64.78,42.9,10.75
2017-01-10,玉林,100.1,1.99,38.58,48.83,107.92,74.54,25.83
2017-01-11,玉林,74.18,1.69,25.5,33.5,61.63,53.75,7.85
2017-01-12,玉林,18.4,1.47,22.39,27.49,14.29,8.49,4.56
2017-01-13,玉林,17.58,1.27,20.43,38.85,10.87,6.83,4.64
2017-01-14,玉林,29.07,1.21,21.79,28.19,25.91,19.18,4.83
2017-01-15,玉林,26.92,1.28,19.97,25.61,24.35,18.21,5.01
2017-01-16,玉林,48.18,1.37,25.32,19.17,37.39,33.81,5.21
2017-01-17,玉林,26.32,1.42,23.49,18.31,21.69,17.94,4.89
2017-01-18,玉林,31.31,1.47,20.31,14.75,31.31,20.31,5.35
2017-01-19,玉林,38.15,1.42,17.58,11.04,38.69,24.71,5.36
2017-01-20,玉林,38.35,1.33,16.0,37.25,36.14,23.93,5.5
2017-01-21,玉林,72.19,1.35,19.69,48.38,68.69,52.43,6.74
2017-01-22,玉林,83.58,1.38,23.78,60.04,86.24,61.49,7.81
2017-01-23,玉林,77.29,1.41,35.18,53.42,83.85,55.15,9.65
2017-01-24,玉林,101.15,1.37,39.43,54.71,106.92,75.4,11.21
2017-01-25,玉林,96.24,1.3,26.14,73.17,92.44,71.43,8.76
2017-01-26,玉林,112.0,1.39,33.51,62.47,107.25,84.18,10.1
2017-01-27,玉林,120.82,1.27,21.85,78.15,116.52,91.96,13.43
2017-01-28,玉林,268.43,1.2,19.34,59.09,364.46,252.49,46.34
2017-01-29,玉林,85.3,0.89,12.51,67.0,82.94,62.33,17.2
2017-01-30,玉林,103.1,1.15,16.0,52.82,97.7,77.11,8.74
2017-01-31,玉林,81.17,1.35,15.65,39.04,70.62,59.65,6.86
2017-02-01,玉林,63.26,1.39,15.75,44.54,56.73,44.81,7.0
2017-02-02,玉林,110.25,1.58,18.19,41.85,95.88,82.89,7.51
2017-02-03,玉林,95.78,1.53,23.96,39.26,88.43,71.33,8.31
2017-02-04,玉林,71.23,1.53,25.77,21.96,62.73,51.75,6.9
2017-02-05,玉林,51.75,1.42,16.36,29.46,42.42,36.64,4.92
2017-02-06,玉林,53.75,1.26,23.78,42.27,53.26,37.54,6.88
2017-02-07,玉林,63.78,1.36,27.88,41.61,61.61,45.09,11.74
2017-02-08,玉林,38.64,1.45,17.39,30.86,36.43,25.85,6.62
2017-02-09,玉林,53.4,1.25,13.93,75.49,48.2,36.71,8.46
2017-02-10,玉林,100.96,1.39,15.51,75.78,85.1,75.47,13.64
2017-02-11,玉林,85.31,1.19,17.01,72.47,75.89,62.94,10.88
2017-02-12,玉林,76.81,1.13,23.99,68.97,74.74,56.1,10.62
2017-02-13,玉林,96.22,1.39,42.03,59.82,103.57,71.21,18.49
2017-02-14,玉林,113.61,1.62,50.12,68.93,125.17,84.93,31.81
2017-02-15,玉林,97.53,1.46,37.76,74.94,108.38,71.75,33.0
2017-02-16,玉林,66.9,1.08,23.84,70.54,69.05,45.61,31.04
2017-02-17,玉林,72.03,1.16,30.45,59.42,83.4,49.38,48.42
2017-02-18,玉林,83.88,1.31,31.96,67.15,94.32,59.39,31.43
2017-02-19,玉林,69.71,1.13,23.58,72.71,76.26,46.99,53.79
2017-02-20,玉林,66.5,1.02,21.97,55.22,68.08,45.79,32.6
2017-02-21,玉林,54.81,0.89,17.76,47.49,57.14,35.26,22.51
2017-02-22,玉林,61.32,0.92,19.58,65.46,53.47,34.72,20.85
2017-02-23,玉林,38.44,0.93,13.86,39.94,38.87,24.89,5.28
2017-02-24,玉林,38.35,1.03,13.67,51.26,35.38,25.75,5.11
2017-02-25,玉林,30.25,0.99,14.61,43.64,27.43,20.71,5.0
2017-02-26,玉林,44.22,0.95,16.61,62.43,39.77,30.21,7.31
2017-02-27,玉林,66.86,1.14,27.71,48.03,68.49,47.78,13.82
2017-02-28,玉林,90.19,1.1,22.85,48.49,81.22,66.83,8.1
2017-03-01,玉林,74.08,1.05,21.26,49.07,66.96,53.92,6.28
2017-03-02,玉林,77.99,1.07,37.14,61.06,86.2,53.96,16.64
2017-03-03,玉林,109.1,1.34,48.39,63.21,134.08,80.5,41.42
2017-03-04,玉林,112.49,1.36,40.11,51.29,125.86,82.42,56.18
2017-03-05,玉林,79.04,1.22,31.36,46.93,90.85,56.62,48.15
