time,city,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-01-01,百色,155.63,1.42,46.18,27.58,159.43,118.16,57.13
2017-01-02,百色,141.05,1.18,26.08,27.05,103.23,106.29,30.79
2017-01-03,百色,162.7,1.56,30.87,14.54,160.57,125.07,36.41
2017-01-04,百色,142.0,1.38,21.83,18.45,121.06,103.28,24.68
2017-01-05,百色,77.38,1.0,29.67,11.75,81.57,54.98,39.79
2017-01-06,百色,159.5,1.33,32.23,8.08,140.16,120.9,42.62
2017-01-07,百色,112.22,1.06,27.57,22.93,114.43,83.11,37.04
2017-01-08,百色,104.0,1.0,21.75,40.42,107.21,76.65,35.12
2017-01-09,百色,92.8,1.55,19.17,45.63,80.28,68.85,29.87
2017-01-10,百色,123.71,1.47,32.98,39.27,119.63,91.94,65.54
2017-01-11,百色,30.62,0.85,19.75,25.44,24.56,20.19,25.73
2017-01-12,百色,22.5,0.55,18.88,32.19,11.84,12.44,11.25
2017-01-13,百色,52.46,0.54,21.08,23.85,46.93,36.15,27.54
2017-01-14,百色,51.42,0.44,18.29,34.92,49.02,33.96,26.88
2017-01-15,百色,51.5,0.45,20.08,23.02,48.33,27.83,30.9
2017-01-16,百色,47.62,0.45,15.08,38.48,44.63,31.52,21.54
2017-01-17,百色,44.94,0.62,20.6,21.09,41.08,26.68,30.62
2017-01-18,百色,48.1,0.75,20.5,21.81,45.3,31.96,30.52
2017-01-19,百色,68.38,0.94,25.5,13.67,53.69,43.38,44.69
2017-01-20,百色,47.73,0.62,23.0,32.73,48.12,27.4,24.38
2017-01-21,百色,47.58,0.54,13.98,48.9,40.61,32.58,11.71
2017-01-22,百色,58.81,0.7,22.21,32.85,57.61,41.29,11.27
2017-01-23,百色,90.79,0.82,27.17,45.58,96.91,67.15,26.75
2017-01-24,百色,139.71,1.06,32.1,41.35,129.63,105.81,32.79
2017-01-25,百色,115.27,0.91,22.79,51.85,107.15,86.6,11.31
2017-01-26,百色,133.68,0.98,25.82,30.15,120.19,100.91,12.12
2017-01-27,百色,153.06,1.0,16.69,53.0,137.13,116.69,25.52
2017-01-28,百色,220.02,0.73,14.13,57.47,277.9,213.91,40.42
2017-01-29,百色,74.24,0.36,14.72,59.93,73.07,52.86,34.52
2017-01-30,百色,68.19,0.59,12.75,44.4,57.33,49.06,9.33
2017-01-31,百色,103.71,0.76,14.85,60.75,92.18,77.69,26.21
2017-02-01,百色,154.25,0.99,21.58,52.6,124.66,116.77,39.31
2017-02-02,百色,142.67,1.04,14.35,50.81,121.17,108.62,17.19
2017-02-03,百色,115.9,0.97,19.71,51.9,98.88,87.19,33.73
2017-02-04,百色,86.7,0.9,21.09,38.8,71.75,63.63,28.43
2017-02-05,百色,56.75,0.77,18.67,38.48,48.73,38.92,23.33
2017-02-06,百色,67.9,0.78,19.08,60.29,57.36,48.1,31.27
2017-02-07,百色,51.87,0.58,16.0,75.85,50.11,32.57,28.48
2017-02-08,百色,52.1,0.98,19.6,39.81,45.32,33.83,23.6
2017-02-09,百色,38.0,0.96,15.6,58.21,34.02,25.17,12.38
2017-02-10,百色,76.27,0.86,16.02,61.02,68.02,55.77,11.25
2017-02-11,百色,83.48,0.76,16.81,60.0,82.13,61.44,10.02
2017-02-12,百色,84.38,0.83,28.83,44.6,84.09,61.17,13.98
2017-02-13,百色,100.15,1.01,37.42,49.54,110.02,74.71,62.27
2017-02-14,百色,146.9,1.2,46.4,53.17,144.83,111.27,42.21
2017-02-15,百色,187.65,1.36,62.29,36.9,190.02,142.77,44.42
2017-02-16,百色,123.13,0.8,36.3,47.46,125.67,90.93,32.65
2017-02-17,百色,92.23,0.65,32.77,44.23,94.31,65.62,32.02
2017-02-18,百色,93.62,0.64,36.42,49.65,103.66,67.6,58.31
2017-02-19,百色,79.81,0.69,32.29,55.33,87.31,52.96,34.88
2017-02-20,百色,73.78,0.64,24.57,56.65,77.96,48.11,66.98
2017-02-21,百色,108.56,0.76,24.87,56.44,88.36,80.09,55.84
2017-02-22,百色,104.6,0.92,27.29,49.48,105.85,72.35,37.54
2017-02-23,百色,36.08,0.54,12.56,53.62,35.92,15.35,6.67
2017-02-24,百色,38.56,0.4,12.96,69.48,37.77,23.0,7.02
2017-02-25,百色,51.92,0.49,15.56,62.88,48.77,34.81,10.85
2017-02-26,百色,73.54,0.65,21.69,39.0,67.24,53.31,20.98
2017-02-27,百色,98.4,0.85,33.12,33.88,101.13,73.4,41.69
2017-02-28,百色,117.38,0.88,35.98,35.3,127.59,88.53,48.34
2017-03-01,百色,126.67,0.91,31.96,42.65,127.62,95.44,23.48
2017-03-02,百色,99.26,0.85,28.8,65.85,118.39,68.89,27.67
2017-03-03,百色,95.12,0.86,21.98,106.56,111.29,69.81,45.54
2017-03-04,百色,104.29,0.98,25.46,69.98,105.21,73.5,31.08
2017-03-05,百色,102.74,1.03,26.17,53.13,110.57,75.02,48.72
2017-03-06,百色,54.92,0.74,17.1,67.42,51.33,37.71,14.29
2017-03-07,百色,58.0,0.73,16.88,58.6,58.67,40.19,14.6
2017-03-08,百色,59.4,0.85,22.44,50.76,58.98,38.96,53.8
2017-03-09,百色,47.77,0.85,16.71,55.35,35.09,33.54,16.23
2017-03-10,百色,60.81,1.13,26.47,29.62,67.51,41.83,65.0
2017-03-11,百色,50.44,1.1,21.56,35.15,48.97,33.31,35.54
2017-03-12,百色,67.98,1.21,26.83,34.15,70.55,44.77,60.4
2017-03-13,百色,88.29,1.16,28.54,41.92,93.81,59.81,39.4
2017-03-14,百色,46.83,0.88,18.29,60.56,50.31,25.71,18.33
2017-03-15,百色,50.72,0.86,15.61,49.11,48.89,32.61,31.63
2017-03-16,百色,29.67,0.82,16.42,18.19,27.44,16.83,37.12
2017-03-17,百色,31.96,0.8,14.57,15.22,27.71,19.93,18.6
2017-03-18,百色,44.71,1.04,18.06,19.08,41.14,27.21,48.88
2017-03-19,百色,73.48,1.19,26.23,17.15,83.89,52.33,50.25
2017-03-20,百色,72.12,1.13,19.79,32.1,77.52,49.88,33.15
2017-03-21,百色,27.9,0.9,14.6,20.21,27.16,15.46,14.56
2017-03-22,百色,58.83,1.23,21.88,26.68,71.42,42.06,31.98
2017-03-23,百色,80.08,0.85,14.08,64.58,79.69,55.69,31.83
2017-03-24,百色,85.29,0.86,19.48,61.31,94.73,60.21,40.29
2017-03-25,百色,32.4,0.72,14.21,59.02,32.0,15.33,21.04
2017-03-26,百色,50.0,0.59,15.69,59.58,51.87,30.69,14.9
2017-03-27,百色,65.37,0.73,22.91,39.89,76.28,41.37,22.0
2017-03-28,百色,77.85,0.85,24.15,41.79,80.96,56.13,35.43
2017-03-29,百色,83.43,0.99,23.4,34.49,85.02,59.81,54.57
2017-03-30,百色,68.32,0.98,19.66,46.19,70.48,45.17,37.74
2017-03-31,百色,38.02,0.81,12.33,49.15,34.14,24.96,8.23
2017-04-01,百色,45.16,0.74,15.38,60.36,46.76,27.47,14.13
2017-04-02,百色,72.21,0.84,24.0,70.94,82.1,50.12,37.25
2017-04-03,百色,79.67,0.91,20.89,82.09,86.46,57.41,33.43
2017-04-04,百色,54.17,0.79,10.0,80.72,51.5,36.15,30.09
2017-04-05,百色,59.48,0.76,11.19,63.98,62.0,39.25,31.96
2017-04-06,百色,67.78,0.78,15.2,64.48,72.63,44.09,28.26
2017-04-07,百色,70.88,0.81,14.1,65.81,72.86,48.29,31.88
2017-04-08,百色,72.58,0.85,14.35,74.75,76.08,49.85,30.25
2017-04-09,百色,84.98,0.89,15.69,83.79,92.66,60.44,29.81
2017-04-10,百色,118.31,1.05,24.57,90.62,133.05,86.51,45.4
2017-04-11,百色,91.76,1.17,20.09,55.57,95.32,60.65,25.89
2017-04-12,百色,44.29,0.91,13.65,76.88,44.65,22.42,15.06
2017-04-13,百色,65.56,1.04,23.71,77.04,77.29,41.23,38.12
2017-04-14,百色,84.92,1.15,23.31,71.12,94.69,60.67,29.92
2017-04-15,百色,89.87,1.23,19.43,71.04,94.36,65.53,33.09
2017-04-16,百色,68.98,1.14,24.57,45.23,79.36,44.96,26.32
2017-04-17,百色,34.15,0.8,10.77,46.3,28.71,22.17,5.7
2017-04-18,百色,46.18,0.82,11.2,62.38,43.42,30.31,10.96
2017-04-19,百色,93.08,1.17,22.27,49.65,95.67,65.17,36.4
2017-04-20,百色,83.42,1.12,18.83,61.6,91.64,58.54,20.9
2017-04-21,百色,40.08,0.77,11.58,60.4,37.15,24.12,9.73
2017-04-22,百色,43.6,0.67,15.44,78.5,44.36,20.17,14.6
2017-04-23,百色,60.75,0.88,22.35,54.08,63.22,41.54,31.83
2017-04-24,百色,78.57,0.93,19.11,48.23,80.02,56.41,32.43
2017-04-25,百色,70.1,1.03,17.71,50.06,61.73,47.08,24.0
2017-04-26,百色,33.08,0.86,12.71,47.17,36.85,18.94,7.85
2017-04-27,百色,40.75,0.88,17.35,52.77,40.0,20.83,15.96
2017-04-28,百色,56.06,0.97,19.4,79.54,58.94,35.1,25.17
2017-04-29,百色,80.52,0.99,22.67,86.89,97.13,55.26,49.67
2017-04-30,百色,78.56,1.0,12.54,114.38,91.81,55.4,28.67
